,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2015 Aston Martin DB9 ,"20,280 mi.",Park Place LTD,3.2,(26 reviews),"$119,950"
1,2020 Aston Martin DB11 Volante,"9,703 mi.",Miller Motorcars,4.6,(42 reviews),"$181,900"
2,2021 Aston Martin DBX Base,"7,121 mi.",Desert European Motorcars,4.3,(281 reviews),"$168,990"
3,2019 Aston Martin DB11 Volante,"12,398 mi.",THE COLLECTION,4.7,(661 reviews),"$195,900"
4,2019 Aston Martin DB11 Volante,"19,937 mi.",THE COLLECTION,4.7,(661 reviews),"$182,532"
5,2020 Aston Martin DB11 Volante,"8,329 mi.",Miller Motorcars,4.6,(42 reviews),"$181,900"
6,2019 Aston Martin Vantage Coupe,"12,336 mi.",Aston Martin San Diego,5.0,(1 review),"$130,212"
7,2019 Aston Martin Vantage Coupe,"11,430 mi.",Aston Martin San Diego,5.0,(1 review),"$136,548"
8,2021 Aston Martin DBX Base,"20,368 mi.",Napleton Aston Martin Maserati,4.7,(840 reviews),"$159,500"
9,2019 Aston Martin Vantage Base,"2,218 mi.",Napleton Aston Martin Maserati,4.7,(840 reviews),"$150,000"
10,2019 Aston Martin DB11 Volante,"8,858 mi.",Miller Motorcars,4.6,(42 reviews),"$171,900"
11,2019 Aston Martin Vantage Base,"6,960 mi.",Napleton Aston Martin Maserati,4.7,(840 reviews),"$127,500"
12,2016 Aston Martin V12 Vantage S Base,"20,775 mi.",Park Place LTD,3.2,(26 reviews),"$134,950"
13,2021 Aston Martin DBX Base,"14,453 mi.",Napleton Aston Martin Maserati,4.7,(840 reviews),"$165,000"
14,2019 Aston Martin Vantage Base,"8,826 mi.",THE COLLECTION,4.7,(661 reviews),"$135,900"
15,2019 Aston Martin Vantage ,"15,353 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$126,998"
16,2019 Aston Martin Vantage ,"13,870 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$127,849"
17,2019 Aston Martin Vantage Base,"5,361 mi.",THE COLLECTION,4.7,(661 reviews),"$139,900"
18,2017 Aston Martin DB11 Launch Edition,"12,128 mi.",Park Place LTD,3.2,(26 reviews),"$139,950"
19,2017 Aston Martin DB11 Launch Edition,"11,943 mi.",Park Place LTD,3.2,(26 reviews),"$149,950"
20,2018 Aston Martin DB11 V12,"19,083 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$148,999"
21,2021 Aston Martin DBX Base,"6,865 mi.",Naples Luxury Imports,4.9,"(1,258 reviews)","$174,999"
22,2019 Aston Martin Vantage Base,"5,312 mi.",Napleton Aston Martin Maserati,4.7,(840 reviews),"$135,000"
23,2019 Aston Martin Vantage ,"8,177 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$132,799"
24,2018 Aston Martin DB11 V12,"20,161 mi.",Napleton Aston Martin Maserati,4.7,(840 reviews),"$137,500"
25,2018 Aston Martin DB11 V8,"32,589 mi.",Napleton Aston Martin Maserati,4.7,(840 reviews),"$117,500"
26,2018 Aston Martin DB11 V12 Coupe,"41,462 mi.",Aston Martin San Diego,5.0,(1 review),"$153,590"
27,2020 Aston Martin DBS Superleggera,"1,276 mi.",Miller Motorcars,4.6,(42 reviews),"$309,900"
28,2020 Aston Martin DBS Coupe,"2,802 mi.",Aston Martin San Diego,5.0,(1 review),"$299,887"
29,2020 Aston Martin DB11 AMR,"5,363 mi.",Miller Motorcars,4.6,(42 reviews),"$203,900"
30,2020 Aston Martin DB11 Volante,"5,139 mi.",Miller Motorcars,4.6,(42 reviews),"$187,900"
31,2017 Aston Martin DB11 Launch Edition,"20,510 mi.",Napleton Aston Martin Maserati,4.7,(840 reviews),"$125,800"
32,2021 Aston Martin DBX Base,"8,296 mi.","Mike Ward Maserati,Alfa Romeo,Mclaren Denver",4.4,(14 reviews),"$174,665"
33,2019 Aston Martin Vantage ,"14,054 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$125,499"
34,2018 Aston Martin DB11 V12,"13,776 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$149,998"
35,2017 Aston Martin DB11 Launch Edition,"15,399 mi.",Napleton Aston Martin Maserati,4.7,(840 reviews),"$132,500"
36,2021 Aston Martin DB11 Volante,929 mi.,Naples Luxury Imports,4.9,"(1,258 reviews)","$239,998"
37,2020 Aston Martin DB11 V8 Coupe,"11,288 mi.",Aston Martin San Diego,5.0,(1 review),"$166,967"
38,2021 Aston Martin DBX Base,"8,558 mi.","Mike Ward Maserati,Alfa Romeo,Mclaren Denver",4.4,(14 reviews),"$182,999"
39,2019 Aston Martin DBS Coupe,"4,440 mi.",Aston Martin San Diego,5.0,(1 review),"$285,899"
40,2019 Aston Martin Vantage Base,"9,786 mi.",Napleton Aston Martin Maserati,4.7,(840 reviews),"$126,800"
41,2019 Aston Martin DB11 V8 Volante,"11,495 mi.",Aston Martin San Diego,5.0,(1 review),"$192,264"
42,2017 Aston Martin DB11 V8 Coupe,"10,426 mi.",Aston Martin San Diego,5.0,(1 review),"$148,798"
43,2019 Aston Martin DB11 Volante,"10,993 mi.",Miller Motorcars,4.6,(42 reviews),"$171,900"
44,2020 Aston Martin DB11 AMR,"8,752 mi.",Miller Motorcars,4.6,(42 reviews),"$203,900"
45,2020 Aston Martin Vantage Coupe,"7,770 mi.",Aston Martin San Diego,5.0,(1 review),"$137,879"
46,2020 Aston Martin Vantage Coupe,"9,985 mi.",Aston Martin San Diego,5.0,(1 review),"$144,569"
47,2016 Aston Martin Rapide S ,"16,105 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$106,103"
48,2020 Aston Martin DB11 AMR,"9,507 mi.","Mike Ward Maserati,Alfa Romeo,Mclaren Denver",4.4,(14 reviews),"$224,981"
49,2020 Aston Martin DB11 Volante,"1,423 mi.",Desert European Motorcars,4.3,(281 reviews),"$186,990"
50,2019 Aston Martin Vantage Coupe,"5,756 mi.",Aston Martin San Diego,5.0,(1 review),"$139,745"
51,2019 Aston Martin DB11 Volante,"3,835 mi.",Naples Luxury Imports,4.9,"(1,258 reviews)","$194,998"
52,2015 Aston Martin V12 Vantage S Base,"14,699 mi.",Napleton Aston Martin Maserati,4.7,(840 reviews),"$105,000"
53,2019 Aston Martin Vantage Coupe,"9,508 mi.",Aston Martin Palm Beach,5.0,(1 review),"$127,990"
54,2020 Aston Martin DB11 AMR,"11,396 mi.","Mike Ward Maserati,Alfa Romeo,Mclaren Denver",4.4,(14 reviews),"$210,981"
55,2020 Aston Martin DBS Superleggera,"16,666 mi.",Star Motor Cars,3.8,(56 reviews),"$286,500"
56,2020 Aston Martin DB11 Volante,"2,482 mi.",Miller Motorcars,4.6,(42 reviews),"$187,900"
57,2019 Aston Martin DB11 Volante,"7,524 mi.",Exclusive Automotive Group,4.6,(110 reviews),"$192,495"
58,2020 Aston Martin DB11 Volante,"10,899 mi.","Mike Ward Maserati,Alfa Romeo,Mclaren Denver",4.4,(14 reviews),"$184,889"
59,2015 Aston Martin Vantage GT Base,"7,525 mi.",Napleton Aston Martin Maserati,4.7,(840 reviews),"$90,000"
60,2020 Aston Martin DB11 V8,"2,219 mi.","Mike Ward Maserati,Alfa Romeo,Mclaren Denver",4.4,(14 reviews),"$190,741"
61,2019 Aston Martin DB11 Volante,"3,475 mi.",THE COLLECTION,4.7,(661 reviews),"$206,900"
62,2018 Aston Martin DB11 V8 Volante,"14,664 mi.",Aston Martin San Diego,5.0,(1 review),"$174,999"
63,2019 Aston Martin DB11 Volante,"12,603 mi.",F.C. Kerbeck & Sons,4.7,(170 reviews),"$158,000"
64,2018 Aston Martin DB11 V8,"9,834 mi.",Miller Motorcars,4.6,(42 reviews),"$139,900"
65,2019 Aston Martin Vantage Coupe,"8,446 mi.",Aston Martin Palm Beach,5.0,(1 review),"$129,990"
66,2016 Aston Martin V8 Vantage S Base,"7,863 mi.",Star Motor Cars,3.8,(56 reviews),"$104,900"
67,2020 Aston Martin DBS Superleggera Volante,"10,390 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$347,408"
68,2019 Aston Martin DB11 V8 Volante,"13,579 mi.",Aston Martin Palm Beach,5.0,(1 review),"$171,990"
69,2019 Aston Martin DBS Coupe,"7,118 mi.",Aston Martin San Diego,5.0,(1 review),"$301,726"
70,2021 Aston Martin Vantage Automatic,"10,452 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$159,317"
71,2020 Aston Martin DBS Superleggera Volante,"4,920 mi.",THE COLLECTION,4.7,(661 reviews),"$339,900"
72,2019 Aston Martin Vantage Coupe,"14,999 mi.",Aston Martin Palm Beach,5.0,(1 review),"$122,990"
73,2021 Aston Martin Vantage Roadster,"1,946 mi.",Aston Martin San Diego,5.0,(1 review),"$199,000"
74,2021 Aston Martin DBX SUV,"10,121 mi.",Aston Martin Palm Beach,5.0,(1 review),"$174,990"
75,2016 Aston Martin V8 Vantage S ,"4,813 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$104,899"
76,2019 Aston Martin DB11 V8 Volante,"12,237 mi.",Aston Martin Palm Beach,5.0,(1 review),"$182,990"
77,2020 Aston Martin DB11 Volante,"3,966 mi.",Napleton Aston Martin Maserati,4.7,(840 reviews),"$182,500"
78,2019 Aston Martin DB11 AMR V12 Coupe,"8,418 mi.",Aston Martin Palm Beach,5.0,(1 review),"$192,990"
79,2021 Aston Martin DBX SUV,"3,288 mi.",Aston Martin Palm Beach,5.0,(1 review),"$179,990"
80,2018 Aston Martin DB11 V8 Coupe,"2,811 mi.",Aston Martin Palm Beach,5.0,(1 review),"$184,990"
81,2021 Aston Martin DBX SUV,"8,608 mi.",Aston Martin Palm Beach,5.0,(1 review),"$179,990"
82,2021 Aston Martin DBX SUV,"6,842 mi.",Aston Martin Palm Beach,5.0,(1 review),"$179,990"
83,2021 Aston Martin DBX SUV,"2,989 mi.",Aston Martin Palm Beach,5.0,(1 review),"$179,990"
84,2018 Aston Martin DB11 V12,"24,280 mi.",Park Place LTD,3.2,(26 reviews),"$138,950"
85,2020 Aston Martin DB11 Volante,"6,483 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$189,210"
86,2019 Aston Martin Vantage Base,"14,964 mi.",Long Island Sports Cars - Aston Martin Long Island - McLaren Long Island,3.5,(8 reviews),"$129,888"
87,2017 Aston Martin DB11 Launch Edition,"41,507 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$135,831"
88,2015 Aston Martin Vanquish ,"12,693 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$170,596"
89,2019 Aston Martin Rapide Base,"2,291 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$214,770"
90,2020 Aston Martin DB11 Volante,"12,790 mi.",Long Island Sports Cars - Aston Martin Long Island - McLaren Long Island,3.5,(8 reviews),"$188,888"
91,2017 Aston Martin DB11 Launch Edition,"21,443 mi.",Holman Motorcars St. Louis,1.0,(1 review),"$139,900"
92,2020 Aston Martin DB11 V8,"4,780 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$187,990"
93,2014 Aston Martin Rapide S Base,"25,979 mi.",Long Island Sports Cars - Aston Martin Long Island - McLaren Long Island,3.5,(8 reviews),"$99,888"
94,2019 Aston Martin Vantage Base,"13,366 mi.",Park Place LTD,3.2,(26 reviews),"$129,950"
95,2021 Aston Martin DB11 ,70 mi.,Desert European Motorcars,4.3,(281 reviews),"$209,990"
96,2020 Aston Martin DB11 Volante,"11,124 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$181,990"
97,2021 Aston Martin DBX Base,"2,072 mi.",Long Island Sports Cars - Aston Martin Long Island - McLaren Long Island,3.5,(8 reviews),"$167,888"
98,2021 Aston Martin DBS Superleggera,355 mi.,Holman Motorcars,2.1,(4 reviews),"$369,950"
99,2019 Aston Martin DB11 V8,"17,818 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$167,840"
100,2017 Aston Martin Vanquish ,"6,570 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$209,901"
101,2017 Aston Martin DB11 V8 Coupe,"13,412 mi.",Aston Martin San Diego,5.0,(1 review),"$136,573"
102,2020 Aston Martin DBS Superleggera,"2,448 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$309,990"
103,2017 Aston Martin Rapide S ,"18,672 mi.",Holman Motorcars,2.1,(4 reviews),"$127,888"
104,2018 Aston Martin DB11 V12 Coupe,"4,029 mi.",Aston Martin San Diego,5.0,(1 review),"$172,297"
105,2019 Aston Martin Vantage Base,"6,590 mi.",Long Island Sports Cars - Aston Martin Long Island - McLaren Long Island,3.5,(8 reviews),"$135,888"
106,2020 Aston Martin DB11 V8,"18,818 mi.",Park Place LTD,3.2,(26 reviews),"$154,950"
