,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2020 Cadillac XT5 Premium Luxury,"16,269 mi.",Ed Morse Cadillac of Tampa,4.9,"(2,801 reviews)","$42,992"
1,2019 Cadillac XT5 Luxury,"32,842 mi.",Al Serra Auto Plaza,4.8,"(1,637 reviews)","$31,900"
2,2020 Cadillac XT5 Sport,"33,032 mi.",Crest Auto Group,4.5,(565 reviews),"$49,678"
3,2020 Cadillac XT5 Sport,"18,137 mi.",Lone Star Cadillac,4.3,(275 reviews),"$47,499"
4,2020 Cadillac XT5 Premium Luxury,"24,948 mi.",Ed Morse Cadillac of Tampa,4.9,"(2,801 reviews)","$40,654"
5,2019 Cadillac XT5 Luxury,"48,723 mi.",Al Serra Auto Plaza,4.8,"(1,637 reviews)","$31,000"
6,2019 Cadillac XT4 Premium Luxury,"23,374 mi.",James Wood AutoPark,4.9,"(1,292 reviews)","$43,950"
7,2021 Cadillac XT5 Premium Luxury,"10,298 mi.",Columbiana Buick Cadillac Chevrolet,4.8,(395 reviews),"$47,000"
8,2018 Cadillac XT5 Luxury,"13,655 mi.",Vera Cadillac,4.8,"(1,874 reviews)","$32,991"
9,2019 Cadillac XT5 Luxury,"22,974 mi.",Braman Cadillac,4.1,(58 reviews),"$34,911"
10,2019 Cadillac XT4 Premium Luxury,"15,458 mi.",Cadillac of Las Vegas,4.7,(297 reviews),"$39,998"
11,2018 Cadillac ATS 2.0L Turbo Luxury,"19,137 mi.",Valley Cadillac,4.7,(311 reviews),"$31,826"
12,2019 Cadillac XT4 Premium Luxury,"22,745 mi.",Lone Star Cadillac,4.3,(275 reviews),"$34,993"
13,2019 Cadillac XT5 Luxury,"38,679 mi.",Morrie's Cadillac,4.6,(657 reviews),"$39,998"
14,2019 Cadillac XT4 Sport,"18,720 mi.",Crest Auto Group,4.5,(565 reviews),"$37,800"
15,2018 Cadillac XT5 Luxury,"31,000 mi.",Parker Cadillac,4.9,(273 reviews),"$36,880"
16,2021 Cadillac XT5 Premium Luxury,"10,150 mi.",Cadillac of Naperville,4.3,(212 reviews),"$53,995"
17,2019 Cadillac XT4 Sport,"30,834 mi.",Serra Buick GMC Cadillac,4.8,(511 reviews),"$35,432"
18,2021 Cadillac XT5 Premium Luxury,"18,584 mi.",Rizza Cadillac Buick GMC,4.7,"(3,282 reviews)","$50,950"
19,2018 Cadillac XT5 Luxury,"44,311 mi.",LaFontaine Cadillac Buick GMC,4.8,"(1,788 reviews)","$29,000"
20,2019 Cadillac XT5 Luxury,"39,227 mi.",Al Serra Auto Plaza,4.8,"(1,637 reviews)","$33,500"
21,2019 Cadillac XT5 Luxury,"16,232 mi.",Long Cadillac,4.7,(33 reviews),"$42,991"
22,2019 Cadillac CTS 2.0L Turbo Luxury,"11,617 mi.",Sheehan Cadillac,4.8,(304 reviews),"$36,195"
23,2019 Cadillac CTS 2.0L Turbo Luxury,"37,934 mi.",Genesis Cadillac,4.7,(24 reviews),"$36,777"
24,2020 Cadillac XT4 Premium Luxury,"18,427 mi.",Lone Star Cadillac,4.3,(275 reviews),"$37,695"
25,2019 Cadillac XT5 Luxury,"44,840 mi.",Napleton Cadillac of Libertyville,4.7,(227 reviews),"$36,250"
26,2020 Cadillac Escalade Luxury,"47,897 mi.",Valley Cadillac,4.7,(311 reviews),"$64,551"
27,2019 Cadillac XT4 Premium Luxury,"40,825 mi.",Sewell Cadillac Grapevine,3.9,(75 reviews),"$33,995"
28,2019 Cadillac CTS 2.0L Turbo Luxury,"10,569 mi.",Sheehan Cadillac,4.8,(304 reviews),"$36,492"
29,2019 Cadillac XT5 Luxury,"34,906 mi.",Napleton Cadillac of Libertyville,4.7,(227 reviews),"$35,250"
30,2020 Cadillac XT5 Premium Luxury,"35,708 mi.",Genesis Cadillac,4.7,(24 reviews),"$39,988"
31,2019 Cadillac XT5 Luxury,"13,941 mi.",Serra Buick GMC Cadillac,4.8,(511 reviews),"$34,432"
32,2019 Cadillac XT4 Sport,"28,499 mi.","Napleton Cadillac of Northbrook, Rolls-Royce Motor Cars Northbrook, Bentley Northbrook",4.6,(284 reviews),"$36,499"
33,2020 Cadillac XT6 Premium Luxury FWD,"10,832 mi.",Ed Morse Cadillac of Tampa,4.9,"(2,801 reviews)","$50,491"
34,2021 Cadillac XT5 Premium Luxury,"37,593 mi.",Sewell Cadillac of Dallas,4.2,(89 reviews),"$42,998"
35,2019 Cadillac XT5 Luxury,"36,553 mi.",Sewell Cadillac of Dallas,4.2,(89 reviews),"$34,888"
36,2019 Cadillac XT5 Luxury,"39,736 mi.",Genesis Cadillac,4.7,(24 reviews),"$34,956"
37,2021 Cadillac XT6 Premium Luxury FWD,"22,614 mi.",Garlyn Shelton Cadillac Buick GMC,3.7,(58 reviews),"$55,000"
38,2019 Cadillac XT5 Luxury,"22,800 mi.",Sewell Cadillac,3.9,(74 reviews),"$37,986"
39,2020 Cadillac XT4 Sport,"41,063 mi.",Covert Cadillac,4.9,"(1,501 reviews)","$44,498"
40,2019 Cadillac XT5 Luxury,"30,510 mi.",Napleton Cadillac of Libertyville,4.7,(227 reviews),"$36,000"
41,2019 Cadillac XT4 Premium Luxury,"20,549 mi.",Les Stanford Chevrolet Cadillac,4.7,(772 reviews),"$35,798"
42,2021 Cadillac Escalade Premium Luxury,"20,459 mi.",Findlay Cadillac,4.7,(197 reviews),"$102,542"
