,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2021 Chrysler Pacifica Hybrid Touring L,"19,303 mi.",Lake Norman Chrysler Dodge Jeep Ram,4.8,"(2,623 reviews)","$47,000"
1,2021 Chrysler Pacifica Hybrid Touring L,"19,373 mi.",Lake Norman Chrysler Dodge Jeep Ram,4.8,"(2,623 reviews)","$47,000"
2,2020 Chrysler 300 S,"43,823 mi.",Brewbaker Dodge Chrysler Jeep,4.5,(309 reviews),"$29,995"
3,2021 Chrysler Pacifica Hybrid Touring L,"24,737 mi.",Lake Norman Chrysler Dodge Jeep Ram,4.8,"(2,623 reviews)","$47,000"
4,2020 Chrysler Voyager LXI,"64,069 mi.",Westgate Chrysler Jeep Dodge Ram,4.4,"(1,138 reviews)","$24,952"
5,2020 Chrysler 300 S,"48,834 mi.",Brewbaker Dodge Chrysler Jeep,4.5,(309 reviews),"$29,993"
6,2020 Chrysler Pacifica Limited,"30,263 mi.",LaFontaine Chrysler Dodge Jeep Ram of Walled Lake,4.9,"(6,307 reviews)","$38,999"
7,2020 Chrysler Pacifica Touring-L,"64,085 mi.","Absher-Arnold Motors, LLC",4.0,(47 reviews),"$31,195"
8,2020 Chrysler Pacifica Touring-L,"65,742 mi.",Sherman Dodge Chrysler Jeep RAM,4.1,"(1,955 reviews)","$26,977"
9,2020 Chrysler Pacifica Limited,"50,725 mi.",Taylor Chrysler Inc,4.8,(180 reviews),"$41,900"
10,2020 Chrysler Pacifica Touring-L,"39,187 mi.",South Oak Dodge Chrysler Jeep RAM,4.7,"(1,809 reviews)","$32,881"
11,2020 Chrysler Pacifica Touring-L,"68,647 mi.","Absher-Arnold Motors, LLC",4.0,(47 reviews),"$30,865"
12,2019 Chrysler Pacifica Touring-L,"22,635 mi.",Johnson Dodge Chrysler Jeep RAM,4.5,(346 reviews),"$32,995"
13,2020 Chrysler Pacifica Limited,"22,878 mi.",LaFontaine Chrysler Dodge Jeep Ram of Walled Lake,4.9,"(6,307 reviews)","$39,900"
14,2020 Chrysler Voyager LXI,"64,905 mi.",Westgate Chrysler Jeep Dodge Ram,4.4,"(1,138 reviews)","$24,952"
15,2019 Chrysler Pacifica Limited,"33,982 mi.",Golling Chrysler Dodge Jeep RAM,4.9,"(4,099 reviews)","$34,713"
16,2019 Chrysler Pacifica Touring-L,"21,051 mi.",Garden City Chrysler Jeep Dodge RAM,4.6,"(1,604 reviews)","$35,997"
17,2020 Chrysler Pacifica Limited,"14,534 mi.",Jake Sweeney Chrysler Jeep Dodge,4.6,(699 reviews),"$43,000"
18,2020 Chrysler Pacifica Limited,"45,059 mi.",Gandrud Dodge-Chrysler-Jeep-RAM,4.9,(647 reviews),"$41,990"
19,2020 Chrysler Pacifica Limited,"32,097 mi.",Huffines Chrysler Jeep Dodge RAM Lewisville,4.8,"(2,163 reviews)","$38,984"
20,2020 Chrysler Pacifica Touring-L,"19,998 mi.",South Oak Dodge Chrysler Jeep RAM,4.7,"(1,809 reviews)","$35,881"
21,2019 Chrysler Pacifica Limited,"32,903 mi.",Rochester Hills Chrysler Dodge Jeep RAM,4.6,(104 reviews),"$34,998"
22,2020 Chrysler Pacifica Touring-L,"67,483 mi.",Pinckney Chrysler Dodge Jeep RAM,4.3,(174 reviews),"$27,466"
23,2020 Chrysler Pacifica Touring,"65,946 mi.",Dodge Chrysler Jeep RAM of Winter Haven,4.4,(474 reviews),"$29,000"
24,2020 Chrysler Pacifica Touring-L,"68,874 mi.",Pinckney Chrysler Dodge Jeep RAM,4.3,(174 reviews),"$29,500"
