,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2021 FIAT 500X Trekking,"19,250 mi.",Safford Chrysler Jeep Dodge RAM Fiat of Springfield,4.5,(861 reviews),"$25,000"
1,2018 FIAT 500X Lounge,"40,031 mi.",Lansdale Chrysler Dodge Jeep Ram Fiat,3.9,(31 reviews),"$20,991"
2,2020 FIAT 124 Spider Abarth,"1,517 mi.",Lancaster Dodge RAM Fiat,3.9,(37 reviews),"$36,999"
3,2021 FIAT 500X Sport,"10,526 mi.",Lancaster Dodge RAM Fiat,3.9,(37 reviews),"$29,299"
4,2018 FIAT 500X ,"14,602 mi.",Berglund Chrysler Dodge Jeep Ram,4.3,(65 reviews),"$21,998"
5,2019 FIAT 500X ,"4,138 mi.",Berglund Chrysler Dodge Jeep Ram,4.3,(65 reviews),"$24,998"
6,2020 FIAT 500X ,"1,138 mi.",Berglund Chrysler Dodge Jeep Ram,4.3,(65 reviews),"$29,998"
7,2017 FIAT 124 Spider ,"38,587 mi.",Landmark Chrysler Dodge Jeep Ram Fiat of Atlanta,4.6,(74 reviews),"$20,597"
8,2018 FIAT 500X ,"37,909 mi.",Blackwell Chrysler Jeep Dodge RAM,4.6,(74 reviews),"$22,995"
9,2019 FIAT 500X ,"8,242 mi.",Contemporary Chrysler Dodge Jeep RAM,4.6,(537 reviews),"$23,512"
10,2020 FIAT 500X ,"17,222 mi.",Warrensburg Chrysler Jeep Dodge RAM,4.7,(41 reviews),Not Priced
11,2021 FIAT 500X ,508 mi.,Jim Shorkey Chrysler Dodge Jeep RAM Fiat Alfa Romeo of Youngstown,4.0,(18 reviews),Not Priced
12,2018 FIAT 124 Spider ,"2,935 mi.",North Point Chrysler Dodge Jeep RAM Fiat,4.8,(666 reviews),"$27,900"
13,2020 FIAT 124 Spider ,"1,075 mi.",North Point Chrysler Dodge Jeep RAM Fiat,4.8,(666 reviews),"$29,936"
14,2020 FIAT 500X ,"15,768 mi.",Ilderton Dodge Chrysler Jeep RAM,4.6,(229 reviews),"$24,991"
15,2017 FIAT 500X ,"48,175 mi.",Chrysler Dodge Jeep Ram Fiat of Morgantown,1.0,(1 review),Not Priced
16,2017 FIAT 500L ,"36,807 mi.",Hendrick Chrysler Dodge Jeep Ram FIAT of Concord,4.6,(347 reviews),"$15,900"
17,2017 FIAT 500X ,"24,986 mi.",Chrysler Dodge Jeep Ram Fiat of Morgantown,1.0,(1 review),Not Priced
18,2020 FIAT 124 Spider ,"2,308 mi.",Jim Shorkey Chrysler Dodge Jeep RAM Fiat Alfa Romeo of Youngstown,4.0,(18 reviews),Not Priced
19,2018 FIAT 500 ,"42,637 mi.",Galeana Chrysler Dodge Jeep Fiat RAM,3.4,(65 reviews),"$17,998"
20,2018 FIAT 124 Spider ,"6,563 mi.",Courtesy Chrysler Dodge Jeep Ram Breaux Bridge,4.1,(8 reviews),Not Priced
21,2017 FIAT 124 Spider ,"23,364 mi.",Galeana Chrysler Dodge Jeep Fiat RAM,3.4,(65 reviews),"$24,990"
22,2017 FIAT 124 Spider ,"1,621 mi.",Addy's Harbor Dodge Ram Fiat,3.9,(102 reviews),"$26,303"
23,2019 FIAT 500X ,"10,843 mi.",Contemporary Chrysler Dodge Jeep RAM,4.6,(537 reviews),"$24,000"
24,2018 FIAT 124 Spider ,"6,587 mi.",Mike Toler Chrysler Dodge Jeep RAM FIAT,4.9,(275 reviews),Not Priced
25,2020 FIAT 124 Spider ,"2,981 mi.",Key Chrysler Jeep Dodge RAM Inc,4.8,(403 reviews),"$26,965"
26,2019 FIAT 500L ,"21,211 mi.",Stew Hansen Chrysler Dodge Jeep Ram,4.6,(498 reviews),"$21,555"
27,2019 FIAT 500 ,"28,750 mi.",Goss Dodge Chrysler Ram Jeep,4.9,(615 reviews),"$16,149"
28,2019 FIAT 124 Spider ,"10,896 mi.",Lithia Chrysler Jeep Dodge RAM of Helena,4.5,(195 reviews),"$34,999"
29,2017 FIAT 500X ,"54,617 mi.",Herb Chambers Chrysler Dodge Jeep RAM FIAT of Millbury,4.7,"(1,004 reviews)","$17,598"
30,2017 FIAT 124 Spider ,"16,659 mi.",Chrysler Dodge Jeep Ram Fiat of Morgantown,1.0,(1 review),Not Priced
31,2016 FIAT 500X ,"25,831 mi.",Brown Daub Chrysler Jeep Dodge RAM - Easton,2.7,(6 reviews),"$17,988"
