,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2018 Ford F-150 XLT,"40,097 mi.",Fairway Ford,4.8,(910 reviews),"$40,500"
1,2021 Ford F-150 Lariat,"11,015 mi.",Tallahassee Ford Lincoln,4.3,(73 reviews),"$62,253"
2,2019 Ford Edge ST,"31,875 mi.",Santa Margarita Ford,4.8,(417 reviews),"$35,551"
3,2021 Ford F-150 Lariat,"18,926 mi.",Apple Ford Lincoln Apple Valley,4.7,"(1,607 reviews)","$64,999"
4,2019 Ford Escape Titanium,"17,597 mi.",Rod Baker Ford,4.8,"(1,288 reviews)","$30,509"
5,2020 Ford Edge ST,"34,665 mi.",Sam Pack's Five Star Ford Carrollton,4.8,"(2,390 reviews)","$41,000"
6,2019 Ford F-150 XLT,"23,836 mi.",Rod Baker Ford,4.8,"(1,288 reviews)","$42,831"
7,2021 Ford F-150 Lariat,"19,688 mi.",Tallahassee Ford Lincoln,4.3,(73 reviews),"$62,391"
8,2019 Ford Fusion Hybrid SEL,"20,414 mi.",Long McArthur Ford Lincoln,4.8,"(1,790 reviews)","$31,945"
9,2020 Ford Edge ST,"18,237 mi.",Grapevine Ford Lincoln,4.5,"(2,624 reviews)","$42,000"
10,2020 Ford Escape SEL,"10,909 mi.",Walker Ford,4.8,"(5,542 reviews)","$29,888"
11,2020 Ford Edge ST,"10,952 mi.",Corwin Ford of Tri-Cities,4.7,"(2,176 reviews)","$43,991"
12,2021 Ford F-150 Lariat,"12,878 mi.",Tallahassee Ford Lincoln,4.3,(73 reviews),"$63,602"
13,2019 Ford Edge Titanium,"17,620 mi.",Hines Park Ford,4.7,(633 reviews),"$34,995"
14,2019 Ford Edge Titanium,"22,290 mi.",Joe Machens Capital City Ford,4.8,"(6,477 reviews)","$34,991"
15,2019 Ford Escape Titanium,"10,390 mi.",Joe Machens Ford Lincoln,4.8,"(1,273 reviews)","$28,891"
16,2019 Ford F-150 XLT,"33,896 mi.",Earnhardt Ford,4.4,(565 reviews),"$48,977"
17,2020 Ford Edge ST,"38,756 mi.",Varsity Ford,4.9,"(2,266 reviews)","$39,482"
18,2017 Ford F-350 King Ranch,"87,630 mi.",Stokes Hodges Ford,3.8,(32 reviews),"$67,492"
19,2019 Ford Edge Titanium,"54,683 mi.",Varsity Ford,4.9,"(2,266 reviews)","$30,455"
20,2020 Ford Edge Titanium,"64,439 mi.",Corwin Ford of Springfield,4.6,(734 reviews),"$30,321"
21,2021 Ford Mustang Mach-E GT,"8,948 mi.",Apple Ford Lincoln,4.5,(914 reviews),"$68,000"
22,2020 Ford Escape SEL,"19,883 mi.",Matthews-Currie Ford,4.6,(529 reviews),"$30,359"
23,2019 Ford Escape Titanium,"24,580 mi.",Bill Brown Ford,4.7,(771 reviews),"$27,999"
24,2019 Ford Edge SEL,"60,638 mi.",Lake Ford,4.7,"(4,024 reviews)","$27,943"
25,2020 Ford EcoSport SE,"16,122 mi.",SouthWest Ford,3.7,(13 reviews),"$21,998"
26,2021 Ford EcoSport SE,"17,332 mi.",SouthWest Ford,3.7,(13 reviews),"$26,499"
27,2022 Ford F-350 King Ranch,"20,049 mi.",Rochester Ford,4.6,(284 reviews),"$90,998"
28,2019 Ford F-150 Lariat,"21,854 mi.",Gordie Boucher Ford of Menomonee Falls,4.7,"(1,136 reviews)","$51,213"
29,2020 Ford Edge SEL,"44,406 mi.",San Tan Ford,4.6,"(1,951 reviews)","$28,724"
30,2021 Ford Expedition LIMITED,"12,879 mi.",Larry H. Miller Super Ford Salt Lake City,4.3,(466 reviews),"$69,838"
31,2020 Ford Edge SEL,"14,185 mi.",Larry H. Miller Ford Mesa,4.5,(681 reviews),"$33,444"
32,2022 Ford Mustang Mach-E Select,"14,241 mi.",Sheehy Ford Lincoln of Gaithersburg,4.9,"(3,125 reviews)","$55,000"
33,2019 Ford Escape Titanium,"16,393 mi.",AutoFair Ford of Haverhill,4.6,(953 reviews),"$29,788"
34,2020 Ford F-150 Lariat,"61,319 mi.",Camelback Ford Lincoln,4.3,"(1,253 reviews)","$39,399"
35,2019 Ford F-150 Lariat,"18,621 mi.",Shaker Family Ford Lincoln,4.9,"(4,050 reviews)","$51,999"
36,2019 Ford Flex SEL,"16,994 mi.",Royal Oak Ford,4.8,"(1,829 reviews)","$32,400"
37,2021 Ford F-150 XL,"15,748 mi.",Sarat Ford Lincoln,4.5,(500 reviews),"$58,990"
38,2016 Ford Escape Titanium,"33,915 mi.",Byerly Ford,4.8,(853 reviews),"$22,000"
39,2021 Ford F-150 Lariat,"18,788 mi.",Lithia Ford Lincoln of Grand Forks,4.8,(207 reviews),"$58,936"
40,2016 Ford Fusion SE,"64,951 mi.",Sarchione Ford of Waynesburg,5.0,(927 reviews),"$17,900"
41,2018 Ford F-150 Lariat,"50,296 mi.",Larry H. Miller Ford Draper,4.3,(776 reviews),"$45,402"
