,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2020 GMC Yukon Denali,"29,976 mi.",Fitzgerald Buick GMC Rockville,4.5,(112 reviews),"$66,227"
1,2020 GMC Terrain SLE,"10,055 mi.",LaFontaine Cadillac Buick GMC,4.8,"(1,788 reviews)","$28,000"
2,2020 GMC Yukon Denali,"23,632 mi.",Fitzgerald Buick GMC Rockville,4.5,(112 reviews),"$67,977"
3,2020 GMC Acadia Denali,"12,192 mi.",WILKINS BUICK-GMC,4.7,(685 reviews),"$44,551"
4,2021 GMC Acadia Denali,"14,105 mi.",Anderson of Hunt Valley,3.9,(32 reviews),"$47,855"
5,2019 GMC Terrain SLT,"13,620 mi.",Sellers Buick GMC,4.9,"(1,079 reviews)","$30,331"
6,2021 GMC Sierra 1500 Denali,"22,284 mi.",Sommer's Automotive,4.9,"(1,676 reviews)","$65,990"
7,2018 GMC Sierra 1500 SLT,"21,043 mi.",Sheehy Buick GMC Fredericksburg,3.5,(39 reviews),"$45,216"
8,2020 GMC Terrain SLT,"14,689 mi.",Vyletel Buick - GMC - Volkswagen,3.9,(41 reviews),"$29,995"
9,2020 GMC Terrain SLE,"18,737 mi.",Suburban Buick GMC of Troy,4.7,(24 reviews),"$28,900"
10,2020 GMC Yukon SLT,"65,834 mi.",McKinney Buick GMC,4.6,"(1,095 reviews)","$45,900"
11,2021 GMC Sierra 1500 AT4,"17,849 mi.",Beck & Masten North,4.6,"(1,243 reviews)","$59,982"
12,2019 GMC Terrain Denali,"23,431 mi.",Bergey's Buick GMC,4.7,(223 reviews),"$34,595"
13,2020 GMC Yukon Denali,"45,094 mi.",Hiley Buick GMC of Fort Worth,4.1,(287 reviews),"$61,948"
14,2021 GMC Yukon Denali,"22,973 mi.",Beck & Masten North,4.6,"(1,243 reviews)","$81,935"
15,2019 GMC Acadia SLT-2,"34,399 mi.",Vandergriff Chevrolet,4.8,(840 reviews),"$32,910"
16,2019 GMC Terrain SLE,"14,348 mi.",Moran Buick GMC,4.3,(40 reviews),"$28,500"
17,2018 GMC Sierra 2500 Denali,"57,344 mi.",Richardson Motors,4.7,(270 reviews),"$59,982"
18,2021 GMC Yukon Denali,"19,336 mi.",Beck & Masten Buick GMC South,4.5,"(2,206 reviews)","$82,995"
19,2021 GMC Yukon XL Denali,"32,047 mi.",Covert Buick GMC Austin,4.7,(913 reviews),"$83,900"
20,2019 GMC Terrain Denali,"48,985 mi.",Bergey's Buick GMC,4.7,(223 reviews),"$31,795"
21,2021 GMC Sierra 1500 AT4,"18,214 mi.","Phillips Auto Group of Bradley, Inc.",4.9,"(1,828 reviews)","$56,290"
22,2020 GMC Terrain SLE,"17,451 mi.",Sellers Buick GMC,4.9,"(1,079 reviews)","$27,537"
23,2020 GMC Acadia SLT,"36,269 mi.",Gateway Chevrolet,4.4,"(4,916 reviews)","$33,900"
24,2020 GMC Yukon Denali,"13,902 mi.",Classic of Cleburne Chevrolet/Buick/GMC,4.9,(454 reviews),"$68,500"
25,2019 GMC Terrain SLT,"18,916 mi.",Lunghamer Buick-GMC Inc.,4.1,(219 reviews),"$26,501"
26,2022 GMC Sierra 2500 Denali,"15,701 mi.",Antwerpen Chevrolet,5.0,(6 reviews),"$84,395"
27,2021 GMC Sierra 1500 Denali,"18,581 mi.",Beck & Masten North,4.6,"(1,243 reviews)","$62,461"
28,2019 GMC Terrain SLE,"34,351 mi.",Gordon Chevrolet,4.7,(730 reviews),"$24,660"
29,2020 GMC Terrain SLT,"10,788 mi.",Vyletel Buick - GMC - Volkswagen,3.9,(41 reviews),"$33,995"
30,2021 GMC Sierra 1500 SLT,"22,489 mi.","Thompson Buick, GMC, Cadillac",4.8,(644 reviews),"$57,366"
31,2019 GMC Sierra 1500 Limited SLE,"39,063 mi.",LaFontaine Cadillac Buick GMC,4.8,"(1,788 reviews)","$34,000"
32,2020 GMC Yukon SLT,"66,473 mi.",Love Buick GMC,4.3,(21 reviews),"$44,895"
33,2019 GMC Acadia Denali,"16,880 mi.",Bob Jeannotte Buick GMC,4.0,(76 reviews),"$41,595"
34,2019 GMC Terrain SLT,"24,244 mi.",Sellers Buick GMC,4.9,"(1,079 reviews)","$29,234"
35,2018 GMC Sierra 2500 Denali,"33,183 mi.",Covert Buick GMC Austin,4.7,(913 reviews),"$68,900"
36,2021 GMC Sierra 1500 SLT,"10,372 mi.","Thompson Buick, GMC, Cadillac",4.8,(644 reviews),"$57,899"
37,2019 GMC Yukon XL SLT,"56,012 mi.",Yates Buick GMC,4.7,(507 reviews),"$50,995"
38,2019 GMC Terrain SLE,"31,755 mi.",Suburban Buick GMC of Ferndale,4.7,(312 reviews),"$25,000"
39,2021 GMC Yukon Denali,"40,110 mi.",McKinney Buick GMC,4.6,"(1,095 reviews)","$87,900"
40,2021 GMC Sierra 2500 Denali,"24,877 mi.",Seth Wadley Auto Group,4.4,(306 reviews),"$83,900"
41,2019 GMC Terrain SLE,"44,098 mi.",Key Chevrolet Buick GMC Cadillac of Burlington,4.4,(166 reviews),"$25,239"
42,2021 GMC Yukon Denali,"26,763 mi.",Superior Chevrolet of Conway,4.6,(251 reviews),"$82,815"
43,2019 GMC Terrain SLE,"34,475 mi.",Sellers Buick GMC,4.9,"(1,079 reviews)","$26,431"
44,2020 GMC Sierra 2500 Denali,"39,487 mi.",Beck & Masten North,4.6,"(1,243 reviews)","$76,795"
45,2020 GMC Yukon SLT,"59,858 mi.",Love Buick GMC,4.3,(21 reviews),"$47,895"
46,2020 GMC Terrain SLT,"24,946 mi.",Bob Jeannotte Buick GMC,4.0,(76 reviews),"$31,995"
47,2019 GMC Acadia SLE-2,"36,905 mi.",East Hills Chevrolet of Freeport,4.8,"(1,582 reviews)","$30,995"
48,2019 GMC Terrain Denali,"24,752 mi.",Les Stanford Chevrolet Cadillac,4.7,(772 reviews),"$34,752"
49,2019 GMC Canyon SLE,"23,152 mi.",Yemm Chevrolet Buick GMC Chrysler Dodge Jeep Ram,4.5,(68 reviews),"$40,454"
50,2019 GMC Terrain SLT,"30,181 mi.",Moran Buick GMC,4.3,(40 reviews),"$29,100"
51,2021 GMC Sierra 1500 Denali,"31,949 mi.",El Dorado Chevrolet,3.2,(164 reviews),"$63,998"
52,2019 GMC Sierra 1500 Limited Base,"24,035 mi.",Medina Auto Mall,3.7,(242 reviews),"$34,333"
53,2019 GMC Yukon Denali,"9,465 mi.",Eddy's Chevrolet Cadillac,3.6,(203 reviews),"$70,981"
54,2021 GMC Sierra 1500 AT4,"13,628 mi.",Fitzgerald Buick GMC Rockville,4.5,(112 reviews),"$61,027"
55,2020 GMC Acadia SLE,"13,843 mi.",Moran Buick GMC,4.3,(40 reviews),"$31,700"
56,2019 GMC Terrain SLT,"14,062 mi.",Jim Causley Buick GMC,4.9,"(1,031 reviews)","$31,895"
57,2021 GMC Sierra 1500 AT4,"42,623 mi.",Ettleson Buick GMC,4.6,"(1,017 reviews)","$59,992"
58,2021 GMC Terrain SLE,"12,601 mi.",Sterling McCall Buick GMC,4.3,(414 reviews),"$29,999"
59,2021 GMC Sierra 2500 Denali,"20,262 mi.",McKinney Buick GMC,4.6,"(1,095 reviews)","$81,000"
60,2020 GMC Terrain SLT,"29,526 mi.",Chevrolet Buick GMC of Murfreesboro,4.7,"(1,159 reviews)","$35,811"
61,2021 GMC Acadia Denali,"20,076 mi.",Luther Brookdale Chevrolet,4.7,"(1,283 reviews)","$50,995"
62,2021 GMC Sierra 1500 AT4,"12,264 mi.",McConnell Automotive,4.5,(24 reviews),"$64,500"
63,2020 GMC Yukon Denali,"30,447 mi.",Hiley Buick GMC of Fort Worth,4.1,(287 reviews),"$62,780"
64,2019 GMC Terrain SLT,"40,566 mi.",Serra Buick GMC Cadillac,4.8,(511 reviews),"$25,987"
65,2020 GMC Sierra 1500 SLT,"25,261 mi.",Steves Chevrolet Of Chowchilla,5.0,(26 reviews),"$53,995"
66,2019 GMC Sierra 1500 AT4,"69,604 mi.",AutoNation Chevrolet Mesa,4.4,(963 reviews),"$50,998"
67,2019 GMC Terrain SLT,"46,165 mi.",Sellers Buick GMC,4.9,"(1,079 reviews)","$29,336"
68,2020 GMC Yukon SLT,"72,562 mi.",John Thornton Chevrolet,4.7,"(2,463 reviews)","$41,424"
69,2021 GMC Acadia Denali,"25,904 mi.",Luther Brookdale Chevrolet,4.7,"(1,283 reviews)","$49,995"
70,2019 GMC Terrain SLE,"49,148 mi.",Nucar Chevrolet of New Castle,4.7,(584 reviews),"$26,887"
71,2019 GMC Acadia SLT-1,"47,499 mi.","Wakefield, Buick, GMC, Cadillac",4.8,(21 reviews),"$35,590"
72,2019 GMC Sierra 1500 Limited SLE,"19,916 mi.",LaFontaine Cadillac Buick GMC,4.8,"(1,788 reviews)","$35,800"
73,2019 GMC Terrain Denali,"14,538 mi.",Sellers Buick GMC,4.9,"(1,079 reviews)","$34,990"
74,2022 GMC Sierra 2500 AT4,"4,842 mi.",McKinney Buick GMC,4.6,"(1,095 reviews)","$69,900"
75,2021 GMC Sierra 1500 SLT,"16,901 mi.",Classic Chevrolet,3.8,(199 reviews),"$56,000"
76,2022 GMC Sierra 1500 Elevation,"8,670 mi.",Bruner Motors Inc.,4.3,(28 reviews),"$58,495"
77,2019 GMC Canyon Denali,"16,968 mi.",Vyletel Buick - GMC - Volkswagen,3.9,(41 reviews),"$38,995"
78,2020 GMC Terrain SLE,"26,879 mi.",Suburban Buick GMC of Troy,4.7,(24 reviews),"$28,900"
79,2019 GMC Acadia Denali,"24,569 mi.",LaFontaine Cadillac Buick GMC,4.8,"(1,788 reviews)","$40,000"
80,2019 GMC Terrain SLT,"27,454 mi.",Sellers Buick GMC,4.9,"(1,079 reviews)","$29,783"
81,2018 GMC Sierra 1500 SLT,"19,772 mi.",Bayer Motor Company,4.4,(33 reviews),"$49,977"
82,2019 GMC Terrain Denali,"39,482 mi.",Tom Gibbs Chevrolet,4.5,(229 reviews),"$35,995"
83,2021 GMC Yukon AT4,"13,490 mi.",Classic Chevrolet Inc,4.4,(385 reviews),"$82,372"
84,2019 GMC Sierra 1500 Limited SLE,"32,860 mi.",Jim Causley Buick GMC,4.9,"(1,031 reviews)","$36,895"
85,2020 GMC Terrain Denali,"47,365 mi.",Luther Hudson Chevrolet GMC,4.8,"(3,595 reviews)","$35,976"
86,2018 GMC Sierra 1500 SLT,"55,624 mi.",Mac Haik Chevrolet,4.6,(839 reviews),"$39,392"
87,2017 GMC Sierra 1500 Denali,"48,800 mi.",Dellen Chevrolet Buick GMC,4.8,"(1,291 reviews)","$39,833"
88,2021 GMC Sierra 1500 Denali,"49,481 mi.",Beck & Masten Buick GMC South,4.5,"(2,206 reviews)","$62,995"
89,2019 GMC Terrain Denali,"32,409 mi.",Jim Causley Buick GMC,4.9,"(1,031 reviews)","$32,895"
90,2019 GMC Acadia SLT-1,"31,960 mi.",Ed Martin Buick GMC,4.7,(746 reviews),"$33,998"
91,2019 GMC Acadia Denali,"36,002 mi.",Sellers Buick GMC,4.9,"(1,079 reviews)","$38,638"
92,2019 GMC Acadia Denali,"18,144 mi.",Luther Brookdale Chevrolet,4.7,"(1,283 reviews)","$41,995"
93,2018 GMC Yukon Denali,"50,487 mi.",Beck & Masten Buick GMC South,4.5,"(2,206 reviews)","$54,795"
94,2019 GMC Sierra 1500 SLE,"38,594 mi.",Central Buick GMC,4.4,(194 reviews),"$39,999"
95,2021 GMC Sierra 1500 SLT,"16,550 mi.",Beck & Masten Buick GMC South,4.5,"(2,206 reviews)","$58,969"
96,2019 GMC Terrain SLT,"17,485 mi.",Sellers Buick GMC,4.9,"(1,079 reviews)","$29,167"
97,2020 GMC Acadia SLT,"62,476 mi.",Gateway Chevrolet,4.4,"(4,916 reviews)","$34,900"
98,2018 GMC Sierra 1500 SLT,"69,718 mi.",Beck & Masten North,4.6,"(1,243 reviews)","$35,950"
99,2019 GMC Terrain SLE,"13,390 mi.",Vyletel Buick - GMC - Volkswagen,3.9,(41 reviews),"$24,995"
100,2019 GMC Acadia SLE-2,"47,146 mi.",Medina Auto Mall,3.7,(242 reviews),"$28,322"
101,2019 GMC Terrain SLE,"19,260 mi.",Ettleson Buick GMC,4.6,"(1,017 reviews)","$27,583"
102,2019 GMC Acadia Denali,"55,752 mi.",Serra - Whelan Chevrolet,4.8,(542 reviews),"$35,988"
103,2021 GMC Sierra 1500 AT4,849 mi.,John Miles Chevrolet Buick GMC,3.9,(90 reviews),Not Priced
104,2021 GMC Yukon Denali,"19,710 mi.",Haggerty Buick GMC Inc,4.3,(72 reviews),"$84,733"
105,2020 GMC Yukon SLT,"53,335 mi.",Love Buick GMC,4.3,(21 reviews),"$48,895"
106,2019 GMC Terrain SLE,"24,227 mi.",LaFontaine Cadillac Buick GMC,4.8,"(1,788 reviews)","$27,500"
107,2019 GMC Terrain SLE,"19,672 mi.",Sunrise Chevrolet of Glendale Heights,4.9,"(3,130 reviews)","$26,986"
108,2019 GMC Canyon Denali,"30,245 mi.",Serra - Whelan Chevrolet,4.8,(542 reviews),"$35,488"
109,2018 GMC Yukon SLE,"46,239 mi.",LaFontaine Cadillac Buick GMC,4.8,"(1,788 reviews)","$42,800"
110,2019 GMC Sierra 1500 SLT,"38,515 mi.",Ferguson Superstore,4.9,"(5,656 reviews)","$47,500"
111,2019 GMC Acadia SLT-1,"59,440 mi.",McKinney Buick GMC,4.6,"(1,095 reviews)","$34,800"
112,2019 GMC Sierra 1500 Limited Base,"22,815 mi.",Joyce Buick GMC,4.9,(223 reviews),"$35,900"
113,2021 GMC Sierra 1500 SLT,"16,997 mi.",Classic Chevrolet Sugar Land,4.6,"(1,143 reviews)","$54,993"
114,2020 GMC Terrain SLT,"37,599 mi.",Ken Ganley Buick GMC Sandusky,4.8,(353 reviews),"$30,989"
115,2017 GMC Sierra 1500 SLT,"37,232 mi.",Holz Motors,4.8,(425 reviews),"$41,528"
116,2019 GMC Terrain SLE,"26,524 mi.",Vyletel Buick - GMC - Volkswagen,3.9,(41 reviews),"$24,995"
