,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 Mercedes-Benz AMG C 43 Base 4MATIC,"36,117 mi.",Mercedes-Benz of St Louis,4.6,(185 reviews),"$53,785"
1,2019 Mercedes-Benz GLS 450 Base 4MATIC,"31,714 mi.",Mercedes-Benz of Silver Spring,4.8,"(1,660 reviews)","$58,900"
2,2019 Mercedes-Benz GLS 450 Base 4MATIC,"26,444 mi.",Mercedes-Benz of Columbia,4.9,(906 reviews),"$59,999"
3,2021 Mercedes-Benz E-Class E 350,"18,182 mi.",Mercedes-Benz of San Jose,4.6,(676 reviews),"$52,983"
4,2021 Mercedes-Benz AMG GLE 53 Base,"7,474 mi.",Mercedes Benz of Hoffman Estates,4.7,"(1,118 reviews)","$100,999"
5,2020 Mercedes-Benz GLC 300 Base,"16,430 mi.",Mercedes-Benz of Atlanta Northeast,4.8,"(1,888 reviews)","$47,771"
6,2021 Mercedes-Benz GLE 350 Base,"18,110 mi.",Mercedes-Benz of Hilton Head,4.6,(208 reviews),"$67,900"
7,2022 Mercedes-Benz GLE 350 Base 4MATIC,734 mi.,Mercedes Benz of Hoffman Estates,4.7,"(1,118 reviews)","$72,999"
8,2019 Mercedes-Benz GLS 450 Base 4MATIC,"40,895 mi.",Motor Werks - Barrington Auto Mall,4.8,"(4,907 reviews)","$54,000"
9,2019 Mercedes-Benz E-Class E 300,"35,330 mi.",Mercedes-Benz of Calabasas,4.6,(906 reviews),"$39,999"
10,2018 Mercedes-Benz G 550 4x4 Squared Base,"37,376 mi.",Mercedes-Benz of Houston North,4.5,"(1,370 reviews)","$199,999"
11,2019 Mercedes-Benz GLA 250 Base 4MATIC,"12,717 mi.",Silver Star Motors,4.6,(686 reviews),"$33,355"
12,2021 Mercedes-Benz GLE 350 Base,"15,240 mi.",Mercedes-Benz of Birmingham,4.9,(818 reviews),"$68,491"
13,2021 Mercedes-Benz GLC 300 Base 4MATIC,"15,010 mi.",Mercedes-Benz of San Francisco / Smart Center San Francisco,4.0,(60 reviews),"$39,994"
14,2018 Mercedes-Benz GLE 350 Base,"45,229 mi.",Mercedes-Benz of Mt. Pleasant,4.7,(57 reviews),"$41,991"
15,2020 Mercedes-Benz GLE 450 AWD 4MATIC,"24,900 mi.",Mercedes-Benz of Wesley Chapel,4.5,(629 reviews),"$60,988"
16,2019 Mercedes-Benz GLC 300 4MATIC Coupe,"18,471 mi.",Mercedes-Benz of West Houston,3.7,(31 reviews),"$52,990"
17,2021 Mercedes-Benz GLE 350 Base 4MATIC,"14,348 mi.",Mercedes-Benz of Easton,4.7,(672 reviews),"$59,983"
18,2020 Mercedes-Benz CLA 250 Base,"13,969 mi.",Mercedes-Benz of Pembroke Pines,4.6,"(1,144 reviews)","$38,952"
19,2020 Mercedes-Benz E-Class E 450,"15,695 mi.",Mercedes-Benz of South Orlando,4.7,"(1,252 reviews)","$65,538"
20,2019 Mercedes-Benz C-Class C 300,"19,806 mi.",Mercedes-Benz of San Francisco / Smart Center San Francisco,4.0,(60 reviews),"$31,431"
21,2022 Mercedes-Benz GLE 450 AWD 4MATIC,"2,278 mi.",Mercedes Benz of Hoffman Estates,4.7,"(1,118 reviews)","$92,999"
22,2018 Mercedes-Benz C-Class C 300,"38,685 mi.",Mercedes-Benz Of Tampa,4.7,"(3,487 reviews)","$29,998"
23,2019 Mercedes-Benz GLA 250 4MATIC,"18,657 mi.",Mercedes-Benz of Westwood,4.5,(428 reviews),"$33,845"
24,2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"34,717 mi.",Mercedes-Benz of Rochester,4.7,(120 reviews),"$67,538"
25,2019 Mercedes-Benz AMG GLE 63 S-Model 4MATIC,"11,853 mi.",Mercedes-Benz of Stevens Creek,4.7,"(1,694 reviews)","$89,471"
26,2020 Mercedes-Benz GLE 350 Base 4MATIC,"24,749 mi.",Mercedes-Benz of Chesterfield,4.4,(99 reviews),"$55,705"
27,2019 Mercedes-Benz AMG C 43 Base 4MATIC,"42,690 mi.",Mercedes-Benz of Naperville,4.7,(674 reviews),"$47,992"
28,2019 Mercedes-Benz C-Class C 300,"17,488 mi.",Mercedes-Benz of Fort Lauderdale,4.6,"(1,006 reviews)","$41,990"
29,2021 Mercedes-Benz GLB 250 4MATIC,"17,932 mi.",Mercedes-Benz of Westwood,4.5,(428 reviews),"$44,623"
30,2021 Mercedes-Benz C-Class C 300,"17,079 mi.",Mercedes-Benz of Buckhead,4.6,(922 reviews),"$40,000"
31,2017 Mercedes-Benz AMG G 63 Base,"47,204 mi.",Mercedes-Benz of Austin,4.8,"(1,257 reviews)","$118,999"
32,2021 Mercedes-Benz GLB 250 Base 4MATIC,"10,613 mi.",Mercedes-Benz of Burlington,4.7,(263 reviews),"$42,992"
33,2021 Mercedes-Benz GLB 250 Base,"10,210 mi.",Mercedes-Benz of Arrowhead,4.5,(232 reviews),"$48,985"
34,2017 Mercedes-Benz C-Class C 300 4MATIC,"39,752 mi.",Feldmann Imports,4.8,(631 reviews),"$34,065"
35,2021 Mercedes-Benz GLE 350 Base 4MATIC,"12,391 mi.",Mercedes-Benz of St. Charles,4.8,(563 reviews),"$62,893"
36,2020 Mercedes-Benz CLA 250 Base,"20,229 mi.",Fletcher Jones Motorcars,4.8,"(5,267 reviews)","$41,894"
37,2020 Mercedes-Benz GLE 350 Base 4MATIC,"20,857 mi.",Mercedes-Benz of Owings Mills,4.9,"(2,117 reviews)","$57,990"
38,2020 Mercedes-Benz GLC 300 Base 4MATIC,"27,145 mi.",Mercedes-Benz of Nanuet,4.9,(243 reviews),"$40,598"
39,2020 Mercedes-Benz GLC 300 Base 4MATIC,"11,090 mi.",Mercedes-Benz of Santa Rosa,4.2,(29 reviews),"$41,590"
40,2020 Mercedes-Benz GLC 300 Base 4MATIC,"14,880 mi.",Autobahn Motors,4.7,(928 reviews),"$37,496"
41,2021 Mercedes-Benz AMG GLE 53 Base,"13,685 mi.",Mercedes-Benz of Plano,4.6,"(1,616 reviews)","$100,750"
42,2021 Mercedes-Benz GLC 300 Base 4MATIC,"12,136 mi.",Fletcher Jones Motorcars of Fremont,4.9,"(1,183 reviews)","$41,383"
43,2021 Mercedes-Benz E-Class E 350,"15,488 mi.",Mercedes-Benz of Hilton Head,4.6,(208 reviews),"$62,989"
44,2018 Mercedes-Benz C-Class C 300,"48,047 mi.",Mercedes-Benz of West Houston,3.7,(31 reviews),"$30,990"
45,2018 Mercedes-Benz E-Class E 300,"32,728 mi.",Mercedes-Benz of Austin,4.8,"(1,257 reviews)","$41,999"
46,2020 Mercedes-Benz G-Class G 550 4MATIC,"22,340 mi.",Mercedes-Benz of Easton,4.7,(672 reviews),"$167,830"
47,2020 Mercedes-Benz S-Class S 450,"24,377 mi.",Mercedes-Benz of Houston North,4.5,"(1,370 reviews)","$70,495"
48,2020 Mercedes-Benz S-Class S 560,"23,954 mi.",Mercedes-Benz of Birmingham,4.9,(818 reviews),"$80,998"
49,2020 Mercedes-Benz C-Class C 300 4MATIC,"16,149 mi.",Mercedes-Benz of Naperville,4.7,(674 reviews),"$40,492"
50,2021 Mercedes-Benz AMG GLE 53 Base,"8,189 mi.",Mercedes-Benz of Atlanta Northeast,4.8,"(1,888 reviews)","$95,998"
51,2020 Mercedes-Benz GLE 350 Base 4MATIC,"11,344 mi.",Mercedes-Benz of Stevens Creek,4.7,"(1,694 reviews)","$57,997"
52,2018 Mercedes-Benz GLE 350 Base 4MATIC,"36,765 mi.",Morrie's Mercedes Benz of St. Paul,4.7,(256 reviews),"$42,967"
53,2017 Mercedes-Benz GLC 300 Base 4MATIC,"47,622 mi.",Mercedes-Benz of San Francisco / Smart Center San Francisco,4.0,(60 reviews),"$29,232"
54,2017 Mercedes-Benz E-Class E 300 Luxury,"42,308 mi.",Mercedes-Benz of West Houston,3.7,(31 reviews),"$36,491"
55,2020 Mercedes-Benz E-Class E 450 4MATIC,"19,150 mi.",Mercedes-Benz of Atlanta Northeast,4.8,"(1,888 reviews)","$59,687"
56,2019 Mercedes-Benz GLS 450 Base 4MATIC,"42,823 mi.",Autohaus on Edens,4.7,"(1,946 reviews)","$53,928"
57,2020 Mercedes-Benz GLE 450 AWD 4MATIC,"39,682 mi.",Mercedes-Benz of Stevens Creek,4.7,"(1,694 reviews)","$59,963"
58,2019 Mercedes-Benz GLS 450 Base 4MATIC,"35,958 mi.",Mercedes-Benz of Foothill Ranch,4.7,(595 reviews),"$52,400"
59,2020 Mercedes-Benz GLC 300 Base,"17,963 mi.",Star Motor Cars,3.8,(56 reviews),"$43,000"
60,2021 Mercedes-Benz G-Class G 550 4MATIC,"34,772 mi.",Mercedes-Benz Of Hagerstown,4.9,"(2,817 reviews)","$172,997"
61,2021 Mercedes-Benz GLE 350 Base,"13,803 mi.",Mercedes-Benz of Pembroke Pines,4.6,"(1,144 reviews)","$63,999"
62,2021 Mercedes-Benz S-Class S 580 4MATIC,"10,545 mi.",Euro Motorcars Devon,4.6,(307 reviews),"$119,990"
63,2020 Mercedes-Benz GLC 300 Base 4MATIC,"26,471 mi.","Mercedes-Benz Manhattan, Inc.",4.5,(457 reviews),"$41,900"
64,2020 Mercedes-Benz C-Class C 300,"21,250 mi.",Mercedes-Benz of San Francisco / Smart Center San Francisco,4.0,(60 reviews),"$51,368"
65,2019 Mercedes-Benz GLS 450 4MATIC,"29,487 mi.",Mercedes-Benz of Westwood,4.5,(428 reviews),"$55,555"
66,2021 Mercedes-Benz GLE 350 Base 4MATIC,"18,482 mi.",Mercedes-Benz of Chicago,4.7,"(1,171 reviews)","$68,883"
67,2018 Mercedes-Benz C-Class C 300,"68,875 mi.",Mercedes-Benz of Coconut Creek,4.6,"(1,042 reviews)","$25,995"
68,2020 Mercedes-Benz GLE 450 AWD 4MATIC,"11,910 mi.",Autobahn Motors,4.7,(928 reviews),"$60,997"
69,2019 Mercedes-Benz C-Class C 300 4MATIC,"33,971 mi.",Mercedes-Benz of Fort Lauderdale,4.6,"(1,006 reviews)","$34,995"
70,2020 Mercedes-Benz C-Class C 300 4MATIC,"17,017 mi.",Mercedes-Benz of White Plains,4.9,"(1,638 reviews)","$46,151"
71,2020 Mercedes-Benz GLE 350 Base 4MATIC,"54,179 mi.",Mercedes-Benz Of Bedford,4.7,(469 reviews),"$48,994"
72,2021 Mercedes-Benz AMG GLC 43 Base 4MATIC,"16,675 mi.",Mercedes-Benz of West Houston,3.7,(31 reviews),"$68,990"
73,2020 Mercedes-Benz GLC 300 Base 4MATIC,"20,727 mi.",Mercedes-Benz of Westmont,4.6,(823 reviews),"$43,677"
74,2019 Mercedes-Benz C-Class C 300 4MATIC,"10,877 mi.",Euro Motorcars Devon,4.6,(307 reviews),"$38,972"
75,2021 Mercedes-Benz GLB 250 Base 4MATIC,"16,964 mi.",Mercedes-Benz of San Jose,4.6,(676 reviews),"$39,963"
76,2019 Mercedes-Benz GLS 450 Base 4MATIC,"37,512 mi.",Mercedes-Benz of Coconut Creek,4.6,"(1,042 reviews)","$52,992"
77,2018 Mercedes-Benz GLE 350 Base 4MATIC,"45,947 mi.",Mercedes-Benz of Stevens Creek,4.7,"(1,694 reviews)","$37,997"
78,2020 Mercedes-Benz GLC 300 4MATIC Coupe,"13,676 mi.",Mercedes-Benz of South Bay,4.6,"(1,343 reviews)","$56,974"
79,2021 Mercedes-Benz GLE 350 Base 4MATIC,"15,579 mi.",Mercedes-Benz of Easton,4.7,(672 reviews),"$60,904"
80,2020 Mercedes-Benz CLA 250 Base,"27,590 mi.",Mercedes-Benz of Pleasanton,2.5,(55 reviews),"$36,985"
81,2020 Mercedes-Benz GLE 350 Base 4MATIC,"38,360 mi.",Mercedes-Benz of White Plains,4.9,"(1,638 reviews)","$53,120"
82,2021 Mercedes-Benz C-Class C 300,"11,126 mi.",Mercedes-Benz of Arrowhead,4.5,(232 reviews),"$40,985"
83,2021 Mercedes-Benz C-Class C 300,"12,358 mi.",Mercedes-Benz of Arrowhead,4.5,(232 reviews),"$39,985"
84,2019 Mercedes-Benz GLC 300 Base 4MATIC,"37,936 mi.",Napleton Autowerks Schererville,4.7,(586 reviews),"$38,648"
85,2020 Mercedes-Benz C-Class C 300 4MATIC,"16,899 mi.","Mercedes-Benz Manhattan, Inc.",4.5,(457 reviews),"$39,900"
86,2021 Mercedes-Benz E-Class E 350,"17,437 mi.",Mercedes-Benz of San Jose,4.6,(676 reviews),"$53,955"
87,2019 Mercedes-Benz GLA 250 Base 4MATIC,"15,135 mi.",Mercedes-Benz of Fort Washington,4.6,"(2,380 reviews)","$35,350"
88,2020 Mercedes-Benz GLA 250 Base,"10,900 mi.",Mercedes-Benz of South Bay,4.6,"(1,343 reviews)","$34,998"
89,2019 Mercedes-Benz GLS 450 Base 4MATIC,"50,960 mi.",Mercedes-Benz of Rochester,4.7,(120 reviews),"$56,890"
90,2018 Mercedes-Benz GLE 350 Base 4MATIC,"24,223 mi.",Mercedes-Benz of Asheville,4.5,(160 reviews),"$45,988"
91,2021 Mercedes-Benz GLC 300 Base 4MATIC,"12,261 mi.",Mercedes-Benz of San Francisco / Smart Center San Francisco,4.0,(60 reviews),"$43,797"
92,2021 Mercedes-Benz GLB 250 Base,"10,541 mi.",Mercedes-Benz of Birmingham,4.9,(818 reviews),"$46,998"
93,2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"33,126 mi.",Mercedes-Benz of Silver Spring,4.8,"(1,660 reviews)","$70,900"
94,2022 Mercedes-Benz GLE 350 Base,"13,226 mi.",Mercedes-Benz of Birmingham,4.9,(818 reviews),"$67,994"
95,2022 Mercedes-Benz GLE 350 Base,"7,479 mi.",Mercedes-Benz of Birmingham,4.9,(818 reviews),"$68,855"
96,2021 Mercedes-Benz C-Class C 300,"14,999 mi.",Mercedes-Benz of Birmingham,4.9,(818 reviews),"$44,786"
97,2022 Mercedes-Benz GLC 300 Base 4MATIC,532 mi.,Autohaus on Edens,4.7,"(1,946 reviews)","$53,457"
98,2019 Mercedes-Benz C-Class C 300 4MATIC,"21,354 mi.",Mercedes-Benz of Warwick,4.6,(262 reviews),"$37,495"
99,2019 Mercedes-Benz A-Class A 220,"22,278 mi.",Mercedes-Benz of Santa Rosa,4.2,(29 reviews),"$31,490"
100,2020 Mercedes-Benz GLC 300 Base,"30,302 mi.",Mercedes-Benz of Coconut Creek,4.6,"(1,042 reviews)","$39,495"
101,2021 Mercedes-Benz AMG G 63 Base,"20,848 mi.",Mercedes-Benz of Oakland,4.0,(64 reviews),"$219,986"
102,2018 Mercedes-Benz S-Class S 560 4MATIC,"19,623 mi.",Ray Catena Mercedes Benz Freehold,4.7,(741 reviews),"$72,995"
103,2022 Mercedes-Benz GLE 350 Base 4MATIC,"3,687 mi.",Mercedes Benz of Hoffman Estates,4.7,"(1,118 reviews)","$65,999"
104,2021 Mercedes-Benz GLB 250 Base 4MATIC,"10,085 mi.",Mercedes-Benz of Stevens Creek,4.7,"(1,694 reviews)","$40,421"
105,2021 Mercedes-Benz AMG GLE 53 Base,"15,606 mi.",RBM of Atlanta,4.9,"(1,013 reviews)","$106,874"
106,2019 Mercedes-Benz S-Class S 560 4MATIC,"37,060 mi.",Mercedes-Benz of Silver Spring,4.8,"(1,660 reviews)","$74,900"
