,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 MINI Countryman Cooper S ALL4,"14,752 mi.",Habberstad BMW of Huntington,4.8,"(1,307 reviews)","$33,987"
1,2019 MINI Hardtop Cooper,"35,844 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$24,694"
2,2019 MINI Countryman Cooper S ALL4,"17,551 mi.",Herb Chambers BMW MINI of Boston,4.7,"(2,428 reviews)","$35,998"
3,2019 MINI Hardtop Cooper S,"13,809 mi.",Mall of Georgia MINI,4.9,"(1,505 reviews)","$36,988"
4,2019 MINI Hardtop Cooper S,"11,029 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$29,087"
5,2019 MINI Hardtop Cooper,"29,295 mi.",Herb Chambers BMW MINI of Boston,4.7,"(2,428 reviews)","$24,998"
6,2019 MINI Hardtop Cooper S,"23,573 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$28,264"
7,2019 MINI Hardtop Cooper S,"21,515 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$26,867"
8,2019 MINI Hardtop Cooper S,"33,639 mi.",BMW of Freeport,4.7,"(1,363 reviews)","$26,943"
9,2019 MINI Hardtop Cooper S,"35,524 mi.",Habberstad BMW of Huntington,4.8,"(1,307 reviews)","$24,949"
10,2019 MINI Clubman Cooper S ALL4,"25,447 mi.",Motorwerks MINI,4.8,(182 reviews),"$31,288"
11,2019 MINI Convertible Cooper S,"14,598 mi.",MINI of Montgomery County,4.5,(213 reviews),"$38,750"
12,2019 MINI Countryman Cooper S ALL4,"31,113 mi.",Schomp Mini,4.7,(713 reviews),"$35,933"
13,2019 MINI Countryman Cooper S ALL4,"26,106 mi.",Schomp Mini,4.7,(713 reviews),"$35,361"
14,2019 MINI Countryman Cooper S ALL4,"15,701 mi.",Motorwerks MINI,4.8,(182 reviews),"$37,988"
15,2019 MINI Hardtop Cooper,"19,506 mi.",International Autos,3.4,(88 reviews),"$25,995"
16,2019 MINI Hardtop Cooper,"16,989 mi.",Dreyer & Reinbold Inc,4.5,(61 reviews),"$27,990"
17,2019 MINI Countryman Cooper S,"24,746 mi.",Ferman Mini of Tampa Bay,4.8,"(1,217 reviews)","$31,500"
18,2022 MINI Countryman John Cooper Works ALL4,"3,981 mi.",Mini of Wesley Chapel,4.7,(207 reviews),"$48,500"
19,2020 MINI Hardtop John Cooper Works,"28,408 mi.",BMW of San Antonio,4.5,(957 reviews),"$36,962"
20,2020 MINI Countryman Cooper S ALL4,"40,832 mi.",Classic BMW Mini Willoughby Hills,4.9,(281 reviews),"$34,490"
21,2019 MINI Hardtop Cooper S,"12,276 mi.",South Bay MINI,4.9,(344 reviews),"$27,999"
22,2019 MINI Clubman Cooper S,"28,962 mi.",Mall of Georgia MINI,4.9,"(1,505 reviews)","$36,988"
23,2019 MINI Countryman Cooper S ALL4,"24,101 mi.",Motorwerks MINI,4.8,(182 reviews),"$36,288"
24,2019 MINI Hardtop Cooper S,"15,877 mi.",MAG Midwestern Auto Group,3.5,(70 reviews),"$33,999"
25,2022 MINI Hardtop Cooper S,"14,396 mi.",BMW of San Antonio,4.5,(957 reviews),"$34,962"
26,2019 MINI Clubman Cooper S ALL4,"14,467 mi.",Schomp Mini,4.7,(713 reviews),"$34,760"
27,2019 MINI Hardtop Cooper S,"17,935 mi.",Dreyer & Reinbold Inc,4.5,(61 reviews),"$32,990"
28,2019 MINI Hardtop Cooper S,"38,683 mi.",South Bay MINI,4.9,(344 reviews),"$26,336"
29,2022 MINI Countryman Cooper S ALL4,299 mi.,Mall of Georgia MINI,4.9,"(1,505 reviews)","$47,885"
30,2019 MINI Clubman Cooper S,"13,544 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$29,122"
31,2021 MINI Countryman Oxford Edition,"6,253 mi.",Mini of Wesley Chapel,4.7,(207 reviews),"$32,835"
32,2020 MINI Countryman Cooper S ALL4,"10,998 mi.",Herb Chambers BMW MINI of Boston,4.7,"(2,428 reviews)","$40,998"
33,2022 MINI Hardtop Cooper S,"10,490 mi.",BMW MINI of Annapolis,4.5,(736 reviews),"$33,559"
34,2020 MINI Hardtop Cooper S,"11,651 mi.",Mall of Georgia MINI,4.9,"(1,505 reviews)","$36,988"
35,2019 MINI Countryman Cooper S ALL4,"45,456 mi.",Classic BMW Mini Willoughby Hills,4.9,(281 reviews),"$31,990"
36,2019 MINI Hardtop Cooper,"29,395 mi.",MINI of The Woodlands,4.5,(223 reviews),"$23,991"
37,2019 MINI Hardtop Cooper,"7,801 mi.",Seattle Mini,4.7,(271 reviews),"$29,975"
