,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 Nissan Rogue SL,"30,357 mi.",Sheehy Nissan of White Marsh,4.7,(259 reviews),"$29,028"
1,2021 Nissan Altima 2.5 SR,"40,287 mi.",Don Davis Nissan,4.7,"(8,458 reviews)","$29,912"
2,2021 Nissan Altima 2.5 SR,"18,222 mi.",Nissan of McKinney,4.3,(822 reviews),"$27,801"
3,2019 Nissan Murano SL,"15,144 mi.",Crown Nissan,4.9,"(4,569 reviews)","$33,300"
4,2021 Nissan Sentra SV,"35,687 mi.",HGreg Nissan Puente Hills,4.6,(433 reviews),"$21,998"
5,2021 Nissan Altima 2.5 SR,"36,385 mi.",Trophy Nissan,4.7,"(3,047 reviews)","$26,810"
6,2019 Nissan Rogue SL,"33,957 mi.",Crest Nissan,4.6,"(1,032 reviews)","$27,457"
7,2020 Nissan Altima 2.5 S,"26,015 mi.",Serra Nissan,4.6,"(1,373 reviews)","$24,750"
8,2020 Nissan Rogue S,"16,815 mi.",Tri-State Nissan,4.8,(721 reviews),"$27,156"
9,2019 Nissan Rogue SL,"36,827 mi.",Nationwide Nissan,4.0,(116 reviews),"$28,719"
10,2020 Nissan Murano SL,"22,206 mi.",Crest Nissan,4.6,"(1,032 reviews)","$35,847"
11,2020 Nissan Rogue SV,"19,619 mi.",Laurel Nissan,4.8,(74 reviews),"$27,990"
12,2020 Nissan Rogue SV,"46,521 mi.",Eddie Tourelle's Northpark Nissan,4.5,(187 reviews),"$25,859"
13,2020 Nissan Rogue S,"32,834 mi.",Petro Nissan,3.1,(22 reviews),"$25,990"
14,2020 Nissan Rogue S,"15,064 mi.",#1 Cochran Nissan South Hills,4.6,(376 reviews),"$25,688"
15,2020 Nissan Rogue SV,"12,851 mi.",Laurel Nissan,4.8,(74 reviews),"$28,990"
16,2021 Nissan Sentra SV,"23,369 mi.",Nissan of Torrance,4.3,"(1,156 reviews)","$23,600"
17,2018 Nissan Pathfinder Platinum,"45,532 mi.",Nissan of Melbourne,4.5,(663 reviews),"$32,999"
18,2021 Nissan Altima 2.5 SR,"3,707 mi.",Grubbs Nissan,4.3,(220 reviews),"$28,995"
19,2019 Nissan Rogue SL,"16,681 mi.",Passport Nissan,3.8,(119 reviews),"$29,999"
20,2019 Nissan Rogue SL,"41,307 mi.",Buckeye Nissan,4.2,(48 reviews),"$29,959"
21,2019 Nissan Rogue SL,"12,072 mi.",Tri-State Nissan,4.8,(721 reviews),"$32,900"
22,2020 Nissan Rogue SL,"11,300 mi.",All Star Nissan,4.6,(193 reviews),"$35,940"
23,2020 Nissan Rogue SV,"61,996 mi.",Greenway Nissan of Jacksonville,3.3,(140 reviews),"$22,888"
24,2020 Nissan Pathfinder SL,"49,494 mi.",Capital City Nissan,4.9,"(1,019 reviews)","$31,836"
25,2019 Nissan Murano S,"35,101 mi.",Honda of Ames,4.7,"(1,486 reviews)","$26,999"
26,2020 Nissan Murano SV,"65,117 mi.",McGrath Nissan,3.5,(19 reviews),"$28,488"
27,2021 Nissan Sentra SV,"30,325 mi.",Nissan of Torrance,4.3,"(1,156 reviews)","$23,700"
28,2019 Nissan Rogue SL,"38,891 mi.",Middletown Nissan,4.3,(404 reviews),"$26,900"
29,2020 Nissan Pathfinder SL,"57,514 mi.",Jack Ingram Motors,4.6,(56 reviews),"$29,900"
30,2017 Nissan Murano SL,"34,714 mi.",Reedman Toll Nissan of Drexel Hill,3.7,(74 reviews),"$29,997"
31,2020 Nissan Rogue SV,"38,356 mi.",Nissan North,4.6,(160 reviews),"$25,500"
32,2020 Nissan Rogue SV,"66,534 mi.",Vaden Nissan of Hilton Head,4.8,(632 reviews),"$22,777"
33,2020 Nissan Rogue SV,"68,164 mi.",Vaden Nissan of Hilton Head,4.8,(632 reviews),"$23,300"
34,2020 Nissan Rogue SV,"60,643 mi.",Lokey Nissan,4.6,"(4,961 reviews)","$20,377"
