,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2018 Rolls-Royce Ghost ,"17,065 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$245,111"
1,2021 Rolls-Royce Cullinan ,"3,930 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$598,788"
2,2018 Rolls-Royce Ghost ,"13,376 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$249,790"
3,2021 Rolls-Royce Cullinan ,"5,780 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$439,988"
4,2019 Rolls-Royce Cullinan ,"5,771 mi.","Bentley, Maserati & Rolls-Royce Motor Cars by O'Gara Westlake",3.5,(11 reviews),"$389,095"
5,2019 Rolls-Royce Cullinan Base,"35,841 mi.",Towbin Motor Cars,4.6,(60 reviews),"$379,990"
6,2020 Rolls-Royce Cullinan Base,"2,525 mi.",Miller Motorcars,4.6,(42 reviews),"$414,900"
7,2020 Rolls-Royce Cullinan Base,435 mi.,Miller Motorcars,4.6,(42 reviews),"$414,900"
8,2015 Rolls-Royce Wraith Base,"34,841 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$199,488"
9,2021 Rolls-Royce Cullinan ,"2,927 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$519,488"
10,2021 Rolls-Royce Ghost ,"3,926 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$382,488"
11,2021 Rolls-Royce Ghost Base,"2,258 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$415,488"
12,2021 Rolls-Royce Cullinan ,"3,556 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$524,988"
13,2018 Rolls-Royce Dawn Base,"25,151 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$312,146"
14,2021 Rolls-Royce Cullinan ,"21,832 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$433,488"
15,2021 Rolls-Royce Ghost Base,"2,657 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$378,990"
16,2021 Rolls-Royce Cullinan Base,"5,793 mi.",Naples Luxury Imports,4.9,"(1,258 reviews)","$465,000"
17,2019 Rolls-Royce Cullinan ,"12,030 mi.","Bentley, Maserati & Rolls-Royce Motor Cars by O'Gara Westlake",3.5,(11 reviews),"$391,993"
18,2016 Rolls-Royce Ghost Base,"42,505 mi.",Miller Motorcars,4.6,(42 reviews),"$169,900"
19,2020 Rolls-Royce Ghost Base,"7,980 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$388,453"
20,2020 Rolls-Royce Ghost Base,"7,219 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$349,355"
21,2020 Rolls-Royce Wraith ,"5,427 mi.","Bentley, Maserati & Rolls-Royce Motor Cars by O'Gara Westlake",3.5,(11 reviews),"$439,992"
22,2018 Rolls-Royce Ghost ,"8,933 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$254,999"
23,2016 Rolls-Royce Dawn ,"39,117 mi.",Motorcars of Atlanta,4.6,(52 reviews),"$233,500"
24,2020 Rolls-Royce Cullinan ,"21,695 mi.","Bespoke Motor Group - Bentley, Rolls-Royce & Lamborghini Long Island",3.4,(17 reviews),"$388,800"
25,2021 Rolls-Royce Ghost Sedan,696 mi.,Carlock Motorcars Nashville,4.6,(14 reviews),"$397,999"
26,2019 Rolls-Royce Cullinan ,"7,200 mi.",Naples Luxury Imports,4.9,"(1,258 reviews)","$364,999"
27,2018 Rolls-Royce Dawn ,"9,675 mi.",Miller Motorcars,4.6,(42 reviews),"$319,900"
28,2018 Rolls-Royce Wraith ,"3,143 mi.","Bespoke Motor Group - Bentley, Rolls-Royce & Lamborghini Long Island",3.4,(17 reviews),"$299,900"
29,2021 Rolls-Royce Cullinan Base,"2,629 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$459,988"
30,2020 Rolls-Royce Cullinan Sport Utility,"28,174 mi.",Bentley Rolls-Royce Lamborghini Aston Martin of Scottsdale,4.8,(7 reviews),"$411,900"
31,2013 Rolls-Royce Ghost Base,"16,599 mi.",Miller Motorcars,4.6,(42 reviews),"$159,900"
32,2011 Rolls-Royce Ghost ,"78,612 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$124,988"
33,2018 Rolls-Royce Dawn ,"4,167 mi.",Naples Luxury Imports,4.9,"(1,258 reviews)","$399,999"
34,2018 Rolls-Royce Wraith Coupe,"3,480 mi.",Carlock Motorcars Nashville,4.6,(14 reviews),"$299,995"
35,2022 Rolls-Royce Ghost BADGE,219 mi.,"Rolls-Royce Motor Cars New England, Bentley Boston, Lamborghini Boston, Herb Chambers Maserati and Alfa Romeo of Boston",4.6,(154 reviews),"$489,998"
36,2018 Rolls-Royce Dawn ,"42,649 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$268,512"
37,2018 Rolls-Royce Dawn ,"8,700 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$334,890"
38,2018 Rolls-Royce Dawn Base,"3,730 mi.",Naples Luxury Imports,4.9,"(1,258 reviews)","$394,999"
39,2021 Rolls-Royce Ghost Base,"1,174 mi.",Rusnak Bentley Rolls-Royce Maserati,4.4,(258 reviews),"$414,888"
40,2019 Rolls-Royce Ghost ,"9,861 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$275,997"
41,2021 Rolls-Royce Ghost ,"4,338 mi.",Rusnak Bentley Rolls-Royce Maserati,4.4,(258 reviews),"$417,998"
42,2020 Rolls-Royce Cullinan ,"3,917 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$487,780"
43,2021 Rolls-Royce Ghost ,"1,937 mi.",Rusnak Bentley Rolls-Royce Maserati,4.4,(258 reviews),"$419,988"
