,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2020 Acura TLX FWD,"20,051 mi.",Niello Acura,4.6,(132 reviews),"$32,568"
1,2022 Acura MDX Technology,"19,061 mi.",Ed Voyles Acura,3.9,(86 reviews),"$58,991"
2,2020 Acura TLX FWD,"30,131 mi.",Hiley Acura,3.7,(61 reviews),"$31,445"
3,2019 Acura RDX ,"12,097 mi.",Acura of Boston,4.7,(600 reviews),"$40,595"
4,2021 Acura RDX A-Spec,"16,250 mi.",Fountain Acura,4.4,(314 reviews),"$43,997"
5,2020 Acura TLX V6 w/Technology Package,"18,980 mi.",Advantage Acura of Naperville,4.7,(434 reviews),"$39,499"
6,2020 Acura TLX V6,"26,574 mi.",McGrath Acura in Morton Grove,4.6,(686 reviews),"$32,750"
7,2020 Acura MDX 3.5L w/Technology Package,"20,562 mi.",Paragon Acura,4.6,"(2,762 reviews)","$38,499"
8,2021 Acura RDX Base,"10,800 mi.",Vandergriff Acura,4.7,"(1,358 reviews)","$40,996"
9,2021 Acura RDX w/Advance Package,"10,076 mi.",Ed Martin Acura,4.7,(442 reviews),"$46,349"
10,2020 Acura RDX A-Spec,"16,173 mi.",Vandergriff Acura,4.7,"(1,358 reviews)","$42,999"
11,2022 Acura MDX A-Spec,"12,588 mi.",Friendly Acura Of Middletown,4.8,(286 reviews),"$58,455"
12,2021 Acura RDX A-Spec,"24,351 mi.",Friendly Acura Of Middletown,4.8,(286 reviews),"$46,850"
13,2019 Acura RDX Advance Package,"15,299 mi.",Acura Carland,4.5,(145 reviews),"$44,772"
14,2020 Acura RDX Base,"54,369 mi.",Lindsay Acura,4.2,(283 reviews),"$37,440"
15,2020 Acura MDX 3.5L w/Technology Package,"30,131 mi.",Scanlon Acura,4.8,(399 reviews),"$42,986"
16,2021 Acura RDX Technology Package,"13,393 mi.",Acura Carland,4.5,(145 reviews),"$47,792"
17,2020 Acura MDX 3.5L w/Technology Package,"21,054 mi.",Acura of Wappingers Falls,4.8,(563 reviews),"$42,997"
18,2021 Acura RDX Base,"21,428 mi.",Nalley Acura,4.7,(468 reviews),"$42,791"
19,2021 Acura RDX Technology Package,"10,724 mi.",McGrath Acura in Morton Grove,4.6,(686 reviews),"$44,599"
20,2018 Acura TLX Technology,"46,349 mi.",Ira Acura Westwood,4.6,(552 reviews),"$26,411"
21,2021 Acura TLX Technology,"17,001 mi.",Acura of Jackson,4.3,(130 reviews),"$42,197"
22,2020 Acura TLX FWD,"11,382 mi.",Montgomeryville Acura,4.2,(194 reviews),"$30,888"
23,2020 Acura TLX FWD,"26,658 mi.",Vandergriff Acura,4.7,"(1,358 reviews)","$32,286"
24,2021 Acura RDX Technology Package,"13,912 mi.",Ed Voyles Acura,3.9,(86 reviews),"$46,991"
25,2020 Acura TLX Technology,"21,002 mi.",Phil Smith Acura,4.8,"(1,312 reviews)","$31,595"
26,2020 Acura MDX 3.5L w/Advance Package,"20,581 mi.",Vandergriff Acura,4.7,"(1,358 reviews)","$49,160"
27,2020 Acura RDX Base,"23,455 mi.",Frank Leta Acura,4.6,(393 reviews),"$38,595"
28,2019 Acura RDX Technology Package,"14,906 mi.",Acura of Reno,4.6,(185 reviews),"$42,357"
29,2020 Acura RDX A-Spec,"34,863 mi.",Vandergriff Acura,4.7,"(1,358 reviews)","$41,655"
30,2020 Acura TLX V6 w/Technology Package,"33,109 mi.",Acura by Executive,4.8,(518 reviews),"$36,594"
31,2020 Acura MDX 3.5L,"29,004 mi.",Bridgewater Acura,4.7,"(1,480 reviews)","$38,999"
32,2022 Acura MDX w/Advance Package,"28,005 mi.",Ed Martin Acura,4.7,(442 reviews),"$62,547"
33,2020 Acura TLX FWD,"11,788 mi.",Vandergriff Acura,4.7,"(1,358 reviews)","$32,505"
34,2019 Acura RDX Technology Package,"43,597 mi.",Jackson Acura,4.8,"(5,227 reviews)","$39,898"
35,2020 Acura MDX 3.5L w/Technology Package,"14,236 mi.",Scanlon Acura,4.8,(399 reviews),"$44,988"
36,2020 Acura TLX A-Spec,"60,553 mi.",Vandergriff Acura,4.7,"(1,358 reviews)","$35,397"
37,2021 Acura RDX w/Technology Package,"20,673 mi.",Pohanka Acura,4.8,"(1,666 reviews)","$44,978"
38,2020 Acura TLX FWD,"26,212 mi.",Rick Case Acura,4.7,"(1,713 reviews)","$28,995"
39,2020 Acura MDX 3.5L w/Technology Package,"22,631 mi.",Hiley Acura,3.7,(61 reviews),"$41,776"
40,2020 Acura MDX 3.5L,"10,302 mi.",Acura of Wappingers Falls,4.8,(563 reviews),"$40,962"
41,2019 Acura RDX Base (A10),"35,945 mi.",Ira Acura Westwood,4.6,(552 reviews),"$34,848"
42,2020 Acura MDX 3.5L w/Technology Package,"12,995 mi.",Bridgewater Acura,4.7,"(1,480 reviews)","$42,999"
43,2017 Acura ILX Premium Package,"49,845 mi.",Phil Smith Acura,4.8,"(1,312 reviews)","$21,995"
44,2021 Acura TLX Technology,"21,040 mi.",Vandergriff Acura,4.7,"(1,358 reviews)","$42,469"
45,2020 Acura MDX 3.5L,"24,158 mi.",Acura of Alhambra,3.1,(48 reviews),"$38,994"
46,2020 Acura MDX 3.5L,"31,601 mi.",Vandergriff Acura,4.7,"(1,358 reviews)","$39,480"
47,2019 Acura RDX Base,"41,643 mi.",Acura Carland,4.5,(145 reviews),"$42,055"
48,2020 Acura MDX 3.5L w/Technology Package,"19,042 mi.",Chevy Chase Acura,4.6,(505 reviews),"$44,760"
49,2021 Acura RDX Technology Package,"24,082 mi.",McGrath Acura in Morton Grove,4.6,(686 reviews),"$43,750"
50,2020 Acura RDX Technology Package,"14,395 mi.",Advantage Acura of Naperville,4.7,(434 reviews),"$44,387"
51,2017 Acura ILX Premium Package,"32,127 mi.",Rick Case Acura,4.7,"(1,713 reviews)","$21,598"
52,2020 Acura RDX Base (A10),"12,102 mi.",Chevy Chase Acura,4.6,(505 reviews),"$39,532"
53,2021 Acura TLX w/Advance Package,"6,685 mi.",Pohanka Acura,4.8,"(1,666 reviews)","$42,510"
54,2019 Acura TLX V6 w/Technology Package,"39,779 mi.",Acura Carland,4.5,(145 reviews),"$37,703"
55,2020 Acura TLX FWD,"20,417 mi.",Hiley Acura,3.7,(61 reviews),"$31,567"
56,2020 Acura MDX 3.5L w/Technology Package,"12,785 mi.",Findlay Acura,4.7,(245 reviews),"$43,083"
57,2021 Acura RDX Base,"25,829 mi.",Nalley Acura,4.7,(468 reviews),"$40,491"
58,2022 Acura MDX Technology,"10,160 mi.",Piazza Acura of Ardmore,4.6,(138 reviews),"$56,605"
59,2021 Acura TLX A-Spec,"12,276 mi.",McGrath Acura in Morton Grove,4.6,(686 reviews),"$42,750"
60,2020 Acura TLX FWD,"44,792 mi.",AutoNation Acura Gulf Freeway,4.8,(848 reviews),"$29,995"
61,2021 Acura TLX w/Advance Package,"7,474 mi.",Pohanka Acura,4.8,"(1,666 reviews)","$45,314"
62,2019 Acura MDX 3.5L w/Technology Package,"28,762 mi.",Scanlon Acura,4.8,(399 reviews),"$40,496"
63,2020 Acura MDX 3.5L w/Technology Package,"35,443 mi.",AutoNation Acura Stevens Creek,4.8,"(1,026 reviews)","$42,595"
64,2020 Acura RDX Base,"19,001 mi.",Paragon Acura,4.6,"(2,762 reviews)","$37,000"
65,2021 Acura RDX A-Spec,"23,333 mi.",Vandergriff Acura,4.7,"(1,358 reviews)","$43,969"
66,2019 Acura MDX 3.5L w/Technology Package,"38,736 mi.",Acura of Stamford,4.1,(31 reviews),"$38,500"
67,2021 Acura TLX Tech,"7,902 mi.",Pohanka Acura,4.8,"(1,666 reviews)","$38,798"
68,2020 Acura RDX Technology Package,"54,550 mi.",Vandergriff Acura,4.7,"(1,358 reviews)","$38,576"
69,2019 Acura RDX A-Spec,"49,772 mi.",Rick Case Acura,4.7,"(1,713 reviews)","$35,892"
70,2020 Acura MDX 3.5L w/Technology Package,"32,665 mi.",Schaller Acura,4.9,"(1,048 reviews)","$43,791"
71,2019 Acura RDX ,"21,700 mi.",Chevy Chase Acura,4.6,(505 reviews),"$37,538"
72,2020 Acura MDX 3.5L,"14,045 mi.",Vandergriff Acura,4.7,"(1,358 reviews)","$40,498"
73,2022 Acura MDX A-Spec,"12,835 mi.",Don Ayres Acura,4.9,(19 reviews),"$58,144"
74,2021 Acura TLX Technology,"12,230 mi.",Jay Wolfe Acura,4.8,"(2,395 reviews)","$42,895"
75,2019 Acura RDX Base,"10,168 mi.",Lehigh Valley Acura,4.7,(767 reviews),"$40,250"
76,2019 Acura RDX Base,"33,258 mi.",Schaller Acura,4.9,"(1,048 reviews)","$38,988"
77,2020 Acura TLX V6 w/Technology Package,"12,186 mi.",Hendrick Southpoint Auto Mall,4.8,(803 reviews),"$36,218"
78,2019 Acura RDX Technology Package,"45,547 mi.",Acura of Boston,4.7,(600 reviews),"$38,898"
79,2019 Acura RDX Technology Package,"19,510 mi.",Buerkle Acura,4.9,"(1,008 reviews)","$41,685"
80,2019 Acura RDX Technology Package,"41,701 mi.",Herb Connolly Acura of Framingham,4.7,"(1,543 reviews)","$38,495"
81,2020 Acura RDX Base,"67,302 mi.",Advantage Acura of Naperville,4.7,(434 reviews),"$37,777"
82,2020 Acura TLX FWD,"15,113 mi.",Davis Acura,4.7,"(2,740 reviews)","$31,598"
83,2021 Acura TLX Technology,"11,758 mi.",Jay Wolfe Acura of Overland Park,4.8,"(1,498 reviews)","$43,500"
84,2021 Acura TLX Technology,"14,887 mi.",Jay Wolfe Acura,4.8,"(2,395 reviews)","$41,295"
85,2019 Acura RDX Base,"36,045 mi.",Carter Acura,4.1,(95 reviews),"$37,988"
86,2020 Acura MDX 3.5L Technology & A-Spec Pkgs,"32,914 mi.",Lehigh Valley Acura,4.7,(767 reviews),"$46,750"
87,2020 Acura RDX Advance Package,"16,083 mi.",Scanlon Acura,4.8,(399 reviews),"$42,982"
88,2020 Acura RDX Base,"14,950 mi.",AutoNation Acura Stevens Creek,4.8,"(1,026 reviews)","$39,952"
89,2020 Acura MDX 3.5L,"35,744 mi.",Bridgewater Acura,4.7,"(1,480 reviews)","$39,612"
90,2019 Acura MDX 3.5L,"37,635 mi.",Acura of Honolulu,4.9,(869 reviews),"$37,995"
91,2020 Acura MDX 3.5L w/Technology Package,"20,744 mi.",AutoNation Acura Stevens Creek,4.8,"(1,026 reviews)","$44,952"
92,2019 Acura RDX A-Spec,"50,766 mi.",Spreen Acura,4.7,"(1,046 reviews)","$37,625"
93,2019 Acura MDX 3.5L w/Technology Package,"34,519 mi.",Elite Acura,4.7,(774 reviews),"$39,599"
94,2022 Acura MDX Technology,"11,795 mi.",Rick Case Acura,4.7,"(1,713 reviews)","$51,995"
95,2019 Acura MDX 3.5L,"27,917 mi.",Acura of Ramsey,4.8,"(1,773 reviews)","$37,995"
96,2019 Acura RDX Technology Package,"22,513 mi.",Bridgewater Acura,4.7,"(1,480 reviews)","$38,891"
97,2020 Acura TLX V6 w/Technology Package,"30,382 mi.",Schaller Acura,4.9,"(1,048 reviews)","$36,988"
98,2020 Acura RDX Base,"30,360 mi.",McGrath Acura of Libertyville,4.8,"(1,041 reviews)","$37,900"
99,2019 Acura RDX Technology Package,"31,640 mi.",Crown Acura,4.9,(239 reviews),"$39,981"
100,2020 Acura RDX Advance Package,"24,534 mi.",Scanlon Acura,4.8,(399 reviews),"$43,985"
101,2021 Acura RDX Technology Package,"6,387 mi.",Vandergriff Acura,4.7,"(1,358 reviews)","$44,312"
102,2018 Acura MDX 3.5L w/Advance Package,"39,309 mi.",Gary Force Acura,4.5,(105 reviews),"$44,995"
103,2021 Acura TLX A-Spec,"17,315 mi.",Acura of Pembroke Pines,4.8,"(6,539 reviews)","$42,133"
104,2020 Acura MDX 3.5L w/Technology Package,"38,409 mi.",DCH Montclair Acura,4.9,"(2,457 reviews)","$39,590"
105,2020 Acura MDX 3.5L w/Technology Package,"13,032 mi.",Paragon Acura,4.6,"(2,762 reviews)","$42,203"
106,2019 Acura MDX 3.5L w/Technology Package,"31,114 mi.",Columbia Acura,3.9,(39 reviews),"$41,500"
107,2021 Acura TLX Technology,"12,883 mi.",Leith Acura of Cary,4.9,"(1,722 reviews)","$42,450"
108,2020 Acura TLX FWD,"30,660 mi.",Acura of Limerick,4.5,(82 reviews),"$30,498"
109,2019 Acura RDX Technology Package,"28,037 mi.",Davis Acura,4.7,"(2,740 reviews)","$39,518"
110,2019 Acura MDX 3.5L w/Technology Package,"82,142 mi.",Ed Martin Acura,4.7,(442 reviews),"$35,427"
111,2020 Acura MDX 3.5L w/Technology Package,"38,879 mi.",Findlay Acura,4.7,(245 reviews),"$43,888"
