,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2020 Alfa Romeo Stelvio Base,"36,867 mi.",Genesis Alfa Romeo FIAT,4.6,(81 reviews),"$37,995"
1,2021 Alfa Romeo Stelvio Base,"11,675 mi.",Alfa Romeo of Fort Worth,4.1,(290 reviews),"$41,995"
2,2020 Alfa Romeo Stelvio Base,"22,025 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,617 reviews)","$33,695"
3,2019 Alfa Romeo Giulia Base,"17,833 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,617 reviews)","$28,495"
4,2021 Alfa Romeo Stelvio Base,"12,373 mi.",Alfa Romeo of Fort Worth,4.1,(290 reviews),"$42,244"
5,2020 Alfa Romeo Stelvio Base,"16,582 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,617 reviews)","$31,995"
6,2020 Alfa Romeo Stelvio Base,"25,109 mi.",Genesis Alfa Romeo FIAT,4.6,(81 reviews),"$36,995"
7,2022 Alfa Romeo Stelvio Veloce,"14,683 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,617 reviews)","$41,995"
8,2019 Alfa Romeo Giulia Ti,"20,362 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,617 reviews)","$31,895"
9,2021 Alfa Romeo Giulia Base,"27,691 mi.",Alfa Romeo and Fiat of Maple Shade,4.4,(784 reviews),"$42,822"
10,2020 Alfa Romeo Giulia Base,"20,955 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,617 reviews)","$30,995"
11,2020 Alfa Romeo Stelvio Base,"14,160 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,617 reviews)","$32,495"
12,2020 Alfa Romeo Giulia Base,"10,651 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,617 reviews)","$32,195"
13,2019 Alfa Romeo Giulia Ti,"29,870 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,617 reviews)","$31,195"
14,2019 Alfa Romeo Stelvio Ti,"40,035 mi.",Alfa Romeo and Fiat of Maple Shade,4.4,(784 reviews),"$37,914"
15,2022 Alfa Romeo Stelvio Veloce,"5,912 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,617 reviews)","$47,395"
16,2020 Alfa Romeo Giulia Base,"7,741 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,617 reviews)","$32,495"
17,2019 Alfa Romeo Giulia Base,"20,749 mi.",Alfa Romeo of Strongsville,4.6,(803 reviews),"$36,128"
18,2019 Alfa Romeo Giulia Base,"24,749 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,617 reviews)","$27,995"
19,2019 Alfa Romeo Stelvio Ti Sport,"30,218 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,617 reviews)","$33,495"
