,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 Aston Martin DB11 Volante,"12,398 mi.",THE COLLECTION,4.7,(661 reviews),"$195,900"
1,2019 Aston Martin DB11 Volante,"19,937 mi.",THE COLLECTION,4.7,(661 reviews),"$182,532"
2,2019 Aston Martin Vantage Coupe,"12,336 mi.",Aston Martin San Diego,5.0,(1 review),"$130,212"
3,2019 Aston Martin Vantage Coupe,"11,430 mi.",Aston Martin San Diego,5.0,(1 review),"$136,548"
4,2021 Aston Martin DBX Base,"9,753 mi.",Miller Motorcars,4.6,(42 reviews),"$167,900"
5,2021 Aston Martin DBX ,"4,460 mi.",Miller Motorcars,4.6,(42 reviews),"$167,900"
6,2021 Aston Martin DBX Base,"5,886 mi.",Star Motor Cars,3.8,(56 reviews),"$179,900"
7,2019 Aston Martin Vantage ,"13,870 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$127,849"
8,2021 Aston Martin DBX Base,"6,916 mi.",Exclusive Automotive Group,4.6,(110 reviews),"$169,995"
9,2019 Aston Martin Vantage ,"14,054 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$125,499"
10,2018 Aston Martin DB11 V12,"12,272 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$145,000"
11,2019 Aston Martin Vantage ,"5,549 mi.",F.C. Kerbeck & Sons,4.7,(170 reviews),"$155,000"
12,2020 Aston Martin Vantage Base,"14,529 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$133,500"
13,2019 Aston Martin Vantage ,"15,353 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$126,998"
14,2017 Aston Martin DB11 Launch Edition,"20,510 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$125,800"
15,2017 Aston Martin DB11 Launch Edition,"15,399 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$132,500"
16,2015 Aston Martin Vantage GT Base,"37,723 mi.",THE COLLECTION,4.7,(661 reviews),"$79,900"
17,2018 Aston Martin DB11 V8,"32,589 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$117,500"
18,2019 Aston Martin DBS Superleggera,"5,131 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$276,777"
19,2017 Aston Martin DB11 Launch Edition,"5,923 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$139,800"
20,2019 Aston Martin Vantage Base,"5,312 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$135,000"
21,2019 Aston Martin Vantage ,"12,201 mi.",F.C. Kerbeck & Sons,4.7,(170 reviews),"$149,000"
22,2018 Aston Martin DB11 V12 Coupe,"41,462 mi.",Aston Martin San Diego,5.0,(1 review),"$153,590"
23,2016 Aston Martin Vanquish Carbon,"16,257 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$159,000"
24,2020 Aston Martin DB11 Volante,"8,329 mi.",Miller Motorcars,4.6,(42 reviews),"$181,900"
25,2021 Aston Martin DBX Base,"6,865 mi.",Naples Luxury Imports,4.9,"(1,258 reviews)","$174,999"
26,2020 Aston Martin DBS Superleggera,"1,276 mi.",Miller Motorcars,4.6,(42 reviews),"$309,900"
27,2019 Aston Martin Vantage ,"8,177 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$132,799"
28,2021 Aston Martin DBX Base,"14,453 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$165,000"
29,2021 Aston Martin DBX Base,"7,121 mi.",Desert European Motorcars,4.3,(281 reviews),"$168,990"
30,2020 Aston Martin DB11 Volante,"5,139 mi.",Miller Motorcars,4.6,(42 reviews),"$187,900"
31,2019 Aston Martin DB11 AMR,"9,083 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$189,599"
32,2020 Aston Martin DB11 AMR,"5,363 mi.",Miller Motorcars,4.6,(42 reviews),"$203,900"
33,2019 Aston Martin DB11 AMR,"17,025 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$186,961"
34,2020 Aston Martin DBS Coupe,"2,802 mi.",Aston Martin San Diego,5.0,(1 review),"$299,887"
35,2019 Aston Martin DB11 Volante,"8,858 mi.",Miller Motorcars,4.6,(42 reviews),"$171,900"
36,2017 Aston Martin DB11 Launch Edition,"12,128 mi.",Park Place LTD,3.2,(26 reviews),"$139,950"
37,2019 Aston Martin Vantage Base,"6,960 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$127,500"
38,2019 Aston Martin Vantage Base,"9,786 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$126,800"
39,2019 Aston Martin DB11 V8,"11,203 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$162,759"
40,2017 Aston Martin DB11 Launch Edition,"11,943 mi.",Park Place LTD,3.2,(26 reviews),"$149,950"
41,2019 Aston Martin DB11 Volante,"3,290 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$179,800"
42,2020 Aston Martin DB11 Volante,"9,703 mi.",Miller Motorcars,4.6,(42 reviews),"$181,900"
43,2017 Aston Martin DB11 Base,"10,315 mi.",F.C. Kerbeck & Sons,4.7,(170 reviews),"$139,000"
44,2018 Aston Martin DB11 V12,"13,776 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$149,998"
45,2021 Aston Martin DB11 Volante,929 mi.,Naples Luxury Imports,4.9,"(1,258 reviews)","$239,998"
46,2020 Aston Martin DB11 V8 Coupe,"11,288 mi.",Aston Martin San Diego,5.0,(1 review),"$166,967"
47,2019 Aston Martin DBS Superleggera,"17,293 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$268,176"
48,2019 Aston Martin DBS Coupe,"4,440 mi.",Aston Martin San Diego,5.0,(1 review),"$285,899"
49,2018 Aston Martin DB11 V12,"20,161 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$137,500"
50,2019 Aston Martin DBS Superleggera,"1,143 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$285,899"
51,2019 Aston Martin DB11 V8,"21,870 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$167,839"
52,2020 Aston Martin DB11 AMR,"8,752 mi.",Miller Motorcars,4.6,(42 reviews),"$203,900"
53,2019 Aston Martin DB11 Volante,"10,993 mi.",Miller Motorcars,4.6,(42 reviews),"$171,900"
54,2019 Aston Martin DB11 V8,"13,223 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$160,968"
55,2015 Aston Martin Vantage GT Base,"12,259 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$95,177"
56,2020 Aston Martin DB11 Volante,"2,482 mi.",Miller Motorcars,4.6,(42 reviews),"$187,900"
57,2021 Aston Martin DBX Base,"8,558 mi.","Mike Ward Maserati,Alfa Romeo,Mclaren Denver",4.4,(14 reviews),"$182,999"
58,2021 Aston Martin DBX Base,"20,368 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$159,500"
59,2021 Aston Martin DBX Base,"8,296 mi.","Mike Ward Maserati,Alfa Romeo,Mclaren Denver",4.4,(14 reviews),"$174,665"
60,2019 Aston Martin Vantage Coupe,"9,508 mi.",Aston Martin Palm Beach,5.0,(1 review),"$127,990"
61,2018 Aston Martin DB11 V12,"19,083 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$148,999"
62,2019 Aston Martin Vantage Base,"16,676 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$119,117"
63,2019 Aston Martin DB11 V8 Volante,"11,495 mi.",Aston Martin San Diego,5.0,(1 review),"$192,264"
64,2017 Aston Martin DB11 V8 Coupe,"10,426 mi.",Aston Martin San Diego,5.0,(1 review),"$148,798"
65,2019 Aston Martin Vantage ,"6,308 mi.",F.C. Kerbeck & Sons,4.7,(170 reviews),"$155,000"
66,2020 Aston Martin Vantage Coupe,"7,770 mi.",Aston Martin San Diego,5.0,(1 review),"$137,879"
67,2020 Aston Martin Vantage Coupe,"9,985 mi.",Aston Martin San Diego,5.0,(1 review),"$144,569"
68,2019 Aston Martin Vantage Base,"2,218 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$150,000"
69,2019 Aston Martin DB11 Volante,"3,835 mi.",Naples Luxury Imports,4.9,"(1,258 reviews)","$194,998"
70,2020 Aston Martin DB11 Volante,"1,423 mi.",Desert European Motorcars,4.3,(281 reviews),"$186,990"
71,2019 Aston Martin Vantage Base,"16,282 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$115,800"
72,2020 Aston Martin DB11 AMR,"9,507 mi.","Mike Ward Maserati,Alfa Romeo,Mclaren Denver",4.4,(14 reviews),"$224,981"
73,2019 Aston Martin Vantage Coupe,"5,756 mi.",Aston Martin San Diego,5.0,(1 review),"$139,745"
74,2019 Aston Martin DB11 Volante,"7,524 mi.",Exclusive Automotive Group,4.6,(110 reviews),"$192,495"
75,2020 Aston Martin DB11 AMR,"11,396 mi.","Mike Ward Maserati,Alfa Romeo,Mclaren Denver",4.4,(14 reviews),"$210,981"
76,2019 Aston Martin DBS Superleggera,"4,263 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$289,998"
77,2019 Aston Martin Vantage Base,"7,338 mi.","Mike Ward Maserati,Alfa Romeo,Mclaren Denver",4.4,(14 reviews),"$136,981"
78,2019 Aston Martin Vantage Coupe,"8,446 mi.",Aston Martin Palm Beach,5.0,(1 review),"$129,990"
79,2014 Aston Martin DB9 Base,"15,369 mi.",Hi Tech Luxury Imports,2.6,(11 reviews),"$101,000"
80,2019 Aston Martin DB11 V8,"20,079 mi.",Park Place LTD,3.2,(26 reviews),"$154,950"
81,2019 Aston Martin DBS Superleggera,"10,464 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$265,800"
82,2018 Aston Martin DB11 V12,"24,280 mi.",Park Place LTD,3.2,(26 reviews),"$138,950"
83,2015 Aston Martin Vantage GT Base,"7,525 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$90,000"
84,2020 Aston Martin DB11 V8,"10,476 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$162,937"
85,2018 Aston Martin DB11 V8,"9,834 mi.",Miller Motorcars,4.6,(42 reviews),"$139,900"
86,2021 Aston Martin Vantage Roadster,"1,946 mi.",Aston Martin San Diego,5.0,(1 review),"$199,000"
87,2015 Aston Martin V12 Vantage S Base,"14,699 mi.",Napleton Aston Martin Maserati,4.7,(838 reviews),"$105,000"
88,2019 Aston Martin DB11 AMR,"11,470 mi.",THE COLLECTION,4.7,(661 reviews),"$199,900"
89,2020 Aston Martin Vantage ,"7,159 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$139,313"
90,2019 Aston Martin DB11 V8 Volante,"13,579 mi.",Aston Martin Palm Beach,5.0,(1 review),"$171,990"
91,2019 Aston Martin DB11 Volante,"3,475 mi.",THE COLLECTION,4.7,(661 reviews),"$206,900"
92,2019 Aston Martin Vantage Base,"8,826 mi.",THE COLLECTION,4.7,(661 reviews),"$135,900"
93,2018 Aston Martin DB11 V12,"10,789 mi.",Star Motor Cars,3.8,(56 reviews),"$159,900"
94,2016 Aston Martin Rapide S ,"16,105 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$106,103"
95,2019 Aston Martin Vantage Base,"5,361 mi.",THE COLLECTION,4.7,(661 reviews),"$139,900"
96,2019 Aston Martin Vantage Base,"9,016 mi.",Star Motor Cars,3.8,(56 reviews),"$128,500"
97,2020 Aston Martin DBS Superleggera,"16,666 mi.",Star Motor Cars,3.8,(56 reviews),"$286,500"
98,2020 Aston Martin Vantage Base,"7,933 mi.","Mike Ward Maserati,Alfa Romeo,Mclaren Denver",4.4,(14 reviews),"$143,981"
99,2019 Aston Martin DBS Superleggera,"23,341 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$237,535"
100,2019 Aston Martin DBS Superleggera,"2,083 mi.",Aston Martin Newport Beach,4.0,(4 reviews),"$289,988"
101,2018 Aston Martin DB11 V8 Volante,"14,664 mi.",Aston Martin San Diego,5.0,(1 review),"$174,999"
102,2019 Aston Martin DB11 Volante,"12,603 mi.",F.C. Kerbeck & Sons,4.7,(170 reviews),"$158,000"
103,2020 Aston Martin DB11 Volante,"10,899 mi.","Mike Ward Maserati,Alfa Romeo,Mclaren Denver",4.4,(14 reviews),"$184,889"
104,2016 Aston Martin V8 Vantage S Base,"7,863 mi.",Star Motor Cars,3.8,(56 reviews),"$104,900"
105,2016 Aston Martin V12 Vantage S Base,"20,775 mi.",Park Place LTD,3.2,(26 reviews),"$134,950"
106,2019 Aston Martin DBS Superleggera,"7,451 mi.",THE COLLECTION,4.7,(661 reviews),"$299,900"
107,2015 Aston Martin DB9 ,"20,280 mi.",Park Place LTD,3.2,(26 reviews),"$119,950"
