,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 BMW 530e xDrive iPerformance,"16,550 mi.",BMW Seattle,4.8,(896 reviews),"$49,995"
1,2019 BMW M550 i xDrive,"17,812 mi.",Towne BMW,3.0,(22 reviews),"$61,995"
2,2019 BMW 540 i,"24,882 mi.",Global Imports BMW,4.6,(805 reviews),"$48,996"
3,2020 BMW X5 xDrive40i,"31,012 mi.",BMW of Chattanooga,4.7,(247 reviews),"$53,996"
4,2019 BMW 330 i,"30,333 mi.",BMW of San Antonio,4.5,(957 reviews),"$37,962"
5,2019 BMW X5 xDrive40i,"36,864 mi.",BMW of Shrewsbury,3.6,(24 reviews),"$54,000"
6,2019 BMW X3 xDrive30i,"14,891 mi.",Bill Jacobs BMW,4.9,"(3,245 reviews)","$41,977"
7,2019 BMW 540 i xDrive,"32,934 mi.",Autohaus BMW,4.9,"(2,708 reviews)","$47,295"
8,2019 BMW X5 xDrive40i,"36,808 mi.",BMW of Kansas City South,4.8,(162 reviews),"$58,621"
9,2020 BMW M340 i,"19,151 mi.",BMW of Fremont,4.5,"(1,246 reviews)","$48,987"
10,2019 BMW X5 xDrive40i,"17,524 mi.",Leith BMW,4.9,"(2,710 reviews)","$56,940"
11,2019 BMW 330 i,"30,659 mi.",BMW North Scottsdale,4.5,(537 reviews),"$38,411"
12,2018 BMW 330 i xDrive,"29,415 mi.",BMW of Freeport,4.7,"(1,366 reviews)","$31,888"
13,2020 BMW X5 xDrive40i,"34,744 mi.",BMW of Newport,4.8,(616 reviews),"$55,988"
14,2019 BMW X2 xDrive28i,"30,321 mi.",Herb Chambers BMW MINI of Boston,4.7,"(2,431 reviews)","$35,798"
15,2019 BMW 330 i,"37,300 mi.",Stevens Creek BMW,4.4,"(1,582 reviews)","$30,998"
16,2020 BMW M550 i xDrive,"10,230 mi.",Fields BMW of Daytona,4.8,"(1,219 reviews)","$68,971"
17,2018 BMW X5 xDrive35d,"30,655 mi.",Coggin BMW Treasure Coast,4.8,(486 reviews),"$42,000"
18,2018 BMW X5 xDrive50i,"53,485 mi.",Sewell BMW MINI of Plano,4.7,"(1,064 reviews)","$47,995"
