,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 Buick Encore Preferred,"13,071 mi.",Moran Chevrolet,4.5,(168 reviews),"$22,088"
1,2019 Buick Encore Preferred,"13,221 mi.",King Buick GMC,4.4,(382 reviews),"$23,500"
2,2019 Buick Encore Essence,"38,566 mi.",Vyletel Buick - GMC - Volkswagen,3.9,(41 reviews),"$24,995"
3,2019 Buick Encore Preferred,"16,219 mi.",Hill Buick GMC,4.9,"(1,643 reviews)","$23,212"
4,2019 Buick Encore Essence,"20,422 mi.",Sellers Buick GMC,4.9,"(1,079 reviews)","$24,745"
5,2019 Buick Encore Preferred,"15,865 mi.",Suburban Buick GMC of Troy,4.7,(24 reviews),"$23,000"
6,2020 Buick Encore Preferred,"17,696 mi.",LaFontaine Cadillac Buick GMC,4.8,"(1,788 reviews)","$24,500"
7,2019 Buick Encore Preferred,"13,631 mi.",Fitzgerald Buick GMC Rockville,4.5,(112 reviews),"$22,557"
8,2019 Buick Encore Preferred,"14,611 mi.",Moran Buick GMC,4.3,(40 reviews),"$23,000"
9,2019 Buick Encore Preferred,"14,418 mi.",Mike Young Buick GMC,4.4,(34 reviews),"$23,995"
10,2020 Buick Encore Preferred,"11,500 mi.",Moran Chevrolet,4.5,(168 reviews),"$23,188"
11,2019 Buick Envision Essence,"32,914 mi.",Dellen Chevrolet Buick GMC,4.8,"(1,291 reviews)","$31,912"
12,2020 Buick Encore GX Select,"17,999 mi.",Buick GMC Cadillac Pensacola,4.6,(132 reviews),"$27,000"
13,2020 Buick Encore GX Preferred,"16,441 mi.",LaFontaine Cadillac Buick GMC,4.8,"(1,788 reviews)","$26,500"
14,2019 Buick Encore Preferred,"11,103 mi.","Weirs Motor Sales, Inc.",4.1,(39 reviews),"$24,148"
15,2020 Buick Envision Essence,"10,966 mi.",Dellen Chevrolet Buick GMC,4.8,"(1,291 reviews)","$36,968"
16,2019 Buick Encore Essence,"24,572 mi.","Pointe Buick GMC, LLC",4.9,(759 reviews),"$25,297"
17,2019 Buick Encore Essence,"18,091 mi.",Bob Jeannotte Buick GMC,4.0,(76 reviews),"$26,995"
18,2019 Buick Encore Sport Touring,"10,680 mi.",LaFontaine Cadillac Buick GMC,4.8,"(1,788 reviews)","$23,500"
19,2019 Buick Envision Essence,"46,903 mi.",Sellers Buick GMC,4.9,"(1,079 reviews)","$29,705"
20,2019 Buick Encore Essence,"21,496 mi.",Vyletel Buick - GMC - Volkswagen,3.9,(41 reviews),"$23,995"
21,2020 Buick Encore Preferred,"24,825 mi.",LaFontaine Cadillac Buick GMC,4.8,"(1,788 reviews)","$22,500"
22,2019 Buick Encore Essence,"24,621 mi.",Jim Causley Buick GMC,4.9,"(1,031 reviews)","$26,895"
23,2018 Buick Encore Preferred,"43,862 mi.",Griffin Buick GMC,4.7,(212 reviews),"$20,545"
24,2019 Buick Encore Preferred,"17,267 mi.",Kelly Buick GMC,4.9,"(1,720 reviews)","$25,280"
25,2019 Buick Encore Preferred,"33,374 mi.",Sellers Buick GMC,4.9,"(1,079 reviews)","$22,208"
26,2019 Buick Encore Preferred,"30,187 mi.","Ewald Chevrolet Buick, LLC",4.8,(431 reviews),"$24,200"
27,2019 Buick Envision Essence,"19,238 mi.",LaFontaine Cadillac Buick GMC,4.8,"(1,788 reviews)","$28,500"
28,2019 Buick Encore Preferred,"13,642 mi.",McCluskey Chevrolet,4.1,(818 reviews),"$26,989"
29,2019 Buick Enclave Essence,"22,443 mi.",Jim Causley Buick GMC,4.9,"(1,031 reviews)","$34,895"
30,2019 Buick Envision Essence,"24,839 mi.",Jim Causley Buick GMC,4.9,"(1,031 reviews)","$29,895"
31,2020 Buick Envision Essence,"34,498 mi.",Jimmy Britt Chevrolet Buick GMC,4.8,"(1,311 reviews)","$30,777"
32,2019 Buick Encore Preferred,"51,656 mi.",Kunes Chevrolet GMC Buick of Elkhorn,4.7,(482 reviews),"$22,840"
33,2017 Buick LaCrosse Essence,"40,650 mi.",Bruner Motors Inc.,4.3,(28 reviews),"$25,995"
34,2019 Buick Encore Preferred,"44,875 mi.",Fredericktown Chevrolet Inc,4.8,(228 reviews),"$19,942"
35,2019 Buick Encore Preferred,"11,496 mi.",Videon Chevrolet of Phoenixville,4.8,(556 reviews),"$24,595"
36,2019 Buick Envision Essence,"19,262 mi.",Suburban Buick GMC of Troy,4.7,(24 reviews),"$31,500"
37,2019 Buick Envision Essence,"44,928 mi.",Serra - Whelan Chevrolet,4.8,(542 reviews),"$28,688"
38,2019 Buick Encore Preferred,"35,550 mi.",Randall Buick GMC Cadillac,4.5,(10 reviews),"$22,995"
39,2019 Buick Encore Preferred,"14,228 mi.",Mike Young Buick GMC,4.4,(34 reviews),"$22,495"
40,2019 Buick Encore Preferred,"12,431 mi.",Performance Buick GMC,4.8,(629 reviews),"$22,863"
41,2019 Buick Encore Preferred,"16,032 mi.",Medina Auto Mall,3.7,(242 reviews),"$21,993"
42,2020 Buick Enclave Essence,"49,621 mi.",Bob Jeannotte Buick GMC,4.0,(76 reviews),"$34,995"
43,2019 Buick Encore Preferred,"21,000 mi.",Den Kelly Chevrolet Buick GMC,5.0,(49 reviews),"$24,490"
44,2019 Buick Encore Preferred,"47,750 mi.",Brookfield Buick GMC,4.8,"(1,847 reviews)","$23,990"
45,2021 Buick Encore GX Essence,"11,992 mi.",Bob Jeannotte Buick GMC,4.0,(76 reviews),"$32,995"
46,2019 Buick Enclave Preferred,"34,459 mi.",Serra - Whelan Chevrolet,4.8,(542 reviews),"$29,788"
47,2019 Buick Encore Essence,"12,806 mi.",Joyce Buick GMC,4.9,(223 reviews),"$26,500"
48,2019 Buick Encore Preferred,"20,171 mi.",Pellegrino Buick GMC,4.9,"(1,033 reviews)","$23,795"
49,2019 Buick Envision Essence,"52,203 mi.",Allen Tillery Chevrolet,4.6,(56 reviews),"$29,663"
50,2019 Buick Envision Essence,"22,610 mi.",Grieco Chevrolet Delray,4.4,(611 reviews),"$27,900"
51,2019 Buick Encore Preferred,"35,444 mi.",Ganley Buick GMC,4.6,(425 reviews),"$21,907"
52,2019 Buick Encore Preferred,"11,495 mi.",Nick Abraham Auto Mall,4.6,(160 reviews),"$22,900"
53,2019 Buick Encore Preferred,"10,399 mi.",McCluskey Chevrolet,4.1,(818 reviews),"$25,989"
54,2019 Buick Envision Preferred,"36,261 mi.",Ganley Buick GMC,4.6,(425 reviews),"$27,339"
55,2019 Buick Enclave Essence,"45,071 mi.",Bob Jeannotte Buick GMC,4.0,(76 reviews),"$30,995"
56,2020 Buick Encore GX Preferred,"18,691 mi.",Feldman Chevrolet of Livonia,4.7,(750 reviews),"$25,990"
57,2019 Buick Enclave Preferred,"24,529 mi.",Jim Causley Buick GMC,4.9,"(1,031 reviews)","$29,895"
58,2019 Buick Encore Preferred,"23,081 mi.",Crippen Automotive,4.9,"(1,140 reviews)","$22,473"
59,2019 Buick Envision Essence,"19,103 mi.",Grieco Chevrolet Delray,4.4,(611 reviews),"$27,900"
60,2019 Buick Envision Essence,"40,816 mi.",Moran Buick GMC,4.3,(40 reviews),"$29,200"
61,2020 Buick Encore Preferred,"6,846 mi.",Lunghamer Buick-GMC Inc.,4.1,(219 reviews),"$21,501"
62,2019 Buick Encore Preferred,"36,255 mi.",Vyletel Buick - GMC - Volkswagen,3.9,(41 reviews),"$22,995"
63,2020 Buick Encore Preferred,"18,848 mi.",Hill Buick GMC,4.9,"(1,643 reviews)","$22,909"
64,2019 Buick Encore Preferred,"23,383 mi.",Medina Auto Mall,3.7,(242 reviews),"$21,993"
65,2019 Buick Encore Preferred,"36,391 mi.",Vyletel Buick - GMC - Volkswagen,3.9,(41 reviews),"$22,995"
66,2019 Buick Encore Preferred,"44,108 mi.",Rick Hendrick Buick GMC,4.5,(724 reviews),"$23,603"
67,2019 Buick Encore Preferred,"18,637 mi.",C. Harper Buick GMC,4.6,(9 reviews),"$23,898"
68,2019 Buick Encore Preferred,"22,164 mi.",Medina Auto Mall,3.7,(242 reviews),"$21,678"
69,2019 Buick Enclave Preferred,"52,042 mi.",Jim Causley Buick GMC,4.9,"(1,031 reviews)","$29,895"
70,2019 Buick Enclave Essence,"37,498 mi.",LaFontaine Cadillac Buick GMC,4.8,"(1,788 reviews)","$32,800"
71,2019 Buick Encore Preferred,"17,633 mi.",Joyce Buick GMC,4.9,(223 reviews),"$22,500"
72,2019 Buick Encore Preferred,"26,037 mi.",Vyletel Buick - GMC - Volkswagen,3.9,(41 reviews),"$21,995"
73,2019 Buick Encore Preferred,"19,984 mi.",Brookfield Buick GMC,4.8,"(1,847 reviews)","$23,990"
74,2020 Buick Encore GX Preferred,"23,639 mi.",LaFontaine Cadillac Buick GMC,4.8,"(1,788 reviews)","$24,900"
75,2019 Buick Encore Preferred,"27,919 mi.",Driver's Village,3.2,(155 reviews),"$22,908"
76,2020 Buick Envision Essence,"19,089 mi.",Willis Chevrolet Buick,4.5,(91 reviews),"$36,900"
77,2019 Buick Encore Preferred,"10,634 mi.",Jake Sweeney Chevrolet,4.5,(877 reviews),"$23,988"
78,2019 Buick Enclave Essence,"40,160 mi.",Johnson Buick GMC Cadillac,5.0,(5 reviews),"$33,652"
79,2019 Buick Encore Preferred,"47,777 mi.",Ingersoll Auto of Danbury,4.8,(789 reviews),"$21,900"
80,2019 Buick Enclave Essence,"31,272 mi.",Whitaker Buick GMC,4.8,(223 reviews),"$37,997"
81,2019 Buick Envision Preferred,"31,272 mi.",Moran Buick GMC,4.3,(40 reviews),"$27,900"
82,2019 Buick Encore Preferred,"30,577 mi.",Courtesy Buick GMC,4.8,(518 reviews),"$24,483"
83,2019 Buick Encore Essence,"41,646 mi.",Joyce Buick GMC,4.9,(223 reviews),"$23,900"
84,2019 Buick Envision Essence,"43,570 mi.",Buick GMC of Watertown,4.5,(152 reviews),"$26,977"
85,2020 Buick Encore Preferred,"13,569 mi.",#1 Cochran Buick GMC Monroeville,4.7,(865 reviews),"$22,992"
86,2020 Buick Envision Essence,"44,351 mi.",Jimmy Britt Chevrolet Buick GMC,4.8,"(1,311 reviews)","$30,905"
87,2020 Buick Enclave Essence,"30,064 mi.",Bob Jeannotte Buick GMC,4.0,(76 reviews),"$37,995"
88,2019 Buick Encore Sport Touring,"27,157 mi.",LaFontaine Cadillac Buick GMC,4.8,"(1,788 reviews)","$23,500"
89,2019 Buick Enclave Essence,"44,994 mi.",Sellers Buick GMC,4.9,"(1,079 reviews)","$32,990"
90,2019 Buick Encore Essence,"6,767 mi.",Bergey's Buick GMC,4.7,(223 reviews),"$24,795"
91,2019 Buick Encore Preferred,"16,963 mi.",Courtesy Buick GMC,4.8,(518 reviews),"$24,810"
92,2019 Buick Encore Preferred,"26,267 mi.",Moran Buick GMC,4.3,(40 reviews),"$21,100"
93,2020 Buick Enclave Essence,"25,602 mi.",LaFontaine Cadillac Buick GMC,4.8,"(1,788 reviews)","$36,000"
94,2019 Buick Encore Preferred,"34,085 mi.",Handy Cadillac Buick GMC,4.8,(100 reviews),"$22,598"
95,2020 Buick Encore Preferred,"32,746 mi.",O'Neil Buick GMC,4.7,(665 reviews),"$25,416"
96,2019 Buick Encore Sport Touring,"34,717 mi.",Serra Buick GMC Cadillac,4.8,(511 reviews),"$22,210"
97,2019 Buick Encore Preferred,"28,483 mi.",Gates GMC Nissan Buick,4.9,"(3,286 reviews)","$22,999"
98,2019 Buick Encore Preferred,"30,742 mi.",Bob Jeannotte Buick GMC,4.0,(76 reviews),"$22,995"
99,2019 Buick Enclave Essence,"31,517 mi.",Sellers Buick GMC,4.9,"(1,079 reviews)","$33,408"
100,2019 Buick Encore Preferred,"32,981 mi.",Bergey's Buick GMC,4.7,(223 reviews),"$20,895"
101,2019 Buick Enclave Essence,"62,256 mi.",Junction Auto Family - Chrysler Jeep Dodge Ram Buick GMC,4.8,(439 reviews),"$31,900"
102,2019 Buick Enclave Essence,"25,946 mi.",O'Neil Buick GMC,4.7,(665 reviews),"$38,969"
103,2017 Buick Envision Essence,"65,538 mi.",Sellers Buick GMC,4.9,"(1,079 reviews)","$21,995"
104,2019 Buick Encore Essence,"9,381 mi.",Pellegrino Buick GMC,4.9,"(1,033 reviews)","$26,495"
105,2018 Buick Envision Essence,"33,491 mi.",Classic Chevrolet,3.8,(199 reviews),"$28,000"
106,2019 Buick Encore Preferred,"23,349 mi.",Ken Ganley Buick GMC Sandusky,4.8,(353 reviews),"$21,289"
107,2019 Buick Encore Preferred,"24,837 mi.",F.C. Kerbeck & Sons,4.7,(170 reviews),"$24,990"
108,2019 Buick Envision Essence,"28,693 mi.",Champion Chevrolet of Howell,4.4,(243 reviews),"$30,000"
109,2020 Buick Encore GX Essence,"27,143 mi.",Mike Savoie Chevrolet,4.5,(95 reviews),"$28,996"
