,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 Chevrolet Silverado 1500 LD LT,"32,262 mi.",Copeland Chevrolet,4.4,(276 reviews),"$35,477"
1,2019 Chevrolet Blazer 2LT,"26,160 mi.",Sunrise Chevrolet of Glendale Heights,4.9,"(3,130 reviews)","$34,986"
2,2021 Chevrolet Silverado 1500 LT,"22,431 mi.",AutoNation Chevrolet North Richland Hills,4.6,(873 reviews),"$44,999"
3,2019 Chevrolet Blazer 2LT,"26,768 mi.",Apple Chevrolet,4.9,(645 reviews),"$34,771"
4,2019 Chevrolet Equinox 2LT,"14,329 mi.",Bill Fox Chevrolet,4.7,(676 reviews),"$25,617"
5,2019 Chevrolet Equinox 1LT,"20,577 mi.",Ganley Chevrolet Brook Park,4.7,(322 reviews),"$24,676"
6,2019 Chevrolet Silverado 1500 High Country,"49,344 mi.",Southern Buick GMC Kia Virginia Beach,4.4,(573 reviews),"$54,500"
7,2020 Chevrolet Equinox 1LT,"65,289 mi.",Jim Hudson Chevrolet,4.2,(767 reviews),"$26,991"
8,2021 Chevrolet Silverado 1500 LT,"31,064 mi.",Reliable Chevrolet,4.8,"(1,274 reviews)","$38,775"
9,2020 Chevrolet Equinox 2LT,"11,068 mi.",Serra Saginaw,4.3,(32 reviews),"$25,899"
10,2019 Chevrolet Silverado 1500 High Country,"47,311 mi.",Sheehan Buick GMC,4.8,(419 reviews),"$46,989"
11,2020 Chevrolet Trax LT,"11,425 mi.",Serra Saginaw,4.3,(32 reviews),"$22,489"
12,2020 Chevrolet Blazer RS,"32,459 mi.",Les Stanford Chevrolet Cadillac,4.7,(772 reviews),"$39,483"
13,2019 Chevrolet Silverado 1500 High Country,"58,102 mi.",Miami Lakes Automall - Chevrolet Kia Dodge Chrysler Jeep Ram Mitsubishi,4.5,"(2,612 reviews)","$49,995"
14,2019 Chevrolet Blazer 2LT,"16,568 mi.",Shaheen Chevrolet,4.8,(913 reviews),"$35,600"
15,2021 Chevrolet Silverado 1500 LT,"18,307 mi.",Sam Pack's 5 Star Chevrolet,4.8,"(1,235 reviews)","$47,500"
16,2020 Chevrolet Equinox Premier w/1LZ,"35,965 mi.",Chevrolet of Fayetteville,4.9,(391 reviews),"$30,994"
17,2020 Chevrolet Blazer 2LT,"14,140 mi.",Andean Chevrolet,4.8,(347 reviews),"$37,997"
18,2020 Chevrolet Trax LS,"12,803 mi.",Bowser Chevrolet Monroeville,4.6,(297 reviews),"$22,711"
19,2018 Chevrolet Silverado 1500 LTZ,"50,187 mi.",AutoNation Chevrolet Arrowhead,4.5,(950 reviews),"$42,974"
20,2021 Chevrolet Tahoe RST,"14,388 mi.",McCluskey Chevrolet,4.1,(818 reviews),"$77,989"
21,2018 Chevrolet Tahoe Premier,"41,643 mi.",Cecil Atkission Motors,4.6,(38 reviews),"$59,995"
22,2021 Chevrolet Suburban Z71,"46,265 mi.",Cavender Chevrolet,3.8,(56 reviews),"$72,500"
23,2020 Chevrolet Equinox 2LT,"11,147 mi.",Moran Chevrolet,4.5,(168 reviews),"$26,488"
24,2019 Chevrolet Equinox 2LT,"36,759 mi.",Serra Saginaw,4.3,(32 reviews),"$24,987"
25,2019 Chevrolet Trax LT,"62,713 mi.",Miami Lakes Automall - Chevrolet Kia Dodge Chrysler Jeep Ram Mitsubishi,4.5,"(2,612 reviews)","$17,500"
26,2019 Chevrolet Blazer Premier,"15,114 mi.",Friendly Chevrolet,4.6,(307 reviews),"$44,896"
27,2019 Chevrolet Equinox 1LT,"20,235 mi.",Burritt Motors,4.5,(417 reviews),"$26,585"
