,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2018 FIAT 500X Trekking,"53,791 mi.",Mike Perry Motor Company,4.3,(6 reviews),"$18,670"
1,2021 FIAT 500X Sport,"10,526 mi.",Lancaster Dodge RAM Fiat,3.9,(37 reviews),"$29,299"
2,2021 FIAT 500X Trekking,"19,250 mi.",Safford Chrysler Jeep Dodge RAM Fiat of Springfield,4.5,(861 reviews),"$24,000"
3,2018 FIAT 500X Lounge,"40,031 mi.",Lansdale Chrysler Dodge Jeep Ram Fiat,3.9,(31 reviews),"$20,991"
4,2020 FIAT 124 Spider Abarth,"1,517 mi.",Lancaster Dodge RAM Fiat,3.9,(37 reviews),"$36,999"
5,2019 FIAT 500X ,"4,138 mi.",Berglund Chrysler Dodge Jeep Ram,4.3,(65 reviews),"$24,998"
6,2018 FIAT 500X ,"14,602 mi.",Berglund Chrysler Dodge Jeep Ram,4.3,(65 reviews),"$21,998"
7,2020 FIAT 500X ,"1,138 mi.",Berglund Chrysler Dodge Jeep Ram,4.3,(65 reviews),"$29,998"
8,2017 FIAT 124 Spider ,"38,587 mi.",Landmark Chrysler Dodge Jeep Ram Fiat of Atlanta,4.6,(74 reviews),"$20,597"
9,2018 FIAT 500X ,"37,909 mi.",Blackwell Chrysler Jeep Dodge RAM,4.6,(74 reviews),"$22,995"
10,2019 FIAT 500X ,"8,242 mi.",Contemporary Chrysler Dodge Jeep RAM,4.6,(537 reviews),"$23,512"
11,2020 FIAT 500X ,"17,222 mi.",Warrensburg Chrysler Jeep Dodge RAM,4.7,(41 reviews),Not Priced
12,2021 FIAT 500X ,508 mi.,Jim Shorkey Chrysler Dodge Jeep RAM Fiat Alfa Romeo of Youngstown,4.0,(18 reviews),Not Priced
13,2018 FIAT 124 Spider ,"2,935 mi.",North Point Chrysler Dodge Jeep RAM Fiat,4.8,(666 reviews),"$27,900"
14,2020 FIAT 500X ,"15,768 mi.",Ilderton Dodge Chrysler Jeep RAM,4.6,(229 reviews),"$24,991"
15,2020 FIAT 124 Spider ,"1,075 mi.",North Point Chrysler Dodge Jeep RAM Fiat,4.8,(666 reviews),"$29,936"
16,2017 FIAT 500X ,"48,175 mi.",Chrysler Dodge Jeep Ram Fiat of Morgantown,1.0,(1 review),Not Priced
17,2017 FIAT 500L ,"36,807 mi.",Hendrick Chrysler Dodge Jeep Ram FIAT of Concord,4.6,(347 reviews),"$15,900"
18,2017 FIAT 500X ,"24,986 mi.",Chrysler Dodge Jeep Ram Fiat of Morgantown,1.0,(1 review),Not Priced
19,2020 FIAT 124 Spider ,"2,308 mi.",Jim Shorkey Chrysler Dodge Jeep RAM Fiat Alfa Romeo of Youngstown,4.0,(18 reviews),Not Priced
20,2017 FIAT 124 Spider ,"30,081 mi.",Galeana Chrysler Dodge Jeep Fiat RAM,3.4,(65 reviews),"$23,938"
21,2019 FIAT 500X ,"25,494 mi.",King City Chrysler Center,4.9,(198 reviews),"$27,470"
22,2019 FIAT 500X ,"29,746 mi.",Stew Hansen Chrysler Dodge Jeep Ram,4.6,(498 reviews),"$21,999"
23,2017 FIAT 500L ,"42,798 mi.",Stew Hansen Chrysler Dodge Jeep Ram,4.6,(498 reviews),"$17,999"
24,2020 FIAT 500L ,"17,379 mi.",King City Chrysler Center,4.9,(198 reviews),Not Priced
25,2017 FIAT 500L ,"60,333 mi.",Riverside Chrysler Jeep Dodge RAM FIAT,4.8,(40 reviews),"$15,500"
26,2020 FIAT 500X ,"9,128 mi.",Lithia Chrysler Jeep Dodge RAM of Helena,4.5,(195 reviews),"$24,999"
27,2019 FIAT 500 ,"31,076 mi.",Victorville Motors,4.8,(80 reviews),"$17,900"
28,2016 FIAT 500X ,"53,225 mi.",Goss Dodge Chrysler Ram Jeep,4.9,(615 reviews),"$16,997"
29,2017 FIAT 500X ,"41,853 mi.",Victorville Motors,4.8,(80 reviews),"$18,500"
30,2019 FIAT 500X ,"21,250 mi.",Allen Samuels Chrysler Dodge Jeep,4.9,(366 reviews),"$25,775"
31,2018 FIAT 500L ,"24,650 mi.",Allen Samuels Chrysler Dodge Jeep,4.9,(366 reviews),"$26,360"
32,2019 FIAT 124 Spider ,485 mi.,Landmark Chrysler Dodge Jeep Ram Fiat of Atlanta,4.6,(74 reviews),"$30,999"
33,2018 FIAT 500 ,"25,000 mi.",Stew Hansen Chrysler Dodge Jeep Ram,4.6,(498 reviews),"$16,999"
34,2018 FIAT 124 Spider ,"9,615 mi.",Rick Hendrick Jeep Chrysler Dodge Ram FIAT,4.6,(960 reviews),"$26,877"
35,2021 FIAT 500X ,"7,282 mi.",Warrensburg Chrysler Jeep Dodge RAM,4.7,(41 reviews),Not Priced
36,2020 FIAT 500X ,"18,657 mi.",Ilderton Dodge Chrysler Jeep RAM,4.6,(229 reviews),"$25,991"
37,2018 FIAT 500 ,"19,706 mi.",Lithia Chrysler Dodge Jeep Ram Fiat of Bryan College Station,3.4,(36 reviews),"$18,999"
38,2020 FIAT 500L ,"27,803 mi.",Hendrick Chrysler Dodge Jeep Ram FIAT of Concord,4.6,(347 reviews),"$21,888"
39,2017 FIAT 500L ,"41,268 mi.",Lithia Chrysler Dodge Jeep Ram Fiat of Bryan College Station,3.4,(36 reviews),"$16,999"
40,2021 FIAT 500X Pop,"5,266 mi.",Lithia Chrysler Dodge Jeep RAM Fiat of Spokane,4.4,"(1,550 reviews)","$26,995"
41,2018 FIAT 500 ,"42,637 mi.",Galeana Chrysler Dodge Jeep Fiat RAM,3.4,(65 reviews),"$17,998"
42,2018 FIAT 124 Spider ,"6,563 mi.",Courtesy Chrysler Dodge Jeep Ram Breaux Bridge,4.1,(8 reviews),Not Priced
43,2017 FIAT 124 Spider ,"23,364 mi.",Galeana Chrysler Dodge Jeep Fiat RAM,3.4,(65 reviews),"$24,990"
44,2017 FIAT 124 Spider ,"1,621 mi.",Addy's Harbor Dodge Ram Fiat,3.9,(102 reviews),"$26,303"
45,2019 FIAT 500X ,"10,843 mi.",Contemporary Chrysler Dodge Jeep RAM,4.6,(537 reviews),"$24,000"
46,2018 FIAT 124 Spider ,"6,587 mi.",Mike Toler Chrysler Dodge Jeep RAM FIAT,4.9,(275 reviews),Not Priced
47,2020 FIAT 124 Spider ,"2,981 mi.",Key Chrysler Jeep Dodge RAM Inc,4.8,(403 reviews),"$26,965"
48,2019 FIAT 500L ,"21,211 mi.",Stew Hansen Chrysler Dodge Jeep Ram,4.6,(498 reviews),"$21,555"
49,2019 FIAT 500 ,"28,750 mi.",Goss Dodge Chrysler Ram Jeep,4.9,(615 reviews),"$16,149"
50,2019 FIAT 124 Spider ,"10,896 mi.",Lithia Chrysler Jeep Dodge RAM of Helena,4.5,(195 reviews),"$34,999"
51,2017 FIAT 500X ,"54,617 mi.",Herb Chambers Chrysler Dodge Jeep RAM FIAT of Millbury,4.7,"(1,004 reviews)","$17,598"
52,2017 FIAT 124 Spider ,"16,659 mi.",Chrysler Dodge Jeep Ram Fiat of Morgantown,1.0,(1 review),Not Priced
53,2016 FIAT 500X ,"25,831 mi.",Brown Daub Chrysler Jeep Dodge RAM - Easton,2.7,(6 reviews),"$17,988"
54,2019 FIAT 500X ,"9,230 mi.",Lithia Chrysler Dodge Jeep Ram Fiat of Bryan College Station,3.4,(36 reviews),"$28,999"
55,2020 FIAT 500X ,"19,673 mi.",Ilderton Dodge Chrysler Jeep RAM,4.6,(229 reviews),"$23,991"
56,2021 FIAT 500X Pop,"8,633 mi.",Lithia Chrysler Dodge Jeep RAM Fiat of Spokane,4.4,"(1,550 reviews)","$27,995"
57,2018 FIAT 500 ,"53,225 mi.",Victorville Motors,4.8,(80 reviews),"$15,200"
58,2018 FIAT 124 Spider ,"6,317 mi.",Galeana Chrysler Dodge Jeep Fiat RAM,3.4,(65 reviews),"$28,990"
59,2020 FIAT 124 Spider ,"12,983 mi.",Mike Toler Chrysler Dodge Jeep RAM FIAT,4.9,(275 reviews),Not Priced
60,2018 FIAT 500X ,"25,644 mi.",Herb Chambers Chrysler Dodge Jeep RAM FIAT of Danvers,4.6,(532 reviews),"$24,998"
61,2021 FIAT 500X ,"2,302 mi.",Riverside Chrysler Jeep Dodge RAM FIAT,4.8,(40 reviews),"$26,000"
62,2017 FIAT 500X ,"31,740 mi.",Allen Samuels Chrysler Dodge Jeep,4.9,(366 reviews),"$18,300"
63,2020 FIAT 500X ,"14,499 mi.",Warrensburg Chrysler Jeep Dodge RAM,4.7,(41 reviews),Not Priced
64,2019 FIAT 500X ,"15,443 mi.",King City Chrysler Center,4.9,(198 reviews),"$27,470"
65,2018 FIAT 500L ,"65,865 mi.",Addy's Harbor Dodge Ram Fiat,3.9,(102 reviews),"$19,999"
