,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 Ford Escape Titanium,"24,866 mi.",Sentry Ford Lincoln,4.5,(296 reviews),"$28,998"
1,2018 Ford Explorer XLT,"81,744 mi.",Inver Grove Ford,4.6,(470 reviews),"$27,000"
2,2022 Ford Mustang Mach-E Premium,"2,312 mi.",Bill Kay Ford,4.6,"(1,389 reviews)","$68,211"
3,2020 Ford Edge ST,"34,665 mi.",Sam Pack's Five Star Ford Carrollton,4.8,"(2,392 reviews)","$40,000"
4,2021 Ford Expedition Limited,"6,319 mi.",Ron Norris Ford,3.7,(34 reviews),"$69,945"
5,2019 Ford F-150 XLT,"34,957 mi.",Groove Ford,4.5,"(1,094 reviews)","$44,591"
6,2016 Ford Escape Titanium,"33,922 mi.",Byerly Ford,4.8,(853 reviews),"$22,000"
7,2018 Ford Explorer XLT,"65,750 mi.",Superior Ford,4.6,"(2,702 reviews)","$33,988"
8,2018 Ford Explorer XLT,"39,712 mi.",Apple Ford Lincoln Apple Valley,4.7,"(1,607 reviews)","$31,999"
9,2019 Ford Edge Titanium,"17,620 mi.",Hines Park Ford,4.7,(633 reviews),"$34,995"
10,2019 Ford Fusion Hybrid SEL,"20,414 mi.",Long McArthur Ford Lincoln,4.8,"(1,791 reviews)","$31,500"
11,2020 Ford Edge Titanium,"64,439 mi.",Corwin Ford of Springfield,4.6,(734 reviews),"$30,319"
12,2021 Ford F-150 Lariat,"18,788 mi.",Lithia Ford Lincoln of Grand Forks,4.8,(207 reviews),"$58,936"
13,2020 Ford Edge SEL,"10,914 mi.",Southgate Ford,4.6,(467 reviews),"$31,495"
14,2019 Ford Edge Titanium,"22,290 mi.",Joe Machens Capital City Ford,4.8,"(6,480 reviews)","$34,689"
15,2018 Ford F-150 XLT,"20,001 mi.",Fairway Ford,4.8,(910 reviews),"$42,500"
16,2020 Ford Edge SEL,"14,185 mi.",Larry H. Miller Ford Mesa,4.5,(681 reviews),"$33,422"
17,2019 Ford Edge Titanium,"32,693 mi.",Varsity Ford,4.9,"(2,266 reviews)","$31,386"
18,2019 Ford Escape Titanium,"19,256 mi.",Campbell Ford Lincoln Saleen,4.8,"(1,473 reviews)","$28,977"
19,2014 Ford Edge Limited,"105,920 mi.",Rochester Ford,4.6,(284 reviews),"$16,998"
20,2020 Ford F-150 Lariat,"36,976 mi.",Murray Ford Superstore,4.8,"(1,151 reviews)","$49,990"
21,2018 Ford Explorer sport,"65,222 mi.",Rochester Ford,4.6,(284 reviews),"$33,998"
22,2018 Ford Explorer XLT,"61,107 mi.",Westway Ford,4.1,(773 reviews),"$28,014"
23,2018 Ford F-150 Platinum,"30,581 mi.",Andy Mohr Ford,4.5,"(1,769 reviews)","$51,989"
24,2020 Ford F-150 XLT,"24,691 mi.",Otis Ford,4.6,(118 reviews),"$47,900"
25,2020 Ford F-150 Lariat,"39,360 mi.",Energy Country Ford,4.5,(8 reviews),"$42,470"
26,2019 Ford Flex SEL,"32,875 mi.",Bill Brown Ford,4.7,(773 reviews),"$26,789"
27,2019 Ford F-150 Lariat,"41,075 mi.",Lake Ford,4.7,"(4,037 reviews)","$43,497"
28,2014 Ford Taurus Limited,"114,665 mi.",Rochester Ford,4.6,(284 reviews),"$14,998"
29,2022 Ford F-350 King Ranch,"20,049 mi.",Rochester Ford,4.6,(284 reviews),"$90,998"
30,2020 Ford Edge Sport,"49,482 mi.",Camelback Ford Lincoln,4.3,"(1,253 reviews)","$27,888"
31,2019 Ford F-150 Lariat,"48,190 mi.",Corwin Ford of Tri-Cities,4.7,"(2,176 reviews)","$47,279"
32,2021 Ford Expedition Limited,"10,211 mi.",Woody Anderson Ford,4.9,"(1,169 reviews)","$64,650"
33,2019 Ford F-150 Lariat,"21,854 mi.",Gordie Boucher Ford of Menomonee Falls,4.7,"(1,140 reviews)","$51,000"
34,2020 Ford Edge SEL,"44,406 mi.",San Tan Ford,4.6,"(1,950 reviews)","$28,724"
35,2019 Ford F-150 XLT,"30,662 mi.",Richardson Ford Inc.,4.7,(66 reviews),"$38,900"
36,2020 Ford F-150 Lariat,"63,877 mi.",Town East Ford,4.6,"(1,609 reviews)","$38,750"
37,2019 Ford Edge SEL,"60,638 mi.",Lake Ford,4.7,"(4,037 reviews)","$27,943"
38,2019 Ford Escape SE,"35,342 mi.",Camelback Ford Lincoln,4.3,"(1,253 reviews)","$23,550"
39,2020 Ford Edge ST,"19,496 mi.",AutoNation Ford Arlington,4.5,"(1,336 reviews)","$39,429"
40,2020 Ford F-150 Lariat,"42,451 mi.",Bozard Ford Lincoln,4.9,"(7,685 reviews)","$49,991"
41,2021 Ford F-150 LARIAT,"10,183 mi.",Bison Ford,3.7,(21 reviews),"$63,991"
42,2022 Ford Mustang GT Premium,787 mi.,Kelly Ford,4.9,"(3,289 reviews)","$55,755"
43,2018 Ford Explorer XLT,"47,515 mi.",Fairway Ford,4.2,(30 reviews),"$34,650"
44,2022 Ford F-250 Platinum,"42,372 mi.",Sam Pack's Five Star Ford Carrollton,4.8,"(2,392 reviews)","$94,000"
45,2019 Ford Edge SEL,"42,426 mi.",Diers Ford Lincoln,4.8,(397 reviews),"$31,966"
46,2017 Ford Explorer Limited,"82,191 mi.",Rochester Ford,4.6,(284 reviews),"$27,998"
47,2020 Ford Edge SEL,"3,873 mi.",Pat Milliken Ford,4.9,"(1,517 reviews)","$31,595"
48,2021 Ford F-150 Lariat,"18,926 mi.",Apple Ford Lincoln Apple Valley,4.7,"(1,607 reviews)","$64,999"
49,2019 Ford Explorer XLT,"33,747 mi.",Camelback Ford Lincoln,4.3,"(1,253 reviews)","$31,411"
50,2017 Ford Escape Titanium,"67,879 mi.",Rochester Ford,4.6,(284 reviews),"$22,599"
51,2020 Ford F-150 XLT,"35,891 mi.",Apple Ford Lincoln Apple Valley,4.7,"(1,607 reviews)","$43,999"
52,2021 Ford F-150 Lariat,"19,688 mi.",Tallahassee Ford Lincoln,4.3,(73 reviews),"$62,391"
53,2019 Ford F-150 XLT,"42,254 mi.",Future Ford of Clovis,4.9,"(2,367 reviews)","$44,951"
54,2021 Ford F-250 Platinum,"12,022 mi.",SouthWest Ford,3.7,(13 reviews),"$87,997"
55,2020 Ford F-150 Lariat,"49,119 mi.",Coggin Ford of Jacksonville,4.5,"(1,286 reviews)","$50,482"
56,2021 Ford Explorer XLT,"37,699 mi.",Butler Ford,4.2,(92 reviews),"$37,989"
57,2019 Ford Flex SEL,"16,994 mi.",Royal Oak Ford,4.8,"(1,830 reviews)","$32,400"
58,2018 Ford Explorer XLT,"39,770 mi.",Tallahassee Ford Lincoln,4.3,(73 reviews),"$29,671"
59,2017 Ford F-150 Lariat,"58,244 mi.",Bison Ford,3.7,(21 reviews),"$41,991"
60,2019 Ford Expedition Limited,"31,329 mi.",Walnut Creek Ford,4.7,(306 reviews),"$57,499"
61,2019 Ford F-150 Raptor,"33,610 mi.",Larry H. Miller Ford Lincoln Provo,4.1,(398 reviews),"$69,200"
62,2018 Ford Focus SE,"32,260 mi.",Rochester Ford,4.6,(284 reviews),"$17,998"
63,2018 Ford Edge Titanium,"72,316 mi.",Bob Sight Ford,4.8,"(1,152 reviews)","$26,000"
64,2019 Ford Escape SE,"10,615 mi.",Chapman Northeast Ford,3.7,(60 reviews),"$25,129"
65,2013 Ford F-150 Lariat,"42,386 mi.",Stokes Hodges Ford,3.7,(33 reviews),"$29,991"
66,2018 Ford Edge Titanium,"72,180 mi.",Bob Sight Ford,4.8,"(1,152 reviews)","$25,000"
67,2020 Ford F-150 Lariat,"60,139 mi.",Chapman Ford,4.5,(570 reviews),"$48,855"
68,2020 Ford Edge ST,"10,952 mi.",Corwin Ford of Tri-Cities,4.7,"(2,176 reviews)","$43,991"
69,2018 Ford Expedition Limited,"32,000 mi.",AutoNation Ford Katy,4.4,"(2,261 reviews)","$52,997"
70,2020 Ford Explorer XLT,"19,500 mi.",Metro Ford,4.8,"(1,746 reviews)","$34,591"
71,2020 Ford F-150 Lariat,"62,990 mi.",Jarrett Gordon Ford Lincoln of Winter Haven,4.5,(121 reviews),"$39,486"
72,2020 Ford F-150 King Ranch,"38,023 mi.",North Central Ford,4.7,(946 reviews),"$55,998"
73,2017 Ford F-150 Lariat,"85,900 mi.",Banner Ford,4.4,(159 reviews),"$36,585"
74,2020 Ford Edge SEL,"13,596 mi.",Hoffman Ford Lincoln,4.4,(698 reviews),"$32,900"
75,2021 Ford F-150 XLT,"12,710 mi.",Larry H. Miller Super Ford Salt Lake City,4.3,(466 reviews),"$58,669"
76,2020 Ford F-150 Lariat,"22,710 mi.",Kendall Ford of Meridian,4.8,"(1,108 reviews)","$55,993"
77,2020 Ford F-150 XLT,"41,618 mi.",LaFontaine Ford Birch Run,3.8,(71 reviews),"$41,112"
78,2019 Ford Escape SE,"19,278 mi.",Watertown Ford,4.8,(838 reviews),"$24,443"
79,2021 Ford Bronco Sport Big Bend,"3,074 mi.",Bellingham Ford Lincoln,4.3,(695 reviews),"$37,390"
80,2019 Ford Edge SEL,"38,238 mi.",Sutton Ford,4.6,"(4,153 reviews)","$28,000"
81,2017 Ford F-150 Platinum,"84,352 mi.",San Tan Ford,4.6,"(1,950 reviews)","$40,239"
82,2018 Ford F-150 XLT,"41,576 mi.","Willrodt Ford, Inc.",4.9,(3 reviews),"$39,985"
83,2016 Ford F-150 King Ranch,"97,431 mi.",Banner Ford,4.4,(159 reviews),"$36,685"
84,2020 Ford F-150 Lariat,"19,872 mi.",Pat Milliken Ford,4.9,"(1,517 reviews)","$53,845"
85,2019 Ford F-150 XLT,"45,659 mi.",Fairway Ford,4.8,(910 reviews),"$39,000"
86,2019 Ford Flex SEL,"21,707 mi.",Serramonte Ford,4.4,(299 reviews),"$33,491"
87,2017 Ford Escape S,"35,940 mi.",Rochester Ford,4.6,(284 reviews),"$19,299"
88,2019 Ford Edge SEL,"38,768 mi.",Varsity Ford,4.9,"(2,266 reviews)","$28,650"
89,2021 Ford F-150 XL,"15,748 mi.",Sarat Ford Lincoln,4.5,(500 reviews),"$58,990"
90,2018 Ford Escape S,"38,234 mi.",Joe Machens Capital City Ford,4.8,"(6,480 reviews)","$19,999"
91,2019 Ford F-150 XLT,"36,828 mi.",Gaudin Ford,4.6,"(1,113 reviews)","$39,980"
92,2018 Ford Explorer Limited,"84,754 mi.",Anderson Ford,4.4,(410 reviews),"$29,987"
93,2021 Ford F-150 Lariat,"19,405 mi.",Five Star Ford Lewisville,4.9,"(1,700 reviews)","$59,000"
94,2021 Ford F-150 Lariat,"11,015 mi.",Tallahassee Ford Lincoln,4.3,(73 reviews),"$62,253"
95,2019 Ford F-150 XLT,"36,105 mi.",Holiday Ford,4.8,(474 reviews),"$42,400"
96,2019 Ford F-150 XLT,"17,608 mi.",Hines Park Ford,4.7,(633 reviews),"$39,988"
97,2019 Ford F-250 Platinum,"23,969 mi.",Jarrett Gordon Ford Lincoln of Winter Haven,4.5,(121 reviews),"$79,931"
98,2019 Ford Edge SEL,"43,609 mi.",Dorsch Ford,4.7,"(1,769 reviews)","$31,450"
99,2020 Ford Edge SEL,"53,844 mi.",Hoffman Ford Lincoln,4.4,(698 reviews),"$27,462"
100,2020 Ford F-150 XL,"30,849 mi.",McCombs Ford West,4.8,"(1,513 reviews)","$43,999"
101,2019 Ford F-150 Lariat,"18,621 mi.",Shaker Family Ford Lincoln,4.9,"(4,049 reviews)","$51,999"
102,2019 Ford Escape SE,"34,426 mi.",Camelback Ford Lincoln,4.3,"(1,253 reviews)","$23,611"
103,2019 Ford Escape Titanium,"16,393 mi.",AutoFair Ford of Haverhill,4.6,(953 reviews),"$29,788"
104,2019 Ford Edge SEL,"15,805 mi.",Pat Milliken Ford,4.9,"(1,517 reviews)","$29,481"
105,2020 Ford F-150 Lariat,"14,722 mi.",Varsity Ford,4.9,"(2,266 reviews)","$48,833"
106,2018 Ford Escape SE,"54,592 mi.",Hudson Ford,4.8,"(2,457 reviews)","$22,595"
107,2020 Ford Edge SEL,"14,701 mi.",Friendly Ford Lincoln,4.7,(553 reviews),"$29,887"
108,2020 Ford Transit-250 Base,"36,420 mi.",Gordie Boucher Ford of Kenosha,4.7,"(1,370 reviews)","$52,685"
109,2020 Ford Expedition Limited,"26,853 mi.",Woody Anderson Ford,4.9,"(1,169 reviews)","$61,990"
110,2019 Ford Edge SEL,"43,352 mi.",Tom's Ford,4.8,(803 reviews),"$28,485"
111,2019 Ford Escape Titanium,"38,379 mi.",Chapman Northeast Ford,3.7,(60 reviews),"$27,098"
112,2019 Ford Edge SEL,"10,327 mi.",Serra Ford Rochester Hills,4.9,"(1,159 reviews)","$28,693"
113,2021 Ford EcoSport SE,"17,332 mi.",SouthWest Ford,3.7,(13 reviews),"$24,521"
114,2017 Ford F-350 Lariat Super Duty,"20,883 mi.",Sarasota Ford,4.8,"(2,080 reviews)","$75,000"
115,2020 Ford Mustang ECOBOOST,"36,264 mi.",World Ford Pensacola,4.5,(852 reviews),"$31,689"
116,2018 Ford F-150 Raptor,"23,986 mi.",Gordie Boucher Ford of Kenosha,4.7,"(1,370 reviews)","$64,863"
117,2020 Ford Transit-250 Base,"37,933 mi.",Jarrett Scott Ford,4.7,(432 reviews),"$48,787"
118,2019 Ford Edge ST,"22,143 mi.",Galpin Ford,4.9,"(2,037 reviews)","$38,000"
119,2017 Ford Explorer Limited,"97,591 mi.",Five Star Ford,4.9,"(7,933 reviews)","$23,000"
120,2018 Ford EcoSport SE,"49,397 mi.",Pat Milliken Ford,4.9,"(1,517 reviews)","$18,350"
121,2018 Ford F-150 Lariat,"45,257 mi.",Fred Beans Ford Lincoln,4.5,(208 reviews),"$46,900"
122,2021 Ford Expedition XLT,"10,490 mi.",Tallahassee Ford Lincoln,4.3,(73 reviews),"$55,351"
123,2019 Ford F-150 Lariat,"31,559 mi.",Rountree Ford Lincoln,4.1,(351 reviews),"$45,793"
124,2021 Ford Mustang Mach-E GT,"8,948 mi.",Apple Ford Lincoln,4.5,(915 reviews),"$68,000"
125,2019 Ford F-150 Lariat,"43,565 mi.",Lake Ford,4.7,"(4,037 reviews)","$42,997"
126,2019 Ford F-150 XLT,"38,358 mi.",Rochester Ford,4.6,(284 reviews),"$42,998"
127,2020 Ford F-150 XLT,"16,287 mi.",Ray Skillman Southside,4.8,"(1,249 reviews)","$49,980"
128,2018 Ford Edge SEL,"45,954 mi.",Gene Latta Ford,4.9,(110 reviews),"$28,874"
129,2019 Ford F-150 XLT,"38,091 mi.",Rochester Ford,4.6,(284 reviews),"$39,499"
130,2020 Ford F-150 XLT,"36,999 mi.",Rochester Ford,4.6,(284 reviews),"$42,799"
131,2019 Ford F-150 XLT,"43,024 mi.",Sarasota Ford,4.8,"(2,080 reviews)","$43,300"
132,2020 Ford Mustang ECOBOOST,"34,333 mi.",World Ford Pensacola,4.5,(852 reviews),"$29,989"
133,2020 Ford Fusion SE,"13,287 mi.",LaFontaine Ford Birch Run,3.8,(71 reviews),"$25,622"
134,2019 Ford Flex SEL,"36,674 mi.",Pat Milliken Ford,4.9,"(1,517 reviews)","$29,496"
135,2020 Ford Escape SEL,"4,114 mi.",Varsity Ford,4.9,"(2,266 reviews)","$30,555"
136,2019 Ford Escape SE,"37,090 mi.",Metro Ford,4.8,"(1,746 reviews)","$20,491"
137,2019 Ford Escape SE,"80,119 mi.",Pat Milliken Ford,4.9,"(1,517 reviews)","$19,495"
138,2015 Ford F-150 Lariat,"38,245 mi.",Chapman Ford,4.5,(570 reviews),"$42,151"
139,2019 Ford Edge ST,"49,506 mi.",Ford of Upland,4.5,"(1,044 reviews)","$37,998"
140,2019 Ford F-150 Lariat,"35,933 mi.",Parks Ford of Wesley Chapel,4.8,"(2,754 reviews)","$48,989"
141,2020 Ford Fusion Titanium,"69,145 mi.",Ted Russell Ford Kingston Pike,4.6,(483 reviews),"$28,990"
142,2019 Ford Flex SEL,"31,221 mi.",Pat Milliken Ford,4.9,"(1,517 reviews)","$28,962"
143,2019 Ford Edge SEL,"20,698 mi.",Puente Hills Ford,4.7,(250 reviews),"$29,994"
144,2020 Ford F-150 XLT,"32,636 mi.",Healey Ford Lincoln & Mitsubishi,4.7,(406 reviews),"$46,616"
145,2019 Ford F-150 Lariat,"50,440 mi.",Lake Ford,4.7,"(4,037 reviews)","$42,997"
146,2018 Ford Edge SEL,"36,896 mi.",Gene Latta Ford,4.9,(110 reviews),"$29,900"
147,2019 Ford Edge ST,"37,426 mi.",AutoNation Ford Tustin,4.5,"(1,136 reviews)","$36,508"
148,2018 Ford Explorer XLT,"43,370 mi.",Fairway Ford,4.2,(30 reviews),"$34,950"
149,2020 Ford Escape SE,"19,994 mi.",Randall Reed's Planet Ford 635,4.5,(519 reviews),"$27,885"
150,2018 Ford Explorer sport,"46,578 mi.",Lake Ford,4.7,"(4,037 reviews)","$36,989"
151,2019 Ford Flex SEL,"38,767 mi.",Friendly Ford Lincoln,4.7,(553 reviews),"$29,998"
152,2016 Ford Explorer Limited,"87,497 mi.",Andy Mohr Ford,4.5,"(1,769 reviews)","$26,054"
153,2017 Ford Fusion SE,"71,891 mi.",Wayne Akers Ford,4.4,"(1,430 reviews)","$19,998"
154,2018 Ford F-150 Platinum,"82,872 mi.",Gullo Ford of Conroe - The Woodlands,4.9,"(2,223 reviews)","$44,991"
155,2019 Ford Fusion Hybrid SEL,"22,433 mi.",Dana Ford Lincoln,4.7,"(4,828 reviews)","$25,900"
156,2019 Ford F-150 XLT,"40,740 mi.",Brandon Ford,4.6,"(1,895 reviews)","$39,495"
157,2018 Ford Explorer XLT,"36,501 mi.",Priority Ford,4.7,(545 reviews),"$31,758"
158,2020 Ford Explorer Limited,"16,063 mi.",Tallahassee Ford Lincoln,4.3,(73 reviews),"$41,961"
159,2020 Ford Escape SE,"14,120 mi.",Luther North Country Ford Lincoln,4.8,"(3,966 reviews)","$30,995"
160,2021 Ford Expedition XLT,"21,629 mi.",Tallahassee Ford Lincoln,4.3,(73 reviews),"$53,691"
161,2019 Ford Edge Titanium,"34,516 mi.",Apple Ford Shakopee,4.7,(808 reviews),"$34,765"
162,2020 Ford F-150 XLT,"17,387 mi.",Gordie Boucher Ford of Menomonee Falls,4.7,"(1,140 reviews)","$44,750"
163,2021 Ford F-150 Lariat,"39,332 mi.",Chapman Ford,4.5,(570 reviews),"$59,940"
164,2020 Ford Edge SEL,"22,339 mi.",Galpin Ford,4.9,"(2,037 reviews)","$29,000"
165,2019 Ford F-150 XLT,"42,554 mi.",Anderson Ford Lincoln,4.7,(611 reviews),"$36,500"
166,2019 Ford Escape Titanium,"29,037 mi.",Apple Ford Lincoln Apple Valley,4.7,"(1,607 reviews)","$30,999"
167,2019 Ford Ranger Lariat,"30,511 mi.",San Tan Ford,4.6,"(1,950 reviews)","$39,724"
168,2019 Ford F-150 Lariat,"40,790 mi.",Uptown Ford Lincoln,4.8,(434 reviews),"$44,995"
169,2020 Ford Transit-250 Base,"15,201 mi.",Serramonte Ford,4.4,(299 reviews),"$49,991"
170,2019 Ford Edge SEL,"44,879 mi.",Dorsch Ford,4.7,"(1,769 reviews)","$29,950"
171,2019 Ford Expedition XLT,"59,424 mi.",Five Star Ford,4.9,"(7,933 reviews)","$41,500"
172,2019 Ford Escape SE,"48,306 mi.",Sutton Ford,4.6,"(4,153 reviews)","$23,000"
173,2019 Ford F-150 Lariat,"49,911 mi.",Gary Crossley Ford,4.7,"(1,037 reviews)","$44,000"
174,2020 Ford F-150 XLT,"37,025 mi.",Midland Ford Lincoln,4.6,(282 reviews),"$42,900"
175,2019 Ford F-150 XLT,"37,565 mi.",Corwin Ford of Tri-Cities,4.7,"(2,176 reviews)","$38,731"
176,2020 Ford F-150 Lariat,"17,751 mi.",Bozard Ford Lincoln,4.9,"(7,685 reviews)","$52,600"
177,2018 Ford F-150 Lariat,"50,020 mi.",Lake Ford,4.7,"(4,037 reviews)","$43,898"
178,2018 Ford Escape SE,"50,792 mi.",Camelback Ford Lincoln,4.3,"(1,253 reviews)","$20,999"
179,2020 Ford Ranger ,"16,850 mi.",Lucas Ford,4.5,(200 reviews),"$37,995"
180,2020 Ford Explorer XLT,"12,819 mi.",Jim Shorkey Ford,4.1,(58 reviews),"$39,958"
181,2018 Ford F-150 XLT,"43,108 mi.",Luther North Country Ford Lincoln,4.8,"(3,966 reviews)","$38,995"
182,2020 Ford Escape SEL,"24,283 mi.",Bill Brown Ford,4.7,(773 reviews),"$27,990"
183,2020 Ford Fusion SE,"29,253 mi.",Sam Pack's Five Star Ford Carrollton,4.8,"(2,392 reviews)","$24,800"
184,2019 Ford F-150 Lariat,"55,464 mi.",Brandon Ford,4.6,"(1,895 reviews)","$46,495"
185,2019 Ford Escape Titanium,"23,613 mi.",Rod Baker Ford,4.8,"(1,288 reviews)","$29,997"
186,2019 Ford F-150 XLT,"37,899 mi.",Jack Madden Ford,4.5,(622 reviews),"$43,996"
187,2020 Ford Escape SEL,"15,872 mi.",Bill Brown Ford,4.7,(773 reviews),"$29,990"
188,2020 Ford Mustang GT Premium,"15,847 mi.",Serramonte Ford,4.4,(299 reviews),"$45,991"
189,2017 Ford Explorer Limited,"87,814 mi.",John Megel Ford,4.8,(364 reviews),"$27,560"
190,2019 Ford F-150 XLT,"44,750 mi.",Germain Ford,4.6,(532 reviews),"$40,802"
191,2019 Ford Escape SE,"22,541 mi.",Donley Ford - Mount Vernon,4.8,(660 reviews),"$24,086"
192,2021 Ford F-150 Platinum,"19,844 mi.",Sam Pack's Five Star Ford Carrollton,4.8,"(2,392 reviews)","$70,000"
193,2019 Ford F-150 XLT,"56,730 mi.",Gaudin Ford,4.6,"(1,113 reviews)","$41,750"
194,2019 Ford Flex SEL,"28,276 mi.",Varsity Ford,4.9,"(2,266 reviews)","$31,650"
195,2019 Ford Edge SEL,"11,086 mi.",Royal Oak Ford,4.8,"(1,830 reviews)","$31,399"
196,2018 Ford Escape SEL,"56,445 mi.",Lake Ford,4.7,"(4,037 reviews)","$23,792"
197,2016 Ford Focus SE,"59,948 mi.",Five Star Ford Dallas,4.7,(373 reviews),"$17,000"
198,2019 Ford Escape SE,"22,075 mi.",Walker Ford,4.8,"(5,551 reviews)","$23,888"
199,2019 Ford F-150 XLT,"40,530 mi.",Campbell Ford Lincoln Saleen,4.8,"(1,473 reviews)","$39,991"
200,2019 Ford Escape SE,"13,321 mi.",Fair Oaks Ford Lincoln,4.8,"(3,446 reviews)","$23,995"
201,2020 Ford F-150 XLT,"24,547 mi.",Holiday Ford,4.8,(253 reviews),"$47,500"
202,2019 Ford Escape SEL,"15,356 mi.",Fullerton Auto Group,4.6,(335 reviews),"$26,500"
203,2019 Ford F-150 XLT,"34,685 mi.",Town East Ford,4.6,"(1,609 reviews)","$41,250"
204,2019 Ford F-150 XLT,"48,920 mi.",York Ford,4.7,(747 reviews),"$36,627"
205,2019 Ford F-150 XLT,"15,385 mi.",Town East Ford,4.6,"(1,609 reviews)","$42,950"
206,2017 Ford Fusion SE,"107,975 mi.",James Collins Ford,4.3,(46 reviews),"$18,980"
