,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2021 Honda Pilot EX-L,"21,394 mi.",Zeigler Honda of Racine,4.5,(143 reviews),"$39,994"
1,2022 Honda Pilot Special Edition,"15,472 mi.",Honda of Concord,4.8,"(2,528 reviews)","$44,789"
2,2019 Honda Accord EX-L,"24,860 mi.",Morrie's West Bend Honda,3.2,(25 reviews),"$30,304"
3,2019 Honda Passport EX-L,"17,320 mi.",Right Honda,4.7,"(1,886 reviews)","$33,949"
4,2016 Honda Accord EX,"61,770 mi.",Frank Leta Honda,4.7,(947 reviews),"$21,900"
5,2020 Honda Pilot Touring 8-Passenger,"7,535 mi.",Jim Coleman Honda,4.7,"(2,261 reviews)","$43,997"
6,2019 Honda CR-V EX-L,"35,575 mi.",Vic Bailey Honda,4.8,(746 reviews),"$34,200"
7,2019 Honda CR-V EX,"19,416 mi.",The Honda Store,3.7,(53 reviews),"$31,100"
8,2019 Honda CR-V EX-L,"23,175 mi.",Apple Tree Honda,4.0,(335 reviews),"$34,917"
9,2019 Honda Passport Touring,"21,867 mi.",Shottenkirk Honda Huntsville,4.4,(165 reviews),"$39,987"
10,2020 Honda Pilot EX-L,"53,310 mi.",Lute Riley Honda,4.8,"(3,088 reviews)","$34,499"
11,2019 Honda CR-V EX-L,"35,640 mi.",Findlay Honda Henderson,4.6,(397 reviews),"$33,214"
12,2019 Honda CR-V EX-L,"23,987 mi.",Hendrick Honda,4.8,"(3,172 reviews)","$32,995"
13,2019 Honda CR-V EX-L,"24,886 mi.",Delray Honda,4.9,"(5,486 reviews)","$29,510"
14,2019 Honda Odyssey EX-L,"19,982 mi.",Parkway Honda,4.8,(548 reviews),"$34,500"
15,2019 Honda CR-V EX-L,"15,126 mi.",Ray Laks Honda,4.6,(112 reviews),"$31,754"
16,2019 Honda Passport EX-L,"36,119 mi.",Luther Brookdale Honda,4.6,"(6,154 reviews)","$35,995"
17,2021 Honda Accord Sport 2.0T,"13,386 mi.",Schaumburg Honda Automobiles,4.6,"(3,182 reviews)","$36,600"
18,2019 Honda CR-V Touring,"10,664 mi.",Sunset Honda,4.8,(301 reviews),"$37,500"
19,2019 Honda CR-V EX-L,"24,012 mi.",Honda of  Seattle,4.6,(143 reviews),"$34,209"
20,2018 Honda CR-V EX-L,"38,628 mi.",John Eagle Honda of Dallas,4.8,"(2,078 reviews)","$31,000"
21,2019 Honda CR-V EX-L,"16,896 mi.",Honda of Fort Worth,4.8,"(2,493 reviews)","$32,000"
22,2020 Honda CR-V EX-L,"14,048 mi.",Honda Marysville,4.7,(944 reviews),"$34,991"
23,2019 Honda CR-V EX-L,"37,395 mi.",Weir Canyon Honda,4.7,(360 reviews),"$29,995"
24,2019 Honda CR-V EX-L,"44,121 mi.",Jay Wolfe Honda,4.8,(234 reviews),"$35,500"
25,2020 Honda Passport EX-L,"21,485 mi.",Mungenast St. Louis Honda,4.9,"(2,638 reviews)","$41,699"
26,2020 Honda Passport EX-L,"34,707 mi.",Flow Honda,4.7,(624 reviews),"$37,899"
27,2018 Honda CR-V EX-L,"17,406 mi.",Paragon Honda,4.7,"(5,834 reviews)","$29,338"
28,2019 Honda CR-V EX,"16,268 mi.",Germain Honda of Dublin,4.8,"(4,131 reviews)","$30,856"
29,2019 Honda Pilot EX-L,"28,067 mi.",Lou Sobh Honda,4.9,"(4,404 reviews)","$35,999"
30,2019 Honda CR-V EX-L,"24,207 mi.",Findlay Honda Henderson,4.6,(397 reviews),"$33,697"
31,2019 Honda CR-V EX-L,"17,318 mi.",Key Honda of Rutland,5.0,(1 review),"$32,399"
32,2019 Honda CR-V EX-L,"17,300 mi.",Honda Mall of Georgia,4.7,"(1,148 reviews)","$34,480"
33,2019 Honda CR-V EX-L,"21,344 mi.",Braman Honda of Palm Beach,4.9,"(4,926 reviews)","$29,560"
34,2018 Honda CR-V EX-L,"39,371 mi.",Zimmerman Honda,4.9,"(2,509 reviews)","$29,991"
35,2021 Honda Passport EX-L,"20,091 mi.",Honda Marysville,4.7,(944 reviews),"$37,992"
36,2019 Honda CR-V EX-L,"17,679 mi.",Coggin Honda of Fort Pierce,4.7,(656 reviews),"$29,799"
37,2019 Honda CR-V EX-L,"30,489 mi.",Honda of  Seattle,4.6,(143 reviews),"$33,535"
38,2019 Honda CR-V EX-L,"38,276 mi.",Mungenast St. Louis Honda,4.9,"(2,638 reviews)","$35,573"
39,2019 Honda CR-V EX-L,"21,505 mi.",Hyannis Honda,4.8,"(1,558 reviews)","$32,397"
40,2021 Honda CR-V EX-L,"19,463 mi.",Sunset Honda,4.8,(301 reviews),"$36,700"
41,2021 Honda Passport EX-L,"13,572 mi.",Hyannis Honda,4.8,"(1,558 reviews)","$39,012"
42,2019 Honda CR-V EX-L,"30,615 mi.",Klein Honda in Everett,4.5,(667 reviews),"$34,576"
43,2021 Honda CR-V EX-L,"35,540 mi.",Don Ayres Honda,4.9,"(4,489 reviews)","$34,633"
44,2020 Honda Passport EX-L,"33,356 mi.",Mungenast St. Louis Honda,4.9,"(2,638 reviews)","$39,590"
45,2019 Honda Passport Touring,"23,547 mi.",Honda of  Seattle,4.6,(143 reviews),"$38,919"
46,2017 Honda CR-V EX-L,"37,777 mi.",Davis Honda,4.4,(857 reviews),"$28,750"
47,2019 Honda CR-V EX-L,"39,047 mi.",McGrath Honda in Elgin,4.6,"(1,768 reviews)","$29,409"
48,2021 Honda Pilot ,"27,024 mi.",ALL-STAR Honda,4.5,"(1,378 reviews)","$41,991"
49,2021 Honda Accord Sport SE,"6,213 mi.",Honda West,4.8,"(1,889 reviews)","$34,998"
50,2019 Honda CR-V EX-L,"39,708 mi.",Burns Honda,4.8,"(1,570 reviews)","$31,255"
51,2022 Honda Odyssey EX-L,"4,010 mi.",Howdy Honda,3.8,(50 reviews),"$46,896"
52,2019 Honda CR-V EX-L,"23,193 mi.",East Coast Honda,4.6,(109 reviews),"$38,000"
53,2019 Honda Passport EX-L,"36,543 mi.",Luther Hopkins Honda,4.8,"(2,133 reviews)","$36,595"
54,2018 Honda CR-V EX-L,"67,756 mi.",Penske Honda,4.7,(686 reviews),"$27,172"
55,2019 Honda CR-V EX-L,"18,649 mi.",Millennium Honda,4.7,"(4,719 reviews)","$33,477"
56,2020 Honda CR-V EX-L,"30,613 mi.",Performance Kings Honda,4.3,"(1,037 reviews)","$35,284"
57,2019 Honda CR-V EX-L,"50,998 mi.",Honda of  Seattle,4.6,(143 reviews),"$32,612"
58,2021 Honda CR-V EX-L,"10,747 mi.",Kelly Honda,4.6,"(1,314 reviews)","$39,999"
59,2019 Honda CR-V EX-L,"13,102 mi.",Sloane Honda,4.8,"(1,745 reviews)","$32,584"
60,2022 Honda Civic Sport,"14,321 mi.",Vandergriff Honda,4.6,"(1,629 reviews)","$35,487"
61,2019 Honda CR-V EX-L,"35,086 mi.",Crown Honda of Southpoint,4.2,(562 reviews),"$32,322"
62,2019 Honda CR-V EX-L,"57,583 mi.",McKenney Salinas Honda,4.7,(543 reviews),"$33,500"
63,2019 Honda CR-V EX-L,"24,598 mi.",Ron Tonkin Honda,4.8,(175 reviews),"$33,933"
64,2021 Honda Passport EX-L,"11,706 mi.",Rick Case Honda,4.6,"(1,353 reviews)","$37,184"
65,2019 Honda CR-V EX-L,"34,058 mi.",Ira Honda 128,4.7,"(1,465 reviews)","$32,050"
66,2019 Honda CR-V EX-L,"51,068 mi.",Westbrook Honda,4.8,"(1,801 reviews)","$29,900"
67,2019 Honda CR-V Touring,"12,140 mi.",Buerkle Hyundai,4.8,"(1,072 reviews)","$34,499"
68,2019 Honda CR-V EX-L,"32,988 mi.",Braman Honda of Palm Beach,4.9,"(4,926 reviews)","$29,401"
69,2020 Honda CR-V EX-L,"10,963 mi.",Plaza Auto Mall,4.6,"(1,412 reviews)","$35,324"
70,2019 Honda CR-V EX-L,"32,976 mi.",Great Lakes Honda,4.7,(450 reviews),"$30,333"
71,2019 Honda CR-V EX-L,"11,446 mi.",Gerald Honda of Matteson,4.8,"(1,388 reviews)","$33,222"
72,2021 Honda Passport Touring,"10,345 mi.",Vandergriff Honda,4.6,"(1,629 reviews)","$40,781"
73,2018 Honda CR-V EX-L,"30,891 mi.",Parkway Honda of Boston,4.6,(921 reviews),"$29,495"
74,2020 Honda Civic LX,"35,039 mi.",Classic Honda Streetsboro,4.8,(502 reviews),"$23,990"
75,2019 Honda Odyssey EX-L,"27,733 mi.",Inver Grove Honda,4.9,"(2,343 reviews)","$40,669"
76,2019 Honda CR-V EX-L,"20,269 mi.",Scott Honda of West Chester,4.9,"(3,345 reviews)","$32,291"
77,2019 Honda CR-V EX-L,"18,190 mi.",J. L. Freed Honda,4.7,"(1,553 reviews)","$32,337"
78,2019 Honda CR-V EX,"45,248 mi.",Coggin Honda of St. Augustine,4.7,"(1,250 reviews)","$26,750"
79,2019 Honda Pilot EX-L,"50,036 mi.",Economy Honda Superstore,4.8,"(1,860 reviews)","$34,497"
80,2020 Honda CR-V EX,"37,755 mi.",Honda of Fort Worth,4.8,"(2,493 reviews)","$30,100"
81,2019 Honda CR-V EX-L,"34,805 mi.",McKenney Salinas Honda,4.7,(543 reviews),"$34,500"
82,2021 Honda Passport Touring,"12,122 mi.",Vandergriff Honda,4.6,"(1,629 reviews)","$42,770"
83,2020 Honda Pilot Touring 7-Passenger,"22,630 mi.",Sunset Honda,4.8,(301 reviews),"$43,800"
84,2020 Honda Pilot Touring 8-Passenger,"20,420 mi.",Jim Coleman Honda,4.7,"(2,261 reviews)","$43,997"
85,2018 Honda CR-V EX-L,"53,389 mi.",Mungenast St. Louis Honda,4.9,"(2,638 reviews)","$31,499"
86,2019 Honda CR-V EX-L,"21,853 mi.",Delray Honda,4.9,"(5,486 reviews)","$29,575"
87,2019 Honda CR-V EX-L,"23,406 mi.",Sloane Honda,4.8,"(1,745 reviews)","$32,201"
88,2019 Honda CR-V EX-L,"45,357 mi.",Serra Honda Grandville,4.9,(826 reviews),"$31,500"
89,2019 Honda CR-V EX-L,"11,332 mi.",Bosak Honda,4.7,(631 reviews),"$33,878"
90,2020 Honda Pilot Touring 7-Passenger,"34,281 mi.",Dick Brooks Honda,4.8,(838 reviews),"$44,990"
91,2020 Honda CR-V EX-L,"19,781 mi.",Bedard Bros,4.2,(89 reviews),"$33,995"
92,2018 Honda CR-V EX-L,"69,235 mi.",Zimmerman Honda,4.9,"(2,509 reviews)","$27,991"
93,2018 Honda CR-V EX-L,"58,582 mi.",Honda Carland,4.6,"(1,122 reviews)","$31,589"
94,2020 Honda CR-V EX,"28,973 mi.",Mungenast St. Louis Honda,4.9,"(2,638 reviews)","$33,999"
95,2019 Honda CR-V EX-L,"23,230 mi.",Braman Honda of Palm Beach,4.9,"(4,926 reviews)","$30,351"
96,2019 Honda CR-V EX-L,"21,463 mi.",Delray Honda,4.9,"(5,486 reviews)","$29,777"
97,2018 Honda CR-V Touring,"22,606 mi.",Gerald Honda of Matteson,4.8,"(1,388 reviews)","$33,558"
