,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2021 INFINITI Q50 3.0t Red Sport 400,"17,114 mi.",INFINITI of San Antonio,4.7,(512 reviews),"$49,484"
1,2019 INFINITI Q50 3.0t Sport,"44,020 mi.",Grubbs INFINITI,4.7,"(1,667 reviews)","$33,500"
2,2021 INFINITI QX50 Luxe,"34,769 mi.",Grubbs INFINITI,4.7,"(1,667 reviews)","$36,250"
3,2019 INFINITI QX50 ESSENTIAL,"45,516 mi.",Berman's INFINITI of Merrillville,4.3,(292 reviews),"$34,560"
4,2021 INFINITI QX50 Luxe,"17,839 mi.",Sewell INFINITI of Fort Worth,4.5,(71 reviews),"$38,799"
5,2020 INFINITI QX50 Luxe,"17,432 mi.",Louisville INFINITI,4.7,(449 reviews),"$41,998"
6,2019 INFINITI QX50 LUXE,"17,838 mi.",INFINITI of Boerne,4.9,(114 reviews),"$33,514"
7,2019 INFINITI QX60 LUXE,"45,325 mi.",Berman's INFINITI of Merrillville,4.3,(292 reviews),"$37,846"
8,2019 INFINITI QX50 Luxe,"13,445 mi.",INFINITI of Coconut Creek,4.8,"(1,147 reviews)","$34,379"
9,2019 INFINITI QX50 ESSENTIAL,"31,443 mi.",INFINITI of Scottsdale,4.8,(655 reviews),"$34,850"
10,2019 INFINITI Q60 3.0t LUXE,"22,104 mi.",Sewell INFINITI of Houston,4.7,(131 reviews),"$37,999"
11,2021 INFINITI QX50 SENSORY,"10,192 mi.",Grubbs INFINITI,4.7,"(1,667 reviews)","$47,000"
12,2019 INFINITI QX50 Luxe,"18,903 mi.",Sawgrass INFINITI,4.6,(403 reviews),"$34,597"
13,2019 INFINITI QX60 Luxe,"33,246 mi.",Jim Coleman INFINITI,4.5,(335 reviews),"$36,500"
14,2021 INFINITI Q50 3.0t Red Sport 400,"14,831 mi.",INFINITI of San Antonio,4.7,(512 reviews),"$48,426"
15,2019 INFINITI Q60 3.0t LUXE,"20,266 mi.",Sewell INFINITI of Houston,4.7,(131 reviews),"$38,999"
16,2020 INFINITI QX60 LUXE,"20,382 mi.",AIRPORT INFINITI,4.8,(241 reviews),"$37,997"
17,2019 INFINITI Q50 3.0t LUXE,"15,650 mi.",INFINITI of Van Nuys,4.6,(552 reviews),"$33,995"
18,2019 INFINITI QX60 Luxe,"51,526 mi.",Sewell INFINITI of Fort Worth,4.5,(71 reviews),"$34,998"
19,2019 INFINITI Q50 3.0t Sport,"33,287 mi.",INFINITI of San Jose,4.4,(134 reviews),"$32,600"
20,2021 INFINITI QX50 SENSORY,"38,745 mi.",Grubbs INFINITI,4.7,"(1,667 reviews)","$44,000"
21,2020 INFINITI QX60 LUXE,"32,948 mi.",INFINITI of Boerne,4.9,(114 reviews),"$38,998"
22,2020 INFINITI QX60 Luxe,"20,063 mi.",Sewell INFINITI,4.5,(217 reviews),"$39,981"
23,2019 INFINITI QX50 ESSENTIAL,"52,497 mi.",INFINITI of Nashua,4.7,"(1,795 reviews)","$32,760"
24,2020 INFINITI QX60 Pure,"18,213 mi.",INFINITI of Birmingham,5.0,(903 reviews),"$40,487"
25,2019 INFINITI QX80 Luxe,"33,959 mi.",INFINITI of Clarendon Hills,4.8,"(1,712 reviews)","$57,917"
26,2019 INFINITI QX50 ESSENTIAL,"41,524 mi.",INFINITI of Clarendon Hills,4.8,"(1,712 reviews)","$38,435"
27,2020 INFINITI QX80 LUXE,"18,094 mi.",INFINITI of Naperville,4.9,"(3,399 reviews)","$66,814"
28,2019 INFINITI QX50 Luxe,"15,811 mi.",Warren Henry Auto Group,4.8,(531 reviews),"$33,991"
