,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2021 Jeep Gladiator Rubicon,"14,582 mi.",Golling Chrysler Dodge Jeep Ram of Roseville,2.6,(26 reviews),"$51,995"
1,2020 Jeep Grand Cherokee Limited,"30,354 mi.",Performance Chrysler Jeep Dodge Ram Delaware,4.6,(209 reviews),"$38,298"
2,2019 Jeep Grand Cherokee Limited,"24,102 mi.",Route 18 Chrysler Jeep Dodge Ram,4.6,"(1,398 reviews)","$32,987"
3,2021 Jeep Grand Cherokee Limited,"19,984 mi.",Brookdale Chrysler Jeep Dodge RAM,4.8,"(3,404 reviews)","$45,687"
4,2019 Jeep Grand Cherokee Limited,"32,096 mi.",Courtesy Chrysler Dodge Jeep RAM,4.9,(280 reviews),"$37,950"
5,2020 Jeep Grand Cherokee Limited,"22,612 mi.",LaFontaine Chrysler Dodge Jeep Ram of Walled Lake,4.9,"(6,307 reviews)","$37,500"
6,2020 Jeep Grand Cherokee Limited,"15,579 mi.",AutoNation Chrysler Dodge Jeep Ram and FIAT North Phoenix,4.3,"(1,586 reviews)","$38,395"
7,2021 Jeep Grand Cherokee Limited,"12,847 mi.",Jeff Belzer Roseville CDJR,4.7,"(2,247 reviews)","$46,593"
8,2019 Jeep Grand Cherokee Limited,"17,472 mi.",Golling Chrysler Dodge Jeep RAM,4.9,"(4,099 reviews)","$33,789"
9,2019 Jeep Compass Latitude,"35,499 mi.",South Hills Chrysler Dodge Jeep RAM FIAT,4.6,(764 reviews),"$25,000"
10,2018 Jeep Grand Cherokee Limited,"40,596 mi.",Corwin Chrysler Dodge Jeep Ram Fiat of Springfield,4.6,(218 reviews),"$33,635"
11,2019 Jeep Cherokee Limited,"22,618 mi.",Westgate Dodge Ram of Wake Forest,4.4,(250 reviews),"$31,997"
12,2020 Jeep Wrangler Unlimited Sport,"20,550 mi.",Vann Dodge Chrysler Jeep RAM,4.7,(724 reviews),"$49,995"
13,2019 Jeep Cherokee Limited,"23,693 mi.",Rouen Chrysler Jeep Dodge Ram,4.5,(176 reviews),"$28,945"
14,2019 Jeep Grand Cherokee Limited,"35,681 mi.",C R Chrysler Dodge Jeep RAM of Adrian,4.7,(267 reviews),"$35,717"
15,2020 Jeep Grand Cherokee Limited,"21,146 mi.",Meador Dodge Chrysler Jeep RAM,4.5,"(1,897 reviews)","$43,000"
16,2017 Jeep Grand Cherokee Limited,"50,516 mi.",Walker Chrysler Dodge Jeep RAM - WV,4.6,(9 reviews),"$30,999"
17,2020 Jeep Grand Cherokee Limited,"23,456 mi.",Eide Chrysler Dodge Jeep RAM,4.5,(84 reviews),"$39,500"
18,2019 Jeep Cherokee Limited,"31,600 mi.",Milosch's Palace Chrysler Dodge Jeep RAM,4.6,(854 reviews),"$27,750"
19,2019 Jeep Cherokee Limited,"33,346 mi.",Westgate Dodge Ram of Wake Forest,4.4,(250 reviews),"$27,000"
20,2019 Jeep Grand Cherokee Limited,"50,724 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,370 reviews)","$33,573"
21,2020 Jeep Grand Cherokee Limited,"18,766 mi.",Eastchester Chrysler Jeep Dodge RAM,4.4,"(6,373 reviews)","$35,500"
22,2020 Jeep Grand Cherokee Limited,"23,628 mi.",Brookdale Chrysler Jeep Dodge RAM,4.8,"(3,404 reviews)","$44,532"
23,2019 Jeep Grand Cherokee Limited,"35,331 mi.",LaFontaine Chrysler Dodge Jeep Ram of Walled Lake,4.9,"(6,307 reviews)","$34,899"
24,2020 Jeep Wrangler Unlimited Sport,"15,152 mi.",Jeff D'Ambrosio Chrysler Dodge Jeep Mitsubishi RAM Volkswagen,4.1,(163 reviews),"$40,500"
25,2018 Jeep Grand Cherokee Limited,"50,512 mi.",Courtesy Chrysler Dodge Jeep RAM,4.9,(280 reviews),"$34,950"
26,2019 Jeep Cherokee Limited,"60,052 mi.",Westgate Chrysler Jeep Dodge Ram,4.4,"(1,138 reviews)","$28,938"
27,2019 Jeep Compass Latitude,"54,314 mi.",#1 Cochran Chrysler Dodge Jeep Ram,4.8,(643 reviews),"$24,481"
28,2018 Jeep Grand Cherokee High Altitude,"60,318 mi.",Ken Garff Chrysler Jeep Dodge Ram Fiat,4.1,(647 reviews),"$37,754"
29,2018 Jeep Grand Cherokee Limited,"67,981 mi.",Platinum Chrysler Dodge Ram Jeep,4.5,(537 reviews),"$31,791"
30,2018 Jeep Grand Cherokee Limited,"22,303 mi.",Jeff D'Ambrosio Chrysler Dodge Jeep Mitsubishi RAM Volkswagen,4.1,(163 reviews),"$37,500"
31,2021 Jeep Grand Cherokee Limited,"48,011 mi.",Bob Caldwell Chrysler Jeep Dodge RAM,4.7,"(1,225 reviews)","$36,933"
32,2021 Jeep Grand Cherokee Limited,"22,940 mi.",Imperial Chrysler Dodge Jeep RAM,4.8,"(1,442 reviews)","$46,477"
33,2020 Jeep Grand Cherokee Limited,"19,018 mi.",Golling Chrysler Dodge Jeep RAM,4.9,"(4,099 reviews)","$36,965"
34,2021 Jeep Wrangler Unlimited 4xe Sahara,"13,175 mi.",Ken Garff Chrysler Jeep Dodge Ram Fiat,4.1,(647 reviews),"$57,992"
35,2019 Jeep Cherokee Limited,"16,841 mi.",Armory Chrysler Dodge Jeep Ram FIAT,4.6,(787 reviews),"$28,999"
36,2021 Jeep Wrangler Unlimited Rubicon,"19,991 mi.",Lake Norman Chrysler Dodge Jeep Ram,4.8,"(2,623 reviews)","$58,500"
37,2021 Jeep Grand Cherokee Limited,"24,887 mi.",Brad Deery Motors,4.7,"(1,488 reviews)","$42,401"
38,2019 Jeep Grand Cherokee Limited,"20,194 mi.",Medina Auto Mall,3.7,(242 reviews),"$35,583"
39,2019 Jeep Grand Cherokee Limited,"40,476 mi.",LaFontaine Chrysler Dodge Jeep Ram of Walled Lake,4.9,"(6,307 reviews)","$34,999"
40,2019 Jeep Grand Cherokee Limited,"21,209 mi.",Buhler & Bitter Jeep Chrysler Dodge RAM,4.4,(254 reviews),"$34,999"
41,2020 Jeep Grand Cherokee Limited,"40,272 mi.",Apple Chrysler Dodge Jeep Ram of Shakopee,3.8,(22 reviews),"$36,250"
42,2021 Jeep Wrangler Unlimited Sport S,"15,849 mi.",Lithia Chrysler Jeep of Reno,4.8,"(1,226 reviews)","$44,980"
43,2019 Jeep Grand Cherokee Limited,"32,604 mi.",Medina Auto Mall,3.7,(242 reviews),"$35,584"
44,2019 Jeep Cherokee Limited,"37,410 mi.",Videon Chrysler Dodge Jeep RAM,4.8,(869 reviews),"$28,778"
45,2020 Jeep Grand Cherokee Limited,"35,053 mi.",Eastchester Chrysler Jeep Dodge RAM,4.4,"(6,373 reviews)","$38,250"
46,2020 Jeep Grand Cherokee Limited,"22,271 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,370 reviews)","$36,573"
47,2019 Jeep Cherokee Limited,"24,124 mi.",Driver's Village,3.2,(155 reviews),"$28,490"
