,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2021 Kia Sorento SX,"13,903 mi.",Kia Country,4.9,"(2,538 reviews)","$46,707"
1,2021 Kia Sorento SX,"13,297 mi.",Kia Country,4.9,"(2,538 reviews)","$43,999"
2,2019 Kia Optima SX Turbo,"19,703 mi.",Ed Napleton Acura Kia,4.1,(572 reviews),"$29,995"
3,2021 Kia Telluride SX,"28,036 mi.",Van Griffith Kia,4.9,(317 reviews),"$53,999"
4,2021 Kia Seltos S,"14,236 mi.",Miami Lakes Automall - Chevrolet Kia Dodge Chrysler Jeep Ram Mitsubishi,4.5,"(2,613 reviews)","$26,500"
5,2022 Kia K5 EX,"10,397 mi.",Ancira Kia,4.8,(774 reviews),"$36,991"
6,2022 Kia Sportage LX,"13,953 mi.",Miami Lakes Automall - Chevrolet Kia Dodge Chrysler Jeep Ram Mitsubishi,4.5,"(2,613 reviews)","$27,000"
7,2020 Kia Telluride S,"30,035 mi.",Gerald Kia of North Aurora,4.9,"(2,174 reviews)","$41,789"
8,2022 Kia Stinger GT-Line,"10,900 mi.",Germain Kia of Columbus,4.4,(239 reviews),"$41,491"
9,2021 Kia Seltos S,"11,405 mi.",Hollywood Kia,4.6,"(4,060 reviews)","$27,681"
10,2020 Kia Sportage S,"19,302 mi.",Lokey Kia,4.5,"(5,259 reviews)","$29,986"
11,2021 Kia Stinger GT1,"18,418 mi.",King Kia,2.8,(15 reviews),"$42,977"
12,2022 Kia K5 GT-Line,"12,237 mi.",Germain Kia of Columbus,4.4,(239 reviews),"$33,991"
13,2020 Kia Sportage LX,"19,383 mi.",Luther Nissan Kia,4.8,"(4,147 reviews)","$26,725"
14,2021 Kia Sportage LX,"16,161 mi.",Car Pros KIA Tacoma,4.7,(263 reviews),"$27,537"
15,2021 Kia Sportage LX,"32,648 mi.",Southwest Kia of Mesquite,4.6,"(1,471 reviews)","$29,494"
16,2018 Kia Stinger GT2,"49,361 mi.",H&H Kia,4.7,(701 reviews),"$39,250"
17,2020 Kia Forte LXS,"33,417 mi.",Summit Place Kia Auburn Hills,4.9,"(2,016 reviews)","$22,477"
18,2020 Kia Sportage S,"34,417 mi.",Cherry Hill Chrysler Dodge Jeep RAM Kia Mitsubishi,4.1,"(2,416 reviews)","$27,995"
19,2020 Kia Sportage LX,"15,331 mi.",Driver's Village,3.2,(155 reviews),"$26,393"
20,2022 Kia Sportage LX,"10,524 mi.",Regal Chevrolet Kia Lakeland,4.7,"(4,127 reviews)","$26,392"
21,2019 Kia Optima SX Turbo,"23,993 mi.",Gunther Kia,4.7,"(2,013 reviews)","$26,957"
22,2020 Kia Sportage LX,"13,664 mi.",West Herr Kia,4.9,(337 reviews),"$25,213"
23,2022 Kia K5 EX,"11,491 mi.",Ancira Kia,4.8,(774 reviews),"$36,991"
24,2020 Kia Sportage EX,"12,039 mi.",Suntrup Kia South,4.8,"(2,042 reviews)","$32,497"
25,2021 Kia Seltos S,"16,001 mi.",Keffer Kia,4.6,(460 reviews),"$29,991"
26,2022 Kia Seltos S,"5,459 mi.",Oakes Kia,4.8,"(2,523 reviews)","$33,000"
27,2022 Kia Stinger GT2,"10,364 mi.",Rick Case Kia,4.3,(394 reviews),"$49,940"
28,2020 Kia Sportage LX,"30,704 mi.",Shawnee Mission KIA,4.6,"(1,141 reviews)","$24,816"
29,2021 Kia Sorento LX,"12,303 mi.",Kia of Augusta,4.8,(379 reviews),"$35,552"
30,2021 Kia K5 GT-Line,"22,714 mi.",Peltier Kia Tyler,3.7,(6 reviews),"$33,950"
31,2022 Kia Stinger GT2,"12,850 mi.",Rick Case Kia,4.3,(394 reviews),"$48,400"
32,2021 Kia Forte LXS,"24,720 mi.",Kia of Puyallup,4.9,(721 reviews),"$22,998"
33,2021 Kia Sportage LX,"36,741 mi.",Napleton's Mid Rivers Kia,4.8,"(1,370 reviews)","$26,000"
34,2022 Kia Sportage LX,"20,000 mi.",Miami Lakes Automall - Chevrolet Kia Dodge Chrysler Jeep Ram Mitsubishi,4.5,"(2,613 reviews)","$26,750"
35,2020 Kia Sportage LX,"12,868 mi.",Shottenkirk Chevrolet KIA of Quincy,4.4,(157 reviews),"$28,496"
36,2021 Kia Sportage LX,"41,479 mi.",Napleton's Mid Rivers Kia,4.8,"(1,370 reviews)","$26,250"
37,2021 Kia Seltos S,"13,947 mi.",Thomas Kia of Highland,4.6,(809 reviews),"$31,991"
38,2020 Kia Sportage S,"45,294 mi.",Kia of Wesley Chapel,4.8,"(3,469 reviews)","$27,487"
39,2020 Kia Sportage LX,"22,133 mi.",Rodeo Kia,4.9,(976 reviews),"$29,988"
40,2020 Kia Sorento LX,"12,959 mi.",Jenkins Kia of Crystal River,4.8,"(2,508 reviews)","$27,991"
41,2019 Kia Forte LXS,"19,060 mi.",Fort Wayne Kia,4.4,(599 reviews),"$21,899"
42,2020 Kia Sportage LX,"21,139 mi.",Greenway Kia North,4.6,"(1,975 reviews)","$25,781"
43,2021 Kia K5 GT-Line,"11,723 mi.",Keffer Kia,4.6,(460 reviews),"$36,991"
44,2020 Kia Sportage LX,"13,328 mi.",Mastria Kia,4.7,(227 reviews),"$25,911"
45,2021 Kia Sorento LX,"39,179 mi.",Napleton's Mid Rivers Kia,4.8,"(1,370 reviews)","$30,250"
46,2022 Kia EV6 GT-Line,845 mi.,Fred Anderson Kia,4.7,(895 reviews),"$68,900"
47,2020 Kia Forte LXS,"46,851 mi.",Greenway Kia West,4.5,"(1,625 reviews)","$18,995"
48,2022 Kia Sportage Nightfall,"12,178 mi.",Suntrup Kia South,4.8,"(2,042 reviews)","$31,987"
49,2021 Kia K5 GT-Line,"20,616 mi.",Peltier Kia Tyler,3.7,(6 reviews),"$35,429"
50,2020 Kia Sportage LX,"15,612 mi.",Wagner Kia of Shrewsbury,4.3,(151 reviews),"$27,498"
51,2020 Kia Sportage LX,"19,714 mi.",Napoli Kia,4.6,(948 reviews),"$26,982"
52,2019 Kia Sorento LX,"16,867 mi.",West Herr Kia,4.9,(337 reviews),"$27,316"
53,2021 Kia Telluride SX,"16,277 mi.",Kia of Wesley Chapel,4.8,"(3,469 reviews)","$51,500"
54,2019 Kia Sportage LX,"20,710 mi.",Andy Mohr Kia,4.8,(912 reviews),"$25,366"
55,2021 Kia Sportage LX,"30,126 mi.",Shawnee Mission KIA,4.6,"(1,141 reviews)","$24,790"
56,2022 Kia Sportage LX,"19,065 mi.",Regal Chevrolet Kia Lakeland,4.7,"(4,127 reviews)","$25,900"
57,2020 Kia Sportage LX,"34,566 mi.",Bob Rohrman Schaumburg Kia,4.4,"(2,388 reviews)","$23,239"
58,2021 Kia Sorento LX,"48,002 mi.",Kia of Augusta,4.8,(379 reviews),"$32,870"
59,2022 Kia K5 GT-Line,"10,197 mi.",Kia of Wesley Chapel,4.8,"(3,469 reviews)","$34,998"
60,2021 Kia K5 GT-Line,"19,025 mi.",Gettel Kia of Bradenton,4.8,(524 reviews),"$29,618"
61,2020 Kia Sportage LX,"16,979 mi.",Destination KIA,4.7,"(6,697 reviews)","$25,441"
62,2021 Kia Sorento LX,"38,847 mi.",Suntrup Kia South,4.8,"(2,042 reviews)","$33,157"
63,2020 Kia Soul S,"19,379 mi.",Car Pros Kia Huntington Beach,4.4,(249 reviews),"$19,995"
64,2020 Kia Sorento S,"21,309 mi.",Lokey Kia,4.5,"(5,259 reviews)","$30,995"
65,2020 Kia Sportage LX,"24,827 mi.",Ron Bouchard Kia,4.8,(245 reviews),"$25,553"
66,2020 Kia Rio S,"10,671 mi.",Paramount Kia of Hickory,4.9,"(1,847 reviews)","$23,750"
67,2020 Kia Optima LX,"57,923 mi.",Greenway Kia North,4.6,"(1,975 reviews)","$20,473"
68,2021 Kia K5 GT-Line,"30,478 mi.",Napleton's Mid Rivers Kia,4.8,"(1,370 reviews)","$32,250"
69,2019 Kia Forte LXS,"48,967 mi.",Fort Wayne Kia,4.4,(599 reviews),"$19,801"
70,2021 Kia Seltos S,"11,165 mi.",Southwest Kia of Mesquite,4.6,"(1,471 reviews)","$31,425"
71,2019 Kia Sportage SX Turbo,"18,290 mi.",Kia of Everett,4.8,(626 reviews),"$35,888"
72,2021 Kia Sportage LX,"22,000 mi.",Hawkinson Kia,4.2,(126 reviews),"$26,300"
73,2021 Kia Sportage LX,"44,555 mi.",Huffines Kia Corinth,4.9,"(1,670 reviews)","$25,857"
74,2021 Kia Telluride SX,"27,996 mi.",Phil Smith Kia,4.8,"(1,657 reviews)","$50,994"
75,2019 Kia Optima LX,"23,519 mi.",Russ Darrow Kia of Wauwatosa,4.7,"(1,142 reviews)","$20,662"
76,2019 Kia Optima LX,"20,046 mi.",Russ Darrow Kia of Wauwatosa,4.7,"(1,142 reviews)","$19,989"
77,2020 Kia Sportage LX,"24,335 mi.",Luther Nissan Kia,4.8,"(4,147 reviews)","$25,995"
78,2022 Kia Seltos S,"11,748 mi.",Oakes Kia,4.8,"(2,523 reviews)","$32,000"
79,2019 Kia Sorento EX V6,"48,925 mi.",Russ Darrow Kia of Wauwatosa,4.7,"(1,142 reviews)","$29,481"
80,2020 Kia Sportage LX,"21,266 mi.",Driver's Village,3.2,(155 reviews),"$25,277"
81,2020 Kia Sportage EX,"16,649 mi.",Suntrup Kia South,4.8,"(2,042 reviews)","$32,997"
82,2022 Kia Stinger GT-Line,"22,415 mi.",Germain Kia of Columbus,4.4,(239 reviews),"$39,981"
83,2020 Kia Sportage LX,"44,211 mi.",Columbia Ford Kia,4.8,"(2,969 reviews)","$26,681"
84,2021 Kia Telluride EX,"17,953 mi.",Bob Sight Kia,4.9,"(1,235 reviews)","$48,500"
85,2021 Kia Sportage LX,"43,294 mi.",Shawnee Mission KIA,4.6,"(1,141 reviews)","$24,737"
86,2020 Kia Telluride S,"11,386 mi.",Kia of Wesley Chapel,4.8,"(3,469 reviews)","$41,675"
87,2019 Kia Forte LXS,"24,560 mi.",West Herr Kia,4.9,(337 reviews),"$21,324"
88,2020 Kia Sportage S,"19,789 mi.",Motion Kia,4.7,(508 reviews),"$28,700"
