,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 Maserati Levante Base,"23,141 mi.",Faulkner Maserati Alfa Romeo Willow Grove,5.0,(3 reviews),"$52,500"
1,2018 Maserati GranTurismo Sport,"19,191 mi.","Santa Monica Maserati, Alfa Romeo, Fiat",4.5,(647 reviews),"$77,800"
2,2018 Maserati Ghibli S Q4,"28,857 mi.",F.C. Kerbeck & Sons,4.7,(170 reviews),"$54,990"
3,2019 Maserati Levante Base,"16,606 mi.",Faulkner Maserati Alfa Romeo Willow Grove,5.0,(3 reviews),"$52,998"
4,2019 Maserati Levante Base,"27,163 mi.","Santa Monica Maserati, Alfa Romeo, Fiat",4.5,(647 reviews),"$55,380"
5,2018 Maserati Ghibli S Q4,"26,378 mi.",F.C. Kerbeck & Sons,4.7,(170 reviews),"$46,900"
6,2019 Maserati Levante Base,"26,882 mi.","Santa Monica Maserati, Alfa Romeo, Fiat",4.5,(647 reviews),"$51,880"
7,2019 Maserati Ghibli S Q4,"19,018 mi.",Criswell Maserati Alfa Romeo,4.9,(543 reviews),"$50,499"
8,2019 Maserati Levante Base,"23,763 mi.",THE COLLECTION,4.7,(661 reviews),"$54,400"
9,2019 Maserati Ghibli S Q4,"23,813 mi.",Faulkner Maserati Alfa Romeo Willow Grove,5.0,(3 reviews),"$53,500"
10,2019 Maserati Ghibli S Q4,"15,691 mi.",Criswell Maserati Alfa Romeo,4.9,(543 reviews),"$51,878"
11,2018 Maserati Ghibli S,"25,230 mi.",F.C. Kerbeck & Sons,4.7,(170 reviews),"$46,100"
12,2019 Maserati Levante GranSport,"16,448 mi.",Maserati Alfa Romeo of Wilmington Pike,3.4,(87 reviews),"$61,888"
13,2019 Maserati Ghibli S Q4,"34,870 mi.",F.C. Kerbeck & Sons,4.7,(170 reviews),"$55,990"
14,2019 Maserati Levante GranSport,"32,099 mi.",Maserati Alfa Romeo of Wilmington Pike,3.4,(87 reviews),"$57,720"
15,2019 Maserati Levante Base,"14,053 mi.",THE COLLECTION,4.7,(661 reviews),"$55,900"
16,2019 Maserati Levante Base,"42,578 mi.",Faulkner Maserati Alfa Romeo Willow Grove,5.0,(3 reviews),"$50,998"
17,2019 Maserati Ghibli S GranLusso,"23,745 mi.",Ferrari Maserati of Atlanta,4.9,(447 reviews),"$55,950"
18,2019 Maserati Levante Base,"24,758 mi.",F.C. Kerbeck & Sons,4.7,(170 reviews),"$65,990"
19,2018 Maserati Ghibli S Q4,"27,934 mi.",Ron Tonkin Gran Turismo,4.7,(87 reviews),"$48,995"
20,2019 Maserati Ghibli S GranLusso,"4,332 mi.",Ferrari Maserati of Atlanta,4.9,(447 reviews),"$58,950"
21,2019 Maserati Ghibli S Q4,"36,159 mi.",Faulkner Maserati Alfa Romeo Willow Grove,5.0,(3 reviews),"$48,698"
22,2019 Maserati Levante S GranSport,"22,067 mi.",Ron Tonkin Gran Turismo,4.7,(87 reviews),"$67,995"
23,2018 Maserati Ghibli S Q4,"19,356 mi.",Ferrari-Maserati of New England,4.6,(70 reviews),"$55,900"
24,2018 Maserati Ghibli S Q4 GranLusso,"29,119 mi.","Porsche of the Village, Maserati Cincinnati, Alfa Romeo of Cincinnati, and Volvo Cars of Cincinnati East",5.0,(34 reviews),"$47,400"
