,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2022 Mercedes-Benz C-Class C 300,"1,751 mi.",Mercedes-Benz of South Orlando,4.7,"(1,253 reviews)","$49,844"
1,2017 Mercedes-Benz Maybach S 550 Base 4MATIC,"23,238 mi.",Mercedes-Benz of Orlando,4.7,(740 reviews),"$90,982"
2,2019 Mercedes-Benz GLE 400 Base 4MATIC,"18,846 mi.",Mercedes-Benz Of Tacoma,4.4,"(3,034 reviews)","$47,891"
3,2020 Mercedes-Benz GLE 350 Base 4MATIC,"24,749 mi.",Mercedes-Benz of Chesterfield,4.4,(99 reviews),"$55,705"
4,2019 Mercedes-Benz AMG GLC 63 S 4MATIC,"28,909 mi.",Mercedes-Benz of South Orlando,4.7,"(1,253 reviews)","$81,402"
5,2021 Mercedes-Benz AMG GLC 63 Base 4MATIC,"11,393 mi.",Mercedes-Benz of South Orlando,4.7,"(1,253 reviews)","$104,177"
6,2021 Mercedes-Benz AMG GLE 53 Base,"12,324 mi.",Mercedes Benz of Hoffman Estates,4.7,"(1,118 reviews)","$99,999"
7,2018 Mercedes-Benz G 550 4x4 Squared Base,"37,376 mi.",Mercedes-Benz of Houston North,4.5,"(1,374 reviews)","$199,999"
8,2019 Mercedes-Benz AMG GT 63 4-Door,"16,138 mi.",Mercedes-Benz of South Orlando,4.7,"(1,253 reviews)","$150,577"
9,2020 Mercedes-Benz G-Class AMG G 63,"15,436 mi.",Mercedes-Benz of Lynnwood,4.5,(124 reviews),"$214,990"
10,2019 Mercedes-Benz C-Class C 300 4MATIC,"33,971 mi.",Mercedes-Benz of Fort Lauderdale,4.6,"(1,008 reviews)","$34,995"
11,2019 Mercedes-Benz GLC 300 Base 4MATIC,"36,401 mi.",Mercedes-Benz of San Francisco / Smart Center San Francisco,4.0,(60 reviews),"$32,449"
12,2019 Mercedes-Benz C-Class C 300 4MATIC,"32,520 mi.",Sears Imported Autos,4.9,"(1,966 reviews)","$35,772"
13,2019 Mercedes-Benz GLS 450 Base 4MATIC,"35,958 mi.",Mercedes-Benz of Foothill Ranch,4.7,(596 reviews),"$52,400"
14,2021 Mercedes-Benz GLE 350 Base,"15,240 mi.",Mercedes-Benz of Birmingham,4.9,(818 reviews),"$67,998"
15,2019 Mercedes-Benz GLS 450 Base 4MATIC,"22,396 mi.",Star Motor Cars,3.8,(56 reviews),"$61,400"
16,2019 Mercedes-Benz GLS 450 Base 4MATIC,"49,068 mi.",Mercedes-Benz of Wesley Chapel,4.5,(633 reviews),"$48,529"
17,2019 Mercedes-Benz GLS 450 Base 4MATIC,"14,702 mi.",Mercedes-Benz of Fredericksburg,4.6,(359 reviews),"$59,000"
