,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 MINI Countryman Cooper S ALL4,"14,752 mi.",Habberstad BMW of Huntington,4.8,"(1,307 reviews)","$33,498"
1,2019 MINI Hardtop Cooper S,"47,721 mi.",Herb Chambers BMW MINI of Boston,4.7,"(2,431 reviews)","$25,998"
2,2019 MINI Hardtop Cooper S,"11,029 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$29,087"
3,2019 MINI Hardtop Cooper,"29,323 mi.",Herb Chambers BMW MINI of Boston,4.7,"(2,431 reviews)","$24,998"
4,2019 MINI Hardtop Cooper S,"23,580 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$28,119"
5,2019 MINI Hardtop Cooper S,"21,515 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$26,867"
6,2019 MINI Countryman Cooper S ALL4,"17,562 mi.",Herb Chambers BMW MINI of Boston,4.7,"(2,431 reviews)","$35,998"
7,2019 MINI Hardtop Cooper S,"13,809 mi.",Mall of Georgia MINI,4.9,"(1,507 reviews)","$34,977"
8,2019 MINI Countryman Cooper S,"15,516 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$32,410"
9,2019 MINI Hardtop Cooper,"36,004 mi.",Mall of Georgia MINI,4.9,"(1,507 reviews)","$26,988"
10,2019 MINI Countryman Cooper S,"7,371 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$31,541"
11,2019 MINI Hardtop Cooper S,"33,639 mi.",BMW of Freeport,4.7,"(1,366 reviews)","$26,943"
12,2019 MINI Hardtop Cooper,"19,506 mi.",International Autos,3.4,(88 reviews),"$25,995"
13,2019 MINI Clubman Cooper S ALL4,"25,447 mi.",Motorwerks MINI,4.8,(182 reviews),"$31,288"
14,2019 MINI Countryman Cooper S ALL4,"24,101 mi.",Motorwerks MINI,4.8,(182 reviews),"$38,188"
15,2019 MINI Convertible Cooper S,"14,598 mi.",MINI of Montgomery County,4.5,(213 reviews),"$38,750"
16,2019 MINI Hardtop Cooper S,"35,524 mi.",Habberstad BMW of Huntington,4.8,"(1,307 reviews)","$24,949"
17,2019 MINI Hardtop Cooper S,"7,458 mi.",Mall of Georgia MINI,4.9,"(1,507 reviews)","$38,988"
18,2020 MINI Countryman Cooper S ALL4,"19,013 mi.",Mall of Georgia MINI,4.9,"(1,507 reviews)","$47,988"
19,2019 MINI Hardtop Cooper,"29,395 mi.",MINI of The Woodlands,4.5,(225 reviews),"$23,991"
