,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 Nissan Rogue SL,"41,280 mi.",Mossy Nissan National City,,(0 reviews),"$27,422"
1,2020 Nissan Rogue SV,"46,521 mi.",Eddie Tourelle's Northpark Nissan,4.5,(187 reviews),"$25,859"
2,2020 Nissan Murano SL,"22,206 mi.",Crest Nissan,4.6,"(1,030 reviews)","$36,487"
3,2019 Nissan Rogue SL,"41,307 mi.",Buckeye Nissan,4.2,(48 reviews),"$29,959"
4,2019 Nissan Murano Platinum,"22,322 mi.",Grubbs Nissan,4.3,(219 reviews),"$34,995"
5,2020 Nissan Rogue SL,"19,331 mi.",Nissan of Boerne,4.4,(291 reviews),"$33,793"
6,2019 Nissan Altima 2.5 SL,"27,173 mi.",Sansone Rt 1 Auto Mall,4.1,(365 reviews),"$23,459"
7,2020 Nissan Rogue S,"16,815 mi.",Tri-State Nissan,4.8,(721 reviews),"$27,156"
8,2019 Nissan Rogue SL,"28,869 mi.",Nissan North,4.6,(160 reviews),"$29,000"
9,2019 Nissan Rogue SL,"33,957 mi.",Crest Nissan,4.6,"(1,030 reviews)","$27,874"
10,2019 Nissan Murano SL,"15,144 mi.",Crown Nissan,4.9,"(4,565 reviews)","$33,300"
11,2020 Nissan Rogue SL,"17,491 mi.",Nissan of Turnersville,4.7,(218 reviews),"$35,120"
12,2020 Nissan Titan Platinum Reserve,"43,852 mi.",Fiesta Hyundai Nissan,4.7,(0 reviews),"$52,877"
13,2020 Nissan Rogue S,"15,064 mi.",#1 Cochran Nissan South Hills,4.6,(376 reviews),"$25,823"
14,2019 Nissan Rogue SL,"20,371 mi.",Nissan of McKinney,4.3,(821 reviews),"$27,477"
15,2019 Nissan Rogue SV,"42,757 mi.",Peters Nissan of Nashua,4.8,"(1,094 reviews)","$26,596"
16,2020 Nissan Rogue SL,"59,421 mi.",Nissan of Boerne,4.4,(291 reviews),"$28,463"
17,2018 Nissan Rogue S,"59,216 mi.",Trophy Nissan,4.7,"(3,044 reviews)","$21,001"
18,2020 Nissan Rogue Sport S,"16,516 mi.",Hamilton Nissan,4.7,(745 reviews),"$28,462"
19,2020 Nissan Altima 2.5 Platinum,"19,116 mi.",State Line Nissan Inc.,4.7,(939 reviews),"$35,200"
20,2017 Nissan Rogue SL,"36,886 mi.",AutoFair Nissan of Stratham,4.8,(617 reviews),"$24,303"
21,2019 Nissan Rogue SL,"12,072 mi.",Tri-State Nissan,4.8,(721 reviews),"$32,900"
22,2021 Nissan Rogue SL,"17,667 mi.",Mount Holly Nissan,4.7,(474 reviews),"$38,900"
23,2020 Nissan Rogue SV,"19,619 mi.",Laurel Nissan,4.8,(74 reviews),"$27,990"
24,2019 Nissan Murano SL,"33,839 mi.",South Shore Nissan,4.1,(648 reviews),"$28,865"
25,2018 Nissan Rogue Hybrid SV,"37,141 mi.",Lokey Nissan,4.6,"(4,956 reviews)","$25,477"
26,2019 Nissan Murano SL,"32,241 mi.",Jackie Cooper Nissan,4.8,"(2,250 reviews)","$33,898"
27,2017 Nissan Rogue SL,"56,019 mi.",Sutherlin Nissan of Orlando,4.6,(766 reviews),"$23,988"
28,2021 Nissan Altima 2.5 SR,"18,222 mi.",Nissan of McKinney,4.3,(821 reviews),"$28,200"
29,2020 Nissan Rogue Sport S,"30,229 mi.",Greenway Nissan of Jacksonville,3.3,(139 reviews),"$20,888"
30,2019 Nissan Rogue SL,"18,420 mi.",Nationwide Nissan,4.0,(116 reviews),"$32,992"
31,2020 Nissan Murano SV,"65,217 mi.",Sutherlin Nissan Mall of Georgia,4.4,"(3,366 reviews)","$29,998"
32,2020 Nissan Pathfinder SL,"17,599 mi.",Auffenberg Auto Mall,4.6,(378 reviews),"$34,227"
33,2020 Nissan Rogue SL,"23,720 mi.",Baker Nissan,4.7,"(1,306 reviews)","$32,183"
34,2019 Nissan Rogue SL,"14,929 mi.",Nissan North,4.6,(160 reviews),"$30,000"
35,2020 Nissan Rogue SV,"60,643 mi.",Lokey Nissan,4.6,"(4,956 reviews)","$20,377"
36,2019 Nissan Rogue S,"10,885 mi.",#1 Cochran Nissan South Hills,4.6,(376 reviews),"$25,093"
37,2020 Nissan Rogue Sport S,"20,124 mi.",Middletown Nissan,4.3,(404 reviews),"$24,800"
38,2020 Nissan Rogue SV,"12,851 mi.",Laurel Nissan,4.8,(74 reviews),"$28,990"
39,2020 Nissan Pathfinder SL,"57,137 mi.",Jack Ingram Motors,4.6,(56 reviews),"$33,000"
40,2019 Nissan Rogue SL,"41,500 mi.",Nissan of McKinney,4.3,(821 reviews),"$26,877"
41,2020 Nissan Pathfinder SL,"49,494 mi.",Capital City Nissan,4.9,"(1,019 reviews)","$31,836"
42,2020 Nissan Murano S,"16,497 mi.",Colonial Nissan Inc.,4.9,"(1,193 reviews)","$31,990"
43,2019 Nissan Rogue SL,"37,300 mi.",Faulkner Nissan of Harrisburg,4.4,(120 reviews),"$29,500"
44,2020 Nissan Rogue SV,"61,996 mi.",Greenway Nissan of Jacksonville,3.3,(139 reviews),"$23,888"
45,2019 Nissan Altima 2.5 SL,"44,994 mi.",Riverside Nissan,3.1,(27 reviews),"$23,795"
46,2019 Nissan Sentra S,"16,116 mi.",Ron Bouchard's Nissan,4.6,(243 reviews),"$21,692"
47,2020 Nissan Rogue SL,"11,300 mi.",All Star Nissan,4.6,(193 reviews),"$36,060"
48,2020 Nissan Rogue S,"23,218 mi.",Premier Nissan of San Jose,4.5,(178 reviews),"$26,494"
49,2019 Nissan Rogue SV,"13,124 mi.",Ed Martin Nissan,4.8,(622 reviews),"$29,895"
50,2020 Nissan Rogue SV,"66,446 mi.",Greenway Nissan of Jacksonville,3.3,(139 reviews),"$22,488"
51,2020 Nissan Rogue S,"16,678 mi.",Nissan of Bowie,2.9,(29 reviews),"$24,889"
52,2019 Nissan Rogue SV,"20,471 mi.",Kelly Nissan of Woburn,4.7,"(1,991 reviews)","$27,985"
53,2021 Nissan Rogue SV,"19,145 mi.",Crown Nissan of Greenville,4.5,(393 reviews),"$33,891"
54,2019 Nissan Rogue SL,"16,422 mi.",Nissan North,4.6,(160 reviews),"$29,700"
55,2019 Nissan Rogue SL,"23,833 mi.",Jim Coleman INFINITI,4.5,(335 reviews),"$29,000"
