,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2021 Porsche Macan S,"13,320 mi.",Motor Werks - Barrington Auto Mall,4.8,"(4,907 reviews)","$71,995"
1,2021 Porsche Macan GTS,"7,484 mi.",Porsche Delaware,4.8,(216 reviews),"$84,444"
2,2019 Porsche 911 Turbo S,"8,873 mi.",Porsche of The Main Line,4.9,(335 reviews),"$289,995"
3,2020 Porsche Macan S,"31,695 mi.",Serra Auto Campus,3.2,(36 reviews),"$66,390"
4,2021 Porsche Macan Base,"14,365 mi.",Porsche Rocklin,4.0,(19 reviews),"$58,980"
5,2020 Porsche Taycan Turbo,"12,318 mi.",Porsche Norwell,4.1,(33 reviews),"$142,499"
6,2021 Porsche Macan GTS,"6,290 mi.",Porsche Delaware,4.8,(216 reviews),"$89,998"
7,2021 Porsche Macan S,"14,726 mi.",Porsche Rocklin,4.0,(19 reviews),"$72,989"
8,2020 Porsche Macan S,"18,574 mi.",Serra Auto Campus,3.2,(36 reviews),"$68,298"
9,2021 Porsche Macan S,"10,010 mi.",Porsche Rocklin,4.0,(19 reviews),"$76,995"
10,2021 Porsche Macan Base,"15,455 mi.",Porsche Rocklin,4.0,(19 reviews),"$60,980"
11,2019 Porsche Macan S,"39,726 mi.",Porsche Newport Beach,4.8,(549 reviews),"$64,900"
12,2019 Porsche Cayenne Base,"39,892 mi.",Tom Wood Porsche,4.6,(235 reviews),"$65,991"
13,2021 Porsche Cayenne S,"14,615 mi.",THE COLLECTION,4.7,(661 reviews),"$100,911"
14,2021 Porsche Taycan Turbo S,"7,016 mi.",Porsche Delaware,4.8,(216 reviews),"$194,888"
15,2017 Porsche Panamera 4S,"43,107 mi.",Porsche Chantilly,4.8,(135 reviews),"$79,886"
16,2022 Porsche 911 Turbo S,925 mi.,Porsche Towson,4.8,(146 reviews),"$319,990"
17,2021 Porsche Macan Base,"13,157 mi.",Porsche Norwell,4.1,(33 reviews),"$57,900"
18,2021 Porsche Macan Base,"16,317 mi.",Hennessy Porsche,4.9,"(1,704 reviews)","$57,950"
19,2020 Porsche 911 Carrera,"16,639 mi.",Gaudin Porsche of Las Vegas,4.8,(400 reviews),"$122,000"
20,2016 Porsche Cayenne S,"68,063 mi.",Porsche Towson,4.8,(146 reviews),"$41,451"
21,2019 Porsche Cayenne S,"24,500 mi.",Porsche Newport Beach,4.8,(549 reviews),"$88,900"
22,2019 Porsche Cayenne S,"12,932 mi.",Porsche Towson,4.8,(146 reviews),"$84,495"
23,2021 Porsche Macan Base,"15,177 mi.",Porsche South Orlando,4.8,(146 reviews),"$62,378"
24,2019 Porsche 911 Carrera 4S,"10,546 mi.",Napleton Porsche of Westmont,4.8,(760 reviews),"$134,000"
25,2021 Porsche Macan Base,"19,572 mi.",Hennessy Porsche,4.9,"(1,704 reviews)","$58,950"
26,2020 Porsche Taycan 4S,"3,625 mi.",Century Automotive,2.0,(13 reviews),"$129,998"
27,2019 Porsche Cayenne S,"19,004 mi.",Beverly Hills Porsche,4.1,(85 reviews),"$83,991"
28,2021 Porsche Cayenne GTS,"17,034 mi.",Hennessy Porsche,4.9,"(1,704 reviews)","$129,950"
29,2020 Porsche Cayenne Base,"14,877 mi.",Porsche Annapolis,4.9,(349 reviews),"$75,020"
30,2019 Porsche Cayenne Base,"26,071 mi.",Porsche Plano,4.8,"(1,175 reviews)","$69,995"
31,2019 Porsche Cayenne Base,"22,243 mi.",Porsche Plano,4.8,"(1,175 reviews)","$71,995"
32,2018 Porsche Macan S,"30,630 mi.",Manhattan Motorcars Inc.,4.8,(327 reviews),"$50,995"
