,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2018 RAM 2500 Laramie,"37,828 mi.",Brewbaker Dodge Chrysler Jeep,4.5,(309 reviews),"$66,992"
1,2020 RAM 1500 Laramie,"42,120 mi.",LaFontaine Chrysler Dodge Jeep Ram of Walled Lake,4.9,"(6,307 reviews)","$44,999"
2,2021 RAM 1500 Laramie,"19,964 mi.",Spartanburg Chrysler Dodge Jeep RAM,4.2,(301 reviews),"$57,300"
3,2020 RAM 1500 Laramie,"31,686 mi.",Brookdale Chrysler Jeep Dodge RAM,4.8,"(3,405 reviews)","$47,768"
4,2021 RAM 1500 Laramie,"15,728 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,371 reviews)","$47,573"
5,2020 RAM 1500 Big Horn,"32,855 mi.",Yark Chrysler Dodge Jeep Ram,4.7,"(2,724 reviews)","$39,991"
6,2021 RAM 1500 Laramie,"36,179 mi.",Dodge RAM of Burnsville,4.7,(582 reviews),"$55,250"
7,2019 RAM 1500 Limited,"52,452 mi.",Troncalli Chrysler Dodge Jeep RAM,4.8,"(1,771 reviews)","$51,469"
8,2019 RAM 1500 Big Horn,"48,662 mi.","Bill Bryan Chrysler, Dodge, Jeep, RAM",4.7,"(1,521 reviews)","$33,595"
9,2018 RAM 2500 Laramie,"49,732 mi.",Airpark Dodge Chrysler Jeep RAM,4.2,(905 reviews),"$63,089"
10,2018 RAM 2500 Laramie,"36,428 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,371 reviews)","$66,000"
11,2021 RAM 1500 Laramie,"14,345 mi.",Spartanburg Chrysler Dodge Jeep RAM,4.2,(301 reviews),"$58,700"
12,2021 RAM 1500 Laramie,"49,376 mi.",Larry H. Miller Chrysler Jeep Dodge RAM Surprise,4.7,"(1,483 reviews)","$47,307"
13,2021 RAM 1500 Laramie,"37,086 mi.",Hayes Chrysler Dodge Jeep RAM-Lawrenceville,4.8,"(1,966 reviews)","$55,999"
14,2020 RAM 1500 Longhorn,"38,409 mi.",Benson Chrysler Jeep Dodge RAM,4.7,(506 reviews),"$57,750"
15,2020 RAM 1500 Laramie,"19,501 mi.",LaFontaine Chrysler Dodge Jeep Ram of Walled Lake,4.9,"(6,307 reviews)","$48,300"
16,2020 RAM 1500 Laramie,"19,729 mi.",Papa's Chrysler Dodge Jeep RAM,4.7,(978 reviews),"$50,761"
17,2019 RAM ProMaster 1500 Base,"39,672 mi.",Larry H. Miller Chrysler Dodge Jeep Ram 104th,4.5,"(1,423 reviews)","$41,499"
18,2019 RAM 1500 Laramie,"54,802 mi.",Huffines Chrysler Jeep Dodge RAM Lewisville,4.8,"(2,163 reviews)","$45,455"
19,2021 RAM 1500 Laramie,"19,330 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,371 reviews)","$49,000"
20,2021 RAM 1500 Laramie,"19,784 mi.",LaFontaine Chrysler Dodge Jeep Ram of Walled Lake,4.9,"(6,307 reviews)","$51,900"
21,2021 RAM 1500 Big Horn,"20,138 mi.",Fair Oaks Chrysler Jeep Dodge RAM,4.2,(869 reviews),"$41,642"
22,2021 RAM 1500 Laramie,"22,560 mi.",Russell Westbrook Chrysler Dodge Jeep Ram of Van Nuys,4.3,"(4,522 reviews)","$51,500"
23,2020 RAM 1500 Laramie,"19,893 mi.",Elk Grove Dodge Chrysler Jeep RAM,4.6,"(1,525 reviews)","$57,588"
24,2020 RAM 1500 Laramie,"64,780 mi.",Van Horn Chrysler Dodge Jeep Ram Fiat of Plymouth,4.7,"(1,125 reviews)","$44,988"
25,2020 RAM 1500 Limited,"23,862 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,371 reviews)","$56,573"
26,2021 RAM 2500 Laramie,"16,034 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,371 reviews)","$68,573"
27,2021 RAM 1500 Laramie,"12,645 mi.",Platinum Chrysler Dodge Ram Jeep,4.5,(539 reviews),"$49,891"
28,2021 RAM 1500 Limited,"37,562 mi.",Woody's Dodge Jeep Chrysler RAM,4.7,"(1,788 reviews)","$61,606"
29,2020 RAM 1500 Limited,"49,475 mi.",Thomas Dodge Chrysler Jeep RAM of Highland,4.7,"(2,811 reviews)","$53,700"
30,2019 RAM 1500 Limited,"20,255 mi.",Buhler & Bitter Jeep Chrysler Dodge RAM,4.4,(255 reviews),"$52,999"
31,2020 RAM 1500 Big Horn,"36,319 mi.",Bob Caldwell Chrysler Jeep Dodge RAM,4.7,"(1,226 reviews)","$33,289"
32,2020 RAM 1500 Classic Tradesman,"22,989 mi.",Brewbaker Dodge Chrysler Jeep,4.5,(309 reviews),"$33,991"
