,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2018 Rolls-Royce Ghost ,"17,076 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$245,210"
1,2020 Rolls-Royce Wraith ,"8,136 mi.",McLaren Bentley Lamborghini Rolls-Royce Seattle,3.7,(13 reviews),"$425,500"
2,2018 Rolls-Royce Ghost ,"13,376 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$249,790"
3,2021 Rolls-Royce Ghost ,"4,338 mi.",Rusnak Bentley Rolls-Royce Maserati,4.4,(258 reviews),"$417,998"
4,2021 Rolls-Royce Cullinan ,"3,930 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$598,788"
5,2021 Rolls-Royce Cullinan ,"3,556 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$524,988"
6,2022 Rolls-Royce Cullinan Sport Utility,"5,392 mi.",FIELDS MOTORCARS ORLANDO,4.5,(0 reviews),"$459,990"
7,2021 Rolls-Royce Cullinan Base,"2,629 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$448,754"
8,2021 Rolls-Royce Cullinan ,"5,780 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$439,988"
9,2019 Rolls-Royce Ghost Base,"15,920 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$279,990"
10,2020 Rolls-Royce Cullinan Base,"2,525 mi.",Miller Motorcars,4.6,(42 reviews),"$414,900"
11,2020 Rolls-Royce Cullinan Base,435 mi.,Miller Motorcars,4.6,(42 reviews),"$414,900"
12,2019 Rolls-Royce Cullinan ,"5,771 mi.","Bentley, Maserati & Rolls-Royce Motor Cars by O'Gara Westlake",3.5,(11 reviews),"$389,095"
13,2019 Rolls-Royce Cullinan Base,"35,841 mi.",Towbin Motor Cars,4.6,(60 reviews),"$369,990"
14,2021 Rolls-Royce Ghost Base,"2,258 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$415,488"
15,2021 Rolls-Royce Cullinan Base,"5,793 mi.",Naples Luxury Imports,4.9,"(1,258 reviews)","$465,000"
16,2021 Rolls-Royce Ghost Base,"1,174 mi.",Rusnak Bentley Rolls-Royce Maserati,4.4,(258 reviews),"$414,888"
17,2021 Rolls-Royce Cullinan ,"2,927 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$519,488"
18,2019 Rolls-Royce Cullinan ,"12,030 mi.","Bentley, Maserati & Rolls-Royce Motor Cars by O'Gara Westlake",3.5,(11 reviews),"$389,934"
19,2021 Rolls-Royce Ghost ,"3,926 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$379,988"
20,2021 Rolls-Royce Ghost Base,"4,198 mi.",Cleveland Motorsports,4.5,(31 reviews),"$409,445"
21,2022 Rolls-Royce Cullinan ,"1,163 mi.","Bespoke Motor Group - Bentley, Rolls-Royce & Lamborghini Long Island",3.4,(17 reviews),"$455,888"
22,2020 Rolls-Royce Ghost Base,"7,980 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$388,390"
23,2020 Rolls-Royce Ghost Base,"7,219 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$349,455"
24,2021 Rolls-Royce Cullinan ,"21,832 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$433,488"
25,2018 Rolls-Royce Ghost ,"8,933 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$254,999"
26,2020 Rolls-Royce Cullinan Sport Utility,"28,174 mi.",Bentley Rolls-Royce Lamborghini Aston Martin of Scottsdale,4.8,(7 reviews),"$411,900"
27,2020 Rolls-Royce Wraith ,"5,427 mi.","Bentley, Maserati & Rolls-Royce Motor Cars by O'Gara Westlake",3.5,(11 reviews),"$435,992"
28,2020 Rolls-Royce Cullinan ,"21,695 mi.","Bespoke Motor Group - Bentley, Rolls-Royce & Lamborghini Long Island",3.4,(17 reviews),"$388,800"
29,2016 Rolls-Royce Dawn ,"39,117 mi.",Motorcars of Atlanta,4.6,(52 reviews),"$233,500"
30,2018 Rolls-Royce Wraith ,"3,143 mi.","Bespoke Motor Group - Bentley, Rolls-Royce & Lamborghini Long Island",3.4,(17 reviews),"$299,900"
31,2019 Rolls-Royce Cullinan ,"7,200 mi.",Naples Luxury Imports,4.9,"(1,258 reviews)","$364,999"
32,2021 Rolls-Royce Ghost Sedan,696 mi.,Carlock Motorcars Nashville,4.6,(14 reviews),"$394,999"
33,2018 Rolls-Royce Dawn ,"4,167 mi.",Naples Luxury Imports,4.9,"(1,258 reviews)","$399,999"
34,2018 Rolls-Royce Dawn Base,"3,730 mi.",Naples Luxury Imports,4.9,"(1,258 reviews)","$394,999"
35,2020 Rolls-Royce Cullinan ,"3,917 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$449,949"
36,2018 Rolls-Royce Dawn Base,"25,151 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$284,988"
37,2013 Rolls-Royce Ghost Base,"16,599 mi.",Miller Motorcars,4.6,(42 reviews),"$159,900"
38,2011 Rolls-Royce Ghost ,"78,612 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$124,988"
39,2019 Rolls-Royce Ghost ,"9,861 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$275,997"
40,2018 Rolls-Royce Wraith Coupe,"3,480 mi.",Carlock Motorcars Nashville,4.6,(14 reviews),"$298,999"
41,2016 Rolls-Royce Dawn ,"21,165 mi.",Cleveland Motorsports,4.5,(31 reviews),"$284,151"
42,2018 Rolls-Royce Dawn ,"8,700 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$334,890"
43,2019 Rolls-Royce Ghost Base,"19,358 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$287,226"
44,2022 Rolls-Royce Ghost BADGE,219 mi.,"Rolls-Royce Motor Cars New England, Bentley Boston, Lamborghini Boston, Herb Chambers Maserati and Alfa Romeo of Boston",4.6,(154 reviews),"$479,998"
45,2018 Rolls-Royce Ghost Base,"28,468 mi.",Cleveland Motorsports,4.5,(31 reviews),"$225,523"
46,2018 Rolls-Royce Wraith ,"18,958 mi.","Bentley, Maserati & Rolls-Royce Motor Cars by O'Gara Westlake",3.5,(11 reviews),"$305,991"
47,2016 Rolls-Royce Wraith Base,"20,743 mi.",Cleveland Motorsports,4.5,(31 reviews),"$249,891"
48,2018 Rolls-Royce Dawn ,"42,649 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$268,512"
49,2017 Rolls-Royce Ghost ,"26,312 mi.",Suburban Exotic Motorcars,4.5,(88 reviews),"$224,950"
50,2016 Rolls-Royce Ghost 4dr Sdn,"18,542 mi.",FIELDS MOTORCARS ORLANDO,4.5,(0 reviews),"$183,990"
51,2016 Rolls-Royce Phantom ,"19,499 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$269,990"
52,2017 Rolls-Royce Dawn ,"3,422 mi.",F.C. Kerbeck & Sons,4.7,(170 reviews),"$285,000"
53,2019 Rolls-Royce Dawn Base,"16,804 mi.",Naples Luxury Imports,4.9,"(1,258 reviews)","$369,995"
54,2019 Rolls-Royce Ghost ,"25,421 mi.",Rusnak Bentley Rolls-Royce Maserati,4.4,(258 reviews),"$274,688"
55,2019 Rolls-Royce Dawn Base,"20,065 mi.",Rusnak Bentley Rolls-Royce Maserati,4.4,(258 reviews),"$363,998"
56,2017 Rolls-Royce Ghost Base,"15,594 mi.",Miller Motorcars,4.6,(42 reviews),"$209,900"
57,2019 Rolls-Royce Dawn ,"18,298 mi.",Suburban Exotic Motorcars,4.6,(42 reviews),"$369,950"
58,2018 Rolls-Royce Wraith ,"10,964 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$292,278"
59,2019 Rolls-Royce Dawn ,"10,701 mi.",Suburban Exotic Motorcars,4.5,(88 reviews),"$389,950"
60,2021 Rolls-Royce Ghost Sedan,"2,067 mi.","Post Oak Motor Cars, Ltd Bentley and Rolls-Royce",4.5,(0 reviews),"$389,950"
61,2016 Rolls-Royce Wraith ,"11,673 mi.",Bentley Bugatti Lamborghini Maserati Rolls-Royce of Chicago,3.0,(55 reviews),"$249,800"
62,2014 Rolls-Royce Ghost ,"24,484 mi.","Bentley Parsippany and Paul Miller, An Authorized Rolls Royce Motor Cars Dealer",4.0,(17 reviews),"$145,888"
63,2021 Rolls-Royce Ghost Sedan,"5,012 mi.",Rolls Royce Motor Cars - Orange County,4.0,(0 reviews),"$387,815"
64,2017 Rolls-Royce Dawn Base,"36,422 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$253,988"
65,2015 Rolls-Royce Wraith ,"8,766 mi.","Bespoke Motor Group - Bentley, Rolls-Royce & Lamborghini Long Island",3.4,(17 reviews),"$234,900"
66,2019 Rolls-Royce Dawn ,"5,252 mi.",Manhattan Motorcars Inc.,4.8,(327 reviews),"$385,500"
67,2019 Rolls-Royce Dawn ,"9,892 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$369,994"
68,2021 Rolls-Royce Phantom Base,"5,611 mi.",Braman Motors Miami,4.7,"(2,684 reviews)","$599,890"
69,2019 Rolls-Royce Wraith Base,"8,303 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$339,988"
70,2018 Rolls-Royce Dawn ,"6,251 mi.",Desert European Motorcars,4.3,(281 reviews),"$359,990"
71,2015 Rolls-Royce Ghost Base,"22,080 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$184,988"
72,2016 Rolls-Royce Dawn Base,"5,120 mi.",Miller Motorcars,4.6,(42 reviews),"$285,900"
73,2020 Rolls-Royce Phantom ,602 mi.,"Bespoke Motor Group - Bentley, Rolls-Royce & Lamborghini Long Island",3.4,(17 reviews),"$549,900"
74,2021 Rolls-Royce Ghost ,"6,099 mi.",Manhattan Motorcars Inc.,4.8,(327 reviews),"$374,900"
75,2021 Rolls-Royce Ghost ,"5,309 mi.",Miller Motorcars,4.6,(42 reviews),"$377,900"
76,2019 Rolls-Royce Cullinan Base,"8,734 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$399,315"
77,2018 Rolls-Royce Phantom ,"5,593 mi.",Manhattan Motorcars Inc.,4.8,(327 reviews),"$449,500"
78,2018 Rolls-Royce Ghost ,"49,672 mi.",Manhattan Motorcars Inc.,4.8,(327 reviews),"$229,000"
79,2022 Rolls-Royce Ghost Base,"2,687 mi.",Rolls-Royce Motor Cars Raleigh,4.5,(88 reviews),"$395,488"
80,2019 Rolls-Royce Wraith ,"13,117 mi.","Bespoke Motor Group - Bentley, Rolls-Royce & Lamborghini Long Island",3.4,(17 reviews),"$309,900"
81,2019 Rolls-Royce Cullinan ,"3,655 mi.","Rolls-Royce Motor Cars New England, Bentley Boston, Lamborghini Boston, Herb Chambers Maserati and Alfa Romeo of Boston",4.6,(154 reviews),"$369,998"
82,2014 Rolls-Royce Phantom Base,"8,700 mi.",Baker Motor Company of Charleston,3.9,(202 reviews),"$247,438"
