,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2020 Subaru Outback Premium,"12,771 mi.",Ken Ganley Subaru Bedford,4.6,"(1,640 reviews)","$31,367"
1,2020 Subaru Outback Premium,"14,740 mi.",Ken Ganley Subaru North Olmsted,4.8,"(2,603 reviews)","$31,887"
2,2019 Subaru Outback 2.5i Limited,"16,601 mi.",Stohlman Volkswagen Subaru,4.8,"(1,443 reviews)","$34,000"
3,2021 Subaru Crosstrek Sport,"18,900 mi.",Brandon Tomes Subaru,4.5,(62 reviews),"$33,485"
4,2020 Subaru Outback Limited,"11,899 mi.",Gallatin Subaru,4.2,(25 reviews),"$36,490"
5,2020 Subaru Outback Limited XT,"10,847 mi.",Ferguson Superstore,4.9,"(5,656 reviews)","$40,000"
6,2019 Subaru Outback 2.5i Limited,"35,389 mi.",Larry H. Miller Subaru Boise,4.7,"(1,257 reviews)","$33,859"
7,2019 Subaru Outback 2.5i Limited,"22,001 mi.",AutoNation Subaru Spokane Valley,4.6,(704 reviews),"$34,699"
8,2019 Subaru Outback 2.5i Limited,"17,808 mi.",Long Subaru,4.9,(329 reviews),"$32,999"
9,2019 Subaru Outback 2.5i Limited,"43,840 mi.",Subaru Port Richey,4.7,"(3,871 reviews)","$28,487"
10,2019 Subaru Outback 2.5i Limited,"36,054 mi.",Larry H. Miller Subaru Boise,4.7,"(1,257 reviews)","$33,925"
11,2017 Subaru Outback 2.5i Limited,"75,016 mi.",Huffines Kia Corinth,4.9,"(1,670 reviews)","$23,957"
12,2020 Subaru Ascent Limited 7-Passenger,"46,301 mi.",Falcone Volkswagen Subaru,4.9,"(1,901 reviews)","$37,990"
13,2019 Subaru Outback 3.6R Limited,"17,005 mi.",Subaru of Olathe,4.8,(383 reviews),"$36,390"
14,2019 Subaru Crosstrek 2.0i Premium,"18,870 mi.",Capitol Subaru,4.1,(83 reviews),"$27,796"
15,2019 Subaru Impreza 2.0i Sport,"36,629 mi.","Delaware Cadillac, Subaru, Kia",4.8,(947 reviews),"$25,995"
16,2021 Subaru Forester Premium,"13,922 mi.",Dean Team Volkswagen Subaru of Ballwin,4.9,"(4,914 reviews)","$35,694"
17,2019 Subaru Outback 2.5i Premium,"17,884 mi.",Bachman Subaru,4.7,(318 reviews),"$32,861"
18,2020 Subaru Outback Limited,"30,450 mi.",Sewell Subaru,4.2,(61 reviews),"$36,595"
19,2020 Subaru Outback Limited XT,"20,917 mi.",Busam Subaru,3.9,(89 reviews),"$39,900"
20,2019 Subaru Ascent Limited 7-Passenger,"54,291 mi.",Groove Subaru,4.9,"(7,121 reviews)","$32,593"
21,2019 Subaru Impreza 2.0i,"31,740 mi.",Groove Subaru,4.9,"(7,121 reviews)","$23,090"
22,2019 Subaru Outback 2.5i Premium,"47,892 mi.",Bob Rohrman Subaru of Fort Wayne,4.3,(992 reviews),"$28,849"
23,2021 Subaru Outback Premium,"16,549 mi.",Wallace Imports of Johnson City,3.9,(79 reviews),"$32,973"
24,2018 Subaru Forester 2.5i Premium,"31,460 mi.",Faulkner Subaru of Harrisburg,4.8,(685 reviews),"$25,711"
25,2018 Subaru Outback 2.5i,"33,071 mi.",Ira Subaru,4.4,(680 reviews),"$25,997"
26,2020 Subaru Outback Limited XT,"35,216 mi.",Sheehy Subaru Springfield,4.8,(773 reviews),"$34,978"
27,2019 Subaru Forester Premium,"40,028 mi.",Kenny Ross Subaru,4.8,"(1,096 reviews)","$28,384"
28,2019 Subaru Outback 2.5i Limited,"20,096 mi.",Subaru of Olathe,4.8,(383 reviews),"$34,680"
29,2019 Subaru Crosstrek 2.0i Premium,"16,311 mi.",Sommer's Automotive,4.9,"(1,676 reviews)","$29,770"
30,2021 Subaru Forester Sport,"21,053 mi.",Sellers Subaru,4.8,(506 reviews),"$37,988"
31,2017 Subaru Outback 2.5i Premium,"67,100 mi.",Mike Shaw Subaru,4.8,"(1,481 reviews)","$25,251"
