,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2020 Toyota Yaris LE,"9,114 mi.",Burien Toyota,3.9,(20 reviews),"$24,649"
1,2021 Toyota RAV4 LE,"24,058 mi.",Advantage Toyota of River Oaks,4.3,(392 reviews),"$31,199"
2,2021 Toyota RAV4 LE,"40,394 mi.",Toyota of Lincolnwood,4.0,(636 reviews),"$27,088"
3,2021 Toyota RAV4 LE,"43,110 mi.",Victory Toyota of Midtown,4.8,(430 reviews),"$30,494"
4,2020 Toyota Camry LE,"47,721 mi.",Toyota of Lincolnwood,4.0,(636 reviews),"$22,988"
5,2021 Toyota RAV4 LE,"24,078 mi.",Team Toyota,4.9,"(1,303 reviews)","$30,000"
6,2021 Toyota RAV4 LE,"25,915 mi.",Oak Lawn Toyota,4.7,"(2,607 reviews)","$36,933"
7,2021 Toyota Camry SE,"35,864 mi.",Rochester Toyota,4.8,(446 reviews),"$27,999"
8,2020 Toyota Tacoma SR,"23,943 mi.",Performance Toyota,4.6,"(1,003 reviews)","$37,414"
9,2020 Toyota Camry LE,"57,953 mi.",Toyota of Lincolnwood,4.0,(636 reviews),"$22,490"
10,2020 Toyota Tacoma SR5,"31,261 mi.",Toyota of Gastonia,4.6,(630 reviews),"$35,500"
11,2021 Toyota RAV4 LE,"33,434 mi.",Landers Toyota,4.8,"(2,311 reviews)","$32,995"
12,2021 Toyota Camry SE,"35,802 mi.",Rochester Toyota,4.8,(446 reviews),"$28,998"
13,2020 Toyota RAV4 XLE,"11,525 mi.",Right Toyota,4.6,"(1,812 reviews)","$31,901"
14,2021 Toyota Highlander XLE,"17,571 mi.",Team One Toyota,3.3,(19 reviews),"$44,777"
15,2018 Toyota RAV4 XLE,"43,492 mi.",Toyota Direct,3.9,(565 reviews),"$26,995"
16,2017 Toyota Prius Prime Advanced,"18,816 mi.",Ron Tonkin Toyota,4.4,(348 reviews),"$36,863"
17,2019 Toyota C-HR LE,"37,526 mi.",AutoNation Toyota Las Vegas,4.6,"(2,105 reviews)","$25,991"
18,2022 Toyota Corolla Cross LE,109 mi.,Toyota of Tacoma,4.6,"(1,229 reviews)","$36,999"
19,2019 Toyota Mirai Base,"29,941 mi.",Toyota Sunnyvale,4.8,"(6,582 reviews)","$19,382"
20,2019 Toyota 4Runner Limited,"37,385 mi.",Groove Toyota,4.7,"(1,045 reviews)","$46,790"
21,2021 Toyota RAV4 XLE,"14,012 mi.",Jim Ellis Toyota of McDonough,4.7,"(4,716 reviews)","$37,391"
22,2019 Toyota 4Runner Limited,"36,003 mi.",Dublin Toyota,4.4,(136 reviews),"$45,788"
23,2019 Toyota RAV4 XLE Premium,"59,852 mi.",Wolfchase Toyota,4.4,(299 reviews),"$34,044"
24,2019 Toyota RAV4 Hybrid Limited,"31,353 mi.",Toyota Marin,4.9,"(3,809 reviews)","$47,000"
25,2019 Toyota RAV4 XLE Premium,"35,501 mi.",Hoselton AutoMall,4.5,(459 reviews),"$34,922"
26,2020 Toyota Highlander XLE,"60,364 mi.",Camelback Toyota,4.3,(810 reviews),"$38,784"
27,2021 Toyota RAV4 LE,"43,724 mi.",Wolfchase Toyota,4.4,(299 reviews),"$33,073"
28,2019 Toyota RAV4 LE,"32,862 mi.",Bill Page Toyota,4.4,(309 reviews),"$30,719"
29,2021 Toyota Highlander XLE,"19,730 mi.",Serra Toyota,4.9,"(3,000 reviews)","$47,490"
30,2020 Toyota RAV4 XLE Premium,"10,800 mi.",Gettel Toyota,4.5,"(1,589 reviews)","$38,993"
31,2019 Toyota 4Runner Limited,"44,519 mi.",Toyota of Rock Hill,4.5,(656 reviews),"$44,798"
32,2021 Toyota Corolla LE,"40,341 mi.",Camelback Toyota,4.3,(810 reviews),"$25,597"
33,2019 Toyota RAV4 Adventure,"14,701 mi.",Burnsville Toyota,4.8,(949 reviews),"$43,253"
34,2021 Toyota RAV4 LE,"15,368 mi.",Landers Toyota,4.8,"(2,311 reviews)","$34,395"
35,2021 Toyota Corolla LE,"43,067 mi.",Camelback Toyota,4.3,(810 reviews),"$25,598"
36,2020 Toyota RAV4 XLE,"45,676 mi.",Wolfchase Toyota,4.4,(299 reviews),"$32,513"
37,2021 Toyota Tundra SR5,"15,038 mi.",Camelback Toyota,4.3,(810 reviews),"$40,997"
38,2018 Toyota RAV4 LE,"12,957 mi.",AutoNation Toyota Las Vegas,4.6,"(2,105 reviews)","$29,995"
39,2017 Toyota RAV4 Hybrid Limited,"41,227 mi.",Thompson Toyota,4.7,(650 reviews),"$33,990"
40,2018 Toyota Tundra 1794,"19,158 mi.",Avondale Toyota,4.9,"(2,325 reviews)","$54,981"
41,2021 Toyota Highlander XLE,"30,310 mi.",Jim Ellis Toyota of McDonough,4.7,"(4,716 reviews)","$46,691"
42,2018 Toyota RAV4 XLE,"53,075 mi.",Gault Auto,4.2,(102 reviews),"$26,250"
43,2021 Toyota Highlander XSE,"30,435 mi.",Toyota of Fayetteville,4.8,(523 reviews),"$47,275"
44,2020 Toyota RAV4 LE,"48,093 mi.",Landers Toyota,4.8,"(2,311 reviews)","$31,195"
45,2021 Toyota Venza XLE,"17,487 mi.",Toyota of Tampa Bay on Fletcher,4.8,"(3,269 reviews)","$43,941"
46,2019 Toyota Camry LE,"34,298 mi.",Toyota of Lincoln Park,4.2,(381 reviews),"$24,425"
47,2019 Toyota RAV4 XLE Premium,"41,931 mi.",AutoNation Toyota Arapahoe,4.5,"(2,494 reviews)","$37,598"
48,2019 Toyota RAV4 Limited,"30,895 mi.",Toyota of Lincolnwood,4.0,(636 reviews),"$34,588"
49,2018 Toyota Highlander Limited,"17,535 mi.",Atlantic Toyota,4.6,"(1,635 reviews)","$39,388"
50,2020 Toyota RAV4 XLE,"31,930 mi.",Ira Toyota of Danvers,4.4,"(2,701 reviews)","$32,500"
51,2018 Toyota 4Runner TRD Off Road,"41,252 mi.",Toyota of Orlando,4.7,"(3,125 reviews)","$38,995"
52,2021 Toyota 4Runner SR5,"19,304 mi.",North Park Toyota of San Antonio,4.8,"(1,817 reviews)","$40,981"
53,2021 Toyota Corolla LE,"40,062 mi.",Camelback Toyota,4.3,(810 reviews),"$25,994"
54,2021 Toyota Corolla LE,"41,813 mi.",Camelback Toyota,4.3,(810 reviews),"$25,598"
55,2021 Toyota Corolla LE,"40,451 mi.",Camelback Toyota,4.3,(810 reviews),"$25,994"
56,2021 Toyota Camry SE,"38,129 mi.",Wolfchase Toyota,4.4,(299 reviews),"$32,049"
57,2021 Toyota Camry SE,"37,724 mi.",Wolfchase Toyota,4.4,(299 reviews),"$31,328"
58,2021 Toyota RAV4 LE,"38,578 mi.",Toyota of Cedar Park,4.8,"(2,047 reviews)","$31,994"
59,2019 Toyota Avalon XLE,"27,550 mi.",Daytona Toyota,4.6,"(6,315 reviews)","$35,000"
60,2020 Toyota 4Runner Limited,"32,890 mi.",Heiser Toyota,4.7,"(4,120 reviews)","$46,988"
61,2021 Toyota RAV4 Limited,"40,699 mi.",Beaver Toyota Cumming,4.8,"(1,213 reviews)","$43,882"
62,2020 Toyota RAV4 XLE,"45,376 mi.",Wolfchase Toyota,4.4,(299 reviews),"$33,322"
63,2020 Toyota Tundra SR5,"15,551 mi.",Toyota of Huntington Beach,4.3,(183 reviews),"$47,988"
64,2018 Toyota RAV4 Limited,"60,164 mi.",Jim Ellis Toyota of McDonough,4.7,"(4,716 reviews)","$29,991"
65,2021 Toyota Corolla LE,"39,449 mi.",Andy Mohr Toyota,4.4,(773 reviews),"$22,700"
66,2019 Toyota RAV4 LE,"34,038 mi.",Jim Coleman Toyota,4.7,"(1,283 reviews)","$28,500"
67,2022 Toyota 4Runner SR5,301 mi.,Chuck Hutton Toyota,4.9,(148 reviews),"$43,992"
68,2022 Toyota Corolla LE,"6,844 mi.",Toyota of Clermont,4.8,"(2,445 reviews)","$23,995"
69,2022 Toyota Camry SE,"35,008 mi.",Serra Toyota,4.9,"(3,000 reviews)","$34,900"
70,2021 Toyota RAV4 LE,"37,540 mi.",Toyota of Huntington Beach,4.3,(183 reviews),"$29,488"
71,2021 Toyota RAV4 XLE,"10,088 mi.",Coggin Toyota at the Avenues,4.7,"(2,763 reviews)","$35,781"
72,2020 Toyota RAV4 XLE,"64,342 mi.",Don McGill Toyota of Houston,4.4,(963 reviews),"$31,689"
73,2021 Toyota Tundra SR5,"18,857 mi.",Tansky Sawmill Toyota,4.6,(852 reviews),"$49,995"
74,2018 Toyota 4Runner Limited,"49,639 mi.",Serra Toyota of Decatur,4.7,(459 reviews),"$44,000"
75,2019 Toyota Camry LE,"47,512 mi.",Toyota of Lincolnwood,4.0,(636 reviews),"$22,688"
76,2017 Toyota RAV4 XLE,"42,046 mi.",Northshore Toyota,4.4,(194 reviews),"$25,980"
77,2018 Toyota RAV4 Limited,"65,250 mi.",Jim Ellis Toyota of McDonough,4.7,"(4,716 reviews)","$29,992"
78,2021 Toyota Corolla LE,"33,037 mi.",Camelback Toyota,4.3,(810 reviews),"$26,294"
79,2021 Toyota RAV4 LE,"35,674 mi.",Toyota of Huntington Beach,4.3,(183 reviews),"$29,488"
80,2019 Toyota RAV4 XLE,"40,737 mi.",Toyota Direct,3.9,(565 reviews),"$29,995"
81,2017 Toyota RAV4 XLE,"46,528 mi.",Toyota of Lincolnwood,4.0,(636 reviews),"$24,388"
82,2018 Toyota Land Cruiser V8,"66,408 mi.",Rodland Toyota,4.8,"(1,678 reviews)","$74,999"
83,2021 Toyota Tundra SR5,"17,305 mi.",All Star Toyota of Baton Rouge,4.5,(436 reviews),"$53,995"
84,2020 Toyota Camry XSE,"21,027 mi.",Byers Toyota,4.7,"(2,209 reviews)","$35,900"
85,2019 Toyota RAV4 LE,"18,265 mi.",Corwin Toyota of Fargo,4.6,"(1,237 reviews)","$32,618"
86,2021 Toyota RAV4 LE,"42,629 mi.",Landers Toyota,4.8,"(2,311 reviews)","$31,495"
87,2018 Toyota RAV4 SE,"40,595 mi.",Longo Toyota,4.8,"(3,559 reviews)","$27,888"
88,2019 Toyota Camry SE,"10,195 mi.",Toyota of Brookfield,4.8,"(1,717 reviews)","$30,294"
89,2020 Toyota 4Runner Limited,"21,098 mi.",Nalley Toyota of Roswell,4.5,"(1,415 reviews)","$49,368"
