,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2020 Volvo S60 T5 Momentum,"15,326 mi.",Keystone Volvo Cars Berwyn,4.8,(121 reviews),"$33,995"
1,2020 Volvo XC60 T5 Momentum,"16,659 mi.",Crest Volvo Cars,4.8,"(1,568 reviews)","$40,884"
2,2020 Volvo XC60 T5 R-Design,"31,401 mi.",Crest Volvo Cars,4.8,"(1,568 reviews)","$42,684"
3,2019 Volvo XC60 T5 Momentum,"35,000 mi.",Principle Volvo Cars San Antonio,4.7,"(1,681 reviews)","$43,968"
4,2020 Volvo XC40 T5 R-Design,"36,413 mi.",Gorges Volvo Cars,4.9,"(1,945 reviews)","$40,995"
5,2018 Volvo XC60 T5 Momentum,"31,000 mi.",Principle Volvo Cars San Antonio,4.7,"(1,681 reviews)","$42,962"
6,2019 Volvo XC90 T6 Momentum,"48,340 mi.",Volvo Cars of Tampa,4.6,(213 reviews),"$40,994"
7,2021 Volvo S60 T5 Momentum,"24,500 mi.",Principle Volvo Cars San Antonio,4.7,"(1,681 reviews)","$37,968"
8,2019 Volvo XC60 T5 Momentum,"21,299 mi.",Karp Volvo Buick Kia,4.8,(872 reviews),"$37,487"
9,2019 Volvo XC60 T5 Momentum,"19,966 mi.",Volvo Cars San Diego,4.4,(130 reviews),"$39,492"
10,2019 Volvo XC60 T6 Momentum,"54,471 mi.",Courtesy Volvo Cars of Scottsdale,4.7,"(1,168 reviews)","$35,500"
11,2022 Volvo XC60 B6 Inscription,"4,400 mi.",Grubbs Volvo Cars Grapevine,3.4,(34 reviews),"$59,000"
12,2022 Volvo XC60 B5 Momentum,"3,553 mi.",Karp Volvo Buick Kia,4.8,(872 reviews),"$47,556"
13,2019 Volvo XC60 T5 Momentum,"40,328 mi.",Courtesy Volvo Cars of Scottsdale,4.7,"(1,168 reviews)","$36,500"
14,2020 Volvo S90 T6 R-Design,"17,500 mi.",Principle Volvo Cars San Antonio,4.7,"(1,681 reviews)","$50,962"
15,2018 Volvo XC60 T5 Momentum,"44,000 mi.",Principle Volvo Cars San Antonio,4.7,"(1,681 reviews)","$36,962"
