,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2020 Subaru Crosstrek Limited,"34,238 mi.",Larry H. Miller Subaru Boise,4.7,"(1,257 reviews)","$32,888"
1,2020 Subaru Crosstrek Limited,"33,812 mi.",Larry H. Miller Subaru Boise,4.7,"(1,257 reviews)","$32,095"
2,2019 Subaru Outback 2.5i Limited,"16,601 mi.",Stohlman Volkswagen Subaru,4.8,"(1,443 reviews)","$34,000"
3,2018 Subaru Crosstrek 2.0i Premium,"22,328 mi.",Austin Subaru,4.8,(970 reviews),"$28,988"
4,2020 Subaru Outback Limited,"30,450 mi.",Sewell Subaru,4.2,(61 reviews),"$36,595"
5,2019 Subaru Outback 2.5i Limited,"36,054 mi.",Larry H. Miller Subaru Boise,4.7,"(1,257 reviews)","$33,925"
6,2019 Subaru Crosstrek 2.0i Limited,"18,517 mi.",Larry H. Miller Subaru Boise,4.7,"(1,257 reviews)","$32,989"
7,2019 Subaru Outback 2.5i Limited,"35,389 mi.",Larry H. Miller Subaru Boise,4.7,"(1,257 reviews)","$33,859"
8,2021 Subaru Crosstrek Sport,"18,900 mi.",Brandon Tomes Subaru,4.5,(62 reviews),"$33,485"
9,2020 Subaru Outback Limited XT,"20,917 mi.",Busam Subaru,3.9,(89 reviews),"$39,900"
10,2019 Subaru Outback 2.5i Limited,"36,754 mi.",Mike Shaw Subaru,4.8,"(1,481 reviews)","$36,591"
11,2021 Subaru Crosstrek Limited,"36,158 mi.",Flower Subaru,4.0,(21 reviews),"$33,499"
12,2019 Subaru Outback 2.5i Limited,"34,696 mi.",Stohlman Subaru of Sterling,4.7,(603 reviews),"$32,000"
13,2019 Subaru Outback 2.5i Limited,"37,014 mi.",Mike Shaw Subaru,4.8,"(1,481 reviews)","$36,591"
14,2019 Subaru Outback 2.5i Limited,"37,711 mi.",Mike Shaw Subaru,4.8,"(1,481 reviews)","$36,591"
15,2019 Subaru Outback 2.5i Limited,"35,347 mi.",Larry H. Miller Subaru Boise,4.7,"(1,257 reviews)","$33,942"
16,2019 Subaru Outback 2.5i Limited,"37,332 mi.",Mike Shaw Subaru,4.8,"(1,481 reviews)","$36,591"
17,2019 Subaru Outback 2.5i Limited,"38,437 mi.",Mike Shaw Subaru,4.8,"(1,481 reviews)","$36,591"
18,2019 Subaru Outback 2.5i Limited,"37,647 mi.",Mike Shaw Subaru,4.8,"(1,481 reviews)","$36,591"
19,2019 Subaru Outback 2.5i Limited,"52,992 mi.",Subaru of Olathe,4.8,(383 reviews),"$31,480"
20,2019 Subaru Outback 2.5i Limited,"18,409 mi.",Ira Subaru,4.4,(680 reviews),"$31,488"
21,2021 Subaru Ascent Touring 7-Passenger,"10,291 mi.",Fiesta Subaru,4.6,(78 reviews),"$38,991"
22,2020 Subaru Ascent Limited 7-Passenger,"46,301 mi.",Falcone Volkswagen Subaru,4.9,"(1,902 reviews)","$37,990"
23,2019 Subaru Outback 2.5i Limited,"17,808 mi.",Long Subaru,4.9,(329 reviews),"$32,999"
24,2019 Subaru Outback 2.5i Premium,"17,884 mi.",Bachman Subaru,4.7,(318 reviews),"$32,861"
25,2018 Subaru Outback 2.5i,"33,072 mi.",Ira Subaru,4.4,(680 reviews),"$25,997"
26,2019 Subaru Forester Premium,"33,802 mi.",Herb Gordon Subaru,4.9,"(1,146 reviews)","$29,225"
27,2018 Subaru Outback 2.5i Limited,"45,438 mi.","Lancaster County Motors, Inc.",4.8,(602 reviews),"$29,987"
28,2019 Subaru Forester Premium,"17,480 mi.",W & L Subaru,4.8,"(3,160 reviews)","$30,881"
29,2019 Subaru Outback 2.5i Limited,"21,232 mi.",Bob Rohrman Subaru of Fort Wayne,4.3,(992 reviews),"$32,566"
30,2021 Subaru Forester Premium,"40,175 mi.",Lee's Summit Subaru,2.9,(67 reviews),"$34,997"
31,2019 Subaru Outback 2.5i Limited,"18,670 mi.",Austin Subaru,4.8,(970 reviews),"$35,988"
32,2021 Subaru Crosstrek Premium,"10,819 mi.",Stohlman Volkswagen Subaru,4.8,"(1,443 reviews)","$30,575"
33,2019 Subaru Outback 2.5i Limited,"22,267 mi.",Schaller Subaru,4.6,(288 reviews),"$31,999"
34,2020 Subaru Crosstrek Premium,"16,996 mi.",Flatirons Subaru,4.8,"(1,267 reviews)","$32,600"
35,2019 Subaru Crosstrek 2.0i Limited,"40,823 mi.",Subaru of Pembroke Pines,4.7,"(2,069 reviews)","$28,000"
36,2021 Subaru Outback Premium,"16,051 mi.",Austin Subaru,4.8,(970 reviews),"$35,988"
37,2019 Subaru Crosstrek 2.0i Premium,"53,891 mi.",DCH Subaru of Riverside,4.8,(933 reviews),"$26,066"
