,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2020 Acura TLX Technology,"13,214 mi.",Piazza Acura of Ardmore,4.6,(138 reviews),"$31,999"
1,2020 Acura TLX FWD,"35,713 mi.",Acura Carland,4.5,(145 reviews),"$33,989"
2,2020 Acura MDX 3.5L,"23,967 mi.",Pohanka Acura,4.8,"(1,662 reviews)","$39,128"
3,2020 Acura MDX 3.5L,"16,437 mi.",Hiley Acura,3.7,(61 reviews),"$41,689"
4,2019 Acura MDX 3.5L,"33,408 mi.",Jay Wolfe Acura of Overland Park,4.8,"(1,498 reviews)","$38,051"
5,2020 Acura TLX V6 w/Technology Package,"19,943 mi.",Fountain Acura,4.4,(310 reviews),"$34,497"
6,2020 Acura RDX A-Spec,"36,876 mi.",Hiley Acura,3.7,(61 reviews),"$41,732"
7,2020 Acura MDX 3.5L w/Technology Package,"26,357 mi.",Muller Acura of Merrillville,4.6,(115 reviews),"$44,995"
8,2019 Acura ILX Premium & A-SPEC Packages,"21,539 mi.",Rick Case Acura,4.7,"(1,636 reviews)","$27,668"
9,2021 Acura TLX A-Spec,"22,193 mi.",Acura of Pembroke Pines,4.8,"(6,356 reviews)","$40,455"
10,2020 Acura RDX Advance Package,"19,267 mi.",Jay Wolfe Acura,4.8,"(2,395 reviews)","$45,400"
11,2019 Acura ILX Premium & A-SPEC Packages,"16,195 mi.",Phil Smith Acura,4.8,"(1,297 reviews)","$28,895"
12,2020 Acura TLX FWD,"21,194 mi.",Davis Acura,4.7,"(2,693 reviews)","$31,488"
13,2021 Acura RDX Technology Package,"11,618 mi.",Acura Carland,4.5,(145 reviews),"$47,502"
14,2021 Acura RDX Technology Package,"15,220 mi.",Acura Carland,4.5,(145 reviews),"$47,277"
15,2019 Acura RDX Base,"34,150 mi.",Acura Carland,4.5,(145 reviews),"$40,087"
16,2019 Acura RDX Technology Package,"39,697 mi.",Acura of Brookfield,4.8,"(1,653 reviews)","$40,900"
17,2020 Acura RDX A-Spec,"49,197 mi.",Herb Connolly Acura of Framingham,4.7,"(1,537 reviews)","$41,795"
18,2021 Acura TLX Technology,"16,884 mi.",Lindsay Acura,4.3,(281 reviews),"$41,887"
19,2020 Acura MDX 3.5L,"43,217 mi.",DCH Montclair Acura,4.9,"(2,441 reviews)","$36,498"
20,2021 Acura RDX w/A-Spec Package,"27,665 mi.",Pohanka Acura,4.8,"(1,662 reviews)","$46,890"
21,2020 Acura RDX Base,"61,873 mi.",Vandergriff Acura,4.7,"(1,358 reviews)","$34,774"
22,2019 Acura TLX V6 w/Technology Package,"46,029 mi.",Acura Carland,4.5,(145 reviews),"$35,853"
23,2018 Acura RDX Advance Package,"53,855 mi.",Jay Wolfe Acura,4.8,"(2,395 reviews)","$32,997"
24,2020 Acura MDX 3.5L w/Technology Package,"19,813 mi.",Crown Acura,4.9,"(3,640 reviews)","$43,615"
25,2020 Acura MDX 3.5L,"19,696 mi.",Vandergriff Acura,4.7,"(1,358 reviews)","$43,886"
26,2020 Acura RDX Base,"39,065 mi.",Crown Acura,4.9,(238 reviews),"$38,981"
27,2020 Acura RDX A-Spec,"14,163 mi.",Hansel Acura,4.5,(4 reviews),"$43,500"
28,2019 Acura RDX Technology Package,"52,181 mi.",Acura of Ellicott City,4.6,(430 reviews),"$36,000"
29,2020 Acura RDX A-Spec,"56,674 mi.",Hiley Acura,3.7,(61 reviews),"$39,360"
30,2020 Acura MDX 3.5L,"31,560 mi.",Paragon Acura,4.6,"(2,754 reviews)","$35,888"
31,2020 Acura TLX FWD,"28,198 mi.",Advantage Acura of Naperville,4.7,(433 reviews),"$31,850"
32,2019 Acura RDX Technology Package,"26,544 mi.",Davis Acura,4.7,"(2,693 reviews)","$39,988"
33,2020 Acura TLX V6 w/Technology Package,"12,262 mi.",Acura of Stockton,5.0,(152 reviews),"$34,972"
34,2019 Acura TLX Technology,"25,770 mi.",Grubbs Acura,4.5,(76 reviews),"$30,500"
35,2020 Acura TLX FWD,"12,719 mi.",Acura Carland,4.5,(145 reviews),"$36,706"
36,2020 Acura MDX 3.5L w/Technology Package,"12,896 mi.",Acura of Orange Park,4.1,(305 reviews),"$43,839"
37,2017 Acura TLX V6 w/Technology Package,"58,952 mi.",Jay Wolfe Acura,4.8,"(2,395 reviews)","$26,997"
38,2020 Acura RDX Technology Package,"10,838 mi.",Southern Motors Acura,3.3,(23 reviews),"$41,999"
39,2019 Acura TLX FWD,"38,260 mi.",Phil Smith Acura,4.8,"(1,297 reviews)","$26,879"
40,2020 Acura RDX Base,"24,280 mi.",Acura of Alhambra,3.1,(48 reviews),"$36,979"
41,2020 Acura TLX Technology,"23,023 mi.",Paragon Acura,4.6,"(2,754 reviews)","$30,000"
