,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 Alfa Romeo Giulia Ti,"31,664 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$32,610"
1,2019 Alfa Romeo Giulia Base,"23,769 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,549 reviews)","$28,995"
2,2019 Alfa Romeo Stelvio Ti Sport,"23,071 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$39,610"
3,2019 Alfa Romeo Stelvio Base,"33,488 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$34,554"
4,2019 Alfa Romeo Giulia Ti,"28,164 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$39,995"
5,2019 Alfa Romeo Giulia Base,"35,492 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,549 reviews)","$27,995"
6,2019 Alfa Romeo Giulia Ti,"17,812 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$37,953"
7,2019 Alfa Romeo Giulia Ti,"13,320 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$39,757"
8,2019 Alfa Romeo Giulia Base,"22,998 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,549 reviews)","$29,495"
9,2020 Alfa Romeo Giulia ,"23,545 mi.",Todd Maserati Alfa Romeo of Danbury,4.9,(315 reviews),"$38,998"
10,2020 Alfa Romeo Stelvio ,"21,368 mi.",Todd Maserati Alfa Romeo of Danbury,4.9,(315 reviews),"$41,705"
11,2019 Alfa Romeo Giulia Ti,"18,148 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,549 reviews)","$31,995"
12,2019 Alfa Romeo Giulia Ti,"26,739 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$34,682"
13,2019 Alfa Romeo Giulia Base,"19,708 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,549 reviews)","$28,995"
14,2019 Alfa Romeo Giulia Ti,"11,183 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,549 reviews)","$32,995"
15,2019 Alfa Romeo Giulia Base,"27,817 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,549 reviews)","$28,195"
16,2019 Alfa Romeo Giulia Ti,"27,161 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$39,996"
17,2020 Alfa Romeo Stelvio ,"20,326 mi.",Todd Maserati Alfa Romeo of Danbury,4.9,(315 reviews),"$42,998"
18,2020 Alfa Romeo Stelvio Ti,"17,920 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$41,133"
19,2019 Alfa Romeo Giulia Base,"26,773 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$31,998"
20,2019 Alfa Romeo Stelvio Base,"31,711 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,549 reviews)","$30,504"
21,2017 Alfa Romeo Giulia Base,"23,318 mi.",Alfa Romeo of Strongsville,4.6,(774 reviews),"$30,594"
22,2019 Alfa Romeo Giulia Base,"16,555 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$37,594"
23,2020 Alfa Romeo Stelvio Ti Sport,"16,949 mi.",Alfa Romeo of Strongsville,4.6,(774 reviews),"$45,994"
24,2018 Alfa Romeo Stelvio Base,555 mi.,Alfa Romeo and Fiat of Maple Shade,4.4,(760 reviews),"$65,500"
25,2022 Alfa Romeo Stelvio Sprint,"3,031 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,549 reviews)","$44,495"
26,2019 Alfa Romeo Giulia Sport,"22,203 mi.",Alfa Romeo and Fiat of Maple Shade,4.4,(760 reviews),"$33,914"
27,2021 Alfa Romeo Stelvio Ti Sport,"3,132 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$48,790"
28,2019 Alfa Romeo Stelvio Ti,"19,936 mi.",Alfa Romeo of Strongsville,4.6,(774 reviews),"$37,463"
29,2019 Alfa Romeo Giulia Ti,"16,040 mi.",Brandon Auto Mall Alfa Romeo,4.8,(490 reviews),"$35,981"
30,2019 Alfa Romeo Stelvio Ti Sport,"20,251 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$37,729"
31,2019 Alfa Romeo Stelvio Ti Sport,"14,413 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$40,599"
32,2018 Alfa Romeo Stelvio ,"27,043 mi.",Todd Maserati Alfa Romeo of Danbury,4.9,(315 reviews),"$36,998"
33,2019 Alfa Romeo Stelvio Ti Sport,"24,415 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$40,810"
34,2021 Alfa Romeo Stelvio Ti,"12,660 mi.",Genesis Alfa Romeo FIAT,4.6,(77 reviews),"$45,488"
35,2022 Alfa Romeo Stelvio Sprint,"6,414 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,549 reviews)","$42,695"
36,2019 Alfa Romeo Stelvio Ti,"11,411 mi.",Alfa Romeo of Strongsville,4.6,(774 reviews),"$37,843"
37,2018 Alfa Romeo Stelvio Ti,"38,022 mi.",Brandon Auto Mall Alfa Romeo,4.8,(490 reviews),"$34,581"
38,2019 Alfa Romeo Giulia Ti,"19,112 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$39,995"
39,2019 Alfa Romeo Stelvio Ti,"25,581 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,549 reviews)","$33,595"
40,2019 Alfa Romeo Stelvio Ti,"11,682 mi.",Alfa Romeo of Strongsville,4.6,(774 reviews),"$39,838"
41,2020 Alfa Romeo Stelvio Base,"14,773 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,549 reviews)","$36,995"
42,2022 Alfa Romeo Stelvio Ti,"1,773 mi.",Brandon Auto Mall Alfa Romeo,4.8,(490 reviews),"$50,991"
43,2018 Alfa Romeo Giulia Ti Sport,"40,485 mi.",Alfa Romeo and Fiat of Maple Shade,4.4,(760 reviews),"$31,914"
44,2019 Alfa Romeo Giulia Ti,"27,383 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$34,861"
45,2019 Alfa Romeo Stelvio Base,"26,779 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,549 reviews)","$29,595"
46,2018 Alfa Romeo Stelvio Ti,"47,653 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$31,491"
47,2019 Alfa Romeo Stelvio Base,"30,713 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,549 reviews)","$33,095"
48,2018 Alfa Romeo Stelvio Ti,"23,924 mi.",Benchmark Imports,4.7,(652 reviews),"$38,700"
49,2019 Alfa Romeo Stelvio Ti Sport,"16,296 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,549 reviews)","$35,895"
50,2019 Alfa Romeo Giulia Ti,"28,931 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,549 reviews)","$30,995"
51,2019 Alfa Romeo Stelvio Ti Sport,"18,616 mi.",Alfa Romeo of Fort Worth,4.1,(288 reviews),"$39,908"
52,2020 Alfa Romeo Giulia Ti,"16,767 mi.",Genesis Alfa Romeo FIAT,4.6,(77 reviews),"$33,995"
