,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2021 Aston Martin DBX Base,"3,060 mi.",Long Island Sports Cars - Aston Martin Long Island - McLaren Long Island,3.5,(8 reviews),"$168,888"
1,2017 Aston Martin DB11 Launch Edition,"11,943 mi.",Park Place LTD,3.2,(24 reviews),"$149,950"
2,2021 Aston Martin DBX Base,"14,451 mi.",Napleton Aston Martin Maserati,4.7,(824 reviews),"$174,776"
3,2019 Aston Martin DB11 V8,"20,079 mi.",Park Place LTD,3.2,(24 reviews),"$154,950"
4,2019 Aston Martin Vantage Base,"14,242 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$131,990"
5,2019 Aston Martin DB11 Volante,"8,472 mi.",Miller Motorcars,4.6,(42 reviews),Not Priced
6,2021 Aston Martin DBX Base,"9,753 mi.",Miller Motorcars,4.6,(42 reviews),"$179,900"
7,2021 Aston Martin DBX Base,"1,871 mi.",Miller Motorcars,4.6,(42 reviews),"$191,900"
8,2014 Aston Martin V8 Vantage GT Coupe,"24,332 mi.",Aston Martin San Diego,5.0,(1 review),"$89,000"
9,2021 Aston Martin DBX ,"3,240 mi.",Miller Motorcars,4.6,(42 reviews),"$181,900"
10,2021 Aston Martin Vantage Base,"1,840 mi.",Long Island Sports Cars - Aston Martin Long Island - McLaren Long Island,3.5,(8 reviews),"$194,888"
11,2020 Aston Martin Vantage Base,"5,185 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$135,888"
12,2021 Aston Martin DBX ,"4,460 mi.",Miller Motorcars,4.6,(42 reviews),"$181,900"
13,2018 Aston Martin DB11 V12,"12,272 mi.",Napleton Aston Martin Maserati,4.7,(824 reviews),"$150,000"
14,2020 Aston Martin DB11 Volante,"12,790 mi.",Long Island Sports Cars - Aston Martin Long Island - McLaren Long Island,3.5,(8 reviews),"$188,888"
15,2020 Aston Martin DB11 AMR,"5,363 mi.",Miller Motorcars,4.6,(42 reviews),"$224,900"
16,2020 Aston Martin DB11 Volante,"9,703 mi.",Miller Motorcars,4.6,(42 reviews),"$189,900"
17,2020 Aston Martin DB11 Volante,"5,139 mi.",Miller Motorcars,4.6,(42 reviews),"$199,900"
18,2020 Aston Martin Vantage ,"6,784 mi.",Aston Martin Newport Beach,5.0,(3 reviews),"$143,980"
19,2021 Aston Martin Vantage Base,"1,460 mi.",Long Island Sports Cars - Aston Martin Long Island - McLaren Long Island,3.5,(8 reviews),"$188,888"
20,2019 Aston Martin DB11 Volante,"8,867 mi.",F.C. Kerbeck & Sons,4.7,(170 reviews),"$179,000"
21,2020 Aston Martin DBS Superleggera Volante,"4,920 mi.",THE COLLECTION,4.7,(655 reviews),"$339,900"
22,2020 Aston Martin DB11 AMR,"8,532 mi.",Miller Motorcars,4.6,(42 reviews),"$219,900"
23,2019 Aston Martin Vantage ,"5,549 mi.",F.C. Kerbeck & Sons,4.7,(170 reviews),"$165,880"
24,2019 Aston Martin DB11 Volante,"12,603 mi.",F.C. Kerbeck & Sons,4.7,(170 reviews),"$175,000"
25,2019 Aston Martin DBS Superleggera,"17,062 mi.",Aston Martin Newport Beach,5.0,(3 reviews),"$279,899"
26,2019 Aston Martin DB11 Volante,"7,583 mi.",Napleton Aston Martin Maserati,4.7,(824 reviews),"$178,800"
27,2019 Aston Martin DB11 Volante,"3,290 mi.",Napleton Aston Martin Maserati,4.7,(824 reviews),"$181,800"
28,2017 Aston Martin Rapide S Shadow Edition,"7,292 mi.",Napleton Aston Martin Maserati,4.7,(824 reviews),"$142,800"
29,2019 Aston Martin Vantage Base,"6,191 mi.",Napleton Aston Martin Maserati,4.7,(824 reviews),"$132,500"
30,2020 Aston Martin Vantage Base,"5,397 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$142,990"
31,2019 Aston Martin Vantage ,"19,415 mi.",Aston Martin Newport Beach,5.0,(3 reviews),"$126,994"
32,2019 Aston Martin DBS Superleggera,"1,104 mi.",Aston Martin Newport Beach,5.0,(3 reviews),"$299,899"
33,2020 Aston Martin DBS Superleggera,"3,060 mi.",Holman Motorcars,2.1,(4 reviews),"$327,888"
34,2019 Aston Martin Vantage Base,"17,653 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$127,990"
35,2019 Aston Martin Vantage ,"12,335 mi.",Aston Martin Newport Beach,5.0,(3 reviews),"$130,212"
36,2014 Aston Martin V8 Vantage Base,"23,222 mi.",Long Island Sports Cars - Aston Martin Long Island - McLaren Long Island,3.5,(8 reviews),"$79,888"
37,2020 Aston Martin Vantage ,"6,902 mi.",Aston Martin Newport Beach,5.0,(3 reviews),"$142,887"
38,2019 Aston Martin DB11 V8,"13,133 mi.",Aston Martin Newport Beach,5.0,(3 reviews),"$167,839"
39,2019 Aston Martin DB11 Volante,"2,900 mi.",THE COLLECTION,4.7,(655 reviews),"$209,900"
40,2014 Aston Martin DB9 ,"34,020 mi.",Aston Martin Newport Beach,5.0,(3 reviews),"$113,900"
41,2017 Aston Martin DB11 Launch Edition,"15,399 mi.",Napleton Aston Martin Maserati,4.7,(824 reviews),"$136,000"
42,2019 Aston Martin DB11 Volante,"8,858 mi.",Miller Motorcars,4.6,(42 reviews),"$179,900"
43,2019 Aston Martin DB11 Volante,"1,996 mi.",Holman Motorcars,2.1,(4 reviews),"$207,888"
44,2020 Aston Martin Vantage Base,"16,831 mi.",Napleton Aston Martin Maserati,4.7,(824 reviews),"$135,500"
45,2020 Aston Martin DB11 V8,"4,622 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$197,888"
46,2015 Aston Martin Vantage GT Base,"24,252 mi.",Napleton Aston Martin Maserati,4.7,(824 reviews),"$87,500"
47,2019 Aston Martin DB11 Volante,"8,712 mi.",Miller Motorcars,4.6,(42 reviews),"$179,900"
48,2020 Aston Martin Vantage Base,"8,765 mi.",Long Island Sports Cars - Aston Martin Long Island - McLaren Long Island,3.5,(8 reviews),"$144,888"
49,2015 Aston Martin DB9 COUPE'CARBON EDITION',"14,963 mi.",Park Place LTD,3.2,(24 reviews),"$119,950"
50,2019 Aston Martin DBS Superleggera,"6,382 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$289,990"
51,2020 Aston Martin DB11 Volante,"2,482 mi.",Miller Motorcars,4.6,(42 reviews),"$199,900"
52,2019 Aston Martin Vantage ,"8,198 mi.",Aston Martin Newport Beach,5.0,(3 reviews),"$133,998"
53,2020 Aston Martin Vantage Base,"8,133 mi.",Napleton Aston Martin Maserati,4.7,(824 reviews),"$138,800"
54,2019 Aston Martin DB11 Volante,"3,475 mi.",THE COLLECTION,4.7,(655 reviews),"$206,900"
55,2020 Aston Martin DBS Superleggera,"6,472 mi.",Holman Motorcars,2.1,(4 reviews),"$335,888"
56,2015 Aston Martin DB9 ,"7,806 mi.",THE COLLECTION,4.7,(655 reviews),"$109,900"
57,2019 Aston Martin DB11 V8,"22,763 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$159,888"
58,2020 Aston Martin Vantage Base,"5,995 mi.",THE COLLECTION,4.7,(655 reviews),"$158,646"
59,2020 Aston Martin Vantage Base,"2,365 mi.",THE COLLECTION,4.7,(655 reviews),"$158,732"
60,2019 Aston Martin Vantage Base,"9,786 mi.",Napleton Aston Martin Maserati,4.7,(824 reviews),"$128,800"
61,2020 Aston Martin DB11 Volante,"8,329 mi.",Miller Motorcars,4.6,(42 reviews),"$189,900"
62,2020 Aston Martin Vantage Coupe,"7,771 mi.",Aston Martin San Diego,5.0,(1 review),"$139,950"
63,2019 Aston Martin DB11 AMR,"11,470 mi.",THE COLLECTION,4.7,(655 reviews),"$199,900"
64,2020 Aston Martin DBS Superleggera,"2,348 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$324,990"
65,2021 Aston Martin DBX Base,"6,916 mi.",Exclusive Automotive Group,4.6,(110 reviews),"$190,995"
66,2019 Aston Martin Vantage Base,"16,676 mi.",Napleton Aston Martin Maserati,4.7,(824 reviews),"$125,000"
67,2019 Aston Martin Vantage Base,"5,312 mi.",Napleton Aston Martin Maserati,4.7,(824 reviews),"$138,500"
68,2019 Aston Martin Vantage Base,"2,218 mi.",Napleton Aston Martin Maserati,4.7,(824 reviews),"$155,000"
69,2021 Aston Martin DBX Base,"2,072 mi.",Long Island Sports Cars - Aston Martin Long Island - McLaren Long Island,3.5,(8 reviews),"$182,888"
70,2020 Aston Martin DB11 V8,"10,372 mi.",Aston Martin Newport Beach,5.0,(3 reviews),"$164,998"
71,2019 Aston Martin Vantage Coupe,"10,293 mi.",Aston Martin Palm Beach,5.0,(1 review),"$144,990"
72,2021 Aston Martin DBX Base,"8,558 mi.","Mike Ward Maserati,Alfa Romeo,Mclaren Denver",4.9,(12 reviews),"$191,951"
73,2018 Aston Martin DB11 V12,"19,041 mi.",Aston Martin Newport Beach,5.0,(3 reviews),"$158,999"
74,2020 Aston Martin DB11 AMR,"9,507 mi.","Mike Ward Maserati,Alfa Romeo,Mclaren Denver",4.9,(12 reviews),"$224,981"
75,2017 Aston Martin DB11 Launch Edition,"5,923 mi.",Napleton Aston Martin Maserati,4.7,(824 reviews),"$143,500"
76,2019 Aston Martin DB11 V8,"11,192 mi.",Aston Martin Newport Beach,5.0,(3 reviews),"$169,899"
77,2017 Aston Martin DB11 Launch Edition,"20,510 mi.",Napleton Aston Martin Maserati,4.7,(824 reviews),"$137,800"
78,2019 Aston Martin DB11 AMR,"16,991 mi.",Aston Martin Newport Beach,5.0,(3 reviews),"$189,599"
79,2019 Aston Martin Vantage Base,"7,338 mi.","Mike Ward Maserati,Alfa Romeo,Mclaren Denver",4.9,(12 reviews),"$136,981"
80,2019 Aston Martin Vantage Base,"5,484 mi.",Napleton Aston Martin Maserati,4.7,(824 reviews),"$134,000"
81,2019 Aston Martin DB11 Volante,"6,004 mi.",Exclusive Automotive Group,4.6,(110 reviews),"$192,495"
82,2019 Aston Martin DB11 V8,"6,798 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$172,888"
83,2019 Aston Martin Vantage ,"14,054 mi.",Aston Martin Newport Beach,5.0,(3 reviews),"$127,995"
84,2020 Aston Martin DBS Superleggera Volante,"2,428 mi.","Mike Ward Maserati,Alfa Romeo,Mclaren Denver",4.9,(12 reviews),"$345,981"
