,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 BMW 740 i xDrive,"31,394 mi.",BMW of Fairfax,4.5,"(1,740 reviews)","$55,999"
1,2020 BMW M340 i xDrive,"31,596 mi.",BMW of Fairfax,4.5,"(1,740 reviews)","$52,999"
2,2018 BMW X5 xDrive35i,"33,379 mi.",BMW of Norwood,4.6,"(1,096 reviews)","$43,338"
3,2019 BMW 330 i,"35,837 mi.",Sewell BMW MINI of Plano,4.7,"(1,063 reviews)","$38,998"
4,2020 BMW X4 xDrive30i,"36,763 mi.",BMW of Buena Park,4.3,"(1,136 reviews)","$48,988"
5,2019 BMW M550 i xDrive,"20,588 mi.",Knauz Auto Park,4.8,"(1,988 reviews)","$62,995"
6,2019 BMW 740 i,"37,912 mi.",Global Imports BMW,4.6,(793 reviews),"$53,496"
7,2020 BMW 750 i xDrive,"38,812 mi.",Circle BMW,4.9,"(2,923 reviews)","$75,772"
8,2019 BMW X5 xDrive40i,"31,503 mi.",BMW of Shrewsbury,3.6,(24 reviews),"$55,070"
9,2019 BMW X5 xDrive40i,"39,952 mi.",Arrowhead BMW,2.9,(76 reviews),"$54,879"
10,2021 BMW X5 xDrive40i,"4,775 mi.",BMW West Palm Beach,4.7,"(1,200 reviews)","$73,999"
11,2019 BMW X5 xDrive40i,"54,307 mi.",Nalley BMW,4.1,(609 reviews),"$55,900"
12,2021 BMW X1 sDrive28i,"35,265 mi.",Fields BMW of Daytona,4.8,"(1,209 reviews)","$39,871"
13,2019 BMW X5 xDrive40i,"12,090 mi.",BMW of Columbia,4.7,"(1,226 reviews)","$60,998"
14,2019 BMW X5 xDrive40i,"13,919 mi.",Perillo BMW,4.4,(599 reviews),"$59,998"
15,2019 BMW 540 i,"20,109 mi.",Sewell BMW of Grapevine,3.9,(59 reviews),"$50,988"
16,2019 BMW X5 xDrive40i,"34,221 mi.",BMW North Scottsdale,4.5,(504 reviews),"$58,997"
17,2020 BMW X3 sDrive30i,"35,187 mi.",Hendrick Southpoint Auto Mall,4.8,(793 reviews),"$42,584"
18,2019 BMW 530e xDrive iPerformance,"44,458 mi.",BMW of Alexandria,4.4,(733 reviews),"$39,890"
19,2020 BMW M340 i,"32,242 mi.",BMW of San Francisco,4.5,(194 reviews),"$46,999"
20,2019 BMW X5 xDrive40i,"49,008 mi.",BMW of Schererville,4.7,(427 reviews),"$53,980"
