,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2020 Buick Envision Essence,"36,780 mi.",Medina Auto Mall,3.7,(238 reviews),"$34,243"
1,2019 Buick Envision Essence,"31,882 mi.",Kenny Kent Chevrolet,4.7,(496 reviews),"$32,795"
2,2020 Buick Encore Essence,"56,305 mi.",Bill Hood Chevrolet,4.2,(65 reviews),"$24,408"
3,2019 Buick Envision Essence,"36,964 mi.",Crippen Automotive,4.9,"(1,135 reviews)","$29,919"
4,2019 Buick Encore Essence,"16,568 mi.",Dellen Chevrolet Buick GMC,4.8,"(1,274 reviews)","$27,987"
5,2019 Buick Encore Preferred,"39,780 mi.",Carlisle Chevrolet Buick GMC,3.2,(55 reviews),"$23,400"
6,2020 Buick Encore Essence,"53,212 mi.",Bill Hood Chevrolet,4.2,(65 reviews),"$24,605"
7,2019 Buick Encore Essence,"40,255 mi.",Jack Hanania Buick GMC,3.5,(65 reviews),"$23,588"
8,2019 Buick Encore Essence,"17,872 mi.",Dellen Chevrolet Buick GMC,4.8,"(1,274 reviews)","$27,967"
9,2019 Buick Encore Preferred,"47,478 mi.",Sewell Buick GMC,4.0,(48 reviews),"$23,991"
10,2019 Buick Encore Preferred,"47,028 mi.",Bob Jeannotte Buick GMC,4.0,(74 reviews),"$21,995"
11,2019 Buick Encore Essence,"23,338 mi.",Atlantic Chevrolet Cadillac,4.7,"(2,210 reviews)","$22,400"
12,2019 Buick Encore Preferred,"33,731 mi.",McKinney Buick GMC,4.6,"(1,081 reviews)","$21,901"
13,2020 Buick Envision Essence,"13,546 mi.",Buick GMC Cadillac Pensacola,4.6,(132 reviews),"$33,800"
14,2019 Buick Encore Preferred,"37,408 mi.",Sommer's Automotive,4.9,"(1,670 reviews)","$22,990"
15,2019 Buick Encore Preferred,"16,301 mi.",Kelly Buick GMC,4.9,"(1,714 reviews)","$23,752"
16,2020 Buick Enclave Essence,"16,105 mi.",Dellen Chevrolet Buick GMC,4.8,"(1,274 reviews)","$41,696"
17,2019 Buick Encore Essence,"22,262 mi.",Ed Martin Buick GMC,4.7,(737 reviews),"$27,773"
18,2019 Buick Envision Essence,"61,950 mi.",Kenny Kent Chevrolet,4.7,(496 reviews),"$31,693"
19,2019 Buick Encore Preferred,"31,531 mi.",Serra Buick GMC Cadillac,4.8,(511 reviews),"$20,987"
20,2019 Buick Encore Preferred,"32,964 mi.","LaFontaine Cadillac, Buick, GMC",4.8,"(1,783 reviews)","$22,000"
21,2019 Buick Encore Preferred,"11,083 mi.",Vyletel Buick - GMC - Volkswagen,3.9,(41 reviews),"$22,995"
22,2017 Buick LaCrosse Premium,"31,326 mi.",Ed Martin Buick GMC,4.7,(737 reviews),"$31,557"
23,2017 Buick LaCrosse Premium,"30,499 mi.",Ed Martin Buick GMC,4.7,(737 reviews),"$28,493"
24,2019 Buick Encore Preferred,"18,356 mi.",O'Neil Buick GMC,4.7,(663 reviews),"$24,634"
25,2019 Buick Encore Preferred,"19,034 mi.",Driver's Village,3.2,(154 reviews),"$23,506"
26,2019 Buick Encore Preferred,"18,695 mi.","Colandrea Buick GMC, Inc.",4.5,(104 reviews),"$21,900"
27,2019 Buick Envision Essence,"39,988 mi.",Vyletel Buick - GMC - Volkswagen,3.9,(41 reviews),"$29,995"
28,2019 Buick Envision Essence,"64,120 mi.",Shaheen Chevrolet,4.8,(911 reviews),"$28,200"
29,2019 Buick Encore Preferred,"47,456 mi.",Bob Jeannotte Buick GMC,4.0,(74 reviews),"$23,995"
30,2019 Buick Encore Preferred,"22,942 mi.",Key Chevrolet Buick GMC Cadillac of Burlington,4.4,(166 reviews),"$23,499"
31,2019 Buick Envision Essence,"14,932 mi.",Bob Jeannotte Buick GMC,4.0,(74 reviews),"$31,995"
32,2019 Buick Enclave Essence,"39,103 mi.",Sellers Buick GMC,4.9,"(1,074 reviews)","$35,946"
33,2019 Buick Encore Preferred,"18,562 mi.",Jim Curley Buick GMC of Lakewood,4.9,"(3,290 reviews)","$23,437"
34,2019 Buick Encore Preferred,"33,937 mi.",Bob Jeannotte Buick GMC,4.0,(74 reviews),"$22,995"
35,2019 Buick Encore Preferred,"45,391 mi.",Medina Auto Mall,3.7,(238 reviews),"$21,993"
