,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2018 Cadillac ATS 2.0L Turbo Luxury,"38,548 mi.",Courtesy Cadillac,4.7,(141 reviews),"$30,006"
1,2020 Cadillac XT4 Luxury,"14,021 mi.",Braman Cadillac,4.1,(58 reviews),"$33,791"
2,2019 Cadillac XT5 Luxury,"35,205 mi.",Luther Cadillac,4.7,"(1,693 reviews)","$41,997"
3,2018 Cadillac XT5 Luxury,"31,630 mi.","Napleton Cadillac of Northbrook, Rolls-Royce Motor Cars Northbrook, Bentley Northbrook",4.6,(284 reviews),"$34,999"
4,2018 Cadillac CT6 3.6L Luxury,"32,094 mi.",Hennessy Cadillac,4.6,(287 reviews),"$43,700"
5,2019 Cadillac XT4 Sport,"32,113 mi.",Morrie's Cadillac,4.6,(654 reviews),"$38,998"
6,2019 Cadillac XT5 Luxury,"32,499 mi.",Cadillac of Las Vegas,4.7,(295 reviews),"$38,998"
7,2019 Cadillac XT5 Premium Luxury,"34,273 mi.",Ed Morse Cadillac of Tampa,4.9,"(2,777 reviews)","$38,421"
8,2019 Cadillac XT5 Luxury,"49,272 mi.",Courtesy Cadillac,4.7,(141 reviews),"$34,954"
9,2021 Cadillac XT5 Sport,"49,396 mi.",Cadillac of Novi,4.2,(220 reviews),"$47,073"
10,2021 Cadillac Escalade ESV Sport,"24,420 mi.",Elco Chevrolet & Cadillac,4.8,"(1,899 reviews)","$107,990"
11,2019 Cadillac XT5 Luxury,"37,734 mi.","Napleton Cadillac of Northbrook, Rolls-Royce Motor Cars Northbrook, Bentley Northbrook",4.6,(284 reviews),"$36,999"
12,2021 Cadillac Escalade ESV Sport,"18,576 mi.",Elco Chevrolet & Cadillac,4.8,"(1,899 reviews)","$107,990"
13,2019 Cadillac XT5 Luxury,"20,134 mi.",Crest Auto Group,4.5,(562 reviews),"$40,900"
14,2019 Cadillac XT5 Luxury,"36,589 mi.",Sewell Cadillac,3.9,(74 reviews),"$34,489"
15,2019 Cadillac XT5 Luxury,"46,077 mi.",Lone Star Cadillac,4.3,(264 reviews),"$33,003"
16,2019 Cadillac XT4 Sport,"10,949 mi.",Hennessy Cadillac,4.6,(287 reviews),"$39,400"
17,2020 Cadillac XT4 Premium Luxury,"37,896 mi.",Crest Auto Group,4.5,(562 reviews),"$41,000"
18,2019 Cadillac XT4 Premium Luxury,"3,449 mi.",AutoNation Cadillac Port Richey,4.8,(610 reviews),"$41,449"
19,2019 Cadillac XT5 Luxury,"35,994 mi.",Serra Buick GMC Cadillac,4.8,(511 reviews),"$35,987"
20,2018 Cadillac XT5 Luxury,"53,658 mi.",Serra Buick GMC Cadillac,4.8,(511 reviews),"$30,432"
21,2019 Cadillac XT4 Premium Luxury,"15,357 mi.",Stevens Creek Cadillac,1.8,(4 reviews),"$35,998"
22,2019 Cadillac XT5 Premium Luxury,"37,703 mi.",Ed Morse Cadillac of Tampa,4.9,"(2,777 reviews)","$38,314"
23,2019 Cadillac XT4 Sport,"56,497 mi.",Sewell Cadillac of Dallas,4.2,(89 reviews),"$33,899"
24,2019 Cadillac XT5 Luxury,"58,064 mi.",Crest Auto Group,4.5,(562 reviews),"$34,900"
25,2018 Cadillac CT6 3.6L Luxury,"47,796 mi.",Hennessy Cadillac,4.6,(287 reviews),"$39,700"
26,2021 Cadillac XT5 Premium Luxury,"14,504 mi.",Valley Cadillac,4.7,(311 reviews),"$52,637"
27,2019 Cadillac XT5 Luxury,"21,513 mi.",Cadillac of Novi,4.2,(220 reviews),"$37,127"
28,2019 Cadillac XT5 Luxury,"43,427 mi.",Cadillac of Las Vegas,4.7,(295 reviews),"$37,898"
29,2019 Cadillac XT4 Premium Luxury,"32,402 mi.",Rizza Cadillac Buick GMC,4.7,"(3,223 reviews)","$38,950"
30,2019 Cadillac XT5 Luxury,"16,776 mi.",Crown Cadillac Buick Honda,4.7,(242 reviews),"$40,431"
31,2019 Cadillac XT4 Premium Luxury,"33,607 mi.",Hennessy Cadillac,4.6,(287 reviews),"$37,700"
32,2019 Cadillac XT4 Sport,"18,072 mi.",Sewell Cadillac of Dallas,4.2,(89 reviews),"$38,694"
33,2019 Cadillac XT5 Luxury,"52,419 mi.",Cadillac of Novi,4.2,(220 reviews),"$33,388"
34,2019 Cadillac XT4 Premium Luxury,"14,647 mi.",Crest Auto Group,4.5,(562 reviews),"$38,200"
35,2019 Cadillac XT5 Luxury,"20,515 mi.",Cadillac of Beverly Hills,4.5,(64 reviews),"$34,777"
36,2020 Cadillac XT4 Premium Luxury,"14,123 mi.",Elco Chevrolet & Cadillac,4.8,"(1,899 reviews)","$40,490"
37,2019 Cadillac XT5 Luxury,"34,515 mi.",Cadillac of New Orleans,4.0,(29 reviews),"$41,973"
38,2020 Cadillac XT5 Premium Luxury,"22,903 mi.",Sewell Cadillac,3.9,(74 reviews),"$41,789"
39,2019 Cadillac XT5 Luxury,"36,010 mi.",Heritage Cadillac,4.9,"(1,141 reviews)","$35,300"
40,2019 Cadillac XT5 Luxury,"36,342 mi.","Thompson Buick, GMC, Cadillac",4.8,(639 reviews),"$41,989"
41,2019 Cadillac XT4 Sport,"19,318 mi.",Sewell Cadillac Grapevine,4.0,(75 reviews),"$40,977"
42,2019 Cadillac XT5 Luxury,"35,320 mi.",Heritage Cadillac,4.9,"(1,141 reviews)","$35,400"
43,2018 Cadillac XT5 Luxury,"13,874 mi.",Chevrolet/Cadillac of Turnersville,4.8,(703 reviews),"$32,998"
44,2019 Cadillac XT4 Sport,"10,056 mi.",Crest Auto Group,4.5,(562 reviews),"$37,980"
45,2019 Cadillac XT4 Sport,"15,099 mi.",Morrie's Cadillac,4.6,(654 reviews),"$41,998"
46,2018 Cadillac XT5 Luxury,"24,496 mi.",Colonial Cadillac,4.9,"(1,003 reviews)","$39,998"
47,2020 Cadillac XT4 Premium Luxury,"18,510 mi.",Sewell Cadillac of Dallas,4.2,(89 reviews),"$42,995"
48,2019 Cadillac XT4 Premium Luxury,"20,427 mi.",Sewell Cadillac Grapevine,4.0,(75 reviews),"$39,977"
49,2019 Cadillac Escalade ESV Premium Luxury,"35,118 mi.",Sewell Cadillac of Dallas,4.2,(89 reviews),"$69,985"
50,2019 Cadillac XT4 Premium Luxury,"31,825 mi.",Jim Coleman Cadillac,4.7,(222 reviews),"$39,750"
51,2019 Cadillac XT5 Luxury,"11,879 mi.",Findlay Cadillac,4.7,(194 reviews),"$39,792"
52,2019 Cadillac XT5 Luxury,"20,560 mi.",Ed Morse Sawgrass Auto Mall,4.8,(922 reviews),"$39,369"
53,2020 Cadillac XT6 Premium Luxury FWD,"35,381 mi.",Cadillac of New Orleans,4.0,(29 reviews),"$56,527"
54,2019 Cadillac CTS 2.0L Turbo Luxury,"29,245 mi.",Valley Cadillac,4.7,(311 reviews),"$36,933"
55,2019 Cadillac CTS 3.6L Luxury,"59,360 mi.",Ed Morse Sawgrass Auto Mall,4.8,(922 reviews),"$33,299"
56,2019 Cadillac XT5 Luxury,"22,497 mi.",Lockhart Cadillac Inc. - North,4.0,(122 reviews),"$38,528"
57,2019 Cadillac XT5 Luxury,"43,851 mi.",Medina Auto Mall,3.7,(238 reviews),"$37,333"
58,2019 Cadillac XT5 Premium Luxury,"47,428 mi.",Ed Morse Cadillac of Tampa,4.9,"(2,777 reviews)","$36,237"
59,2019 Cadillac XT5 Platinum,"35,689 mi.",Elco Chevrolet & Cadillac,4.8,"(1,899 reviews)","$44,990"
60,2021 Cadillac XT5 Premium Luxury,"13,793 mi.",Genesis Cadillac,4.5,(24 reviews),"$46,982"
61,2020 Cadillac XT5 Premium Luxury,"59,209 mi.",Radley Cadillac,4.9,(470 reviews),"$36,888"
