,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2020 Chevrolet Trax LS,"69,507 mi.",Sunrise Chevrolet of Glendale Heights,4.9,"(3,122 reviews)","$21,986"
1,2020 Chevrolet Suburban LT,"65,936 mi.",Stonebriar Chevrolet,4.8,"(2,002 reviews)","$48,992"
2,2019 Chevrolet Blazer RS,"34,847 mi.",Chuck Fairbanks Chevrolet,4.2,(96 reviews),"$48,991"
3,2020 Chevrolet Silverado 1500 LT Trail Boss,"32,616 mi.",Preston Superstore,4.9,"(3,545 reviews)","$49,000"
4,2019 Chevrolet Silverado 1500 LT,"33,009 mi.",Van Chevrolet Cadillac,4.6,(580 reviews),"$43,995"
5,2020 Chevrolet Equinox 1LT,"15,125 mi.",Herb Connolly Chevrolet,4.7,"(1,640 reviews)","$27,495"
6,2019 Chevrolet Trax LT,"37,485 mi.",Lynch Chevrolet of Kenosha,4.5,(301 reviews),"$20,370"
7,2020 Chevrolet Malibu LT,"31,212 mi.",Classic of Cleburne Chevrolet/Buick/GMC,4.9,(427 reviews),"$25,500"
8,2019 Chevrolet Trax LS,"36,925 mi.",Coggin Chevrolet at the Avenues,4.2,(419 reviews),"$19,888"
9,2019 Chevrolet Equinox 1LT,"37,562 mi.",Midway Chevrolet,4.5,"(1,285 reviews)","$25,899"
10,2020 Chevrolet Trax LS,"33,757 mi.",AutoNation Chevrolet Gilbert,4.5,(559 reviews),"$22,491"
11,2019 Chevrolet Trax LS,"16,255 mi.",Champion Chevrolet of Howell,4.5,(242 reviews),"$20,000"
12,2020 Chevrolet Traverse LS,"24,525 mi.",Freeway Chevrolet,4.7,"(1,354 reviews)","$34,995"
13,2020 Chevrolet Equinox 1LT,"14,095 mi.",Bill Stasek Chevrolet,4.6,"(1,852 reviews)","$27,494"
14,2018 Chevrolet Silverado 1500 LTZ,"51,867 mi.",Chuck Fairbanks Chevrolet,4.2,(96 reviews),"$47,191"
15,2022 Chevrolet Corvette Stingray w/3LT,"15,788 mi.",AutoNation Chevrolet Pembroke Pines,4.6,(841 reviews),"$105,995"
16,2020 Chevrolet Trax LS,"31,106 mi.",AutoNation Chevrolet Gilbert,4.5,(559 reviews),"$21,991"
17,2019 Chevrolet Equinox 1LT,"11,917 mi.",Mike Savoie Chevrolet,4.5,(90 reviews),"$24,996"
18,2020 Chevrolet Equinox 2LT,"13,280 mi.",Bill Fox Chevrolet,4.6,(675 reviews),"$27,833"
19,2020 Chevrolet Equinox 1LT,"48,683 mi.",Chevrolet of Homewood,4.4,(329 reviews),"$26,987"
20,2021 Chevrolet Tahoe Premier,"17,157 mi.",Ourisman Chevrolet Baltimore - Curbside pickup and home delivery available,3.1,(44 reviews),"$69,459"
21,2020 Chevrolet Equinox 2LT,"48,843 mi.",Champion Chevrolet of Howell,4.5,(242 reviews),"$23,000"
22,2019 Chevrolet Silverado 1500 High Country,"40,941 mi.",Banks Chevrolet Cadillac Buick GMC,4.7,"(1,227 reviews)","$54,487"
23,2019 Chevrolet Silverado 1500 LD LT,"32,480 mi.",Shaheen Chevrolet,4.8,(911 reviews),"$36,785"
24,2019 Chevrolet Equinox 1LT,"37,851 mi.",Harry Browns Family Automotive,4.9,(838 reviews),"$27,196"
25,2019 Chevrolet Trax LT,"32,245 mi.",Bob Brown Chevrolet,4.8,(966 reviews),"$22,450"
26,2019 Chevrolet Equinox 1LT,"36,109 mi.",McCluskey Chevrolet,4.1,(809 reviews),"$28,989"
27,2021 Chevrolet Tahoe Premier,"16,953 mi.",Ourisman Chevrolet Baltimore - Curbside pickup and home delivery available,3.1,(44 reviews),"$73,620"
28,2020 Chevrolet Equinox 1LT,"46,605 mi.",Larkin Cobb Chevrolet Buick GMC,5.0,(12 reviews),"$26,995"
29,2020 Chevrolet Equinox 1LT,"49,529 mi.",AutoNation Chevrolet Doral,4.7,(694 reviews),"$23,997"
30,2019 Chevrolet Blazer 2LT,"44,864 mi.",H&H Chevrolet,4.8,(826 reviews),"$39,500"
31,2021 Chevrolet Silverado 1500 LTZ,"37,071 mi.",Reliable Chevrolet,4.8,"(1,273 reviews)","$46,595"
32,2021 Chevrolet Traverse LS,"35,111 mi.",Freeway Chevrolet,4.7,"(1,354 reviews)","$34,260"
33,2020 Chevrolet Suburban Premier,"52,076 mi.",AutoNation Chevrolet West Colonial,4.4,(650 reviews),"$63,931"
34,2019 Chevrolet Trax LT,"22,502 mi.",Mike Savoie Chevrolet,4.5,(90 reviews),"$19,996"
35,2019 Chevrolet Traverse LT Leather,"17,284 mi.",Atlantic Chevrolet Cadillac,4.7,"(2,210 reviews)","$33,750"
36,2022 Chevrolet Camaro ZL1,"1,374 mi.",AutoNation Chevrolet Arrowhead,4.5,(838 reviews),"$80,599"
37,2021 Chevrolet Silverado 1500 RST,"13,184 mi.",Andean Chevrolet,4.8,(344 reviews),"$53,924"
38,2019 Chevrolet Corvette Stingray,"12,633 mi.",Holz Motors,4.8,(424 reviews),"$63,997"
39,2019 Chevrolet Equinox 1LT,"17,639 mi.",#1 Cochran Chevrolet,4.7,(307 reviews),"$23,925"
40,2020 Chevrolet Trax LS,"44,556 mi.",Gateway Chevrolet,4.4,"(4,745 reviews)","$21,480"
41,2021 Chevrolet Trax LS,"17,539 mi.",Clay Cooley Chevrolet,4.4,(790 reviews),"$24,997"
42,2019 Chevrolet Silverado 1500 LT,"35,447 mi.",Van Chevrolet Cadillac,4.6,(580 reviews),"$43,891"
43,2021 Chevrolet Silverado 1500 LTZ,"24,143 mi.",Uebelhor & Sons Chevrolet Cadillac,4.4,(50 reviews),"$54,670"
44,2021 Chevrolet Silverado 1500 LTZ,"16,804 mi.",Dan Cummins Chevrolet Buick of Paris,4.8,"(2,711 reviews)","$54,987"
45,2017 Chevrolet Silverado 1500 LT,"48,792 mi.",Rick Hendrick City Chevrolet,4.8,(679 reviews),"$48,827"
46,2019 Chevrolet Trax LT,"32,603 mi.",Bob Brown Chevrolet,4.8,(966 reviews),"$21,540"
47,2020 Chevrolet Equinox 1LT,"13,023 mi.",Boucher Chevrolet of Waukesha,4.7,"(1,385 reviews)","$32,219"
48,2019 Chevrolet Colorado WT,"55,399 mi.",Yates Buick GMC,4.7,(502 reviews),"$26,000"
49,2018 Chevrolet Silverado 2500 LTZ,"19,307 mi.",Vaughn Automotive,3.6,(127 reviews),"$63,999"
50,2019 Chevrolet Equinox Premier w/1LZ,"21,746 mi.",O'Rielly Chevrolet,4.5,(539 reviews),"$32,985"
51,2020 Chevrolet Trax LS,"3,962 mi.",Bill Stasek Chevrolet,4.6,"(1,852 reviews)","$23,494"
52,2021 Chevrolet Tahoe Z71,"17,015 mi.",Mac Haik Chevrolet,4.6,(776 reviews),"$75,991"
53,2019 Chevrolet Silverado 1500 LTZ,"18,711 mi.",Karl Chevrolet of Stuart,4.2,(22 reviews),"$49,990"
54,2020 Chevrolet Equinox 1LT,"21,807 mi.",Miami Lakes Automall - Chevrolet Kia Dodge Chrysler Jeep Ram Mitsubishi,4.5,"(2,515 reviews)","$25,750"
55,2020 Chevrolet Trax LT,"39,990 mi.",El Dorado Chevrolet,3.3,(156 reviews),"$23,995"
56,2019 Chevrolet Equinox 1LT,"19,386 mi.",Tom Gibbs Chevrolet,4.5,(229 reviews),"$25,495"
57,2019 Chevrolet Trax LT,"32,012 mi.",Moran Chevrolet,4.5,(165 reviews),"$18,888"
58,2020 Chevrolet Blazer 2LT,"11,924 mi.",Bill Fox Chevrolet,4.6,(675 reviews),"$32,733"
59,2017 Chevrolet Equinox LT,"49,610 mi.",Serra - Whelan Chevrolet,4.8,(542 reviews),"$19,488"
60,2019 Chevrolet Equinox 1LT,"30,013 mi.",AutoNation Chevrolet Arrowhead,4.5,(838 reviews),"$26,895"
61,2019 Chevrolet Equinox 1LT,"39,003 mi.",Vyletel Buick - GMC - Volkswagen,3.9,(41 reviews),"$22,995"
62,2020 Chevrolet Trax LS,"49,415 mi.",Phillips Chevrolet of Lansing,4.9,"(4,818 reviews)","$23,712"
63,2020 Chevrolet Trax LS,"44,292 mi.",Banks Chevrolet Cadillac Buick GMC,4.7,"(1,227 reviews)","$24,987"
64,2021 Chevrolet Traverse LT Leather,"36,243 mi.",Cavender Chevrolet,3.8,(54 reviews),"$44,500"
65,2021 Chevrolet Traverse LT Leather,"37,969 mi.",Cavender Chevrolet,3.8,(54 reviews),"$44,000"
66,2020 Chevrolet Equinox 2LT,"12,796 mi.",Moran Chevrolet,4.5,(165 reviews),"$25,788"
67,2020 Chevrolet Trax LT,"24,584 mi.",Chuck Fairbanks Chevrolet,4.2,(96 reviews),"$25,991"
68,2020 Chevrolet Traverse High Country,"48,417 mi.",Covert Chevrolet GMC Buick,3.7,(95 reviews),"$48,924"
69,2019 Chevrolet Trax LS,"59,224 mi.",Coggin Chevrolet at the Avenues,4.2,(419 reviews),"$19,000"
70,2020 Chevrolet Blazer 2LT,"20,680 mi.",Serra - Whelan Chevrolet,4.8,(542 reviews),"$31,588"
71,2019 Chevrolet Equinox 2LT,"34,164 mi.",Cook GM Superstore,4.4,(44 reviews),"$23,995"
72,2021 Chevrolet Trax LT,"15,431 mi.",Classic Chevrolet Inc,4.4,(380 reviews),"$27,127"
73,2020 Chevrolet Trax LS,"34,252 mi.",Courtesy Chevrolet,4.8,"(4,706 reviews)","$23,000"
74,2020 Chevrolet Equinox 1LT,"46,962 mi.",Dale Earnhardt Jr. Chevrolet,4.1,(484 reviews),"$28,916"
75,2017 Chevrolet Silverado 1500 LT,"23,761 mi.",Rick Hendrick Chevrolet Charleston,4.7,(600 reviews),"$43,288"
76,2020 Chevrolet Equinox 1LT,"47,302 mi.",Clay Cooley Chevrolet,4.4,(790 reviews),"$25,995"
77,2019 Chevrolet Equinox 1LT,"14,519 mi.",Don Mealey Chevrolet,4.7,(962 reviews),"$26,862"
78,2020 Chevrolet Camaro 2SS,"63,719 mi.",Van Chevrolet,4.5,"(1,428 reviews)","$42,999"
79,2020 Chevrolet Colorado LT,"51,284 mi.",AutoNation Chevrolet Arrowhead,4.5,(838 reviews),"$29,599"
80,2020 Chevrolet Traverse LT Cloth,"39,447 mi.",Lone Star Chevrolet,4.6,"(1,054 reviews)","$36,998"
81,2019 Chevrolet Silverado 1500 LTZ,"32,360 mi.",Karl Chevrolet of Stuart,4.2,(22 reviews),"$43,290"
82,2020 Chevrolet Traverse High Country,"50,036 mi.",Covert Chevrolet GMC Buick,3.7,(95 reviews),"$48,914"
83,2019 Chevrolet Equinox 2LT,"47,178 mi.",Vyletel Buick - GMC - Volkswagen,3.9,(41 reviews),"$22,995"
84,2019 Chevrolet Equinox 2LT,"36,303 mi.",Serra Buick GMC Cadillac,4.8,(511 reviews),"$22,987"
85,2019 Chevrolet Equinox 1LT,"39,199 mi.",Kelly Buick GMC,4.9,"(1,714 reviews)","$27,694"
86,2020 Chevrolet Malibu LT,"61,966 mi.",Gateway Chevrolet,4.4,"(4,745 reviews)","$22,699"
