,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2020 Chrysler Pacifica Limited,"47,495 mi.",Naples Chrysler Dodge Jeep Ram,4.3,"(1,276 reviews)","$32,000"
1,2020 Chrysler 300 Limited,"52,226 mi.",Sport Durst Chrysler Dodge Jeep Ram,4.8,"(1,017 reviews)","$32,000"
2,2020 Chrysler Pacifica Touring-L,"41,850 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,360 reviews)","$30,573"
3,2020 Chrysler Pacifica Launch Edition,"15,995 mi.",Fullerton Auto Group,4.6,(334 reviews),"$45,000"
4,2020 Chrysler 300 Limited,"55,976 mi.",Sport Durst Chrysler Dodge Jeep Ram,4.8,"(1,017 reviews)","$32,000"
5,2019 Chrysler 300 Touring,"48,340 mi.",Larry H. Miller Dodge Ram Avondale,4.7,"(1,397 reviews)","$27,581"
6,2020 Chrysler Pacifica Limited,"19,856 mi.",Rochester Hills Chrysler Dodge Jeep RAM,4.6,(104 reviews),"$38,488"
7,2020 Chrysler Pacifica Limited,"37,978 mi.",Brad Deery Motors,4.7,"(1,468 reviews)","$38,444"
8,2020 Chrysler Pacifica Touring-L Plus,"33,670 mi.",Pearl Chrysler Dodge Jeep RAM,4.9,(394 reviews),"$42,350"
9,2019 Chrysler Pacifica Limited,"33,726 mi.",Golling Chrysler Dodge Jeep RAM,4.9,"(4,058 reviews)","$35,326"
10,2020 Chrysler Pacifica Limited,"23,910 mi.",Golling Chrysler Dodge Jeep Ram of Roseville,2.5,(25 reviews),"$38,995"
11,2019 Chrysler Pacifica Limited,"10,240 mi.",Golling Chrysler Dodge Jeep Ram of Roseville,2.5,(25 reviews),"$38,495"
12,2018 Chrysler Pacifica Touring-L Plus,"39,362 mi.",Lester Glenn Chrysler Dodge Jeep RAM,4.8,"(1,669 reviews)","$33,537"
13,2019 Chrysler 300 Touring,"44,770 mi.",AutoNation Chrysler Dodge Jeep Ram and FIAT North Phoenix,4.4,"(1,502 reviews)","$26,998"
14,2020 Chrysler Pacifica Limited,"71,033 mi.",Naples Chrysler Dodge Jeep Ram,4.3,"(1,276 reviews)","$29,000"
15,2020 Chrysler 300 Limited,"45,433 mi.",Sport Durst Chrysler Dodge Jeep Ram,4.8,"(1,017 reviews)","$32,000"
16,2020 Chrysler Pacifica Touring-L Plus,"21,388 mi.",Jim Shorkey Chrysler Dodge Jeep RAM North Huntington,4.7,(362 reviews),"$40,987"
17,2019 Chrysler Pacifica Limited,"41,296 mi.",Sterling Heights Chrysler Dodge Jeep RAM,4.4,"(1,153 reviews)","$35,995"
18,2020 Chrysler Pacifica Limited,"15,885 mi.",Pearl Chrysler Dodge Jeep RAM,4.9,(394 reviews),"$46,999"
19,2020 Chrysler Pacifica Touring-L Plus,"31,306 mi.",Jim Shorkey Chrysler Dodge Jeep RAM North Huntington,4.7,(362 reviews),"$39,987"
20,2021 Chrysler Pacifica Touring,"21,883 mi.",Pearl Chrysler Dodge Jeep RAM,4.9,(394 reviews),"$40,999"
21,2019 Chrysler Pacifica Touring-L,"23,016 mi.",South Hills Chrysler Dodge Jeep RAM FIAT,4.6,(763 reviews),"$34,000"
22,2020 Chrysler Voyager LXI,"73,504 mi.",Chilson Dodge Chrysler Jeep RAM,4.7,(166 reviews),"$27,988"
23,2020 Chrysler Pacifica Limited,"50,468 mi.",Naples Chrysler Dodge Jeep Ram,4.3,"(1,276 reviews)","$32,000"
24,2020 Chrysler Pacifica Touring-L,"24,631 mi.",Brad Deery Motors,4.7,"(1,468 reviews)","$38,849"
25,2019 Chrysler Pacifica Limited,"27,378 mi.",Rochester Hills Chrysler Dodge Jeep RAM,4.6,(104 reviews),"$36,994"
26,2020 Chrysler Pacifica Touring-L,"61,198 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,360 reviews)","$28,573"
27,2020 Chrysler Pacifica Launch Edition,"24,075 mi.",Ken Garff Chrysler Jeep Dodge Ram Fiat,4.1,(633 reviews),"$46,495"
28,2020 Chrysler Pacifica Limited,"56,149 mi.",Brad Deery Motors,4.7,"(1,468 reviews)","$36,994"
29,2020 Chrysler Pacifica Touring-L,"60,765 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,360 reviews)","$29,573"
30,2020 Chrysler Pacifica Limited,"63,004 mi.",Sport Durst Chrysler Dodge Jeep Ram,4.8,"(1,017 reviews)","$35,000"
31,2019 Chrysler Pacifica Touring-L,"23,501 mi.",Eastchester Chrysler Jeep Dodge RAM,4.4,"(6,234 reviews)","$30,500"
32,2019 Chrysler 300 Limited,"18,589 mi.","Bill Bryan Chrysler, Dodge, Jeep, RAM",4.7,"(1,520 reviews)","$30,995"
33,2020 Chrysler Pacifica Limited,"27,476 mi.",Golling Chrysler Dodge Jeep RAM,4.9,"(4,058 reviews)","$37,755"
34,2020 Chrysler Voyager LXI,"72,120 mi.",Chilson Dodge Chrysler Jeep RAM,4.7,(166 reviews),"$27,988"
35,2020 Chrysler Pacifica Touring-L Plus,"23,766 mi.",Lustine Chrysler Jeep Dodge RAM,4.2,"(1,255 reviews)","$41,500"
36,2019 Chrysler Pacifica Touring-L,"44,689 mi.",Eastchester Chrysler Jeep Dodge RAM,4.4,"(6,234 reviews)","$26,900"
37,2020 Chrysler Pacifica Limited,"32,192 mi.",Marino Chrysler Jeep Dodge RAM,4.9,"(3,870 reviews)","$44,994"
