,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2018 FIAT 500X Lounge,"31,307 mi.",Lansdale Chrysler Dodge Jeep Ram Fiat,3.9,(31 reviews),"$22,476"
1,2018 FIAT 124 Spider Classica,"9,769 mi.",Benchmark Imports,4.7,(652 reviews),"$26,900"
2,2020 FIAT 500L Trekking,"5,959 mi.",Lithia Chrysler Jeep Dodge Ram FIAT of Roseburg,4.8,(397 reviews),"$26,491"
3,2021 FIAT 500X Sport,"8,900 mi.",Lancaster Dodge RAM Fiat,3.9,(37 reviews),"$29,499"
4,2020 FIAT 124 Spider Abarth,"1,517 mi.",Lancaster Dodge RAM Fiat,3.9,(37 reviews),"$36,499"
5,2018 FIAT 500X ,"14,602 mi.",Berglund Chrysler Dodge Jeep Ram,4.3,(64 reviews),"$21,998"
6,2019 FIAT 500X ,"4,138 mi.",Berglund Chrysler Dodge Jeep Ram,4.3,(64 reviews),"$24,998"
7,2020 FIAT 500X ,"1,138 mi.",Berglund Chrysler Dodge Jeep Ram,4.3,(64 reviews),"$29,998"
8,2018 FIAT 124 Spider ,"6,587 mi.",Mike Toler Chrysler Dodge Jeep RAM FIAT,4.9,(274 reviews),Not Priced
9,2018 FIAT 124 Spider ,"6,563 mi.",Courtesy Chrysler Dodge Jeep Ram Breaux Bridge,4.1,(8 reviews),Not Priced
10,2017 FIAT 124 Spider ,"1,621 mi.",Addy's Harbor Dodge Ram Fiat,3.9,(101 reviews),"$26,303"
11,2016 FIAT 500X ,"25,831 mi.",Brown Daub Chrysler Jeep Dodge RAM - Easton,2.7,(6 reviews),"$17,988"
12,2017 FIAT 124 Spider ,"16,659 mi.",Chrysler Dodge Jeep Ram Fiat of Morgantown,1.0,(1 review),Not Priced
13,2019 FIAT 500X ,"9,230 mi.",Lithia Chrysler Dodge Jeep Ram Fiat of Bryan College Station,3.4,(36 reviews),"$28,999"
14,2019 FIAT 500X ,"10,843 mi.",Contemporary Chrysler Dodge Jeep RAM,4.6,(531 reviews),"$24,000"
15,2018 FIAT 500 ,"42,637 mi.",Galeana Chrysler Dodge Jeep Fiat RAM,3.4,(65 reviews),"$17,998"
