,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2020 Ford F-150 Lariat,"30,007 mi.",Ken Grody Ford,3.4,(72 reviews),"$42,254"
1,2020 Ford F-150 XLT,"32,192 mi.",Luther Family Ford,4.8,"(4,089 reviews)","$44,599"
2,2018 Ford Edge Titanium,"70,702 mi.",Victory Ford,4.5,(305 reviews),"$27,708"
3,2019 Ford Escape Titanium,"15,289 mi.",Pat Milliken Ford,4.9,"(1,492 reviews)","$26,767"
4,2019 Ford Flex SEL,"47,425 mi.",AutoNation Ford Katy,4.4,"(2,135 reviews)","$28,991"
5,2017 Ford F-150 Lariat,"44,232 mi.",Hudson Ford,4.8,"(2,456 reviews)","$41,995"
6,2020 Ford Edge Titanium,"17,428 mi.",Pat Milliken Ford,4.9,"(1,492 reviews)","$35,989"
7,2017 Ford Explorer sport,"82,845 mi.",Lake Ford,4.7,"(3,971 reviews)","$29,987"
8,2020 Ford Edge ST,"18,995 mi.",Pat Milliken Ford,4.9,"(1,492 reviews)","$39,995"
9,2018 Ford Escape SEL,"31,137 mi.",George Ballentine Ford Lincoln Toyota,4.7,(376 reviews),"$25,980"
10,2020 Ford Fusion SE,"19,014 mi.",Pat Milliken Ford,4.9,"(1,492 reviews)","$24,724"
11,2018 Ford Escape Titanium,"53,903 mi.",Fair Oaks Ford Lincoln,4.9,"(3,430 reviews)","$24,999"
12,2022 Ford F-150 King Ranch,"16,585 mi.",Five Star Ford,4.9,"(7,900 reviews)","$75,000"
13,2019 Ford Escape SEL,"44,455 mi.",Hines Park Ford,4.7,(633 reviews),"$24,995"
14,2018 Ford F-150 XLT,"23,196 mi.",Magic City Ford Lincoln Roanoke,4.5,(167 reviews),"$38,000"
15,2019 Ford Escape Titanium,"47,695 mi.",Varsity Ford,4.9,"(2,264 reviews)","$26,345"
16,2019 Ford Expedition XLT,"48,829 mi.",Stokes Hodges Ford,3.9,(30 reviews),"$50,092"
17,2020 Ford Escape SEL,"30,793 mi.",Pat Milliken Ford,4.9,"(1,492 reviews)","$27,829"
18,2018 Ford F-150 Lariat,"63,869 mi.",Huntersville Ford,4.7,"(1,168 reviews)","$45,178"
19,2020 Ford Fusion SEL,"17,772 mi.",Pat Milliken Ford,4.9,"(1,492 reviews)","$23,557"
20,2017 Ford F-150 Lariat,"88,293 mi.",Superior Ford,4.6,"(2,702 reviews)","$37,988"
21,2020 Ford F-150 XLT,"19,299 mi.",Rochester Ford,4.7,(283 reviews),"$47,499"
22,2019 Ford F-150 Lariat,"37,033 mi.",Donley Ford of Galion,4.8,(413 reviews),"$47,542"
23,2020 Ford Escape SEL,"19,898 mi.",Bill Brown Ford,4.7,(762 reviews),"$26,990"
24,2019 Ford Escape SEL,"34,953 mi.",Ford of Uniontown,4.7,(234 reviews),"$26,877"
25,2018 Ford F-150 Raptor,"21,271 mi.",Five Star Ford Dallas,4.7,(373 reviews),"$68,500"
26,2019 Ford Edge ST,"47,640 mi.",Hines Park Ford,4.7,(633 reviews),"$34,995"
27,2019 Ford Escape SEL,"45,920 mi.",Varsity Ford,4.9,"(2,264 reviews)","$23,566"
28,2019 Ford Edge SEL,"42,100 mi.",Joe Machens Capital City Ford,4.8,"(6,421 reviews)","$30,499"
29,2019 Ford F-150 King Ranch,"51,121 mi.",Uptown Ford Lincoln,4.8,(423 reviews),"$49,995"
30,2017 Ford F-150 Lariat,"71,917 mi.",Hudson Ford,4.8,"(2,456 reviews)","$37,595"
