,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2018 GMC Sierra 1500 SLT,"57,662 mi.",Griffin Buick GMC,4.7,(211 reviews),"$43,995"
1,2018 GMC Sierra 1500 SLT,"45,558 mi.",Battlefield Chevrolet of Culpeper,4.6,(196 reviews),"$47,987"
2,2020 GMC Sierra 1500 AT4,"48,190 mi.",Shottenkirk Fort Madison,4.3,(61 reviews),"$49,875"
3,2019 GMC Terrain SLE,"45,141 mi.",Moran Buick GMC,4.3,(40 reviews),"$23,700"
4,2019 GMC Terrain Denali,"52,496 mi.",Jensen Buick GMC,3.7,(3 reviews),"$33,995"
5,2019 GMC Terrain SLT,"13,701 mi.",Vyletel Buick - GMC - Volkswagen,3.9,(41 reviews),"$30,995"
6,2019 GMC Acadia Denali,"17,271 mi.",Serra Buick GMC Cadillac,4.8,(511 reviews),"$40,432"
7,2019 GMC Terrain Denali,"32,855 mi.",Jensen Buick GMC,3.7,(3 reviews),"$36,995"
8,2021 GMC Sierra 1500 Denali,"34,856 mi.",Garlyn Shelton Cadillac Buick GMC,3.7,(57 reviews),"$65,000"
9,2020 GMC Yukon SLT,"63,397 mi.",Cavender Buick GMC North,4.5,(129 reviews),"$47,900"
10,2020 GMC Sierra 1500 SLT,"47,001 mi.",WILKINS BUICK-GMC,4.7,(684 reviews),"$54,539"
11,2019 GMC Sierra 1500 Denali,"42,192 mi.",Chuck Fairbanks Chevrolet,4.2,(96 reviews),"$59,991"
12,2018 GMC Yukon SLT,"35,156 mi.",DeMontrond Houston,3.9,(324 reviews),"$51,988"
13,2021 GMC Yukon XL SLT,"18,090 mi.",Hiley Buick GMC,4.1,(281 reviews),"$82,775"
14,2020 GMC Yukon Denali,"24,943 mi.",Burke Motor Group,4.9,(701 reviews),"$63,970"
15,2019 GMC Yukon XL Denali,"54,728 mi.",AutoNation Chevrolet South Corpus Christi,4.7,(396 reviews),"$59,820"
16,2019 GMC Acadia SLE-2,"26,845 mi.",Suburban Buick GMC of Ferndale,4.7,(312 reviews),"$29,500"
17,2021 GMC Sierra 1500 Denali,"21,684 mi.",Banks Chevrolet Cadillac Buick GMC,4.7,"(1,227 reviews)","$65,987"
18,2019 GMC Terrain SLE,"40,498 mi.",Feldman Chevrolet of Highland,4.5,(735 reviews),"$25,749"
