,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2020 Honda Odyssey Elite,"13,947 mi.",Honda of Cleveland,4.9,"(1,678 reviews)","$46,791"
1,2020 Honda Civic LX,"36,799 mi.",David McDavid Honda of Frisco,4.5,"(1,428 reviews)","$25,988"
2,2019 Honda CR-V EX-L,"39,435 mi.",Honda of Fayetteville,4.9,(590 reviews),"$34,482"
3,2019 Honda Pilot EX,"29,285 mi.",Honda on Grand,4.6,"(1,000 reviews)","$32,990"
4,2019 Honda CR-V EX-L,"46,552 mi.",Silko Honda,4.8,"(1,356 reviews)","$30,503"
5,2019 Honda CR-V EX-L,"15,899 mi.",Honda of Fort Worth,4.8,"(2,491 reviews)","$33,000"
6,2020 Honda CR-V EX-L,"16,049 mi.",Bosak Honda,4.7,(627 reviews),"$34,994"
7,2018 Honda CR-V EX-L,"39,676 mi.",Parkway Honda of Boston,4.6,(913 reviews),"$29,149"
8,2019 Honda CR-V Touring,"58,949 mi.",Frank Leta Honda,4.6,(887 reviews),"$31,695"
9,2020 Honda CR-V EX-L,"17,685 mi.",Mohawk Honda,4.9,"(7,348 reviews)","$35,270"
10,2018 Honda CR-V EX-L,"58,764 mi.",Penske Honda,4.7,(685 reviews),"$28,901"
11,2019 Honda CR-V EX-L,"19,876 mi.",Honda North,4.7,"(1,912 reviews)","$31,987"
12,2020 Honda CR-V EX-L,"10,595 mi.",Silko Honda,4.8,"(1,356 reviews)","$35,147"
13,2018 Honda CR-V EX-L,"37,667 mi.",Dover Honda,4.8,"(1,157 reviews)","$29,687"
14,2019 Honda CR-V EX,"14,478 mi.",Ide Honda,4.9,"(1,673 reviews)","$31,890"
15,2019 Honda CR-V EX-L,"43,305 mi.",McGovern Honda of Boston,4.8,"(1,116 reviews)","$32,745"
16,2019 Honda CR-V EX-L,"38,535 mi.",AutoNation Honda O'Hare,4.5,"(1,592 reviews)","$30,998"
17,2019 Honda CR-V EX-L,"35,119 mi.",Morrie's West Bend Honda,3.2,(25 reviews),"$33,868"
18,2019 Honda Civic LX,"32,660 mi.",Concord Honda,4.7,"(1,341 reviews)","$24,998"
19,2020 Honda CR-V EX-L,"30,202 mi.",Team Honda,4.1,(137 reviews),"$31,988"
20,2019 Honda Passport EX-L,"16,594 mi.",Inver Grove Honda,4.9,"(2,340 reviews)","$36,469"
21,2019 Honda CR-V EX-L,"43,620 mi.",Community Honda of Orland Park,4.5,"(1,823 reviews)","$32,977"
22,2019 Honda Passport EX-L,"53,786 mi.",Vandergriff Honda,4.6,"(1,627 reviews)","$37,299"
23,2019 Honda CR-V EX-L,"21,701 mi.",Morganton Honda,4.7,(193 reviews),"$35,660"
24,2019 Honda CR-V Touring,"27,322 mi.",Schomp Honda,4.7,"(1,170 reviews)","$33,979"
25,2019 Honda CR-V EX-L,"44,046 mi.",Honda of Lisle,4.8,"(4,056 reviews)","$30,895"
26,2019 Honda CR-V EX-L,"21,911 mi.",Motor Werks - Barrington Auto Mall,4.8,"(4,844 reviews)","$32,500"
27,2019 Honda CR-V EX-L,"19,373 mi.",Crown Cadillac Buick Honda,4.7,(242 reviews),"$33,795"
28,2019 Honda Pilot EX-L,"36,442 mi.",Performance Kings Honda,4.3,"(1,034 reviews)","$38,590"
29,2019 Honda CR-V EX-L,"17,618 mi.",DCH Honda of Nanuet,4.7,"(1,329 reviews)","$32,699"
30,2019 Honda CR-V EX-L,"37,152 mi.",Honda of Fayetteville,4.9,(590 reviews),"$34,670"
31,2019 Honda CR-V EX-L,"39,472 mi.",McLarty Honda,4.7,"(1,011 reviews)","$34,474"
32,2018 Honda CR-V EX-L,"21,357 mi.",Ira Honda 128,4.7,"(1,439 reviews)","$29,898"
33,2019 Honda CR-V EX-L,"13,969 mi.",Vandergriff Honda,4.6,"(1,627 reviews)","$34,099"
34,2021 Honda CR-V EX-L,"10,892 mi.",Dick Brooks Honda,4.9,(826 reviews),"$38,990"
35,2022 Honda Pilot Elite,199 mi.,Pinegar Honda,4.8,(170 reviews),"$58,980"
36,2022 Honda Pilot Elite,229 mi.,Pinegar Honda,4.8,(170 reviews),"$58,980"
37,2019 Honda CR-V EX-L,"12,733 mi.",Schomp Honda,4.7,"(1,170 reviews)","$34,434"
38,2017 Honda CR-V Touring,"57,900 mi.",Germain Honda of Dublin,4.8,"(4,115 reviews)","$28,594"
39,2020 Honda CR-V Hybrid Touring,"17,297 mi.",Don Ayres Honda,4.9,"(4,368 reviews)","$40,899"
40,2020 Honda CR-V EX,"15,762 mi.",Honda of Fort Worth,4.8,"(2,491 reviews)","$33,250"
41,2019 Honda CR-V EX-L,"62,659 mi.",Schomp Honda,4.7,"(1,170 reviews)","$31,476"
42,2019 Honda CR-V EX-L,"39,157 mi.",Russ Darrow Honda,4.7,"(1,921 reviews)","$32,749"
43,2019 Honda CR-V EX-L,"30,567 mi.",Motor Werks - Barrington Auto Mall,4.8,"(4,844 reviews)","$31,999"
44,2019 Honda CR-V EX-L,"35,421 mi.",Scott Honda of West Chester,4.9,"(3,277 reviews)","$31,991"
45,2019 Honda Civic LX,"33,351 mi.",Findlay Honda Henderson,4.6,(385 reviews),"$27,999"
46,2019 Honda CR-V Touring,"30,797 mi.",Vandergriff Honda,4.6,"(1,627 reviews)","$32,816"
47,2019 Honda Passport EX-L,"39,095 mi.",Luther Brookdale Honda,4.6,"(6,051 reviews)","$34,495"
48,2020 Honda Passport EX-L,"28,240 mi.",Honda of Olathe,4.8,(720 reviews),"$40,500"
49,2019 Honda CR-V Touring,"24,427 mi.",Schaumburg Honda Automobiles,4.6,"(3,126 reviews)","$34,400"
50,2020 Honda Passport EX-L,"30,570 mi.",Honda of Olathe,4.8,(720 reviews),"$39,900"
51,2019 Honda CR-V EX-L,"17,845 mi.",Cambridge Honda,4.6,(556 reviews),"$33,000"
52,2021 Honda Passport EX-L,"15,352 mi.",Gillman Honda Houston,4.1,(603 reviews),"$33,995"
53,2019 Honda CR-V Touring,"19,625 mi.",Jeff Wyler Honda of Colerain,4.7,"(2,120 reviews)","$33,951"
54,2021 Honda CR-V EX-L,"21,363 mi.",Kelly Honda,4.6,"(1,308 reviews)","$37,999"
55,2020 Honda CR-V Touring,"41,686 mi.",Gerald Honda of Matteson,4.8,"(1,344 reviews)","$34,766"
56,2017 Honda CR-V Touring,"62,986 mi.",Hendrick Honda Woodbridge,4.7,(666 reviews),"$28,999"
57,2017 Honda CR-V EX-L,"51,177 mi.",Jay Wolfe Honda,4.8,(234 reviews),"$29,800"
58,2020 Honda CR-V EX-L,"32,596 mi.",AutoNation Honda Fremont,4.7,"(1,959 reviews)","$33,790"
59,2019 Honda CR-V EX-L,"34,371 mi.",Mungenast St. Louis Honda,4.9,"(2,622 reviews)","$34,999"
60,2019 Honda CR-V EX-L,"17,409 mi.",Honda of Downtown Chicago,3.6,(90 reviews),"$32,000"
61,2019 Honda Passport EX-L,"42,489 mi.",David McDavid Honda of Frisco,4.5,"(1,428 reviews)","$33,988"
62,2020 Honda Pilot Touring 8-Passenger,"29,369 mi.",Lute Riley Honda,4.8,"(2,975 reviews)","$38,999"
63,2018 Honda CR-V EX-L,"31,808 mi.",Boch Honda,4.5,"(2,419 reviews)","$29,900"
64,2019 Honda CR-V EX-L,"49,124 mi.",Motor Werks - Barrington Auto Mall,4.8,"(4,844 reviews)","$29,990"
65,2019 Honda CR-V EX-L,"24,892 mi.",Braman Honda of Palm Beach,4.9,"(4,842 reviews)","$29,694"
66,2020 Honda Pilot Touring 8-Passenger,"20,418 mi.",Jim Coleman Honda,4.7,"(2,231 reviews)","$45,997"
67,2017 Honda CR-V Touring,"33,825 mi.",Rosenthal Landmark Honda,4.6,"(1,291 reviews)","$30,980"
68,2019 Honda Passport EX-L,"70,581 mi.",David McDavid Honda of Frisco,4.5,"(1,428 reviews)","$29,999"
69,2020 Honda Passport EX-L,"16,948 mi.",Honda of Tiffany Springs,4.8,"(1,356 reviews)","$41,875"
70,2019 Honda Civic LX,"34,014 mi.",Economy Honda Superstore,4.8,"(1,856 reviews)","$25,499"
71,2019 Honda Civic LX,"36,691 mi.",Honda Mall of Georgia,4.7,"(1,148 reviews)","$24,980"
