,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 INFINITI QX50 ESSENTIAL,"38,284 mi.",INFINITI of Hoffman Estates,4.7,"(1,982 reviews)","$35,950"
1,2019 INFINITI QX50 Luxe,"13,655 mi.",Sheehy INFINITI of Chantilly,4.8,(586 reviews),"$34,725"
2,2019 INFINITI QX50 ESSENTIAL,"35,380 mi.",Motor Werks - Barrington Auto Mall,4.8,"(4,844 reviews)","$37,500"
3,2019 INFINITI QX50 ESSENTIAL,"57,174 mi.",INFINITI of Naperville,4.9,"(3,383 reviews)","$33,443"
4,2018 INFINITI Q50 3.0t LUXE,"55,845 mi.",Sewell INFINITI,4.5,(214 reviews),"$28,891"
5,2019 INFINITI QX50 ESSENTIAL,"33,094 mi.",INFINITI of South Atlanta,4.6,(579 reviews),"$39,981"
6,2020 INFINITI QX50 LUXE,"11,414 mi.",INFINITI of Orange Park,4.7,(130 reviews),"$39,466"
7,2019 INFINITI QX50 ESSENTIAL,"34,314 mi.",INFINITI of San Jose,4.4,(133 reviews),"$33,800"
8,2019 INFINITI QX50 Luxe,"36,225 mi.",INFINITI on Camelback,4.8,(895 reviews),"$32,901"
9,2019 INFINITI QX50 ESSENTIAL,"31,410 mi.",Sheehy INFINITI of Chantilly,4.8,(586 reviews),"$38,053"
10,2019 INFINITI QX50 Luxe,"25,769 mi.",Sheehy INFINITI of Chantilly,4.8,(586 reviews),"$34,241"
11,2022 INFINITI QX50 SENSORY,"10,152 mi.",Sewell INFINITI of Fort Worth,4.5,(69 reviews),"$50,499"
12,2019 INFINITI QX80 Luxe,"32,759 mi.",Grubbs INFINITI,4.7,"(1,643 reviews)","$59,500"
13,2021 INFINITI QX80 SENSORY,"36,199 mi.",INFINITI of Northern Kentucky,3.9,(4 reviews),"$76,999"
14,2019 INFINITI QX60 Luxe,"37,104 mi.",INFINITI of Coconut Creek,4.8,"(1,125 reviews)","$37,499"
