,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2017 Jeep Wrangler Unlimited Sahara,"30,507 mi.",Koons Tysons Chrysler Dodge Jeep RAM,4.0,(815 reviews),"$36,000"
1,2020 Jeep Grand Cherokee Limited,"36,062 mi.",Fox Hills Chrysler Jeep,3.1,(40 reviews),"$37,495"
2,2018 Jeep Grand Cherokee Overland,"41,964 mi.",Dodge Chrysler Jeep RAM of Winter Haven,4.4,(472 reviews),"$36,500"
3,2020 Jeep Grand Cherokee Limited,"35,255 mi.",Meador Dodge Chrysler Jeep RAM,4.5,"(1,879 reviews)","$36,500"
4,2019 Jeep Cherokee Limited,"19,483 mi.",Rob Lambdin's University Dodge RAM,4.2,"(1,023 reviews)","$30,495"
5,2019 Jeep Cherokee Latitude Plus,"30,204 mi.",Ganley Village Chrysler Dodge Jeep RAM Fiat,4.8,"(1,398 reviews)","$26,550"
6,2020 Jeep Grand Cherokee Limited,"39,298 mi.",Croton Auto Park,4.8,(449 reviews),"$38,795"
7,2019 Jeep Grand Cherokee Altitude,"39,801 mi.",Arrigo Dodge Chrysler Jeep Ram Sawgrass,4.8,"(4,265 reviews)","$44,000"
8,2021 Jeep Wrangler Unlimited 4xe Sahara,"10,578 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,360 reviews)","$55,000"
9,2020 Jeep Grand Cherokee Limited,"39,233 mi.",Brookdale Chrysler Jeep Dodge RAM,4.8,"(3,394 reviews)","$43,499"
10,2019 Jeep Cherokee Latitude Plus,"53,514 mi.",San Antonio Dodge Chrysler Jeep RAM,4.5,"(3,596 reviews)","$24,422"
11,2019 Jeep Cherokee Limited,"36,467 mi.",Driver's Village,3.2,(154 reviews),"$28,290"
12,2020 Jeep Wrangler Unlimited Sahara,"33,419 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,360 reviews)","$44,000"
13,2019 Jeep Grand Cherokee Limited,"21,938 mi.",Palmen Motors of Kenosha,4.8,"(2,787 reviews)","$44,650"
14,2020 Jeep Grand Cherokee Limited,"60,361 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,360 reviews)","$34,573"
15,2019 Jeep Cherokee Limited,"36,056 mi.",Arrigo Dodge Chrysler Jeep Ram West Palm,4.5,"(1,197 reviews)","$24,000"
16,2020 Jeep Grand Cherokee Limited,"33,110 mi.",Golling Chrysler Dodge Jeep RAM,4.9,"(4,058 reviews)","$34,499"
17,2019 Jeep Grand Cherokee Limited,"38,340 mi.",Security Dodge Chrysler Jeep RAM,4.6,"(6,478 reviews)","$34,000"
18,2020 Jeep Grand Cherokee Limited,"60,192 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,360 reviews)","$33,000"
19,2019 Jeep Cherokee Limited,"35,764 mi.",Moran Blue Water Chrysler Dodge Jeep Ram,4.7,(40 reviews),"$27,727"
20,2021 Jeep Grand Cherokee Limited,"16,740 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,360 reviews)","$47,000"
21,2019 Jeep Cherokee Limited,"58,009 mi.",Miami Lakes Automall - Chevrolet Kia Dodge Chrysler Jeep Ram Mitsubishi,4.5,"(2,515 reviews)","$24,000"
22,2020 Jeep Grand Cherokee Limited,"64,100 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,360 reviews)","$32,000"
23,2019 Jeep Compass Latitude,"47,964 mi.",Pine Belt Chrysler Jeep Dodge Ram of Lakewood,4.8,"(2,565 reviews)","$22,688"
24,2019 Jeep Grand Cherokee Limited,"19,476 mi.",Apple Chrysler Dodge Jeep Ram of Shakopee,3.8,(22 reviews),"$36,725"
25,2019 Jeep Grand Cherokee Limited,"35,480 mi.",C R Chrysler Dodge Jeep RAM of Adrian,4.7,(261 reviews),"$34,900"
26,2019 Jeep Cherokee Limited,"24,572 mi.",Dadeland Dodge Chrysler Jeep RAM,4.5,(436 reviews),"$26,995"
