,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 Maserati Ghibli S Q4,"19,018 mi.",Criswell Maserati Alfa Romeo,4.9,(539 reviews),"$52,110"
1,2019 Maserati Ghibli S Q4,"15,691 mi.",Criswell Maserati Alfa Romeo,4.9,(539 reviews),"$51,996"
2,2019 Maserati Levante Base,"16,594 mi.",Faulkner Maserati Alfa Romeo Willow Grove,5.0,(3 reviews),"$56,998"
3,2019 Maserati GranTurismo Sport,"11,999 mi.",Maserati Alfa Romeo of Wilmington Pike,3.3,(87 reviews),"$115,995"
4,2018 Maserati Ghibli S Q4,"28,857 mi.",F.C. Kerbeck & Sons,4.7,(170 reviews),"$54,990"
5,2018 Maserati GranTurismo Sport,"11,814 mi.",Northside Imports Houston,4.7,(182 reviews),"$82,975"
6,2018 Maserati GranTurismo Sport,"20,946 mi.",Russell Westbrook Alfa Romeo Maserati Fiat,4.6,"(1,549 reviews)","$75,943"
7,2019 Maserati Ghibli S Q4,"23,813 mi.",Faulkner Maserati Alfa Romeo Willow Grove,5.0,(3 reviews),"$53,500"
8,2019 Maserati Ghibli Base,"10,432 mi.",Northside Imports Houston,4.7,(182 reviews),"$53,517"
9,2019 Maserati Levante Base,"26,882 mi.","Santa Monica Maserati, Alfa Romeo, Fiat",4.5,(618 reviews),"$54,880"
10,2019 Maserati Levante Base,"36,767 mi.",Fullerton Auto Group,4.6,(334 reviews),"$55,000"
11,2019 Maserati Levante Base,"23,141 mi.",Faulkner Maserati Alfa Romeo Willow Grove,5.0,(3 reviews),"$56,998"
12,2019 Maserati Levante S GranLusso,"19,650 mi.",Maserati Alfa Romeo of Wilmington Pike,3.3,(87 reviews),"$61,995"
13,2019 Maserati Levante GranLusso,"32,818 mi.",THE COLLECTION,4.7,(655 reviews),"$67,900"
14,2019 Maserati Ghibli S Q4,"24,481 mi.",Ferrari Maserati of Atlanta,4.9,(442 reviews),"$52,950"
15,2020 Maserati Levante GranSport,"12,185 mi.",Ferrari of Palm Beach,4.3,(37 reviews),"$74,795"
