,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2018 Mercedes-Benz C-Class C 300 4MATIC,"30,428 mi.",Napleton Autowerks Schererville,4.7,(585 reviews),"$34,138"
1,2019 Mercedes-Benz AMG C 63 S,"34,922 mi.",Mercedes-Benz of San Jose,4.6,(656 reviews),"$67,963"
2,2019 Mercedes-Benz AMG GLS 63 Base 4MATIC,"34,643 mi.",Mercedes-Benz of Stevens Creek,4.7,"(1,624 reviews)","$91,992"
3,2019 Mercedes-Benz C-Class C 300,"28,926 mi.",Mercedes-Benz of Calabasas,4.6,(900 reviews),"$35,999"
4,2019 Mercedes-Benz CLA 250 Base 4MATIC,"32,763 mi.",Mercedes-Benz of Tysons Corner,4.5,(834 reviews),"$32,495"
5,2019 Mercedes-Benz C-Class C 300,"30,189 mi.",Mercedes-Benz of Fort Lauderdale,4.7,(985 reviews),"$34,499"
6,2020 Mercedes-Benz GLA 250 Base,"30,048 mi.",Mercedes-Benz of Miami,4.6,"(1,017 reviews)","$33,995"
7,2018 Mercedes-Benz C-Class C 300,"36,490 mi.",Mercedes-Benz of Plano,4.6,"(1,477 reviews)","$35,500"
8,2020 Mercedes-Benz GLC 300 Base 4MATIC,"37,816 mi.",Mercedes-Benz of Springfield,4.9,(92 reviews),"$41,991"
9,2021 Mercedes-Benz S-Class S 580 4MATIC,"5,259 mi.",Mercedes-Benz of Edison,4.9,"(2,923 reviews)","$124,499"
10,2021 Mercedes-Benz GLC 300 Base 4MATIC,"13,675 mi.",Mercedes-Benz of South Orlando,4.7,"(1,229 reviews)","$55,377"
11,2021 Mercedes-Benz C-Class C 300,"17,331 mi.",Mercedes-Benz of South Orlando,4.7,"(1,229 reviews)","$58,477"
12,2018 Mercedes-Benz C-Class C 300,"32,916 mi.",Mercedes-Benz of Pompano,4.5,(651 reviews),"$31,995"
13,2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"34,362 mi.",Mercedes-Benz of Edison,4.9,"(2,923 reviews)","$73,701"
14,2018 Mercedes-Benz GLA 250 Base 4MATIC,"38,829 mi.",Mercedes-Benz of Stevens Creek,4.7,"(1,624 reviews)","$28,955"
15,2021 Mercedes-Benz S-Class S 580 4MATIC,"9,739 mi.",Mercedes Benz of Goldens Bridge,4.7,(233 reviews),"$122,900"
16,2019 Mercedes-Benz GLS 450 Base 4MATIC,"27,117 mi.",Mercedes Benz of Hoffman Estates,4.7,"(1,103 reviews)","$60,999"
17,2018 Mercedes-Benz GLE 350 Base 4MATIC,"31,638 mi.",Euro Motorcars Inc,4.6,(582 reviews),"$43,881"
18,2019 Mercedes-Benz GLC 300 Base 4MATIC,"39,225 mi.",Mercedes-Benz of Bellevue,4.5,(722 reviews),"$37,985"
19,2020 Mercedes-Benz GLE 350 Base 4MATIC,"37,466 mi.",Mercedes-Benz of St Louis,4.6,(180 reviews),"$56,395"
20,2018 Mercedes-Benz GLE 350 Base,"17,355 mi.",Mercedes-Benz of South Orlando,4.7,"(1,229 reviews)","$53,077"
21,2019 Mercedes-Benz GLS 450 Base 4MATIC,"27,964 mi.",Mercedes-Benz of Fort Washington,4.6,"(2,328 reviews)","$59,222"
22,2019 Mercedes-Benz C-Class C 300 4MATIC,"34,720 mi.",Mercedes-Benz of Warwick,4.6,(262 reviews),"$38,595"
23,2019 Mercedes-Benz C-Class C 300,"23,673 mi.",Mercedes-Benz of Arcadia,4.8,"(1,104 reviews)","$36,045"
24,2021 Mercedes-Benz GLC 300 Base 4MATIC,"15,149 mi.",Mercedes-Benz of South Orlando,4.7,"(1,229 reviews)","$61,177"
25,2021 Mercedes-Benz G-Class G 550 4MATIC,"8,590 mi.",Mercedes Benz of Hoffman Estates,4.7,"(1,103 reviews)","$189,999"
26,2021 Mercedes-Benz GLB 250 Base 4MATIC,"15,259 mi.",Mercedes-Benz of Stevens Creek,4.7,"(1,624 reviews)","$45,395"
27,2020 Mercedes-Benz C-Class C 300,"44,280 mi.",Mercedes-Benz of Gilbert,4.6,(297 reviews),"$42,508"
28,2020 Mercedes-Benz GLC 300 Base 4MATIC,"12,128 mi.",Mercedes-Benz of Springfield,4.9,(92 reviews),"$46,991"
29,2021 Mercedes-Benz GLB 250 4MATIC,"22,922 mi.",Mercedes-Benz of Westwood,4.5,(426 reviews),"$43,892"
30,2020 Mercedes-Benz GLE 450 AWD 4MATIC,"50,171 mi.",Mercedes-Benz of Pleasanton,2.5,(55 reviews),"$55,985"
31,2019 Mercedes-Benz C-Class C 300 4MATIC,"31,744 mi.",Mercedes-Benz of Fredericksburg,4.6,(346 reviews),"$36,500"
32,2019 Mercedes-Benz E-Class E 450 4MATIC,"19,923 mi.",Mercedes-Benz of Owings Mills,4.9,"(2,097 reviews)","$58,490"
33,2020 Mercedes-Benz GLE 350 Base 4MATIC,"23,149 mi.",Mercedes-Benz of Tysons Corner,4.5,(834 reviews),"$59,995"
34,2020 Mercedes-Benz C-Class C 300,"18,710 mi.",Mercedes-Benz of South Orlando,4.7,"(1,229 reviews)","$46,977"
35,2019 Mercedes-Benz GLC 300 4MATIC,"38,230 mi.",Mercedes-Benz of Westwood,4.5,(426 reviews),"$39,222"
36,2021 Mercedes-Benz AMG GLE 63 S-Model 4MATIC,"18,830 mi.",Mercedes-Benz of Plano,4.6,"(1,477 reviews)","$139,000"
37,2018 Mercedes-Benz GLE 350 Base 4MATIC,"51,821 mi.",Mercedes-Benz of Naperville,4.7,(627 reviews),"$42,000"
38,2019 Mercedes-Benz GLS 450 Base 4MATIC,"34,278 mi.",House of Imports,4.7,"(1,235 reviews)","$55,980"
39,2020 Mercedes-Benz C-Class C 300,"20,265 mi.",Mercedes-Benz of South Orlando,4.7,"(1,229 reviews)","$43,577"
40,2021 Mercedes-Benz C-Class C 300,"16,996 mi.",Mercedes-Benz Of Tampa,4.7,"(3,482 reviews)","$41,995"
41,2018 Mercedes-Benz C-Class C 300 4MATIC,"41,941 mi.",Mercedes-Benz of Naperville,4.7,(627 reviews),"$31,250"
42,2020 Mercedes-Benz GLE 350 Base 4MATIC,"31,987 mi.",Fletcher Jones Motorcars of Fremont,4.9,"(1,181 reviews)","$54,753"
43,2019 Mercedes-Benz GLC 300 Base 4MATIC,"15,621 mi.",Napleton Autowerks Schererville,4.7,(585 reviews),"$44,488"
44,2020 Mercedes-Benz GLE 350 4MATIC,"16,316 mi.",Mercedes-Benz of Westwood,4.5,(426 reviews),"$58,767"
45,2018 Mercedes-Benz GLE 350 Base,"39,777 mi.",Mercedes-Benz of Arcadia,4.8,"(1,104 reviews)","$39,977"
46,2019 Mercedes-Benz GLC 300 4MATIC,"14,890 mi.",Mercedes-Benz of Westwood,4.5,(426 reviews),"$41,405"
47,2021 Mercedes-Benz GLC 300 Base 4MATIC,"12,989 mi.",Mercedes Benz of Hoffman Estates,4.7,"(1,103 reviews)","$51,999"
48,2020 Mercedes-Benz C-Class C 300,"17,441 mi.",Mercedes-Benz of Pompano,4.5,(651 reviews),"$40,991"
49,2021 Mercedes-Benz S-Class S 580 4MATIC,"5,559 mi.",Motor Werks - Barrington Auto Mall,4.8,"(4,844 reviews)","$128,990"
50,2020 Mercedes-Benz GLE 450 AWD 4MATIC,"36,549 mi.",Mercedes-Benz of San Francisco / Smart Center San Francisco,4.0,(59 reviews),"$59,982"
51,2018 Mercedes-Benz E-Class E 400,"36,614 mi.",Mercedes-Benz of Westwood,4.5,(426 reviews),"$48,555"
52,2020 Mercedes-Benz GLE 350 Base 4MATIC,"23,096 mi.",Jackie Cooper Imports,4.9,"(3,434 reviews)","$60,847"
53,2019 Mercedes-Benz GLC 350e Base 4MATIC,"49,403 mi.",Mercedes-Benz of San Jose,4.6,(656 reviews),"$37,952"
54,2020 Mercedes-Benz GLC 300 Base 4MATIC,"15,345 mi.",Bloomington Normal Auto-Mall,3.6,(104 reviews),"$42,443"
55,2021 Mercedes-Benz S-Class S 580 4MATIC,"6,783 mi.",Mercedes Benz of Hoffman Estates,4.7,"(1,103 reviews)","$129,999"
56,2018 Mercedes-Benz C-Class C 300,"23,278 mi.",Mercedes-Benz of Ontario,4.9,"(1,965 reviews)","$34,482"
57,2019 Mercedes-Benz C-Class C 300,"30,065 mi.",Mercedes-Benz of Fort Lauderdale,4.7,(985 reviews),"$35,499"
58,2019 Mercedes-Benz CLA 250 4MATIC,"26,979 mi.",Mercedes-Benz of Hanover,4.6,(390 reviews),"$32,500"
59,2019 Mercedes-Benz C-Class C 300,"39,073 mi.",Mercedes-Benz of Gainesville,4.8,(816 reviews),"$33,999"
60,2020 Mercedes-Benz C-Class C 300,"3,358 mi.",Mercedes-Benz of Gilbert,4.6,(297 reviews),"$59,998"
61,2019 Mercedes-Benz GLS 450 Base 4MATIC,"27,308 mi.",W.I. Simonson Inc.,4.5,(786 reviews),"$55,996"
62,2019 Mercedes-Benz AMG GLC 43 Base 4MATIC,"49,942 mi.",Mercedes-Benz of Fort Washington,4.6,"(2,328 reviews)","$51,466"
63,2019 Mercedes-Benz GLS 450 Base 4MATIC,"16,513 mi.",Mercedes-Benz of South Bay,4.6,"(1,279 reviews)","$59,492"
64,2019 Mercedes-Benz C-Class C 300,"47,163 mi.",Mercedes-Benz of Nashville,4.7,(839 reviews),"$37,998"
65,2021 Mercedes-Benz GLC 300 Base 4MATIC,"16,279 mi.",Mercedes-Benz of Fredericksburg,4.6,(346 reviews),"$49,000"
66,2019 Mercedes-Benz CLA 250 Base,"19,459 mi.",W.I. Simonson Inc.,4.5,(786 reviews),"$29,998"
67,2018 Mercedes-Benz C-Class C 300,"37,570 mi.",Mercedes-Benz of Marietta,4.7,(465 reviews),"$33,999"
68,2018 Mercedes-Benz GLE 350 Base 4MATIC,"53,209 mi.",Mercedes-Benz of Naperville,4.7,(627 reviews),"$41,000"
69,2019 Mercedes-Benz C-Class C 300,"39,485 mi.",RBM of Atlanta,4.9,"(1,013 reviews)","$37,898"
70,2020 Mercedes-Benz GLE 350 4MATIC,"53,772 mi.",Mercedes-Benz of Westwood,4.5,(426 reviews),"$54,095"
71,2019 Mercedes-Benz C-Class C 300 4MATIC,"12,767 mi.",Mercedes-Benz of Westwood,4.5,(426 reviews),"$40,302"
72,2021 Mercedes-Benz GLA 250 Base 4MATIC,"13,883 mi.",Mercedes-Benz of Fredericksburg,4.6,(346 reviews),"$43,000"
73,2018 Mercedes-Benz AMG GLC 43 Base 4MATIC,"16,442 mi.",Mercedes-Benz of Cherry Hill,4.3,(498 reviews),"$51,595"
74,2020 Mercedes-Benz GLC 300 Base,"30,952 mi.",Mercedes-Benz Of Henderson,4.9,"(1,649 reviews)","$42,894"
75,2019 Mercedes-Benz GLC 300 Base 4MATIC,"39,752 mi.",Mercedes-Benz of Easton,4.7,(669 reviews),"$38,540"
76,2019 Mercedes-Benz GLC 300 4MATIC Coupe,"42,762 mi.",Mercedes-Benz of Tysons Corner,4.5,(834 reviews),"$50,995"
77,2020 Mercedes-Benz GLE 350 Base 4MATIC,"21,300 mi.",Crown Eurocars of Dublin,4.9,"(2,548 reviews)","$57,491"
78,2021 Mercedes-Benz GLC 300 Base,"39,304 mi.",Mercedes-Benz of Austin,4.9,"(1,243 reviews)","$47,999"
79,2020 Mercedes-Benz GLE 350 Base 4MATIC,"30,379 mi.",Mercedes-Benz of Cherry Hill,4.3,(498 reviews),"$56,995"
80,2019 Mercedes-Benz C-Class C 300 4MATIC,"44,087 mi.",Mercedes-Benz of Owings Mills,4.9,"(2,097 reviews)","$35,700"
81,2020 Mercedes-Benz C-Class C 300 4MATIC,"17,000 mi.",Mercedes-Benz of Edison,4.9,"(2,923 reviews)","$49,132"
82,2019 Mercedes-Benz GLS 450 Base 4MATIC,"31,685 mi.",Mercedes-Benz of Santa Rosa,4.2,(29 reviews),"$56,374"
83,2018 Mercedes-Benz S-Class S 450,"41,898 mi.",Fletcher Jones Motorcars,4.8,"(5,256 reviews)","$56,893"
84,2020 Mercedes-Benz G-Class G 550 4MATIC,"5,373 mi.",Mercedes Benz of Hoffman Estates,4.7,"(1,103 reviews)","$184,999"
85,2022 Mercedes-Benz GLC 300 Base 4MATIC,"3,681 mi.",Mercedes-Benz of Chantilly,4.6,(898 reviews),"$50,000"
86,2019 Mercedes-Benz C-Class C 300 4MATIC,"57,195 mi.",Mercedes-Benz of Wilmington,4.7,(217 reviews),"$34,900"
87,2019 Mercedes-Benz GLC 300 Base 4MATIC,"18,680 mi.",House of Imports,4.7,"(1,235 reviews)","$37,980"
88,2018 Mercedes-Benz E-Class E 300,"45,928 mi.",Mercedes-Benz of San Antonio,4.8,"(1,652 reviews)","$39,977"
89,2018 Mercedes-Benz GLE 350 Base,"32,829 mi.",Mercedes-Benz of Orlando,4.7,(718 reviews),"$37,551"
90,2018 Mercedes-Benz E-Class E 300,"15,711 mi.",Mercedes-Benz of Fort Lauderdale,4.7,(985 reviews),"$43,499"
91,2020 Mercedes-Benz GLE 350 Base,"17,400 mi.",Mercedes-Benz of Plano,4.6,"(1,477 reviews)","$62,000"
92,2020 Mercedes-Benz C-Class C 300,"16,820 mi.",Mercedes-Benz of Atlanta Northeast,4.8,"(1,863 reviews)","$43,382"
93,2020 Mercedes-Benz GLE 350 Base 4MATIC,"23,468 mi.",Euro Motorcars Devon,4.6,(305 reviews),"$59,979"
94,2019 Mercedes-Benz C-Class C 300 4MATIC,"30,709 mi.",Mercedes-Benz of Silver Spring,4.8,"(1,632 reviews)","$35,900"
95,2020 Mercedes-Benz GLE 350 Base 4MATIC,"20,866 mi.",Mercedes-Benz of San Jose,4.6,(656 reviews),"$56,990"
96,2020 Mercedes-Benz GLE 350 Base 4MATIC,"20,588 mi.",Mercedes-Benz of Miami,4.6,"(1,017 reviews)","$57,995"
97,2019 Mercedes-Benz C-Class C 300 4MATIC,"23,551 mi.",Mercedes-Benz of Bellevue,4.5,(722 reviews),"$35,998"
98,2019 Mercedes-Benz C-Class C 300,"20,392 mi.",Fletcher Jones Motorcars,4.8,"(5,256 reviews)","$35,894"
99,2021 Mercedes-Benz GLC 300 Base 4MATIC,"13,782 mi.",James Motor Company,4.7,(191 reviews),"$49,513"
100,2021 Mercedes-Benz GLC 300 Base 4MATIC,"15,411 mi.",Silver Star Motors,4.6,(681 reviews),"$44,899"
101,2021 Mercedes-Benz C-Class C 300 4MATIC,"11,165 mi.",Mercedes-Benz of Tysons Corner,4.5,(834 reviews),"$37,884"
102,2021 Mercedes-Benz S-Class S 580 4MATIC,"9,447 mi.",Mercedes Benz of Hoffman Estates,4.7,"(1,103 reviews)","$144,999"
103,2019 Mercedes-Benz GLC 350e Base 4MATIC,"26,434 mi.",Mercedes-Benz of Stevens Creek,4.7,"(1,624 reviews)","$48,981"
104,2020 Mercedes-Benz GLA 250 Base,"31,426 mi.",Mercedes-Benz of Ontario,4.9,"(1,965 reviews)","$34,283"
