,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 MINI Hardtop Cooper S,"13,075 mi.",Seattle Mini,4.7,(259 reviews),"$31,985"
1,2019 MINI Hardtop Cooper,"36,511 mi.",BMW of Freeport,4.7,"(1,333 reviews)","$23,943"
2,2019 MINI Hardtop Cooper S,"15,970 mi.",Seattle Mini,4.7,(259 reviews),"$30,985"
3,2019 MINI Convertible Cooper,"33,581 mi.",Seattle Mini,4.7,(259 reviews),"$34,985"
4,2019 MINI Countryman Cooper S,"28,148 mi.",South Bay MINI,4.9,(344 reviews),"$30,199"
5,2019 MINI Hardtop Cooper S,"19,363 mi.",Braman Motors Miami,4.7,"(2,680 reviews)","$28,536"
6,2019 MINI Hardtop Cooper S,"23,086 mi.",Braman Motors Miami,4.7,"(2,680 reviews)","$27,972"
7,2019 MINI Hardtop Cooper S,"21,305 mi.",MINI of St. Louis,4.9,"(1,454 reviews)","$28,000"
8,2019 MINI Clubman Cooper S ALL4,"46,713 mi.",MINI of Fairfield County,4.6,(741 reviews),"$31,995"
9,2019 MINI Countryman Cooper S,"31,550 mi.",Braman Motors Miami,4.7,"(2,680 reviews)","$31,865"
10,2019 MINI Countryman Cooper S ALL4,"25,275 mi.",Schomp Mini,4.7,(713 reviews),"$36,414"
11,2019 MINI Countryman Cooper S,"20,479 mi.",Braman Motors Miami,4.7,"(2,680 reviews)","$33,991"
12,2019 MINI Hardtop Cooper S,"38,752 mi.",South Bay MINI,4.9,(344 reviews),"$27,999"
13,2019 MINI Hardtop Cooper S,"24,529 mi.",MINI of St. Louis,4.9,"(1,454 reviews)","$27,700"
14,2018 MINI Countryman Cooper S ALL4,"42,583 mi.",BMW MINI of Annapolis,4.5,(663 reviews),"$29,899"
15,2019 MINI Clubman Cooper S ALL4,"22,361 mi.",Seattle Mini,4.7,(259 reviews),"$32,985"
16,2019 MINI Hardtop Cooper S,"19,972 mi.",MINI of Santa Monica,2.3,(3 reviews),"$30,000"
17,2019 MINI Hardtop Cooper S,"12,276 mi.",South Bay MINI,4.9,(344 reviews),"$28,999"
18,2019 MINI Convertible Cooper,"17,613 mi.",Seattle Mini,4.7,(259 reviews),"$32,985"
19,2019 MINI Clubman Cooper S ALL4,"28,291 mi.",Seattle Mini,4.7,(259 reviews),"$31,985"
20,2019 MINI Hardtop Cooper S,"26,652 mi.",MINI of St. Louis,4.9,"(1,454 reviews)","$27,900"
21,2019 MINI Hardtop Cooper,"32,158 mi.",Herb Chambers BMW MINI of Boston,4.7,"(2,377 reviews)","$24,998"
22,2019 MINI Hardtop Cooper S,"32,331 mi.",International Autos,3.4,(88 reviews),"$29,495"
23,2019 MINI Hardtop Cooper S,"19,734 mi.",Ferman Mini of Tampa Bay,4.8,"(1,193 reviews)","$28,900"
24,2019 MINI Countryman Cooper S ALL4,"23,391 mi.",Habberstad BMW of Huntington,4.8,"(1,305 reviews)","$31,381"
25,2019 MINI Hardtop Cooper S,"29,693 mi.",Ferman Mini of Tampa Bay,4.8,"(1,193 reviews)","$28,500"
26,2019 MINI Countryman Cooper S ALL4,"34,495 mi.",International Autos,3.4,(88 reviews),"$34,495"
27,2019 MINI Clubman Cooper S,"15,927 mi.",Seattle Mini,4.7,(259 reviews),"$31,985"
28,2020 MINI Countryman Cooper S,"24,584 mi.",Mini of Hawaii,4.5,(91 reviews),"$32,191"
29,2019 MINI Hardtop Cooper S,"6,883 mi.",South Bay MINI,4.9,(344 reviews),"$28,499"
30,2019 MINI Countryman Cooper S,"32,518 mi.",Passport MINI of Alexandria,4.6,(326 reviews),"$31,000"
