,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2021 Mitsubishi Outlander Sport LE,"20,136 mi.",Cherry Hill Chrysler Dodge Jeep RAM Kia Mitsubishi,4.1,"(2,387 reviews)","$24,999"
1,2018 Mitsubishi Eclipse Cross LE,"29,190 mi.",Jim Shorkey North Hills Mitsubishi,4.3,(12 reviews),"$22,998"
2,2019 Mitsubishi Mirage ES,"44,339 mi.",Jim Shorkey North Hills Mitsubishi,4.3,(12 reviews),"$14,899"
3,2022 Mitsubishi Eclipse Cross SEL,"22,819 mi.",Cherry Hill Chrysler Dodge Jeep RAM Kia Mitsubishi,4.1,"(2,387 reviews)","$28,999"
4,2021 Mitsubishi Mirage G4 ES,"12,717 mi.",Jim Shorkey North Hills Mitsubishi,4.3,(12 reviews),"$18,699"
5,2019 Mitsubishi Eclipse Cross SEL,"49,764 mi.",Jim Shorkey North Hills Mitsubishi,4.3,(12 reviews),"$23,999"
6,2020 Mitsubishi Outlander Sport 2.0 ES,"13,895 mi.",Jim Shorkey North Hills Mitsubishi,4.3,(12 reviews),"$24,466"
7,2019 Mitsubishi Outlander SE,"45,949 mi.",Cherry Hill Chrysler Dodge Jeep RAM Kia Mitsubishi,4.1,"(2,387 reviews)","$23,999"
8,2018 Mitsubishi Outlander Sport ES 2.0,"23,232 mi.",Courtesy Car City,4.6,(307 reviews),"$20,991"
9,2021 Mitsubishi Outlander Sport 2.0 ES,"7,395 mi.",Jim Shorkey North Hills Mitsubishi,4.3,(12 reviews),"$25,199"
10,2017 Mitsubishi Outlander SEL,"56,461 mi.",Showcase Mitsubishi,4.8,(56 reviews),"$22,450"
11,2017 Mitsubishi Outlander 2.4 ES AWC,"18,884 mi.",Acura of Boardman,4.4,(69 reviews),Not Priced
12,2017 Mitsubishi Outlander Sport 2.4 SE AWC,"50,235 mi.",Acura of Boardman,4.4,(69 reviews),Not Priced
13,2019 Mitsubishi Outlander Sport 2.0 ES AWC,"56,478 mi.",Acura of Boardman,4.4,(69 reviews),Not Priced
14,2020 Mitsubishi Outlander Sport 2.0 ES AWC,"37,150 mi.",Interstate Mitsubishi,4.7,(79 reviews),Not Priced
15,2018 Mitsubishi Eclipse Cross ES 1.5T S-AWC,"20,366 mi.",Toms River Mitsubishi,3.7,(3 reviews),Not Priced
16,2020 Mitsubishi Outlander Sport 2.0 ES AWC,"16,107 mi.",James Mitsubishi,3.8,(26 reviews),Not Priced
17,2022 Mitsubishi Mirage G4 SE,138 mi.,Cold Brook Saab-Mitsubishi,5.0,(23 reviews),Not Priced
18,2022 Mitsubishi Outlander Sport 2.0 LE 2WD,2 mi.,James Mitsubishi,3.8,(26 reviews),Not Priced
19,2021 Mitsubishi Outlander Sport 2.0 SE 2WD,"6,203 mi.",Long Lewis Volkswagen Mitsubishi,3.4,(10 reviews),Not Priced
