,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2020 Nissan Rogue Sport S,"15,663 mi.",Murfreesboro Nissan,4.7,(817 reviews),"$26,500"
1,2021 Nissan Maxima Platinum,"12,694 mi.",Passport Nissan of Alexandria,4.4,(418 reviews),"$43,990"
2,2020 Nissan Rogue S,"47,277 mi.",Monroe Nissan,4.5,(258 reviews),"$26,300"
3,2017 Nissan Rogue SL,"62,615 mi.",Trophy Nissan,4.7,"(3,026 reviews)","$24,882"
4,2019 Nissan Rogue SL,"35,285 mi.",Don Davis Nissan,4.7,"(8,317 reviews)","$31,917"
5,2017 Nissan Rogue SL,"39,425 mi.",Crest Nissan,4.5,"(1,005 reviews)","$23,847"
6,2020 Nissan Rogue SV,"30,105 mi.",Collins Nissan,4.3,(12 reviews),"$29,988"
7,2021 Nissan Rogue S,"12,571 mi.",Granbury Nissan,4.3,(50 reviews),"$32,500"
8,2020 Nissan Rogue S,"11,995 mi.",Southern 441 Nissan,4.8,(644 reviews),"$25,780"
9,2021 Nissan Altima 2.5 S,"11,360 mi.",Peoria Nissan,4.3,(745 reviews),"$25,831"
10,2019 Nissan Rogue Sport S,"12,352 mi.",AutoNation Nissan Pembroke Pines,4.6,(811 reviews),"$24,952"
11,2020 Nissan Rogue SL,"45,294 mi.",Nissan of Boerne,4.4,(291 reviews),"$30,097"
12,2019 Nissan Sentra S,"47,424 mi.",Midway Nissan,4.5,"(1,161 reviews)","$18,490"
13,2020 Nissan Rogue SV,"61,664 mi.",Crest Nissan,4.5,"(1,005 reviews)","$23,724"
14,2018 Nissan Maxima 3.5 Platinum,"39,664 mi.",Hudson Nissan,4.7,(536 reviews),"$31,767"
15,2020 Nissan Rogue Sport S,"38,909 mi.",Mastria Nissan,4.6,(304 reviews),"$24,500"
16,2021 Nissan Rogue S,"17,660 mi.",Don Davis Nissan,4.7,"(8,317 reviews)","$35,971"
17,2021 Nissan Rogue S,"14,856 mi.",Palmetto 57 Nissan,4.8,"(1,388 reviews)","$29,557"
18,2021 Nissan Murano SL,"11,380 mi.",Don Davis Nissan,4.7,"(8,317 reviews)","$42,989"
19,2020 Nissan Rogue SV,"45,337 mi.",Fred Anderson Nissan of Asheville,4.9,"(1,801 reviews)","$27,966"
20,2020 Nissan Rogue Sport S,"10,491 mi.",Nissan of Melbourne,4.5,(662 reviews),"$25,511"
21,2021 Nissan Rogue S,"10,889 mi.",Trophy Nissan,4.7,"(3,026 reviews)","$33,943"
22,2019 Nissan Rogue SV,"34,136 mi.",Nissan of Mission Hills,3.2,(29 reviews),"$25,995"
23,2019 Nissan Rogue SL,"19,110 mi.",Ken Ganley Nissan Mayfield,4.7,"(1,257 reviews)","$28,992"
24,2019 Nissan Rogue S,"16,425 mi.",Faulkner Nissan Mechanicsburg,4.7,(205 reviews),"$24,911"
25,2020 Nissan Rogue SL,"60,606 mi.",Nissan of Boerne,4.4,(291 reviews),"$26,683"
26,2020 Nissan Murano S,"17,193 mi.",Route 23 Nissan,4.5,(751 reviews),"$26,878"
27,2020 Nissan Rogue Sport S,"24,005 mi.",Nissan of Turnersville,4.7,(217 reviews),"$29,100"
28,2019 Nissan Rogue Sport S,"31,356 mi.",Nissan of Turnersville,4.7,(217 reviews),"$26,800"
29,2018 Nissan Murano Platinum,"15,060 mi.",Lee Nissan,4.7,(41 reviews),"$35,800"
30,2019 Nissan Rogue SL,"35,909 mi.",Star Nissan,4.5,(506 reviews),"$29,000"
31,2020 Nissan Rogue SV,"18,203 mi.",Nissan of Yorktown Heights,4.2,(269 reviews),"$27,950"
32,2019 Nissan Rogue S,"41,729 mi.",Nissan of Hendersonville,1.0,(1 review),"$24,103"
33,2021 Nissan Rogue S,"12,337 mi.",AutoNation Nissan Tempe,4.4,(695 reviews),"$30,489"
34,2020 Nissan Kicks S,"14,153 mi.",Midway Nissan,4.5,"(1,161 reviews)","$20,999"
35,2019 Nissan Rogue SL,"23,238 mi.",Pohanka Nissan of Stafford,5.0,(2 reviews),"$32,900"
36,2019 Nissan Kicks SR,"33,350 mi.",Monroe Nissan,4.5,(258 reviews),"$24,000"
37,2019 Nissan Rogue SV,"67,887 mi.",Nissan North,4.6,(160 reviews),"$23,800"
38,2019 Nissan Rogue S,"39,423 mi.",Wally's Nissan of Latham,4.7,"(2,738 reviews)","$24,000"
39,2020 Nissan Rogue Sport SV,"10,087 mi.",Trophy Nissan,4.7,"(3,026 reviews)","$26,910"
40,2020 Nissan Rogue SV,"42,616 mi.",Crown Nissan of Greenville,4.5,(393 reviews),"$28,592"
41,2019 Nissan Rogue SV,"19,034 mi.",Passport Nissan of Alexandria,4.4,(418 reviews),"$29,990"
42,2019 Nissan Altima 2.5 SR,"34,682 mi.",Collins Nissan,4.3,(12 reviews),"$25,788"
43,2019 Nissan Rogue SL,"16,824 mi.",Nissan of Yorktown Heights,4.2,(269 reviews),"$29,500"
44,2019 Nissan Rogue SL,"42,071 mi.",Boch Nissan,4.2,(912 reviews),"$26,748"
45,2020 Nissan Rogue SV,"63,701 mi.",South Houston Nissan,3.4,(253 reviews),"$23,499"
46,2019 Nissan Rogue SL,"39,209 mi.",Trophy Nissan,4.7,"(3,026 reviews)","$28,916"
47,2020 Nissan Rogue SV,"31,691 mi.",Crown Nissan of Greenville,4.5,(393 reviews),"$27,793"
48,2020 Nissan Rogue SV,"62,704 mi.",Lokey Nissan,4.6,"(4,830 reviews)","$24,877"
49,2020 Nissan Kicks S,"11,301 mi.",Peoria Nissan,4.3,(745 reviews),"$22,685"
50,2020 Nissan Murano S,"17,347 mi.",AutoNation Nissan Miami,4.6,(519 reviews),"$29,595"
51,2020 Nissan Pathfinder SL,"15,570 mi.",Sutherlin Nissan Vero Beach,4.7,"(1,728 reviews)","$28,697"
52,2020 Nissan Rogue SV,"65,385 mi.",AutoNation Nissan Marietta,4.7,(773 reviews),"$25,497"
53,2019 Nissan Rogue SL,"17,976 mi.",Faulkner Nissan Mechanicsburg,4.7,(205 reviews),"$30,511"
54,2019 Nissan Rogue SL,"36,815 mi.",South Shore Nissan,4.1,(639 reviews),"$24,965"
55,2019 Nissan Sentra SV,"13,249 mi.",Wally's Nissan of Latham,4.7,"(2,738 reviews)","$20,800"
56,2019 Nissan Murano SV,"41,078 mi.",AutoNation Nissan Pembroke Pines,4.6,(811 reviews),"$28,452"
57,2021 Nissan Rogue Sport SV,"15,508 mi.",Sutherlin Nissan Vero Beach,4.7,"(1,728 reviews)","$25,900"
58,2020 Nissan Murano SV,"64,167 mi.",Nissan of Melbourne,4.5,(662 reviews),"$26,911"
59,2020 Nissan Rogue SV,"65,597 mi.",South Houston Nissan,3.4,(253 reviews),"$23,299"
60,2020 Nissan Murano SV,"19,802 mi.",Nissan of Melbourne,4.5,(662 reviews),"$31,511"
61,2020 Nissan Rogue SV,"60,546 mi.",Ingram Park Nissan,3.8,(37 reviews),"$26,981"
62,2020 Nissan Murano S,"17,386 mi.",Sansone Rt 1 Auto Mall,4.1,(364 reviews),"$29,959"
63,2019 Nissan Rogue SV,"13,882 mi.",Faulkner Nissan Mechanicsburg,4.7,(205 reviews),"$27,911"
64,2020 Nissan Rogue S,"16,438 mi.",Southern 441 Nissan,4.8,(644 reviews),"$24,622"
65,2021 Nissan Altima 2.5 S,"2,538 mi.",Peoria Nissan,4.3,(745 reviews),"$26,595"
66,2018 Nissan Altima 2.5 SR,"46,411 mi.",Lorenzo Nissan Ft Lauderdale,4.5,(906 reviews),"$20,000"
67,2021 Nissan Rogue SV,"22,150 mi.",Jim Coleman INFINITI,4.5,(335 reviews),"$35,000"
68,2021 Nissan Sentra SR,"31,900 mi.",AutoNation Nissan Tempe,4.4,(695 reviews),"$25,952"
69,2018 Nissan Maxima 3.5 Platinum,"33,463 mi.",Hudson Nissan,4.7,(536 reviews),"$32,739"
70,2019 Nissan Rogue SL,"11,332 mi.",Pohanka Nissan of Stafford,5.0,(2 reviews),"$33,900"
71,2019 Nissan Sentra S,"18,736 mi.",Peoria Nissan,4.3,(745 reviews),"$19,897"
72,2020 Nissan Rogue S,"47,136 mi.",Sheehy Nissan of Waldorf,4.7,(625 reviews),"$23,060"
73,2019 Nissan Rogue SV,"17,671 mi.",Riverside Nissan,3.3,(25 reviews),"$25,795"
74,2020 Nissan Rogue Sport S,"16,710 mi.",Town North Nissan,4.1,(598 reviews),"$27,000"
75,2019 Nissan Rogue SL,"50,005 mi.",Kelly Nissan of Woburn,4.7,"(1,950 reviews)","$28,697"
76,2019 Nissan Rogue SL,"41,727 mi.",Crest Nissan,4.5,"(1,005 reviews)","$29,724"
77,2021 Nissan Rogue SV,"11,035 mi.",Gettel Nissan,4.6,"(1,062 reviews)","$29,691"
78,2019 Nissan Rogue SL,"53,453 mi.",Marlboro Nissan,4.9,"(2,286 reviews)","$27,478"
79,2020 Nissan Rogue SV,"63,674 mi.",Nissan of Hendersonville,1.0,(1 review),"$26,500"
80,2019 Nissan Rogue Sport S,"17,216 mi.",Nissan of Staten Island,4.3,(329 reviews),"$23,643"
81,2017 Nissan Rogue SV,"49,516 mi.",Trophy Nissan,4.7,"(3,026 reviews)","$22,795"
82,2018 Nissan Altima 2.5 SR,"66,846 mi.",Lokey Nissan,4.6,"(4,830 reviews)","$19,000"
83,2020 Nissan Rogue S,"44,652 mi.",Nissan of Boerne,4.4,(291 reviews),"$25,998"
84,2019 Nissan Altima 2.5 SL,"27,173 mi.",Sansone Rt 1 Auto Mall,4.1,(364 reviews),"$24,959"
85,2019 Nissan Altima 2.5 SL,"19,360 mi.",Bob Bell Nissan Kia,4.3,(299 reviews),"$28,900"
86,2019 Nissan Sentra SV,"55,488 mi.",Nissan of Melbourne,4.5,(662 reviews),"$19,911"
87,2020 Nissan Titan SV,"31,330 mi.",Don Davis Nissan,4.7,"(8,317 reviews)","$38,874"
88,2020 Nissan Rogue SV,"40,207 mi.",Gettel Nissan,4.6,"(1,062 reviews)","$21,391"
89,2019 Nissan Sentra SV,"48,476 mi.",Lia Nissan of Colonie,4.7,(336 reviews),"$18,988"
90,2019 Nissan Rogue SV,"42,189 mi.",Beau Townsend Nissan,4.8,(497 reviews),"$26,299"
91,2021 Nissan Altima 2.5 SV,"11,711 mi.",Sutherlin Nissan Vero Beach,4.7,"(1,728 reviews)","$25,000"
92,2019 Nissan Sentra SV,"11,727 mi.",West Herr Nissan of Williamsville,4.8,(614 reviews),"$21,911"
93,2019 Nissan Rogue SL,"15,922 mi.",Faulkner Nissan of Harrisburg,4.4,(120 reviews),"$31,250"
94,2020 Nissan Pathfinder SL,"65,820 mi.",Mossy Nissan National City,4.4,(0 reviews),"$28,995"
95,2020 Nissan Murano SV,"44,314 mi.",Nissan of Yorktown Heights,4.2,(269 reviews),"$28,900"
96,2019 Nissan Rogue SL,"36,412 mi.",Faulkner Nissan of Harrisburg,4.4,(120 reviews),"$29,500"
97,2020 Nissan Rogue SV,"41,903 mi.",South Shore Nissan,4.1,(639 reviews),"$24,465"
98,2020 Nissan Rogue SV,"62,187 mi.",South Houston Nissan,3.4,(253 reviews),"$23,507"
99,2019 Nissan Rogue Sport SV,"16,413 mi.",Mastria Nissan,4.6,(304 reviews),"$25,690"
100,2020 Nissan Rogue SV,"35,676 mi.",Collins Nissan,4.3,(12 reviews),"$27,988"
101,2019 Nissan Rogue SL,"31,735 mi.",Kelly Nissan of Woburn,4.7,"(1,950 reviews)","$29,977"
102,2019 Nissan Rogue S,"18,434 mi.",New City Nissan,4.8,(527 reviews),"$27,988"
103,2019 Nissan Rogue SL,"31,330 mi.",Sutherlin Nissan of Fort Pierce,4.4,"(1,187 reviews)","$28,478"
104,2019 Nissan Rogue SV,"38,855 mi.",Ron Bouchard's Nissan,4.6,(242 reviews),"$26,951"
105,2020 Nissan Rogue S,"29,000 mi.",Nissan of Bowie,2.9,(29 reviews),"$25,700"
106,2017 Nissan Rogue S,"60,807 mi.",Sheridan Nissan,4.6,(611 reviews),"$21,689"
107,2021 Nissan Rogue S,"39,840 mi.",Charlie Clark Nissan,3.7,(40 reviews),"$30,699"
108,2021 Nissan Armada SV,"43,228 mi.",Joe Machens Nissan,4.7,(886 reviews),"$47,900"
109,2020 Nissan Rogue Sport S,"32,279 mi.",Gettel Nissan,4.6,"(1,062 reviews)","$19,991"
110,2020 Nissan Rogue SV,"60,328 mi.",Ingram Park Nissan,3.8,(37 reviews),"$26,981"
111,2019 Nissan Maxima 3.5 Platinum,"35,793 mi.",Hudson Nissan,4.7,(536 reviews),"$37,191"
112,2020 Nissan Altima 2.5 S,"15,102 mi.",Peoria Nissan,4.3,(745 reviews),"$25,258"
113,2019 Nissan Rogue SL,"36,000 mi.",Sansone Rt 1 Auto Mall,4.1,(364 reviews),"$25,459"
114,2019 Nissan Rogue SV,"15,546 mi.",Sullivan Brothers Nissan,4.8,"(1,150 reviews)","$28,993"
115,2018 Nissan Rogue SV,"35,821 mi.",Don Davis Nissan,4.7,"(8,317 reviews)","$28,899"
116,2020 Nissan Rogue SV,"62,203 mi.",Nissan of Boerne,4.4,(291 reviews),"$25,513"
117,2019 Nissan Sentra S,"14,063 mi.",Price Leblanc Nissan,4.8,(135 reviews),"$22,966"
118,2019 Nissan Sentra SV,"18,389 mi.",Wally's Nissan of Latham,4.7,"(2,738 reviews)","$21,000"
119,2020 Nissan Rogue Sport S,"46,140 mi.",Courtesy Nissan of Tampa,4.5,(861 reviews),"$21,991"
120,2019 Nissan Rogue SV,"44,895 mi.",AutoFair Nissan of Stratham,4.8,(611 reviews),"$25,784"
121,2019 Nissan Rogue SV,"48,502 mi.",Route 22 Nissan,4.5,"(3,851 reviews)","$26,988"
122,2018 Nissan Rogue SV,"16,012 mi.",Tri-State Nissan,4.8,(721 reviews),"$27,900"
123,2019 Nissan Sentra SV,"62,416 mi.",Greenway Nissan Brunswick,4.5,(876 reviews),"$18,488"
