,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 Porsche Macan S,"30,443 mi.",Checkered Flag Audi - Porsche,4.9,(511 reviews),"$65,948"
1,2021 Porsche Macan Base,"17,784 mi.",Champion Porsche,3.6,(101 reviews),"$59,900"
2,2018 Porsche 911 Carrera GTS,"19,008 mi.",Porsche Plano,4.8,"(1,131 reviews)","$129,995"
3,2018 Porsche Cayenne GTS,"37,439 mi.",Porsche Riverside,4.9,"(2,968 reviews)","$76,981"
4,2022 Porsche 911 Turbo,758 mi.,Porsche Monmouth,5.0,(89 reviews),"$324,900"
5,2018 Porsche Macan S,"37,207 mi.",Porsche Chantilly,4.8,(127 reviews),"$53,871"
6,2018 Porsche Macan Base,"35,468 mi.",Porsche Norwell,4.1,(33 reviews),"$45,500"
7,2017 Porsche 911 Carrera GTS,"17,870 mi.",Porsche St. Louis,4.8,(330 reviews),"$129,985"
8,2020 Porsche Macan S,"15,666 mi.",Porsche Towson,4.8,(136 reviews),"$67,495"
9,2018 Porsche Cayenne GTS,"18,261 mi.",Porsche Riverside,4.9,"(2,968 reviews)","$79,981"
10,2021 Porsche Macan Base,"5,504 mi.",Porsche Stratham,4.2,(10 reviews),"$54,987"
11,2021 Porsche Macan Base,"19,874 mi.",Porsche Woodland Hills,4.8,(485 reviews),"$62,918"
12,2021 Porsche Macan S,"10,661 mi.",Porsche West Broward,4.5,(297 reviews),"$89,995"
13,2019 Porsche Cayenne Base,"21,131 mi.",Beverly Hills Porsche,4.1,(81 reviews),"$64,999"
14,2019 Porsche Cayenne Base,"69,198 mi.",Harper Porsche,4.9,(383 reviews),"$65,998"
15,2020 Porsche Cayenne Base,"38,220 mi.",Hennessy Porsche,4.9,"(1,679 reviews)","$72,950"
16,2019 Porsche Cayenne Base,"20,799 mi.",Napleton Porsche of Westmont,4.8,(758 reviews),"$67,000"
17,2017 Porsche 911 Carrera S,"24,345 mi.",Porsche Atlanta Perimeter,4.7,"(2,427 reviews)","$124,200"
18,2021 Porsche Cayenne GTS,"15,032 mi.",Checkered Flag Audi - Porsche,4.9,(511 reviews),"$132,500"
19,2020 Porsche Cayenne ,"35,413 mi.",Porsche Atlanta Perimeter,4.7,"(2,427 reviews)","$73,775"
20,2021 Porsche Macan Base,"12,140 mi.",THE COLLECTION,4.7,(655 reviews),Not Priced
21,2019 Porsche 911 Carrera 4S,"29,481 mi.",Porsche of The Main Line,4.9,(331 reviews),"$124,995"
22,2019 Porsche Cayenne Base,"38,781 mi.",Porsche Newport Beach,4.8,(531 reviews),"$62,900"
23,2017 Porsche 911 Carrera,"20,712 mi.",Porsche Plano,4.8,"(1,131 reviews)","$98,995"
24,2019 Porsche Cayenne Base,"31,627 mi.",Harper Porsche,4.9,(383 reviews),"$69,546"
25,2019 Porsche Cayenne Base,"23,953 mi.",Porsche Irvine,4.7,(379 reviews),"$69,995"
26,2014 Porsche 911 Turbo,"24,432 mi.",Serra Auto Campus,3.2,(36 reviews),"$137,990"
27,2018 Porsche Macan S,"40,319 mi.",Porsche of The Main Line,4.9,(331 reviews),"$53,990"
28,2021 Porsche Macan Base,"10,170 mi.",Rusnak/Pasadena Porsche,4.8,(384 reviews),"$56,888"
29,2019 Porsche 911 Carrera 4S,"8,768 mi.","Autohaus Lancaster, Inc.",4.8,(388 reviews),"$149,999"
30,2019 Porsche Cayenne Base,"17,152 mi.",Rusnak/Pasadena Porsche,4.8,(384 reviews),"$68,888"
31,2019 Porsche Cayenne S,"17,976 mi.",Porsche Plano,4.8,"(1,131 reviews)","$83,995"
32,2021 Porsche Macan Base,"10,786 mi.",Tom Wood Porsche,4.6,(229 reviews),"$61,591"
33,2020 Porsche Cayenne AWD,"35,642 mi.",Hennessy Porsche,4.9,"(1,679 reviews)","$84,950"
34,2020 Porsche Macan S,"11,406 mi.",Porsche Newport Beach,4.8,(531 reviews),"$69,900"
35,2020 Porsche Cayenne ,"25,505 mi.",Porsche Atlanta Perimeter,4.7,"(2,427 reviews)","$81,499"
36,2016 Porsche Panamera 4 Edition,"68,953 mi.",Porsche St. Louis,4.8,(330 reviews),"$48,985"
37,2020 Porsche Macan ,"18,136 mi.",Porsche Atlanta Perimeter,4.7,"(2,427 reviews)","$59,999"
38,2021 Porsche Macan S,"19,251 mi.",Porsche West Broward,4.5,(297 reviews),"$75,995"
39,2016 Porsche Cayenne Base,"47,711 mi.",Porsche of The Main Line,4.9,(331 reviews),"$43,790"
40,2021 Porsche Macan Base,"12,597 mi.",Hennessy Porsche,4.9,"(1,679 reviews)","$64,950"
41,2021 Porsche Macan Base,"14,615 mi.",Hennessy Porsche,4.9,"(1,679 reviews)","$67,950"
42,2021 Porsche Macan Base,"12,423 mi.",Porsche of El Paso,4.9,(33 reviews),"$62,491"
43,2019 Porsche Panamera GTS,"28,725 mi.",Porsche Delaware,4.8,(212 reviews),"$125,888"
44,2021 Porsche Macan Base (PDK),"13,145 mi.",Porsche Westwood,4.4,(113 reviews),"$58,991"
45,2019 Porsche Cayenne Base,"14,708 mi.",Beverly Hills Porsche,4.1,(81 reviews),"$66,992"
46,2021 Porsche Macan Base,"16,716 mi.",Porsche Woodland Hills,4.8,(485 reviews),"$58,926"
47,2020 Porsche 911 Carrera S,"22,987 mi.",Porsche West Palm Beach,4.7,(250 reviews),"$160,900"
48,2021 Porsche 911 Carrera,"3,969 mi.",Porsche Plano,4.8,"(1,131 reviews)","$144,995"
49,2020 Porsche Cayenne ,"15,430 mi.",Porsche Atlanta Perimeter,4.7,"(2,427 reviews)","$82,910"
50,2016 Porsche Panamera 4 Edition,"60,960 mi.",Porsche St. Louis,4.8,(330 reviews),"$49,985"
51,2018 Porsche 911 Carrera GTS,"20,655 mi.",Hennessy Porsche,4.9,"(1,679 reviews)","$141,950"
52,2019 Porsche Macan S,"26,003 mi.",Porsche Monmouth,5.0,(89 reviews),"$64,900"
53,2021 Porsche Panamera Turbo S,"2,246 mi.",Porsche Plano,4.8,"(1,131 reviews)","$189,995"
54,2021 Porsche Macan Base,"10,754 mi.",Porsche St. Paul,4.9,(146 reviews),"$59,990"
55,2021 Porsche 911 Turbo S,"3,220 mi.",Porsche Riverside,4.9,"(2,968 reviews)","$275,981"
56,2018 Porsche Panamera 4S,"24,328 mi.",Circle Porsche,3.6,(30 reviews),"$89,886"
57,2016 Porsche Panamera 2,"72,681 mi.",Porsche Plano,4.8,"(1,131 reviews)","$46,995"
58,2018 Porsche Cayenne Base (Tiptronic),"37,141 mi.",Porsche Rocklin,4.0,(19 reviews),"$58,995"
59,2020 Porsche Taycan Turbo,"3,719 mi.",Porsche Englewood,4.8,(247 reviews),"$164,988"
60,2018 Porsche Panamera ,"25,356 mi.",Porsche Atlanta Perimeter,4.7,"(2,427 reviews)","$79,950"
61,2019 Porsche Cayenne Base,"31,221 mi.",Porsche Woodland Hills,4.8,(485 reviews),"$76,624"
62,2018 Porsche Macan Sport Edition,"21,283 mi.",Champion Porsche,3.6,(101 reviews),"$46,900"
63,2017 Porsche 911 Carrera S,"37,462 mi.",Porsche Chantilly,4.8,(127 reviews),"$114,871"
64,2021 Porsche Macan Base,"4,284 mi.",Champion Porsche,3.6,(101 reviews),"$63,900"
