,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2020 RAM 1500 Big Horn,"30,508 mi.",Lucas Chevrolet Jeep Chrysler Dodge RAM,4.5,"(2,046 reviews)","$47,990"
1,2019 RAM 1500 Laramie,"32,389 mi.",Keene Dodge Chrysler Jeep,4.3,(171 reviews),"$54,728"
2,2021 RAM 1500 Laramie,"19,862 mi.",Lustine Chrysler Jeep Dodge RAM,4.2,"(1,255 reviews)","$53,200"
3,2021 RAM 1500 Big Horn,"12,210 mi.",Yark Chrysler Dodge Jeep Ram,4.7,"(2,715 reviews)","$45,000"
4,2021 RAM 1500 Limited,"33,557 mi.",Woody's Dodge Jeep Chrysler RAM,4.7,"(1,758 reviews)","$65,739"
5,2021 RAM 1500 Laramie,"18,785 mi.",Gastonia Chrysler Dodge Jeep Ram,4.9,"(3,611 reviews)","$56,000"
6,2021 RAM 1500 Laramie,"17,776 mi.",Lustine Chrysler Jeep Dodge RAM,4.2,"(1,255 reviews)","$53,900"
7,2020 RAM 1500 Limited,"40,963 mi.",Lustine Chrysler Jeep Dodge RAM,4.2,"(1,255 reviews)","$55,500"
8,2020 RAM 1500 Limited,"42,266 mi.",Lustine Chrysler Jeep Dodge RAM,4.2,"(1,255 reviews)","$56,900"
9,2020 RAM 1500 Laramie,"40,237 mi.",Hayes Chrysler Dodge Jeep RAM-Lawrenceville,4.8,"(1,966 reviews)","$45,999"
10,2020 RAM 1500 Laramie,"17,972 mi.",Lustine Chrysler Jeep Dodge RAM,4.2,"(1,255 reviews)","$50,500"
11,2020 RAM 1500 Laramie,"47,665 mi.",Gastonia Chrysler Dodge Jeep Ram,4.9,"(3,611 reviews)","$48,000"
12,2019 RAM 1500 Laramie,"36,099 mi.",Lustine Chrysler Jeep Dodge RAM,4.2,"(1,255 reviews)","$45,500"
13,2021 RAM 1500 Limited,"52,483 mi.",Woody's Dodge Jeep Chrysler RAM,4.7,"(1,758 reviews)","$58,567"
14,2020 RAM 1500 Laramie,"31,690 mi.",Lithia Chrysler Jeep Dodge Ram FIAT of Eugene,4.5,"(1,910 reviews)","$53,990"
15,2021 RAM 1500 Big Horn,"36,508 mi.",Earnhardt Chrysler Jeep Dodge RAM,4.7,"(1,092 reviews)","$44,588"
16,2021 RAM 1500 Laramie,"13,529 mi.",Daytona Dodge Chrysler Jeep Ram & FIAT,4.3,(387 reviews),"$56,601"
17,2019 RAM 1500 Laramie,"46,248 mi.",Tacoma Dodge Chrysler Jeep RAM,4.4,(525 reviews),"$50,000"
18,2020 RAM 1500 Limited,"34,001 mi.",Zeigler Chrysler Dodge Jeep Ram of Schaumburg,4.3,(779 reviews),"$59,975"
19,2020 RAM 1500 Big Horn,"46,644 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,360 reviews)","$38,573"
20,2021 RAM 2500 Limited,"22,623 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,360 reviews)","$87,573"
21,2019 RAM 1500 Laramie,"48,492 mi.",Dodge RAM of Burnsville,4.7,(578 reviews),"$45,900"
22,2021 RAM 1500 Laramie,"37,940 mi.",Victory Chrysler Dodge Jeep Ram,4.6,(249 reviews),"$51,699"
23,2021 RAM 1500 Laramie,"33,637 mi.",Apple Chrysler Dodge Jeep Ram of Shakopee,3.8,(22 reviews),"$54,495"
24,2021 RAM 1500 Laramie,"25,603 mi.",Dodge RAM of Burnsville,4.7,(578 reviews),"$51,500"
25,2019 RAM 1500 Laramie,"18,601 mi.",Jeff Belzer's Lakeville,4.8,"(6,571 reviews)","$46,521"
26,2020 RAM 1500 Laramie,"39,325 mi.",Meador Dodge Chrysler Jeep RAM,4.5,"(1,879 reviews)","$51,500"
27,2019 RAM 1500 Laramie,"21,407 mi.",Dependable Chrysler Dodge Jeep Ram,4.4,(536 reviews),"$47,741"
28,2021 RAM 2500 Limited,"29,039 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,360 reviews)","$84,000"
29,2021 RAM 1500 Laramie,"22,821 mi.",Lake Norman Chrysler Dodge Jeep Ram,4.8,"(2,607 reviews)","$56,000"
30,2020 RAM 1500 Laramie,"48,461 mi.",Lustine Chrysler Jeep Dodge RAM,4.2,"(1,255 reviews)","$40,900"
31,2020 RAM 1500 Laramie,"39,153 mi.",Bill Luke Chrysler Jeep Dodge RAM,4.3,"(1,360 reviews)","$51,000"
32,2020 RAM 1500 Limited,"39,423 mi.",Bettenhausen Fiat,4.8,(196 reviews),"$56,889"
33,2021 RAM 1500 Laramie,"32,351 mi.",Meador Dodge Chrysler Jeep RAM,4.5,"(1,879 reviews)","$53,500"
34,2020 RAM 1500 Big Horn,"16,593 mi.",Rockland Chrysler Dodge Jeep Ram,4.6,"(2,302 reviews)","$46,000"
35,2021 RAM 1500 Laramie,"17,889 mi.",Courtesy Chrysler Dodge Jeep RAM of Superstition Springs,4.6,"(1,322 reviews)","$50,000"
36,2021 RAM 1500 Limited,"38,698 mi.",Smith Haven Chrysler Dodge Jeep Ram,4.4,(882 reviews),"$61,449"
37,2020 RAM 1500 Big Horn,"40,781 mi.",Jeff D'Ambrosio Chrysler Dodge Jeep Mitsubishi RAM Volkswagen,4.1,(160 reviews),"$43,900"
38,2019 RAM 1500 Laramie,"34,435 mi.",Dodge RAM of Burnsville,4.7,(578 reviews),"$45,800"
39,2020 RAM 1500 Laramie,"31,625 mi.",Chapman Dodge Chrysler Jeep RAM,4.5,(795 reviews),"$49,264"
40,2020 RAM 1500 Big Horn,"18,378 mi.",Apple Chrysler Dodge Jeep Ram of Shakopee,3.8,(22 reviews),"$46,995"
41,2020 RAM 1500 Big Horn,"36,940 mi.",Austin Chrysler Dodge Jeep RAM,4.7,(94 reviews),"$38,990"
42,2020 RAM 1500 Big Horn,"33,667 mi.",Pine Belt Chrysler Jeep Dodge Ram of Lakewood,4.8,"(2,565 reviews)","$37,988"
43,2019 RAM 1500 Rebel,"45,556 mi.",Moran Blue Water Chrysler Dodge Jeep Ram,4.7,(40 reviews),"$44,065"
44,2020 RAM 1500 Big Horn/Lone Star,"21,685 mi.",Bergey's Chrysler Jeep Dodge RAM,4.7,(359 reviews),"$45,995"
45,2020 RAM 1500 Big Horn,"47,601 mi.",Clay Cooley Chrysler Dodge Jeep,4.1,(419 reviews),"$44,997"
46,2019 RAM 1500 Classic Express,"33,353 mi.",Jeff D'Ambrosio Chrysler Dodge Jeep Mitsubishi RAM Volkswagen,4.1,(160 reviews),"$32,500"
47,2020 RAM 1500 Laramie,"16,474 mi.",Diehl Chrysler Dodge Jeep Ram Toyota,4.5,(212 reviews),"$52,571"
48,2020 RAM 1500 Laramie,"62,808 mi.",Russ Darrow Chrysler Dodge Jeep RAM Madison (High Crossing),4.8,(818 reviews),"$46,290"
49,2020 RAM 1500 Big Horn,"26,597 mi.",Route 18 Chrysler Jeep Dodge Ram,4.6,"(1,384 reviews)","$38,000"
