,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 Rolls-Royce Cullinan Base,"13,258 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$399,990"
1,2020 Rolls-Royce Cullinan Base,"31,612 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$402,990"
2,2019 Rolls-Royce Cullinan Base,"8,933 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$419,990"
3,2018 Rolls-Royce Wraith ,"26,290 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$292,990"
4,2019 Rolls-Royce Cullinan ,"5,771 mi.","Bentley, Maserati & Rolls-Royce Motor Cars by O'Gara Westlake",3.5,(11 reviews),"$398,488"
5,2019 Rolls-Royce Wraith ,"13,781 mi.",Holman Motorcars,2.1,(4 reviews),"$365,888"
6,2018 Rolls-Royce Wraith Base,"10,924 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$307,990"
7,2019 Rolls-Royce Wraith ,"15,437 mi.",Holman Motorcars,2.1,(4 reviews),"$369,950"
8,2019 Rolls-Royce Wraith Base,"4,121 mi.",Braman Motors Miami,4.7,"(2,680 reviews)","$357,570"
9,2018 Rolls-Royce Dawn Base,"25,151 mi.",Rolls-Royce Motor Cars Raleigh,4.6,(84 reviews),"$289,988"
10,2021 Rolls-Royce Cullinan ,"5,780 mi.",Rolls-Royce Motor Cars Raleigh,4.6,(84 reviews),"$441,988"
11,2022 Rolls-Royce Cullinan Base,"2,292 mi.",Braman Motors Miami,4.7,"(2,680 reviews)","$452,707"
12,2021 Rolls-Royce Cullinan ,"3,556 mi.",Rolls-Royce Motor Cars Raleigh,4.6,(84 reviews),"$533,488"
13,2021 Rolls-Royce Cullinan ,"3,930 mi.",Rolls-Royce Motor Cars Raleigh,4.6,(84 reviews),"$598,788"
14,2021 Rolls-Royce Ghost ,"1,936 mi.",Rusnak Bentley Rolls-Royce Maserati,4.4,(258 reviews),"$423,998"
15,2021 Rolls-Royce Ghost ,"4,338 mi.",Rusnak Bentley Rolls-Royce Maserati,4.4,(258 reviews),"$421,998"
16,2022 Rolls-Royce Cullinan ,"1,724 mi.",O'Gara Coach Beverly Hills,3.0,(6 reviews),"$509,990"
17,2021 Rolls-Royce Cullinan ,"6,157 mi.","Bentley, Maserati & Rolls-Royce Motor Cars by O'Gara Westlake",3.5,(11 reviews),"$499,965"
