,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2021 Subaru Outback Touring,"17,252 mi.",Ourisman Subaru VW of Waldorf,4.0,(18 reviews),"$38,300"
1,2020 Subaru Outback Touring XT,"19,116 mi.",Janesville Subaru,4.3,(158 reviews),"$38,290"
2,2020 Subaru Outback Touring,"17,528 mi.",Sheehy Subaru Springfield,4.8,(771 reviews),"$37,500"
3,2020 Subaru Outback Limited,"34,325 mi.",Huffines Kia Corinth,4.9,"(1,670 reviews)","$34,577"
4,2018 Subaru Forester 2.5i Limited,"20,267 mi.",Luther Bloomington Subaru,4.7,"(5,047 reviews)","$32,489"
5,2021 Subaru Crosstrek Limited,"10,146 mi.",Fitzgerald Subaru of Gaithersburg,4.5,(118 reviews),"$33,688"
6,2019 Subaru Outback 2.5i Limited,"34,573 mi.",Johnson Subaru of Cary,4.7,(250 reviews),"$30,992"
7,2019 Subaru Ascent Touring 7-Passenger,"12,741 mi.",Capital Subaru,4.4,(14 reviews),"$41,990"
8,2018 Subaru Outback 3.6R Touring,"48,052 mi.",Morrie's Brooklyn Park Subaru,4.7,(845 reviews),"$30,997"
9,2019 Subaru Forester Premium,"19,918 mi.",Grand Prix Subaru,4.8,"(1,573 reviews)","$27,495"
10,2019 Subaru Ascent Premium 7-Passenger,"31,310 mi.",Baxter Subaru,4.9,(290 reviews),"$33,998"
11,2019 Subaru Outback 2.5i Premium,"34,122 mi.",Rogers Subaru,3.4,(14 reviews),"$31,995"
12,2019 Subaru Outback 2.5i Limited,"21,884 mi.",Bob Rohrman Subaru of Fort Wayne,4.3,(992 reviews),"$32,661"
13,2019 Subaru Forester Premium,"19,674 mi.",Brattleboro Subaru,4.8,"(1,249 reviews)","$30,789"
14,2019 Subaru Outback 2.5i Limited,"32,089 mi.",Premier Subaru of Middlebury,4.8,(948 reviews),"$31,316"
15,2019 Subaru Outback 2.5i Limited,"53,888 mi.",Bob Rohrman Subaru of Fort Wayne,4.3,(992 reviews),"$30,020"
16,2019 Subaru Crosstrek 2.0i Premium,"33,553 mi.",Germain Subaru of Columbus,4.2,(92 reviews),"$27,652"
17,2019 Subaru Ascent Touring 7-Passenger,"35,709 mi.",Capital Subaru,4.4,(14 reviews),"$39,900"
18,2021 Subaru Legacy ,"11,809 mi.",Baxter Subaru,4.9,(290 reviews),"$31,498"
19,2018 Subaru Outback 2.5i Limited,"42,195 mi.",AutoNation Subaru Roseville,4.7,(192 reviews),"$29,497"
20,2020 Subaru Crosstrek Premium,"34,482 mi.",Mike Shaw Subaru,4.8,"(1,476 reviews)","$29,990"
21,2019 Subaru Crosstrek 2.0i Premium,"34,136 mi.",Germain Subaru of Columbus,4.2,(92 reviews),"$27,440"
22,2020 Subaru Legacy Premium,"25,519 mi.",Wilde Chrysler Jeep Dodge Ram & Subaru,4.7,(926 reviews),"$29,798"
23,2021 Subaru Forester Premium,"41,920 mi.",Sport Subaru South,4.8,"(3,268 reviews)","$29,526"
24,2019 Subaru Forester Sport,"32,786 mi.",Schomp Subaru,4.9,"(3,078 reviews)","$34,995"
25,2021 Subaru Crosstrek Premium,"16,391 mi.",Schaller Subaru,4.6,(288 reviews),"$30,770"
26,2018 Subaru Outback 2.5i Limited,"50,782 mi.",Maita Subaru,4.6,(172 reviews),"$28,500"
27,2019 Subaru Forester Premium,"39,472 mi.",Waikem Subaru,4.9,(338 reviews),"$28,000"
28,2021 Subaru Crosstrek Sport,"36,178 mi.",Hansel Subaru,4.6,(116 reviews),"$33,750"
29,2019 Subaru Forester Premium,"19,460 mi.",Van Bortel Subaru of Victor,4.9,(292 reviews),"$29,500"
30,2021 Subaru Outback Limited,"16,514 mi.",Grand Subaru,4.9,"(3,181 reviews)","$35,954"
31,2020 Subaru Outback Limited,"12,498 mi.",Norm Reeves Subaru Superstore Rockwall,5.0,(5 reviews),"$37,777"
32,2019 Subaru Forester Touring,"11,635 mi.",#1 Cochran Subaru Monroeville,4.8,(748 reviews),"$35,693"
33,2019 Subaru Outback 2.5i Limited,"14,901 mi.",Ciocca Subaru,4.3,(135 reviews),"$33,999"
34,2019 Subaru Forester Limited,"38,151 mi.",Morrie's Brooklyn Park Subaru,4.7,(845 reviews),"$32,197"
35,2019 Subaru Outback 2.5i Limited,"19,897 mi.",Grand Prix Subaru,4.8,"(1,573 reviews)","$29,387"
36,2021 Subaru Crosstrek Premium,"31,711 mi.",Suburban Subaru,4.2,(124 reviews),"$29,333"
37,2019 Subaru Crosstrek 2.0i Limited,"15,461 mi.",Ken Ganley Subaru North Olmsted,4.8,"(2,591 reviews)","$30,187"
38,2019 Subaru Outback 2.5i Limited,"45,315 mi.",Sommer's Automotive,4.9,"(1,670 reviews)","$31,990"
39,2019 Subaru Outback 2.5i Premium,"38,565 mi.",AutoNation Subaru Spokane Valley,4.7,(668 reviews),"$31,495"
40,2019 Subaru Outback 2.5i Premium,"35,764 mi.",Groove Subaru,4.9,"(6,949 reviews)","$29,591"
41,2019 Subaru Crosstrek 2.0i Limited,"11,993 mi.",The Autobarn Countryside Subaru,4.8,"(1,108 reviews)","$32,399"
42,2019 Subaru Outback 2.5i Limited,"36,453 mi.",Gregoris Motors,3.6,(101 reviews),"$28,995"
43,2019 Subaru Outback 2.5i Limited,"45,611 mi.",Gold Rush Subaru,4.8,(90 reviews),"$31,358"
44,2019 Subaru Crosstrek 2.0i Premium,"33,859 mi.","Lancaster County Motors, Inc.",4.8,(578 reviews),"$28,485"
45,2019 Subaru Outback 2.5i Premium,"35,913 mi.",West Herr Subaru,4.9,"(1,672 reviews)","$28,635"
46,2019 Subaru Crosstrek 2.0i Premium,"30,317 mi.",Gold Rush Subaru,4.8,(90 reviews),"$28,396"
47,2019 Subaru Outback 2.5i,"61,422 mi.",Capital Subaru,4.4,(14 reviews),"$30,990"
48,2021 Subaru Forester Limited,"22,337 mi.",CMA's Valley Subaru,4.9,(868 reviews),"$34,594"
49,2018 Subaru Forester 2.5i Premium,"57,773 mi.",Groove Subaru,4.9,"(6,949 reviews)","$25,591"
50,2021 Subaru Forester Limited,"12,587 mi.",Luther Subaru of White Bear,4.7,"(5,709 reviews)","$34,995"
51,2019 Subaru Forester Limited,"43,687 mi.",AutoNation Subaru Roseville,4.7,(192 reviews),"$32,991"
52,2020 Subaru Outback Limited,"19,077 mi.",Ciocca Subaru,4.3,(135 reviews),"$34,498"
