,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2021 Toyota RAV4 LE,"14,457 mi.",Thompson Toyota,4.7,(648 reviews),"$29,490"
1,2018 Toyota RAV4 XLE,"78,408 mi.",Sterling McCall Toyota Fort Bend,4.4,(801 reviews),"$24,295"
2,2020 Toyota RAV4 Limited,"15,875 mi.",Right Toyota,4.6,"(1,810 reviews)","$39,987"
3,2018 Toyota 4Runner Limited,"33,030 mi.",Peterson Auto Group,4.7,"(4,169 reviews)","$45,995"
4,2020 Toyota Tundra 1794,"25,866 mi.",AutoNation Toyota Hayward,4.4,"(1,022 reviews)","$51,995"
5,2017 Toyota RAV4 Platinum,"35,252 mi.",AutoNation Toyota Arapahoe,4.5,"(2,340 reviews)","$34,999"
6,2021 Toyota Tundra SR5,"32,102 mi.",Serra Toyota,4.9,"(2,947 reviews)","$51,900"
7,2018 Toyota RAV4 XLE,"42,105 mi.",Rochester Toyota,4.8,(441 reviews),"$30,000"
8,2021 Toyota Tacoma TRD Off Road,"22,354 mi.",Longo Toyota,4.8,"(3,482 reviews)","$46,988"
9,2019 Toyota RAV4 Limited,"38,593 mi.",Towne Toyota,4.4,(490 reviews),"$36,588"
10,2020 Toyota RAV4 Limited,"43,747 mi.",Right Toyota,4.6,"(1,810 reviews)","$36,579"
11,2020 Toyota Tundra Platinum,"32,184 mi.",Woburn Toyota,4.5,"(2,461 reviews)","$52,482"
12,2020 Toyota RAV4 LE,"15,553 mi.",Ira Toyota of Danvers,4.4,"(2,551 reviews)","$30,200"
13,2018 Toyota RAV4 Limited,"54,524 mi.",Carlson Toyota,4.6,(566 reviews),"$31,585"
14,2018 Toyota RAV4 XLE,"62,437 mi.",Toyota of Brookfield,4.7,"(1,624 reviews)","$26,900"
15,2021 Toyota RAV4 LE,"35,035 mi.",Sun Toyota,4.9,"(8,280 reviews)","$29,495"
16,2021 Toyota Tundra SR5,"16,574 mi.",Lustine Toyota,4.4,"(1,154 reviews)","$49,000"
17,2020 Toyota C-HR LE,"18,675 mi.",John Elway's Crown Toyota,4.7,(989 reviews),"$30,981"
18,2019 Toyota Highlander LE,"17,084 mi.",Elgin Toyota,4.6,"(2,446 reviews)","$36,490"
19,2019 Toyota RAV4 LE,"46,574 mi.",Tansky Sawmill Toyota,4.6,(840 reviews),"$27,655"
20,2021 Toyota Highlander XLE,"30,183 mi.",AutoNation Toyota Mall of Georgia,4.7,"(2,489 reviews)","$45,992"
21,2018 Toyota RAV4 XLE,"40,246 mi.",Rochester Toyota,4.8,(441 reviews),"$29,998"
22,2020 Toyota RAV4 LE,"46,418 mi.",Camelback Toyota,4.3,(767 reviews),"$32,553"
23,2018 Toyota RAV4 XLE,"33,772 mi.",East Madison Toyota,4.7,"(1,137 reviews)","$29,992"
24,2018 Toyota RAV4 LE,"37,406 mi.",Balise Toyota,4.3,(238 reviews),"$26,924"
25,2018 Toyota RAV4 XLE,"39,507 mi.",Rochester Toyota,4.8,(441 reviews),"$27,998"
