,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 Volkswagen Tiguan 2.0T SEL Premium R-Line,"36,220 mi.",Larry H. Miller Volkswagen Avondale,4.5,(710 reviews),"$33,951"
1,2021 Volkswagen Tiguan 2.0T SEL,"16,618 mi.",Sheehy Volkswagen of Springfield,4.8,(652 reviews),"$33,961"
2,2019 Volkswagen Tiguan 2.0T S,"38,701 mi.",Volkswagen Of Fort Myers,4.7,(172 reviews),"$22,298"
3,2020 Volkswagen Tiguan 2.0T S,"32,665 mi.",Napleton's Volkswagen of Sanford,4.6,(787 reviews),"$24,226"
4,2018 Volkswagen Tiguan 2.0T SE,"14,848 mi.",Emich Volkswagen,4.7,(500 reviews),"$28,899"
5,2021 Volkswagen Tiguan 2.0T SE,"10,230 mi.",Hendrick Volkswagen Frisco,4.7,(199 reviews),"$33,521"
6,2021 Volkswagen Atlas 3.6 V6 SE w/ Technology,"32,049 mi.",Volkswagen of St. Augustine,4.6,(212 reviews),"$39,427"
7,2021 Volkswagen Tiguan 2.0T SE,"63,719 mi.",AutoNation Volkswagen Columbus,4.3,(141 reviews),"$30,497"
8,2019 Volkswagen Jetta 1.4T S,"37,640 mi.",Wallace Imports of Bristol,4.6,(181 reviews),"$23,495"
9,2018 Volkswagen Golf Alltrack TSI SEL,"65,895 mi.",AutoNation Volkswagen Las Vegas,4.7,(655 reviews),"$24,291"
10,2018 Volkswagen Golf GTI 2.0T SE 4-Door,"10,769 mi.",Sheehy Volkswagen of Springfield,4.8,(652 reviews),"$29,974"
11,2018 Volkswagen Tiguan 2.0T SE,"51,087 mi.",Onion Creek Volkswagen,4.3,(115 reviews),"$25,991"
12,2021 Volkswagen Tiguan 2.0T SE R-Line Black,"17,139 mi.",Bommarito Volkswagen Hazelwood,4.8,"(1,745 reviews)","$35,500"
13,2021 Volkswagen Tiguan 2.0T S,"14,267 mi.",Emich Volkswagen,4.7,(500 reviews),"$28,798"
14,2021 Volkswagen Jetta 1.4T S,"14,257 mi.",Rudolph Volkswagen of El Paso,4.8,(85 reviews),"$27,650"
15,2019 Volkswagen Jetta 1.4T S,"30,010 mi.",Stohlman Volkswagen Subaru,4.8,"(1,444 reviews)","$23,376"
16,2021 Volkswagen Jetta 1.4T S,"16,653 mi.",Safford Volkswagen of Fredericksburg,4.6,(361 reviews),"$25,000"
17,2021 Volkswagen Jetta 1.4T S,"18,972 mi.",Safford Volkswagen of Fredericksburg,4.6,(361 reviews),"$25,600"
18,2018 Volkswagen Tiguan 2.0T SEL,"37,405 mi.",Hall Volkswagen Mazda,4.6,(576 reviews),"$26,991"
19,2019 Volkswagen Tiguan 2.0T SEL,"45,653 mi.",Winner Subaru,4.8,(597 reviews),"$29,877"
20,2019 Volkswagen Tiguan 2.0T SE,"16,372 mi.",White Plains Volkswagen,3.7,(3 reviews),"$26,900"
21,2021 Volkswagen Tiguan 2.0T S,"10,067 mi.",Bob Boast Volkswagen,4.9,(894 reviews),"$26,847"
22,2021 Volkswagen Tiguan 2.0T S,"13,940 mi.",Emich Volkswagen,4.7,(500 reviews),"$27,830"
23,2021 Volkswagen Tiguan 2.0T S,"13,638 mi.",Ourisman Subaru VW of Waldorf,4.0,(18 reviews),"$26,593"
24,2019 Volkswagen Atlas 3.6L SE,"14,659 mi.",Hendrick Volkswagen Frisco,4.7,(199 reviews),"$36,881"
25,2021 Volkswagen Jetta 1.4T SEL Premium,"10,962 mi.",Minuteman VW,4.7,(410 reviews),"$29,255"
26,2019 Volkswagen Tiguan 2.0T SE,"46,488 mi.",Balise Volkswagen,4.5,(387 reviews),"$27,500"
27,2020 Volkswagen Jetta 1.4T S,"15,519 mi.",Gunther Volkswagen Volvo Mitsubishi Coconut Creek,4.8,"(1,563 reviews)","$22,467"
28,2019 Volkswagen Tiguan 2.0T S,"14,407 mi.",Gunther Volkswagen Volvo Mitsubishi Coconut Creek,4.8,"(1,563 reviews)","$24,867"
29,2020 Volkswagen Tiguan 2.0T SE,"19,344 mi.",Stohlman Volkswagen Subaru,4.8,"(1,444 reviews)","$30,500"
30,2017 Volkswagen Tiguan 2.0T Wolfsburg Edition,"69,767 mi.",Castle Volkswagen of Schaumburg,4.7,(622 reviews),"$19,954"
31,2021 Volkswagen Tiguan 2.0T SE,"20,478 mi.",Weeks Pre-Owned Center,4.9,"(1,063 reviews)","$31,797"
32,2021 Volkswagen Tiguan 2.0T S,"17,750 mi.",Barnes Crossing Volkswagen,4.5,(58 reviews),"$29,897"
33,2020 Volkswagen Jetta 1.4T S,"35,849 mi.",Safford Volkswagen of Fredericksburg,4.6,(361 reviews),"$23,400"
34,2018 Volkswagen Passat 2.0T R-Line,"36,188 mi.",Hendrick Volkswagen Frisco,4.7,(199 reviews),"$25,500"
35,2020 Volkswagen Tiguan 2.0T SE,"35,859 mi.",Stohlman Volkswagen Subaru,4.8,"(1,444 reviews)","$28,272"
36,2019 Volkswagen Tiguan 2.0T S,"40,959 mi.","J. Bertolet, Inc",4.7,(79 reviews),"$24,500"
37,2019 Volkswagen Tiguan 2.0T SE,"19,888 mi.",Luther Westside VW,4.7,"(5,115 reviews)","$28,975"
38,2017 Volkswagen Passat 1.8T SE,"24,054 mi.",Rusty Wallis Volkswagen,4.6,(667 reviews),"$25,944"
39,2018 Volkswagen Tiguan 2.0T SE,"45,254 mi.",Charles Maund Volkswagen,4.7,(383 reviews),"$26,994"
40,2021 Volkswagen Tiguan 2.0T S,"13,203 mi.",Volkswagen of Lee's Summit,4.7,"(1,109 reviews)","$29,798"
41,2021 Volkswagen Jetta 1.4T S,"16,305 mi.",Barnes Crossing Volkswagen,4.5,(58 reviews),"$24,644"
42,2019 Volkswagen Jetta 1.4T S,"40,678 mi.",Gunther Volkswagen Volvo Mitsubishi Coconut Creek,4.8,"(1,563 reviews)","$19,798"
43,2018 Volkswagen Passat 2.0T SE w/ Technology,"24,104 mi.",The Autobarn Volkswagen of Countryside,4.7,"(1,083 reviews)","$24,904"
44,2020 Volkswagen Jetta 1.4T S,"18,760 mi.",Gunther Volkswagen Volvo Mitsubishi Coconut Creek,4.8,"(1,563 reviews)","$22,757"
45,2020 Volkswagen Golf 1.4T TSI,"23,373 mi.",Sheehy Volkswagen of Springfield,4.8,(652 reviews),"$25,489"
46,2021 Volkswagen Passat 2.0T R-Line,"17,662 mi.",City Volkswagen Of Evanston,4.7,"(1,326 reviews)","$29,997"
47,2020 Volkswagen Jetta 1.4T S,"8,967 mi.",City Volkswagen Of Evanston,4.7,"(1,326 reviews)","$20,997"
48,2021 Volkswagen Tiguan 2.0T SE,"14,091 mi.",Driver's Village,3.2,(154 reviews),"$31,497"
49,2022 Volkswagen Taos SEL,"6,222 mi.",Volkswagen of Ocala,4.8,"(1,140 reviews)","$33,515"
50,2019 Volkswagen Atlas 3.6L SE w/Technology,"60,743 mi.",Colonial Volkswagen,4.8,"(2,262 reviews)","$32,170"
51,2021 Volkswagen Tiguan 2.0T S,"21,067 mi.",Sheehy Volkswagen of Springfield,4.8,(652 reviews),"$26,299"
52,2019 Volkswagen Tiguan 2.0T SE,"38,979 mi.",World Volkswagen of Neptune,4.8,"(1,980 reviews)","$26,650"
53,2019 Volkswagen Tiguan 2.0T SE,"22,069 mi.",Gunther Volkswagen Volvo Mitsubishi Coconut Creek,4.8,"(1,563 reviews)","$27,947"
54,2019 Volkswagen Tiguan 2.0T SEL,"30,296 mi.",Basil Volkswagen of Lockport,4.7,(203 reviews),"$29,495"
