,Name,Mileage,Dealer Name,Rating,Rating Count,Price
0,2019 Volvo XC40 R-DESIGN,"15,095 mi.",Pedersen Toyota Volvo,4.7,(613 reviews),"$43,989"
1,2020 Volvo XC60 T5 Inscription,"25,666 mi.",Weston Nissan Volvo Cars,4.8,"(9,575 reviews)","$40,995"
2,2018 Volvo S90 T6 Momentum,"11,879 mi.",McGrath Volvo Cars Barrington,4.3,(129 reviews),"$36,993"
3,2018 Volvo S90 T5 Momentum,"33,500 mi.",Principle Volvo Cars San Antonio,4.7,"(1,676 reviews)","$32,962"
4,2021 Volvo S60 T5 Momentum,"28,049 mi.",Don Beyer Volvo Cars - Dulles,4.8,(298 reviews),"$34,788"
5,2021 Volvo XC60 T6 Momentum,"20,491 mi.",Portland Volvo Cars,4.9,(525 reviews),"$47,995"
6,2021 Volvo S60 T5 Momentum,"18,392 mi.",Don Beyer Volvo Cars - Dulles,4.8,(298 reviews),"$38,998"
7,2020 Volvo XC60 T5 Momentum,"15,734 mi.",Volvo Cars Mall of Georgia,4.9,"(2,093 reviews)","$44,000"
8,2019 Volvo S60 T6 R-Design,"21,327 mi.",Rickenbaugh Cadillac Volvo Cars,4.9,"(2,658 reviews)","$41,000"
9,2019 Volvo XC60 T5 Momentum,"45,296 mi.",Crest Volvo Cars,4.8,"(1,540 reviews)","$38,484"
10,2019 Volvo XC60 T5 Momentum,"32,839 mi.",Volvo Cars Worcester,4.5,(12 reviews),"$38,590"
11,2019 Volvo XC60 T5 Momentum,"10,009 mi.",Principle Volvo Cars San Antonio,4.7,"(1,676 reviews)","$43,968"
12,2019 Volvo XC60 T5 Momentum,"35,570 mi.",Karp Volvo Buick Kia,4.8,(871 reviews),"$36,925"
13,2021 Volvo XC60 T6 Momentum,"18,337 mi.",Portland Volvo Cars,4.9,(525 reviews),"$48,995"
14,2019 Volvo S60 T6 Momentum,"32,033 mi.",Volvo Cars Silver Spring,4.9,"(1,494 reviews)","$33,000"
15,2020 Volvo XC60 T5 R-Design,"29,825 mi.",Grubbs Volvo Cars Grapevine,3.3,(31 reviews),"$45,000"
16,2019 Volvo S60 T6 Momentum,"20,000 mi.",Smythe Volvo Cars,4.9,"(4,473 reviews)","$33,749"
17,2019 Volvo S60 T6 Inscription,"46,799 mi.",Portland Volvo Cars,4.9,(525 reviews),"$36,995"
18,2019 Volvo XC60 T6 Momentum,"22,958 mi.",McGrath Volvo Cars Barrington,4.3,(129 reviews),"$39,997"
19,2019 Volvo XC90 T6 Momentum,"46,209 mi.",DARCARS Volvo Cars,4.7,(342 reviews),"$42,180"
20,2019 Volvo XC90 T6 Momentum,"21,154 mi.",Volvo Cars Silver Spring,4.9,"(1,494 reviews)","$47,500"
21,2019 Volvo XC60 T6 Momentum,"30,518 mi.",Volvo Cars Mall of Georgia,4.9,"(2,093 reviews)","$40,400"
22,2019 Volvo S60 T5 Momentum,"16,519 mi.",Principle Volvo Cars San Antonio,4.7,"(1,676 reviews)","$32,968"
23,2019 Volvo XC40 T5 Momentum,"16,746 mi.",Galpin Lincoln Volvo,4.8,(367 reviews),"$39,500"
24,2019 Volvo XC90 T6 Inscription,"43,818 mi.",Volvo Cars Silver Spring,4.9,"(1,494 reviews)","$48,500"
25,2019 Volvo XC60 T5 Momentum,"45,028 mi.",Volvo Cars Mall of Georgia,4.9,"(2,093 reviews)","$35,500"
26,2019 Volvo XC60 T6 Momentum,"30,867 mi.",Dyer & Dyer Volvo Cars,4.7,(588 reviews),"$39,999"
27,2019 Volvo XC40 T5 Inscription,"20,871 mi.",Galpin Lincoln Volvo,4.8,(367 reviews),"$41,222"
28,2019 Volvo XC60 T5 Momentum,"34,967 mi.",Dean Team Volvo Cars of Saint Louis,4.7,(893 reviews),"$39,450"
29,2021 Volvo XC60 T5 Momentum,"10,240 mi.",Volvo Cars Oklahoma City,4.9,(437 reviews),"$45,900"
30,2019 Volvo XC60 T5 Momentum,"29,669 mi.",Principle Volvo Cars San Antonio,4.7,"(1,676 reviews)","$42,962"
31,2018 Volvo S90 T5 Momentum,"19,000 mi.",Principle Volvo Cars San Antonio,4.7,"(1,676 reviews)","$35,968"
32,2019 Volvo XC90 T6 Momentum,"23,354 mi.",Union Park Honda BMW Buick GMC Volvo Cars Jaguar,4.5,(536 reviews),"$50,995"
33,2019 Volvo S60 T6 Inscription,"29,939 mi.",Portland Volvo Cars,4.9,(525 reviews),"$38,995"
34,2021 Volvo XC90 T6 Inscription 7 Passenger,"21,744 mi.",McGrath Volvo Cars Barrington,4.3,(129 reviews),"$58,000"
35,2019 Volvo XC60 T6 Inscription,"32,249 mi.",Red Bank Volvo Cars,4.5,(132 reviews),"$41,999"
36,2021 Volvo XC60 T5 Momentum,"9,035 mi.",Volvo Cars Oklahoma City,4.9,(437 reviews),"$45,500"
37,2018 Volvo S90 T5 Momentum,"28,500 mi.",Principle Volvo Cars San Antonio,4.7,"(1,676 reviews)","$34,968"
38,2019 Volvo S60 T6 Inscription,"11,102 mi.",Keystone Volvo Cars Berwyn,4.8,(112 reviews),"$40,995"
39,2019 Volvo XC60 T6 Momentum,"24,278 mi.",Byers Volvo Cars,4.8,"(1,024 reviews)","$40,990"
40,2019 Volvo XC60 T6 Momentum,"18,629 mi.",McGrath Volvo Cars Barrington,4.3,(129 reviews),"$42,989"
41,2019 Volvo XC90 T6 Inscription,"25,136 mi.",Pedersen Toyota Volvo,4.7,(613 reviews),"$58,489"
42,2021 Volvo XC60 T6 Momentum,"27,484 mi.",Portland Volvo Cars,4.9,(525 reviews),"$47,995"
43,2021 Volvo XC60 T5 Inscription,"30,836 mi.",Lovering Volvo Cars Nashua,4.9,(482 reviews),"$47,988"
44,2019 Volvo XC90 T6 Inscription,"17,170 mi.","International Autos Jaguar, Land Rover, Subaru, Volvo Cars",4.6,(207 reviews),"$55,995"
45,2019 Volvo S60 T6 Momentum,"32,862 mi.",Volvo Cars Danbury,4.7,(246 reviews),"$32,493"
46,2018 Volvo V60 Cross Country T5,"43,190 mi.",Fields Jaguar Land Rover Volvo Waukesha,4.6,(244 reviews),"$30,990"
47,2019 Volvo S60 T5 Momentum,"42,500 mi.",Principle Volvo Cars San Antonio,4.7,"(1,676 reviews)","$31,962"
48,2019 Volvo S60 T6 Momentum,"22,156 mi.",Smythe Volvo Cars,4.9,"(4,473 reviews)","$32,995"
